date,ts_code,name,action,price,shares,amount,commission,reason,category
2018-06-29,002335.SZ,科华数据,buy,18.068,3000,54204.15,54.2,新买入，评分72(✅ 积极布局)，股息率5.54%，目标权重6.1%,防御红利
2018-06-29,600516.SH,方大炭素,buy,24.404,1300,31725.69,31.73,新买入，评分85(🔥 大胆攒股)，股息率7.79%，目标权重3.7%,周期资源红利
2018-06-29,000728.SZ,国元证券,buy,7.407,2600,19259.24,19.26,加仓，评分78(✅ 积极布局)，股息率6.08%，权重3.9%→6.1%,金融红利
2018-06-29,600816.SH,建元信托,buy,7.247,6800,49281.23,49.28,加仓，评分81(🔥 大胆攒股)，股息率6.91%，权重3.7%→9.1%,金融红利
2018-06-29,511880.SH,银华日利,buy,112.164,300,33649.3,33.65,闲置现金扫入,现金管理
2018-09-28,600578.SH,京能电力,sell,3.187,14600,46527.43,93.05,清仓，评分24(🚫 回避)，低于观察阈值，当前权重5.2%,基础设施红利
2018-09-28,600153.SH,建发股份,sell,8.102,3000,24305.67,48.61,清仓，评分27(🚫 回避)，低于观察阈值，当前权重2.7%,基础设施红利
2018-09-28,600642.SH,申能股份,sell,5.255,5500,28901.07,57.8,清仓，评分38(⏸️ 暂缓)，低于观察阈值，当前权重3.2%,基础设施红利
2018-09-28,601991.SH,大唐发电,sell,3.397,18200,61818.12,123.64,清仓，评分28(🚫 回避)，低于观察阈值，当前权重6.9%,基础设施红利
2018-09-28,600312.SH,平高电气,sell,7.173,14700,105440.45,210.88,清仓，评分25(🚫 回避)，低于观察阈值，当前权重11.7%,防御红利
2018-09-28,000728.SZ,国元证券,sell,6.883,7400,50935.01,101.87,清仓，评分26(🚫 回避)，低于观察阈值，当前权重5.7%,金融红利
2018-09-28,002568.SZ,百润股份,sell,11.988,6200,74325.6,148.65,清仓，评分20(🚫 回避)，低于观察阈值，当前权重8.2%,消费红利
2018-09-28,000921.SZ,海信家电,buy,8.889,3200,28444.42,28.44,新买入，评分60(👀 观察等待)，股息率4.95%，目标权重3.2%,消费红利
2018-09-28,002517.SZ,恺英网络,buy,4.795,6000,28768.74,28.77,新买入，评分58(👀 观察等待)，股息率4.59%，目标权重3.2%,防御红利
2018-09-28,002756.SZ,永兴材料,buy,13.503,2500,33758.72,33.76,新买入，评分85(🔥 大胆攒股)，股息率7.41%，目标权重3.9%,周期资源红利
2018-09-28,000951.SZ,中国重汽,buy,12.422,4600,57143.09,57.14,新买入，评分66(✅ 积极布局)，股息率5.48%，目标权重6.5%,消费红利
2018-09-28,600170.SH,上海建工,buy,3.103,9300,28858.83,28.86,新买入，评分52(👀 观察等待)，股息率4.35%，目标权重3.2%,基础设施红利
2018-09-28,000513.SZ,丽珠集团,buy,33.914,1700,57653.6,57.65,新买入，评分78(✅ 积极布局)，股息率5.90%，目标权重6.5%,消费红利
2018-09-28,603858.SH,步长制药,buy,29.119,2000,58238.18,58.24,新买入，评分72(✅ 积极布局)，股息率5.55%，目标权重6.5%,消费红利
2018-09-28,603766.SH,隆鑫通用,buy,4.935,7400,36518.48,36.52,加仓，评分81(🔥 大胆攒股)，股息率6.69%，权重5.6%→9.7%,消费红利
2018-09-28,002335.SZ,科华数据,buy,15.846,2500,39614.57,39.61,加仓，评分81(🔥 大胆攒股)，股息率6.32%，权重5.3%→9.7%,防御红利
2018-09-28,600816.SH,建元信托,buy,5.185,5400,27999.97,28.0,加仓，评分85(🔥 大胆攒股)，股息率9.65%，权重6.5%→9.7%,金融红利
2018-09-28,511880.SH,银华日利,buy,113.114,100,11311.44,11.31,闲置现金扫入,现金管理
2018-12-28,600873.SH,梅花生物,sell,4.216,7200,30353.62,60.71,减仓，评分85(🔥 大胆攒股)，权重10.8%→7.1%,消费红利
2018-12-28,002756.SZ,永兴材料,sell,11.908,2500,29770.2,59.54,清仓，评分85(🔥 大胆攒股)，低于观察阈值，当前权重3.6%,周期资源红利
2018-12-28,600170.SH,上海建工,sell,3.027,9300,28150.82,56.3,清仓，评分52(👀 观察等待)，低于观察阈值，当前权重3.4%,基础设施红利
2018-12-28,000429.SZ,粤高速Ａ,sell,8.382,5700,47775.18,95.55,减仓，评分78(✅ 积极布局)，权重11.8%→5.9%,基础设施红利
2018-12-28,600516.SH,方大炭素,sell,16.693,1300,21701.28,43.4,清仓，评分85(🔥 大胆攒股)，低于观察阈值，当前权重2.6%,周期资源红利
2018-12-28,000921.SZ,海信家电,buy,7.077,5000,35385.35,35.39,加仓，评分81(🔥 大胆攒股)，股息率6.22%，权重2.8%→7.1%,消费红利
2018-12-28,002517.SZ,恺英网络,buy,3.714,7000,25995.97,26.0,加仓，评分78(✅ 积极布局)，股息率5.93%，权重2.7%→5.9%,防御红利
2018-12-28,601567.SH,三星电气,buy,5.636,4700,26487.46,26.49,加仓，评分66(✅ 积极布局)，股息率5.33%，权重2.6%→5.9%,防御红利
2018-12-28,600642.SH,申能股份,buy,4.885,4900,23935.91,23.94,新买入，评分50(👀 观察等待)，股息率4.10%，目标权重3.0%,基础设施红利
2018-12-28,603156.SH,养元饮品,buy,41.622,1300,54108.05,54.11,新买入，评分81(🔥 大胆攒股)，股息率6.25%，目标权重7.1%,消费红利
2018-12-28,511880.SH,银华日利,sell,113.593,300,34077.87,68.16,释放现金用于调仓,现金管理
2018-12-28,600398.SH,海澜之家,buy,8.488,4500,38198.16,38.2,新买入，评分76(✅ 积极布局)，股息率5.66%，目标权重4.7%,消费红利
2019-03-29,000921.SZ,海信家电,sell,13.447,8200,110261.63,220.52,清仓，评分31(🚫 回避)，低于观察阈值，当前权重10.0%,消费红利
2019-03-29,600177.SH,雅戈尔,sell,9.101,2500,22752.22,45.5,减仓，评分52(👀 观察等待)，权重5.9%→3.8%,消费红利
2019-03-29,000951.SZ,中国重汽,sell,17.912,4600,82395.52,164.79,清仓，评分38(⏸️ 暂缓)，低于观察阈值，当前权重7.5%,消费红利
