date,ts_code,name,action,price,shares,amount,commission,reason,category
2024-12-27,511880.SH,银华日利,buy,127.732,200,25546.46,25.55,闲置现金扫入,现金管理
2025-03-28,002032.SZ,苏泊尔,sell,58.342,1400,81678.24,163.36,清仓，评分62(👀 观察等待)，低于观察阈值，当前权重3.7%,消费红利
2025-03-28,600863.SH,华能蒙电,buy,3.934,12000,47207.16,47.21,加仓，评分70(✅ 积极布局)，股息率4.71%，权重1.5%→3.6%,基础设施红利
2025-03-28,600132.SH,重庆啤酒,buy,58.879,800,47103.06,47.1,新买入，评分65(✅ 积极布局)，股息率4.76%，目标权重2.4%,消费红利
2025-06-27,600998.SH,九州通,sell,5.115,10500,53706.24,107.41,清仓，评分49(⏸️ 暂缓)，低于观察阈值，当前权重2.4%,消费红利
2025-06-27,601717.SH,中创智领,sell,16.843,2700,45476.48,90.95,减仓，评分71(✅ 积极布局)，权重5.8%→3.8%,防御红利
2025-06-27,600704.SH,物产中大,sell,5.275,14600,77010.91,154.02,清仓，评分57(👀 观察等待)，低于观察阈值，当前权重3.4%,基础设施红利
2025-06-27,000429.SZ,粤高速Ａ,sell,13.297,4200,55846.1,111.69,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重2.5%,基础设施红利
2025-06-27,002966.SZ,苏州银行,sell,8.901,7900,70318.61,140.64,减仓，评分61(👀 观察等待)，权重5.0%→1.9%,金融红利
2025-06-27,300146.SZ,汤臣倍健,sell,11.209,5100,57164.78,114.33,清仓，评分45(⏸️ 暂缓)，低于观察阈值，当前权重2.5%,消费红利
2025-06-27,603444.SH,吉比特,sell,274.226,600,164535.3,329.07,清仓，评分51(👀 观察等待)，低于观察阈值，当前权重7.2%,防御红利
2025-06-27,002271.SZ,东方雨虹,buy,10.661,9000,95945.85,95.95,加仓，评分85(🔥 大胆攒股)，股息率14.32%，权重1.4%→5.6%,防御红利
2025-06-27,600970.SH,中材国际,buy,8.649,7900,68324.26,68.32,新买入，评分72(✅ 积极布局)，股息率5.21%，目标权重3.0%,基础设施红利
2025-06-27,001286.SZ,陕西能源,buy,8.739,7800,68162.09,68.16,新买入，评分70(✅ 积极布局)，股息率4.70%，目标权重3.0%,基础设施红利
2025-06-27,603833.SH,欧派家居,buy,55.746,900,50171.12,50.17,新买入，评分71(✅ 积极布局)，股息率4.96%，目标权重2.3%,消费红利
2025-06-27,600007.SH,中国国贸,buy,20.48,3300,67585.52,67.59,新买入，评分73(✅ 积极布局)，股息率5.38%，目标权重3.0%,基础设施红利
2025-06-27,600008.SH,首创环保,buy,3.043,22500,68468.4,68.47,新买入，评分79(✅ 积极布局)，股息率5.59%，目标权重3.0%,基础设施红利
2025-06-27,002032.SZ,苏泊尔,buy,52.352,1100,57587.53,57.59,新买入，评分68(✅ 积极布局)，股息率5.37%，目标权重2.8%,消费红利
2025-06-27,603699.SH,纽威股份,buy,31.141,2700,84081.0,84.08,新买入，评分70(✅ 积极布局)，股息率4.89%，目标权重3.8%,防御红利
2025-06-27,511880.SH,银华日利,sell,128.247,300,38474.11,76.95,释放现金用于调仓,现金管理
2025-06-27,002508.SZ,老板电器,buy,18.859,3300,62234.17,62.23,新买入，评分68(✅ 积极布局)，股息率5.31%，目标权重2.8%,消费红利
2025-09-26,601598.SH,中国外运,sell,7.013,13200,92571.34,185.14,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重3.8%,基础设施红利
2025-09-26,601577.SH,长沙银行,sell,8.861,6100,54052.89,108.11,清仓，评分65(👀 观察等待)，低于观察阈值，当前权重2.2%,金融红利
2025-09-26,600737.SH,中粮糖业,sell,15.894,7200,114437.45,228.87,清仓，评分52(👀 观察等待)，低于观察阈值，当前权重4.7%,消费红利
2025-09-26,603699.SH,纽威股份,sell,43.856,2700,118411.47,236.82,清仓，评分46(⏸️ 暂缓)，低于观察阈值，当前权重4.8%,防御红利
2025-09-26,000423.SZ,东阿阿胶,buy,47.628,1200,57153.1,57.15,新买入，评分67(✅ 积极布局)，股息率5.09%，目标权重2.4%,消费红利
2025-09-26,600642.SH,申能股份,buy,7.748,9600,74378.3,74.38,加仓，评分80(🔥 大胆攒股)，股息率5.81%，权重1.4%→4.4%,基础设施红利
2025-09-26,000429.SZ,粤高速Ａ,buy,10.901,6600,71945.87,71.95,新买入，评分70(✅ 积极布局)，股息率4.80%，目标权重2.9%,基础设施红利
2025-09-26,002966.SZ,苏州银行,buy,8.288,6000,49729.68,49.73,加仓，评分65(✅ 积极布局)，股息率4.83%，权重1.6%→3.7%,金融红利
2025-09-26,600352.SH,浙江龙盛,buy,9.87,9100,89815.73,89.82,新买入，评分66(✅ 积极布局)，股息率4.56%，目标权重3.7%,防御红利
2025-09-26,511880.SH,银华日利,sell,128.587,100,12858.68,25.72,释放现金用于调仓,现金管理
2025-09-26,600566.SH,济川药业,buy,24.905,3500,87167.08,87.17,新买入，评分85(🔥 大胆攒股)，股息率8.40%，目标权重3.6%,消费红利
2025-12-26,001286.SZ,陕西能源,sell,9.91,7800,77298.62,154.6,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重3.0%,基础设施红利
2025-12-26,000429.SZ,粤高速Ａ,sell,12.178,6600,80373.55,160.75,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重3.2%,基础设施红利
2025-12-26,600352.SH,浙江龙盛,sell,10.779,9100,98090.81,196.18,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重3.8%,防御红利
2025-12-26,601098.SH,中南传媒,buy,11.131,4700,52316.26,52.32,新买入，评分71(✅ 积极布局)，股息率4.95%，目标权重2.1%,消费红利
2025-12-26,000921.SZ,海信家电,buy,25.325,2000,50650.6,50.65,新买入，评分65(✅ 积极布局)，股息率4.86%，目标权重2.1%,消费红利
2025-12-26,601598.SH,中国外运,buy,6.196,13500,83648.57,83.65,新买入，评分69(✅ 积极布局)，股息率4.68%，目标权重3.3%,基础设施红利
2025-12-26,511880.SH,银华日利,sell,128.93,100,12892.97,25.79,释放现金用于调仓,现金管理
2025-12-26,601665.SH,齐鲁银行,buy,5.596,17200,96244.15,96.24,新买入，评分65(✅ 积极布局)，股息率4.76%，目标权重3.8%,金融红利
2026-03-27,600863.SH,华能蒙电,sell,5.325,20400,108623.27,217.25,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重4.2%,基础设施红利
2026-03-27,000423.SZ,东阿阿胶,sell,55.814,1200,66976.96,133.95,清仓，评分60(👀 观察等待)，低于观察阈值，当前权重2.6%,消费红利
2026-03-27,600901.SH,江苏金租,sell,6.474,12400,80271.65,160.54,减仓，评分64(👀 观察等待)，权重5.0%→1.9%,金融红利
2026-03-27,603589.SH,口子窖,buy,24.785,2700,66918.85,66.92,新买入，评分67(✅ 积极布局)，股息率5.25%，目标权重2.6%,消费红利
2026-03-27,601000.SH,唐山港,buy,4.274,13700,58557.5,58.56,加仓，评分69(✅ 积极布局)，股息率4.68%，权重1.4%→3.7%,基础设施红利
2026-03-27,600820.SH,隧道股份,buy,6.046,9500,57437.38,57.44,加仓，评分72(✅ 积极布局)，股息率5.30%，权重1.4%→3.7%,基础设施红利
2026-03-27,511880.SH,银华日利,buy,129.527,500,64763.44,64.76,闲置现金扫入,现金管理
