ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601880.SH,20150105,4.97,5.11,4.93,5.1,4.97,0.1299999999999999,2.62,492328.6,229668.967
601880.SH,20150106,5.06,5.28,5.03,5.16,5.1,0.0600000000000005,1.18,637394.72,305393.027
601880.SH,20150107,5.15,5.15,5.05,5.1,5.16,-0.0600000000000005,-1.16,361726.25,170646.774
601880.SH,20150108,5.09,5.61,4.94,5.61,5.1,0.5100000000000007,10.0,1438792.34,723010.3
601880.SH,20150109,5.76,6.17,5.63,6.17,5.61,0.5599999999999996,9.98,3234698.35,1788539.054
601880.SH,20150112,6.34,6.34,5.82,5.98,6.17,-0.1899999999999995,-3.08,2421019.85,1362738.333
601880.SH,20150113,6.04,6.18,5.79,5.98,5.98,0.0,0.0,1490470.34,824861.578
601880.SH,20150114,5.89,5.9,5.51,5.65,5.98,-0.33000000000000007,-5.52,1278839.49,672925.909
601880.SH,20150115,5.6,5.85,5.55,5.77,5.65,0.11999999999999922,2.12,1196736.1,634491.793
601880.SH,20150116,5.72,5.82,5.62,5.82,5.77,0.05000000000000071,0.87,1038852.48,549309.773
601880.SH,20150119,5.45,5.68,5.23,5.23,5.82,-0.5899999999999999,-10.14,1077646.31,543620.524
601880.SH,20150120,5.28,5.58,5.21,5.51,5.23,0.27999999999999936,5.35,1113160.92,562597.046
601880.SH,20150121,5.49,5.66,5.43,5.65,5.51,0.14000000000000057,2.54,1041257.8,536243.947
601880.SH,20150122,5.6,6.04,5.55,5.85,5.65,0.1999999999999993,3.54,1390522.63,744799.456
601880.SH,20150123,5.77,6.16,5.75,5.99,5.85,0.14000000000000057,2.39,1736634.61,962578.869
601880.SH,20150126,5.89,6.04,5.81,5.97,5.99,-0.020000000000000462,-0.33,829518.44,458322.866
601880.SH,20150127,5.96,6.29,5.66,6.03,5.97,0.0600000000000005,1.01,1563182.3,862503.669
601880.SH,20150128,5.91,6.23,5.82,6.06,6.03,0.02999999999999936,0.5,1325038.0,745185.82
601880.SH,20150129,5.93,6.04,5.83,5.84,6.06,-0.21999999999999975,-3.63,710594.61,389921.474
601880.SH,20150130,5.87,5.92,5.61,5.62,5.84,-0.21999999999999975,-3.77,604244.37,321896.508
601880.SH,20150202,5.55,5.71,5.46,5.58,5.62,-0.040000000000000036,-0.71,376578.19,195243.082
601880.SH,20150203,5.6,5.68,5.55,5.66,5.58,0.08000000000000007,1.43,330097.54,171853.029
601880.SH,20150204,5.65,5.73,5.57,5.59,5.66,-0.07000000000000028,-1.24,406180.77,212806.922
601880.SH,20150205,5.68,5.71,5.48,5.48,5.59,-0.10999999999999943,-1.97,406153.3,209263.042
601880.SH,20150206,5.47,5.48,5.18,5.22,5.48,-0.2600000000000007,-4.74,525125.18,258201.67
601880.SH,20150209,5.2,5.37,5.06,5.35,5.22,0.1299999999999999,2.49,349624.4,168136.916
601880.SH,20150210,5.37,5.46,5.32,5.44,5.35,0.09000000000000075,1.68,302031.2,151293.771
601880.SH,20150211,5.43,5.47,5.39,5.41,5.44,-0.03000000000000025,-0.55,209077.94,104966.305
601880.SH,20150212,5.42,5.48,5.32,5.41,5.41,0.0,0.0,256907.76,128278.113
601880.SH,20150213,5.42,5.48,5.41,5.44,5.41,0.03000000000000025,0.55,313417.26,158082.928
601880.SH,20150216,5.44,5.5,5.43,5.47,5.44,0.02999999999999936,0.55,291542.44,147438.974
601880.SH,20150217,5.44,5.57,5.42,5.55,5.47,0.08000000000000007,1.46,405940.38,206769.795
601880.SH,20150225,5.55,6.02,5.54,5.86,5.55,0.3100000000000005,5.59,919209.49,493787.065
601880.SH,20150226,5.91,6.09,5.81,5.97,5.86,0.10999999999999943,1.88,1011881.74,556572.602
601880.SH,20150227,5.97,6.04,5.78,5.92,5.97,-0.04999999999999982,-0.84,807028.94,441757.837
601880.SH,20150302,5.92,5.96,5.83,5.88,5.92,-0.040000000000000036,-0.68,553682.02,301135.627
601880.SH,20150303,5.87,6.42,5.76,6.02,5.88,0.13999999999999968,2.38,1437850.42,810779.87
601880.SH,20150304,5.9,6.01,5.87,5.93,6.02,-0.08999999999999986,-1.5,577030.1,316990.225
601880.SH,20150305,5.88,5.99,5.78,5.81,5.93,-0.1200000000000001,-2.02,517707.45,281177.067
601880.SH,20150306,5.82,6.02,5.82,5.85,5.81,0.040000000000000036,0.69,476539.5,261143.011
601880.SH,20150309,5.87,5.93,5.75,5.92,5.85,0.07000000000000028,1.2,441265.61,239342.913
601880.SH,20150310,5.89,6.07,5.85,5.96,5.92,0.040000000000000036,0.68,584340.17,323102.567
601880.SH,20150311,5.93,6.05,5.85,5.87,5.96,-0.08999999999999986,-1.51,471668.88,259234.23
601880.SH,20150312,5.85,5.91,5.81,5.89,5.87,0.019999999999999574,0.34,386499.15,209857.6
601880.SH,20150313,5.89,6.01,5.86,5.93,5.89,0.040000000000000036,0.68,429860.38,236111.722
601880.SH,20150316,5.97,6.1,5.95,6.05,5.93,0.1200000000000001,2.02,813701.66,453628.239
601880.SH,20150317,6.06,6.32,6.03,6.2,6.05,0.15000000000000036,2.48,1193075.21,683297.065
601880.SH,20150318,6.2,6.83,6.15,6.83,6.2,0.6299999999999999,10.16,1887268.72,1142804.459
601880.SH,20150319,6.83,7.4,6.74,6.99,6.83,0.16000000000000014,2.34,2495775.99,1617473.048
601880.SH,20150320,7.07,7.07,6.8,6.92,6.99,-0.07000000000000028,-1.0,1171469.71,749427.937
601880.SH,20150323,6.93,7.23,6.86,7.14,6.92,0.21999999999999975,3.18,1284320.1,845818.363
601880.SH,20150324,7.15,7.78,6.86,7.61,7.14,0.47000000000000064,6.58,1714177.21,1152881.943
601880.SH,20150325,7.56,8.08,7.45,7.67,7.61,0.05999999999999961,0.79,1592770.61,1144483.489
601880.SH,20150326,7.7,7.71,7.27,7.33,7.67,-0.33999999999999986,-4.43,1241262.41,857047.513
601880.SH,20150327,7.25,7.38,7.13,7.29,7.33,-0.040000000000000036,-0.55,588352.21,394855.892
601880.SH,20150330,7.48,7.92,7.43,7.6,7.29,0.3099999999999996,4.25,1114943.77,788449.524
601880.SH,20150331,7.61,7.68,7.42,7.46,7.6,-0.13999999999999968,-1.84,899244.13,626889.656
601880.SH,20150401,7.45,7.51,7.37,7.48,7.46,0.020000000000000462,0.27,597889.17,412426.757
601880.SH,20150402,7.53,7.55,7.39,7.53,7.48,0.04999999999999982,0.67,654932.74,453666.372
601880.SH,20150403,7.5,7.86,7.42,7.73,7.53,0.20000000000000018,2.66,1220463.53,867660.767
601880.SH,20150407,7.66,7.78,7.64,7.75,7.73,0.019999999999999574,0.26,936835.71,670216.594
601880.SH,20150408,7.76,7.78,7.39,7.52,7.75,-0.23000000000000043,-2.97,889614.06,624760.915
601880.SH,20150409,7.49,7.5,7.14,7.3,7.52,-0.21999999999999975,-2.93,733742.74,496653.46
601880.SH,20150410,7.34,7.64,7.33,7.54,7.3,0.2400000000000002,3.29,720919.81,503855.716
601880.SH,20150413,7.67,7.83,7.64,7.76,7.54,0.21999999999999975,2.92,1040378.28,747379.858
601880.SH,20150414,7.77,8.49,7.66,7.98,7.76,0.22000000000000064,2.84,1940477.46,1459293.936
601880.SH,20150415,7.98,7.98,7.67,7.73,7.98,-0.25,-3.13,934428.93,676622.516
601880.SH,20150416,7.61,7.86,7.34,7.8,7.73,0.0699999999999994,0.91,812157.88,579789.329
601880.SH,20150417,7.8,8.58,7.75,8.57,7.8,0.7700000000000005,9.87,2600900.63,2007682.855
601880.SH,20150420,8.58,9.17,8.23,8.77,8.57,0.1999999999999993,2.33,2378764.76,1930679.919
601880.SH,20150421,8.77,8.96,8.47,8.8,8.77,0.030000000000001137,0.34,1105581.57,886805.991
601880.SH,20150422,8.83,9.12,8.66,8.87,8.8,0.06999999999999851,0.8,1469483.99,1207612.902
601880.SH,20150423,8.9,9.17,8.8,9.05,8.87,0.1800000000000015,2.03,1267020.78,1055999.972
601880.SH,20150424,8.91,9.16,8.79,8.86,9.05,-0.19000000000000128,-2.1,1157133.78,959538.243
601880.SH,20150427,8.86,9.06,8.69,8.82,8.86,-0.03999999999999915,-0.45,1144130.76,937260.101
601880.SH,20150428,8.82,8.83,8.37,8.45,8.82,-0.370000000000001,-4.2,914124.61,725230.359
601880.SH,20150429,8.45,9.01,8.27,8.83,8.45,0.3800000000000008,4.5,892821.75,718291.462
601880.SH,20150430,8.83,8.83,8.56,8.6,8.83,-0.23000000000000043,-2.6,589860.1,474863.482
601880.SH,20150504,8.61,8.85,8.61,8.84,8.6,0.2400000000000002,2.79,707139.35,574151.263
601880.SH,20150505,8.84,8.9,8.14,8.21,8.84,-0.629999999999999,-7.13,812856.1,643759.208
601880.SH,20150506,8.23,8.47,7.45,7.87,8.21,-0.34000000000000075,-4.14,817687.09,616414.832
601880.SH,20150507,7.77,7.77,7.19,7.23,7.87,-0.6399999999999997,-8.13,648873.18,447610.974
601880.SH,20150508,7.28,7.54,7.23,7.5,7.23,0.2699999999999996,3.73,552707.92,379394.527
601880.SH,20150511,7.77,8.2,7.7,8.17,7.5,0.6699999999999999,8.93,789711.28,581643.352
601880.SH,20150512,8.2,8.37,7.97,8.24,8.17,0.07000000000000028,0.86,821812.9,624040.909
601880.SH,20150513,8.3,8.85,8.1,8.55,8.24,0.3100000000000005,3.76,1175651.64,924036.252
601880.SH,20150514,8.47,8.47,8.21,8.29,8.55,-0.26000000000000156,-3.04,632953.25,487803.482
601880.SH,20150515,8.29,8.29,7.77,7.88,8.29,-0.40999999999999925,-4.95,603295.41,444255.044
601880.SH,20150518,7.78,8.04,7.64,7.79,7.88,-0.08999999999999986,-1.14,476359.46,347063.501
601880.SH,20150519,7.82,8.06,7.82,8.04,7.79,0.2499999999999991,3.21,475214.83,349521.74
601880.SH,20150520,8.07,8.28,7.94,8.01,8.04,-0.02999999999999936,-0.37,724001.23,543157.877
601880.SH,20150521,8.02,8.51,8.01,8.46,8.01,0.45000000000000107,5.62,1062247.8,820867.623
601880.SH,20150522,8.48,8.79,8.25,8.66,8.46,0.1999999999999993,2.36,1273838.02,999926.149
601880.SH,20150525,8.56,9.53,8.52,9.53,8.66,0.8699999999999992,10.05,1871492.26,1593286.012
601880.SH,20150526,9.87,9.98,9.17,9.72,9.53,0.19000000000000128,1.99,2582024.29,2297527.809
601880.SH,20150527,9.98,10.57,9.97,10.21,9.72,0.4900000000000002,5.04,2269993.3,2155274.951
601880.SH,20150528,10.33,10.4,9.18,9.18,10.21,-1.0300000000000011,-10.09,1800122.8,1634332.09
601880.SH,20150529,9.07,9.56,8.31,9.5,9.18,0.3200000000000003,3.49,1481449.97,1252386.226
601880.SH,20150601,9.93,10.44,9.55,10.44,9.5,0.9399999999999995,9.89,1623856.52,1494608.298
601880.SH,20150602,10.79,11.48,10.69,10.96,10.44,0.5200000000000014,4.98,2694803.76,2759615.218
601880.SH,20150603,10.83,10.9,10.26,10.52,10.96,-0.4400000000000013,-4.01,1520384.65,1481479.93
601880.SH,20150604,10.47,10.47,9.5,10.25,10.52,-0.2699999999999996,-2.57,1031206.02,961256.535
601880.SH,20150605,10.27,10.74,10.27,10.49,10.25,0.2400000000000002,2.34,1198347.42,1164593.215
601880.SH,20150608,10.47,10.62,10.06,10.48,10.49,-0.009999999999999787,-0.1,1317909.88,1265355.21
601880.SH,20150609,10.46,10.46,10.1,10.17,10.48,-0.3100000000000005,-2.96,747148.85,709869.971
601880.SH,20150610,10.09,10.29,9.87,10.13,10.17,-0.03999999999999915,-0.39,660163.16,618603.822
601880.SH,20150611,10.09,10.17,9.94,10.13,10.13,0.0,0.0,629623.74,587024.25
601880.SH,20150612,10.15,10.67,10.13,10.36,10.13,0.22999999999999865,2.27,1293389.36,1249462.058
601880.SH,20150615,10.26,10.56,10.09,10.32,10.36,-0.03999999999999915,-0.39,1051796.02,1009926.867
601880.SH,20150616,10.12,10.22,9.48,9.71,10.32,-0.6099999999999994,-5.91,729297.39,670414.194
601880.SH,20150617,9.6,9.93,9.17,9.89,9.71,0.17999999999999972,1.85,696895.78,619545.078
601880.SH,20150618,9.84,10.24,9.72,9.82,9.89,-0.07000000000000028,-0.71,743409.52,689538.392
601880.SH,20150619,9.44,9.71,8.84,8.85,9.82,-0.9700000000000006,-9.88,583200.61,501040.573
601880.SH,20150623,8.85,9.07,7.96,8.84,8.85,-0.009999999999999787,-0.11,577616.76,459598.439
601880.SH,20150624,8.9,9.13,8.84,9.12,8.84,0.27999999999999936,3.17,563688.88,471409.479
601880.SH,20150625,9.12,9.35,8.71,8.83,9.12,-0.28999999999999915,-3.18,652200.42,550176.628
601880.SH,20150626,8.59,8.59,7.94,7.94,8.83,-0.8899999999999997,-10.08,615692.34,467204.267
601880.SH,20150629,8.15,8.31,7.14,7.25,7.94,-0.6900000000000004,-8.69,785565.77,548983.225
601880.SH,20150630,7.27,7.77,6.54,7.77,7.25,0.5199999999999996,7.17,779418.22,521791.61
601880.SH,20150701,7.66,7.96,7.2,7.21,7.77,-0.5599999999999996,-7.21,620046.0,441176.029
601880.SH,20150702,7.23,7.43,6.48,6.5,7.21,-0.71,-9.85,619235.02,393757.541
601880.SH,20150703,6.36,6.58,5.85,5.85,6.5,-0.6500000000000004,-10.0,719539.8,402813.059
601880.SH,20150706,6.43,6.43,5.37,5.95,5.85,0.10000000000000053,1.71,927865.29,505560.756
601880.SH,20150707,5.69,5.89,5.35,5.36,5.95,-0.5899999999999999,-9.92,715631.7,364102.253
601880.SH,20150708,4.82,5.54,4.82,5.34,5.36,-0.020000000000000462,-0.37,1739761.77,853119.475
601880.SH,20150709,5.35,5.88,5.35,5.88,5.34,0.54,10.11,733400.73,387292.207
601880.SH,20150710,6.15,6.47,6.07,6.47,5.88,0.5899999999999999,10.03,475238.76,280863.545
601880.SH,20150713,6.85,7.12,6.56,7.12,6.47,0.6500000000000004,10.05,1037263.61,667484.209
601880.SH,20150714,7.12,7.54,6.8,6.94,7.12,-0.17999999999999972,-2.53,1120305.18,743710.485
601880.SH,20150715,6.89,6.89,6.25,6.25,6.94,-0.6900000000000004,-9.94,683865.77,408634.687
601880.SH,20150716,6.25,6.59,5.89,6.44,6.25,0.1900000000000004,3.04,540614.81,318358.918
