ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600380.SH,20150105,72.71,73.64,70.85,73.64,66.94,6.700000000000003,10.01,729045.84,574757.941
600380.SH,20150106,72.52,73.27,70.1,72.43,73.64,-1.2099999999999937,-1.64,515554.45,397664.936
600380.SH,20150107,71.59,72.99,71.13,71.87,72.43,-0.5600000000000023,-0.77,216635.69,167293.479
600380.SH,20150108,72.52,76.16,71.87,73.46,71.87,1.5899999999999892,2.21,374189.02,298045.662
600380.SH,20150109,72.62,74.95,71.78,71.78,73.46,-1.6799999999999926,-2.29,240530.82,189199.199
600380.SH,20150112,71.31,71.5,67.96,68.99,71.78,-2.7900000000000063,-3.89,203950.15,151331.223
600380.SH,20150113,68.99,70.01,68.43,69.73,68.99,0.7400000000000091,1.07,109658.05,81596.918
600380.SH,20150114,69.73,69.92,68.24,68.8,69.73,-0.9300000000000068,-1.33,100284.58,74437.607
600380.SH,20150115,68.8,69.55,68.06,69.55,68.8,0.75,1.09,98901.54,73124.327
600380.SH,20150116,69.17,71.41,68.89,71.31,69.55,1.7600000000000051,2.53,172313.1,129375.635
600380.SH,20150119,68.71,70.66,66.66,67.22,71.31,-4.090000000000003,-5.74,194402.46,143349.629
600380.SH,20150120,67.4,69.27,67.4,69.17,67.22,1.9500000000000028,2.9,119428.83,87950.15
600380.SH,20150121,69.64,71.13,69.27,70.94,69.17,1.769999999999996,2.56,161856.31,122290.569
600380.SH,20150122,71.69,73.46,71.41,72.06,70.94,1.1200000000000045,1.58,202264.8,157133.678
600380.SH,20150123,72.15,72.8,71.04,71.59,72.06,-0.46999999999999886,-0.65,159625.56,123039.351
600380.SH,20150126,71.69,73.83,71.22,73.27,71.59,1.6799999999999926,2.35,184854.44,144426.488
600380.SH,20150127,73.55,74.29,71.78,72.99,73.27,-0.28000000000000114,-0.38,212814.24,167087.059
600380.SH,20150128,71.87,73.36,71.31,71.87,72.99,-1.1199999999999903,-1.53,158849.96,123396.01
600380.SH,20150129,71.31,71.97,70.66,71.04,71.87,-0.8299999999999983,-1.15,104357.58,79849.321
600380.SH,20150130,71.04,71.69,69.36,69.83,71.04,-1.210000000000008,-1.7,122740.89,92605.576
600380.SH,20150202,69.08,70.38,68.8,69.64,69.83,-0.18999999999999773,-0.27,89883.87,67294.271
600380.SH,20150203,69.64,72.06,69.64,71.87,69.64,2.230000000000004,3.2,118415.25,90084.575
600380.SH,20150204,72.43,72.52,70.38,70.85,71.87,-1.0200000000000102,-1.42,132760.83,101583.467
600380.SH,20150205,71.41,71.97,69.64,69.73,70.85,-1.1199999999999903,-1.58,100656.05,76264.789
600380.SH,20150206,69.36,70.1,67.59,68.15,69.73,-1.5799999999999983,-2.27,120071.15,88499.83
600380.SH,20150209,68.06,69.08,67.68,68.43,68.15,0.28000000000000114,0.41,50425.67,37023.713
600380.SH,20150210,68.43,68.99,67.87,68.89,68.43,0.45999999999999375,0.67,69595.37,51080.406
600380.SH,20150211,69.17,70.38,68.52,70.01,68.89,1.1200000000000045,1.63,102740.03,76590.301
600380.SH,20150212,70.29,70.57,69.36,70.01,70.01,0.0,0.0,77708.61,58438.776
600380.SH,20150213,71.59,76.99,71.5,76.99,70.01,6.97999999999999,9.97,495598.69,405113.087
600380.SH,20150216,79.04,83.42,77.27,81.18,76.99,4.190000000000012,5.44,998833.86,852106.471
600380.SH,20150217,79.69,80.62,78.39,78.86,81.18,-2.3200000000000074,-2.86,480596.95,409048.507
600380.SH,20150225,78.86,81.93,78.76,80.44,78.86,1.5799999999999983,2.0,487877.34,421290.362
600380.SH,20150226,79.88,82.49,79.14,80.44,80.44,0.0,0.0,332316.26,288590.673
600380.SH,20150227,80.35,82.21,79.14,81.83,80.44,1.3900000000000006,1.73,358400.21,310236.722
600380.SH,20150302,81.93,83.42,80.62,82.58,81.83,0.75,0.92,440049.76,388549.333
600380.SH,20150310,82.77,82.77,78.3,80.44,82.58,-2.1400000000000006,-2.59,453378.5,390451.082
600380.SH,20150311,80.53,80.72,77.92,78.48,80.44,-1.9599999999999937,-2.44,301164.75,255519.079
600380.SH,20150312,78.3,79.88,77.46,78.67,78.48,0.18999999999999773,0.24,227040.09,191596.469
600380.SH,20150313,78.3,79.51,78.2,78.95,78.67,0.28000000000000114,0.36,162047.23,136953.455
600380.SH,20150316,79.14,82.95,79.04,82.58,78.95,3.6299999999999955,4.6,493104.59,432073.433
600380.SH,20150317,83.32,90.87,82.49,88.54,82.58,5.960000000000008,7.22,638453.25,601836.311
600380.SH,20150318,88.91,89.84,87.23,89.1,88.54,0.5599999999999881,0.63,352106.47,334755.716
600380.SH,20150319,89.1,92.73,87.51,89.56,89.1,0.46000000000000796,0.52,392935.93,380678.606
600380.SH,20150320,89.66,92.08,88.63,89.75,89.56,0.18999999999999773,0.21,312949.49,303017.147
600380.SH,20150323,89.38,92.73,89.0,92.17,89.75,2.4200000000000017,2.7,352399.76,345991.468
600380.SH,20150324,92.26,92.54,86.02,90.31,92.17,-1.8599999999999994,-2.02,390340.11,376872.208
600380.SH,20150325,90.68,99.34,90.59,99.34,90.31,9.030000000000001,10.0,666561.12,703378.431
600380.SH,20150326,101.29,109.3,97.85,106.97,99.34,7.6299999999999955,7.68,825230.57,925517.798
600380.SH,20150327,106.51,117.68,103.43,117.68,106.97,10.710000000000008,10.01,328788.88,403176.445
600380.SH,20150330,129.41,129.41,129.41,129.41,117.68,11.72999999999999,9.97,101320.91,140836.065
600380.SH,20150331,136.86,136.86,121.96,131.27,129.41,1.8600000000000136,1.44,1325095.36,1834994.62
600380.SH,20150401,131.92,144.4,130.15,144.4,131.27,13.129999999999995,10.0,540996.23,813906.947
600380.SH,20150407,158.83,158.83,158.83,158.83,144.4,14.430000000000007,9.99,21954.28,37454.002
600380.SH,20150408,174.75,174.75,174.75,174.75,158.83,15.919999999999987,10.02,10640.93,19973.026
600380.SH,20150409,192.25,192.25,176.98,192.25,174.75,17.5,10.01,1347962.65,2731653.377
600380.SH,20150410,195.98,204.82,189.27,197.19,192.25,4.939999999999998,2.57,1055688.23,2233543.811
600380.SH,20150413,204.82,216.92,204.82,216.92,197.19,19.72999999999999,10.01,642225.42,1479665.018
600380.SH,20150414,224.46,238.62,222.79,238.62,216.92,21.700000000000017,10.0,507036.3,1281285.516
600380.SH,20150415,241.04,260.49,226.79,241.59,238.62,2.969999999999999,1.24,1215957.58,3207777.084
600380.SH,20150416,238.34,240.94,217.48,223.72,241.59,-17.870000000000005,-7.4,933004.32,2307763.124
600380.SH,20150417,232.66,244.67,226.51,227.72,223.72,4.0,1.79,975738.5,2444888.001
600380.SH,20150420,217.2,220.65,204.91,204.91,227.72,-22.810000000000002,-10.02,1114791.45,2520037.651
600380.SH,20150421,200.54,215.06,196.91,208.17,204.91,3.259999999999991,1.59,883729.28,1957220.517
600380.SH,20150422,207.61,217.39,203.7,212.27,208.17,4.100000000000023,1.97,878330.35,1986288.005
600380.SH,20150423,208.54,210.87,202.77,205.56,212.27,-6.710000000000008,-3.16,757269.97,1679857.879
600380.SH,20150424,202.12,210.69,200.26,206.96,205.56,1.4000000000000057,0.68,911494.57,2019985.502
600380.SH,20150427,207.15,211.43,203.24,206.31,206.96,-0.6500000000000057,-0.31,819575.94,1822878.197
600380.SH,20150428,206.59,207.15,191.79,193.93,206.31,-12.379999999999995,-6.0,797199.8,1708509.668
600380.SH,20150429,191.79,200.54,189.55,197.28,193.93,3.3499999999999943,1.73,649036.41,1361997.675
600380.SH,20150430,197.28,209.29,196.53,203.14,197.28,5.859999999999985,2.97,930862.18,2038055.509
600380.SH,20150504,198.3,201.84,187.69,190.48,203.14,-12.659999999999997,-6.23,783788.26,1623621.313
600380.SH,20150505,189.09,192.53,181.45,184.34,190.48,-6.139999999999986,-3.22,489924.68,989551.1
600380.SH,20150506,186.01,192.34,183.22,186.67,184.34,2.329999999999984,1.26,534176.05,1081479.167
600380.SH,20150507,184.43,199.51,182.85,188.9,186.67,2.230000000000018,1.19,562898.62,1157792.332
600380.SH,20150508,191.13,195.14,188.43,192.25,188.9,3.3499999999999943,1.77,528021.78,1086538.999
600380.SH,20150511,194.02,211.52,189.27,211.52,192.25,19.27000000000001,10.02,863141.42,1855351.346
600380.SH,20150512,219.34,219.34,206.96,213.2,211.52,1.6799999999999784,0.79,1334148.34,3050529.752
600380.SH,20150513,211.15,211.15,202.49,205.1,213.2,-8.099999999999994,-3.8,777667.76,1720839.056
600380.SH,20150514,204.82,216.92,201.56,212.64,205.1,7.539999999999992,3.68,922976.87,2079750.773
600380.SH,20150515,209.48,211.8,202.96,204.82,212.64,-7.819999999999993,-3.68,624892.1,1389045.319
600380.SH,20150518,208.54,215.71,205.29,208.08,204.82,3.2600000000000193,1.59,853345.51,1926970.05
600380.SH,20150519,205.75,214.13,205.75,209.94,208.08,1.8599999999999852,0.89,721440.65,1634027.701
600380.SH,20150520,211.06,230.98,211.06,230.98,209.94,21.039999999999992,10.02,740874.07,1775372.612
600380.SH,20150521,240.2,254.07,238.89,254.07,230.98,23.090000000000003,10.0,918669.1,2453155.009
600380.SH,20150522,271.95,279.49,242.25,245.97,254.07,-8.099999999999994,-3.19,1682565.51,4731897.692
600380.SH,20150525,221.39,239.73,221.39,229.21,245.97,-16.75999999999999,-6.81,2040185.54,4954019.26
600380.SH,20150526,224.18,229.21,222.04,227.91,229.21,-1.3000000000000114,-0.57,1388190.62,3367862.756
600380.SH,20150527,227.91,232.66,222.42,224.0,227.91,-3.9099999999999966,-1.72,1072427.2,2601896.486
600380.SH,20150528,209.75,216.83,201.56,201.56,224.0,-22.439999999999998,-10.02,1290763.94,2905621.29
600380.SH,20150529,195.51,200.07,184.15,194.95,201.56,-6.610000000000014,-3.28,891236.08,1847534.91
600380.SH,20150601,198.3,211.62,191.88,209.66,194.95,14.710000000000008,7.55,846393.4,1838938.877
600380.SH,20150602,207.8,215.71,205.01,215.34,209.66,5.680000000000007,2.71,847646.81,1911632.63
600380.SH,20150603,215.71,217.39,205.01,209.1,215.34,-6.240000000000009,-2.9,642104.28,1455667.479
600380.SH,20150604,209.48,210.87,190.39,209.01,209.1,-0.09000000000000341,-0.04,637311.28,1399856.498
600380.SH,20150605,214.13,222.32,209.48,218.13,209.01,9.120000000000005,4.36,936907.14,2183769.788
600380.SH,20150608,218.6,232.75,215.06,224.84,218.13,6.710000000000008,3.08,1043108.77,2529010.258
600380.SH,20150609,219.72,225.12,216.27,217.95,224.84,-6.890000000000015,-3.06,647488.87,1531380.238
600380.SH,20150610,218.32,221.3,214.22,218.69,217.95,0.7400000000000091,0.34,610255.86,1427478.61
600380.SH,20150611,215.99,218.79,212.92,215.9,218.69,-2.789999999999992,-1.28,473057.66,1093825.975
600380.SH,20150612,213.94,217.85,212.08,212.83,215.9,-3.069999999999993,-1.42,511186.24,1173570.762
600380.SH,20150615,213.39,214.87,200.44,201.28,212.83,-11.550000000000011,-5.43,636309.38,1411795.921
600380.SH,20150616,195.51,200.17,192.81,197.84,201.28,-3.4399999999999977,-1.71,394142.9,829466.887
600380.SH,20150617,195.51,203.61,193.0,202.68,197.84,4.840000000000003,2.45,341553.46,728935.097
600380.SH,20150618,198.58,202.96,187.22,189.55,202.68,-13.129999999999995,-6.48,328094.15,691999.479
600380.SH,20150619,186.01,186.11,170.56,170.56,189.55,-18.99000000000001,-10.02,515196.46,965518.421
600380.SH,20150623,163.02,169.26,153.52,165.07,170.56,-5.490000000000009,-3.22,470592.98,811855.878
600380.SH,20150624,166.46,168.88,161.62,166.74,165.07,1.670000000000016,1.01,365535.5,651431.348
600380.SH,20150625,167.58,171.77,158.55,162.65,166.74,-4.090000000000003,-2.45,470647.33,847864.742
600380.SH,20150626,155.48,162.83,146.35,147.47,162.65,-15.180000000000007,-9.33,441704.66,720174.234
600380.SH,20150629,149.89,151.75,132.76,132.76,147.47,-14.710000000000008,-9.97,511726.67,756445.4
600380.SH,20150630,128.48,141.42,119.45,141.14,132.76,8.379999999999995,6.31,762152.02,1056329.476
600380.SH,20150701,137.32,142.16,126.99,126.99,141.14,-14.149999999999991,-10.03,505252.64,741389.134
600380.SH,20150702,125.31,130.25,114.33,116.28,126.99,-10.709999999999994,-8.43,604996.76,771785.297
600380.SH,20150703,110.23,120.56,104.64,104.64,116.28,-11.64,-10.01,608580.79,717869.287
600380.SH,20150706,115.07,115.07,94.22,99.34,104.64,-5.299999999999997,-5.06,885790.03,966395.865
600380.SH,20150707,94.31,98.97,89.38,89.38,99.34,-9.960000000000008,-10.03,598995.06,588455.008
600380.SH,20150710,98.31,98.31,98.31,98.31,89.38,8.930000000000007,9.99,90617.71,95692.302
600380.SH,20150713,108.18,108.18,108.18,108.18,98.31,9.870000000000005,10.04,17374.12,20188.727
600380.SH,20150714,118.98,118.98,118.98,118.98,108.18,10.799999999999997,9.98,43421.37,55492.511
600380.SH,20150715,130.9,130.9,111.72,111.81,118.98,-7.170000000000002,-6.03,1437313.66,1857367.81
600380.SH,20150716,107.07,121.03,103.34,117.59,111.81,5.780000000000001,5.17,849411.61,1041717.996
600380.SH,20150717,118.33,129.32,116.38,129.32,117.59,11.72999999999999,9.98,933723.72,1249329.712
600380.SH,20150720,128.01,135.0,123.64,129.69,129.32,0.37000000000000455,0.29,1107256.51,1542718.095
600380.SH,20150721,124.29,133.13,124.29,130.06,129.69,0.37000000000000455,0.29,768373.77,1064076.732
600380.SH,20150722,130.06,143.09,126.71,143.09,130.06,13.030000000000001,10.02,921988.11,1330975.162
600380.SH,20150723,143.09,146.35,138.07,143.93,143.09,0.8400000000000034,0.59,1016870.73,1552990.251
600380.SH,20150724,143.84,147.0,137.88,139.18,143.93,-4.75,-3.3,789579.72,1216713.891
600380.SH,20150727,133.6,138.63,125.31,125.31,139.18,-13.870000000000005,-9.97,644337.9,917381.687
600380.SH,20150728,114.61,122.99,112.74,114.23,125.31,-11.079999999999998,-8.84,809094.13,1005517.243
600380.SH,20150729,116.47,125.69,111.91,125.69,114.23,11.459999999999994,10.03,648531.61,826576.75
600380.SH,20150730,125.96,130.15,119.73,122.61,125.69,-3.0799999999999983,-2.45,701074.55,949274.138
600380.SH,20150731,120.56,124.29,116.38,120.01,122.61,-2.5999999999999943,-2.12,434807.35,561302.132
600380.SH,20150803,118.24,118.7,108.93,111.07,120.01,-8.940000000000012,-7.45,413045.96,502401.071
