index_code,con_code,trade_date,weight
000300.SH,601881.SH,20250630,0.179
000300.SH,601186.SH,20250630,0.177
000300.SH,600183.SH,20250630,0.176
000300.SH,002252.SZ,20250630,0.175
000300.SH,688036.SH,20250630,0.174
000300.SH,000157.SZ,20250630,0.172
000300.SH,601360.SH,20250630,0.171
000300.SH,000963.SZ,20250630,0.17
000300.SH,600989.SH,20250630,0.17
000300.SH,600886.SH,20250630,0.17
000300.SH,002074.SZ,20250630,0.169
000300.SH,601788.SH,20250630,0.169
000300.SH,601058.SH,20250630,0.166
000300.SH,600115.SH,20250630,0.165
000300.SH,300442.SZ,20250630,0.164
000300.SH,000408.SZ,20250630,0.161
000300.SH,000807.SZ,20250630,0.16
000300.SH,002466.SZ,20250630,0.159
000300.SH,002736.SZ,20250630,0.159
000300.SH,600066.SH,20250630,0.158
000300.SH,002001.SZ,20250630,0.157
000300.SH,688169.SH,20250630,0.156
000300.SH,601901.SH,20250630,0.156
000300.SH,000661.SZ,20250630,0.155
000300.SH,600426.SH,20250630,0.155
000300.SH,600029.SH,20250630,0.153
000300.SH,001979.SZ,20250630,0.153
000300.SH,600196.SH,20250630,0.153
000300.SH,601800.SH,20250630,0.152
000300.SH,002236.SZ,20250630,0.151
000300.SH,300661.SZ,20250630,0.151
000300.SH,000975.SZ,20250630,0.151
000300.SH,600011.SH,20250630,0.151
000300.SH,301236.SZ,20250630,0.15
000300.SH,601066.SH,20250630,0.15
000300.SH,600674.SH,20250630,0.15
000300.SH,688126.SH,20250630,0.148
000300.SH,600346.SH,20250630,0.144
000300.SH,601878.SH,20250630,0.144
000300.SH,300418.SZ,20250630,0.142
000300.SH,601111.SH,20250630,0.142
000300.SH,002648.SZ,20250630,0.14
000300.SH,600372.SH,20250630,0.14
000300.SH,603369.SH,20250630,0.14
000300.SH,600460.SH,20250630,0.139
000300.SH,601868.SH,20250630,0.139
000300.SH,002916.SZ,20250630,0.138
000300.SH,003816.SZ,20250630,0.137
000300.SH,002920.SZ,20250630,0.136
000300.SH,601117.SH,20250630,0.135
000300.SH,601319.SH,20250630,0.134
000300.SH,600741.SH,20250630,0.134
000300.SH,300347.SZ,20250630,0.132
000300.SH,600588.SH,20250630,0.132
000300.SH,600176.SH,20250630,0.131
000300.SH,601021.SH,20250630,0.131
000300.SH,002601.SZ,20250630,0.13
000300.SH,000786.SZ,20250630,0.129
000300.SH,301269.SZ,20250630,0.129
000300.SH,601633.SH,20250630,0.129
000300.SH,600219.SH,20250630,0.128
000300.SH,300782.SZ,20250630,0.128
000300.SH,300896.SZ,20250630,0.127
000300.SH,600482.SH,20250630,0.125
000300.SH,600039.SH,20250630,0.124
000300.SH,302132.SZ,20250630,0.124
000300.SH,000630.SZ,20250630,0.123
000300.SH,000895.SZ,20250630,0.122
000300.SH,002493.SZ,20250630,0.121
000300.SH,688396.SH,20250630,0.12
000300.SH,002129.SZ,20250630,0.119
000300.SH,600085.SH,20250630,0.119
000300.SH,600600.SH,20250630,0.118
000300.SH,001965.SZ,20250630,0.118
000300.SH,603296.SH,20250630,0.118
000300.SH,600362.SH,20250630,0.117
000300.SH,002709.SZ,20250630,0.117
000300.SH,601877.SH,20250630,0.117
000300.SH,002600.SZ,20250630,0.116
000300.SH,688506.SH,20250630,0.114
000300.SH,300122.SZ,20250630,0.113
000300.SH,603392.SH,20250630,0.111
000300.SH,002180.SZ,20250630,0.11
000300.SH,600161.SH,20250630,0.109
000300.SH,002938.SZ,20250630,0.107
000300.SH,300832.SZ,20250630,0.107
000300.SH,600233.SH,20250630,0.107
000300.SH,000301.SZ,20250630,0.106
000300.SH,600188.SH,20250630,0.104
000300.SH,300759.SZ,20250630,0.104
000300.SH,000596.SZ,20250630,0.104
000300.SH,688047.SH,20250630,0.103
000300.SH,000876.SZ,20250630,0.102
000300.SH,600023.SH,20250630,0.102
000300.SH,601618.SH,20250630,0.102
000300.SH,688223.SH,20250630,0.1
000300.SH,000999.SZ,20250630,0.1
000300.SH,600845.SH,20250630,0.098
000300.SH,600875.SH,20250630,0.098
000300.SH,600515.SH,20250630,0.097
000300.SH,601872.SH,20250630,0.097
000300.SH,600027.SH,20250630,0.096
000300.SH,601898.SH,20250630,0.096
000300.SH,002459.SZ,20250630,0.095
000300.SH,600061.SH,20250630,0.092
000300.SH,605117.SH,20250630,0.091
000300.SH,688599.SH,20250630,0.091
000300.SH,000617.SZ,20250630,0.089
000300.SH,600332.SH,20250630,0.089
000300.SH,000983.SZ,20250630,0.087
000300.SH,601799.SH,20250630,0.086
000300.SH,600918.SH,20250630,0.086
000300.SH,300999.SZ,20250630,0.085
000300.SH,300316.SZ,20250630,0.085
000300.SH,300628.SZ,20250630,0.084
000300.SH,600803.SH,20250630,0.084
000300.SH,601698.SH,20250630,0.083
000300.SH,600025.SH,20250630,0.082
000300.SH,603260.SH,20250630,0.081
000300.SH,601059.SH,20250630,0.08
000300.SH,601238.SH,20250630,0.08
