index_code,con_code,trade_date,weight
932366.CSI,600941.SH,20250228,10.456
932366.CSI,600938.SH,20250228,9.957
932366.CSI,601857.SH,20250228,9.783
932366.CSI,300750.SZ,20250228,7.605
932366.CSI,000333.SZ,20250228,6.402
932366.CSI,600900.SH,20250228,6.122
932366.CSI,601088.SH,20250228,5.364
932366.CSI,000858.SZ,20250228,4.111
932366.CSI,601919.SH,20250228,3.086
932366.CSI,601225.SH,20250228,2.307
932366.CSI,601600.SH,20250228,1.928
932366.CSI,601633.SH,20250228,1.782
932366.CSI,002352.SZ,20250228,1.711
932366.CSI,002714.SZ,20250228,1.692
932366.CSI,601816.SH,20250228,1.634
932366.CSI,000725.SZ,20250228,1.545
932366.CSI,000063.SZ,20250228,1.503
932366.CSI,000338.SZ,20250228,1.485
932366.CSI,600887.SH,20250228,1.461
932366.CSI,601898.SH,20250228,1.408
932366.CSI,600690.SH,20250228,1.372
932366.CSI,603993.SH,20250228,1.197
932366.CSI,600031.SH,20250228,1.027
932366.CSI,600482.SH,20250228,0.943
932366.CSI,002311.SZ,20250228,0.88
932366.CSI,600406.SH,20250228,0.87
932366.CSI,000708.SZ,20250228,0.808
932366.CSI,601877.SH,20250228,0.775
932366.CSI,603259.SH,20250228,0.712
932366.CSI,000807.SZ,20250228,0.706
932366.CSI,600018.SH,20250228,0.689
932366.CSI,600585.SH,20250228,0.676
932366.CSI,300433.SZ,20250228,0.672
932366.CSI,000792.SZ,20250228,0.66
932366.CSI,000895.SZ,20250228,0.652
932366.CSI,002027.SZ,20250228,0.596
932366.CSI,600023.SH,20250228,0.564
932366.CSI,600803.SH,20250228,0.554
932366.CSI,688009.SH,20250228,0.468
932366.CSI,002001.SZ,20250228,0.463
932366.CSI,601888.SH,20250228,0.461
932366.CSI,000786.SZ,20250228,0.429
932366.CSI,000983.SZ,20250228,0.418
932366.CSI,600489.SH,20250228,0.385
932366.CSI,600066.SH,20250228,0.378
932366.CSI,600219.SH,20250228,0.319
932366.CSI,000999.SZ,20250228,0.319
932366.CSI,300628.SZ,20250228,0.243
932366.CSI,000975.SZ,20250228,0.233
932366.CSI,000661.SZ,20250228,0.191
