index_code,con_code,trade_date,weight
000300.SH,601360.SH,20241231,0.176
000300.SH,300442.SZ,20241231,0.174
000300.SH,000157.SZ,20241231,0.174
000300.SH,601788.SH,20241231,0.172
000300.SH,600489.SH,20241231,0.17
000300.SH,600029.SH,20241231,0.17
000300.SH,600066.SH,20241231,0.17
000300.SH,002466.SZ,20241231,0.166
000300.SH,600115.SH,20241231,0.166
000300.SH,002001.SZ,20241231,0.165
000300.SH,603369.SH,20241231,0.165
000300.SH,600745.SH,20241231,0.164
000300.SH,002252.SZ,20241231,0.163
000300.SH,300782.SZ,20241231,0.163
000300.SH,600674.SH,20241231,0.163
000300.SH,601878.SH,20241231,0.163
000300.SH,601066.SH,20241231,0.162
000300.SH,300418.SZ,20241231,0.161
000300.SH,601881.SH,20241231,0.161
000300.SH,601689.SH,20241231,0.16
000300.SH,601633.SH,20241231,0.159
000300.SH,003816.SZ,20241231,0.158
000300.SH,600160.SH,20241231,0.158
000300.SH,600346.SH,20241231,0.157
000300.SH,002736.SZ,20241231,0.157
000300.SH,688169.SH,20241231,0.157
000300.SH,600426.SH,20241231,0.156
000300.SH,000661.SZ,20241231,0.155
000300.SH,002648.SZ,20241231,0.154
000300.SH,600196.SH,20241231,0.153
000300.SH,002236.SZ,20241231,0.153
000300.SH,300122.SZ,20241231,0.153
000300.SH,688126.SH,20241231,0.15
000300.SH,000786.SZ,20241231,0.149
000300.SH,002920.SZ,20241231,0.148
000300.SH,601117.SH,20241231,0.147
000300.SH,600460.SH,20241231,0.147
000300.SH,300394.SZ,20241231,0.147
000300.SH,000963.SZ,20241231,0.147
000300.SH,600372.SH,20241231,0.145
000300.SH,601868.SH,20241231,0.144
000300.SH,601111.SH,20241231,0.144
000300.SH,600011.SH,20241231,0.144
000300.SH,002601.SZ,20241231,0.143
000300.SH,600183.SH,20241231,0.142
000300.SH,600600.SH,20241231,0.139
000300.SH,002129.SZ,20241231,0.139
000300.SH,688223.SH,20241231,0.138
000300.SH,001965.SZ,20241231,0.138
000300.SH,300347.SZ,20241231,0.138
