index_code,con_code,trade_date,weight
000906.SH,600519.SH,20241231,3.464
000906.SH,300750.SZ,20241231,2.543
000906.SH,601318.SH,20241231,2.05
000906.SH,600036.SH,20241231,1.76
000906.SH,000333.SZ,20241231,1.331
000906.SH,600900.SH,20241231,1.308
000906.SH,300059.SZ,20241231,1.18
000906.SH,600030.SH,20241231,1.03
000906.SH,601166.SH,20241231,1.008
000906.SH,000858.SZ,20241231,0.983
000906.SH,002594.SZ,20241231,0.926
000906.SH,601899.SH,20241231,0.901
000906.SH,601398.SH,20241231,0.878
000906.SH,002475.SZ,20241231,0.746
000906.SH,600276.SH,20241231,0.742
000906.SH,000651.SZ,20241231,0.737
000906.SH,600887.SH,20241231,0.695
000906.SH,688981.SH,20241231,0.681
000906.SH,601328.SH,20241231,0.662
000906.SH,601816.SH,20241231,0.657
000906.SH,601288.SH,20241231,0.617
000906.SH,000725.SZ,20241231,0.587
000906.SH,300760.SZ,20241231,0.559
000906.SH,600919.SH,20241231,0.522
000906.SH,601088.SH,20241231,0.519
000906.SH,688041.SH,20241231,0.504
000906.SH,603259.SH,20241231,0.498
000906.SH,688256.SH,20241231,0.497
000906.SH,600309.SH,20241231,0.486
000906.SH,000063.SZ,20241231,0.471
000906.SH,300124.SZ,20241231,0.457
000906.SH,601668.SH,20241231,0.452
000906.SH,002371.SZ,20241231,0.451
000906.SH,600000.SH,20241231,0.437
000906.SH,601601.SH,20241231,0.422
000906.SH,601988.SH,20241231,0.42
000906.SH,000001.SZ,20241231,0.411
000906.SH,002415.SZ,20241231,0.41
000906.SH,601728.SH,20241231,0.406
000906.SH,300308.SZ,20241231,0.401
000906.SH,300274.SZ,20241231,0.388
000906.SH,600837.SH,20241231,0.388
000906.SH,600690.SH,20241231,0.387
000906.SH,600941.SH,20241231,0.386
000906.SH,603019.SH,20241231,0.383
000906.SH,002714.SZ,20241231,0.38
000906.SH,600016.SH,20241231,0.371
000906.SH,601766.SH,20241231,0.369
000906.SH,600406.SH,20241231,0.367
000906.SH,601857.SH,20241231,0.367
000906.SH,601127.SH,20241231,0.364
000906.SH,600660.SH,20241231,0.362
000906.SH,601919.SH,20241231,0.358
000906.SH,601985.SH,20241231,0.356
000906.SH,600031.SH,20241231,0.354
000906.SH,600028.SH,20241231,0.353
000906.SH,002352.SZ,20241231,0.351
000906.SH,600104.SH,20241231,0.348
000906.SH,601012.SH,20241231,0.345
000906.SH,000100.SZ,20241231,0.342
000906.SH,000568.SZ,20241231,0.333
000906.SH,601169.SH,20241231,0.329
000906.SH,601229.SH,20241231,0.329
000906.SH,601225.SH,20241231,0.326
000906.SH,601688.SH,20241231,0.326
000906.SH,600809.SH,20241231,0.325
000906.SH,002230.SZ,20241231,0.323
000906.SH,603501.SH,20241231,0.322
000906.SH,300498.SZ,20241231,0.318
000906.SH,601138.SH,20241231,0.309
000906.SH,600050.SH,20241231,0.306
000906.SH,601211.SH,20241231,0.304
000906.SH,688012.SH,20241231,0.298
000906.SH,300502.SZ,20241231,0.296
000906.SH,600150.SH,20241231,0.291
000906.SH,002142.SZ,20241231,0.29
000906.SH,688008.SH,20241231,0.281
000906.SH,603288.SH,20241231,0.277
000906.SH,000338.SZ,20241231,0.269
000906.SH,002625.SZ,20241231,0.261
000906.SH,601818.SH,20241231,0.26
000906.SH,002027.SZ,20241231,0.257
000906.SH,603986.SH,20241231,0.257
000906.SH,600999.SH,20241231,0.257
000906.SH,601628.SH,20241231,0.253
000906.SH,000625.SZ,20241231,0.24
000906.SH,688111.SH,20241231,0.24
000906.SH,000425.SZ,20241231,0.237
000906.SH,601390.SH,20241231,0.237
000906.SH,600418.SH,20241231,0.237
000906.SH,601888.SH,20241231,0.237
000906.SH,600436.SH,20241231,0.234
000906.SH,600089.SH,20241231,0.233
000906.SH,600048.SH,20241231,0.23
000906.SH,000938.SZ,20241231,0.23
