index_code,con_code,trade_date,weight
932366.CSI,600941.SH,20250930,9.179
932366.CSI,601857.SH,20250930,9.012
932366.CSI,300750.SZ,20250930,7.806
932366.CSI,600938.SH,20250930,7.782
932366.CSI,000333.SZ,20250930,4.632
932366.CSI,000651.SZ,20250930,4.164
932366.CSI,601728.SH,20250930,4.059
932366.CSI,000858.SZ,20250930,3.979
932366.CSI,601919.SH,20250930,3.932
932366.CSI,601088.SH,20250930,3.376
932366.CSI,603993.SH,20250930,3.073
932366.CSI,002714.SZ,20250930,2.28
932366.CSI,000100.SZ,20250930,2.076
932366.CSI,601600.SH,20250930,2.014
932366.CSI,002352.SZ,20250930,1.875
932366.CSI,601225.SH,20250930,1.709
932366.CSI,600019.SH,20250930,1.641
932366.CSI,600690.SH,20250930,1.618
932366.CSI,601816.SH,20250930,1.572
932366.CSI,600346.SH,20250930,1.501
932366.CSI,601877.SH,20250930,1.408
932366.CSI,601633.SH,20250930,1.374
932366.CSI,600031.SH,20250930,1.369
932366.CSI,600887.SH,20250930,1.321
932366.CSI,002415.SZ,20250930,1.259
932366.CSI,000568.SZ,20250930,1.253
932366.CSI,600482.SH,20250930,1.178
932366.CSI,600406.SH,20250930,1.075
932366.CSI,002648.SZ,20250930,0.935
932366.CSI,300498.SZ,20250930,0.928
932366.CSI,000708.SZ,20250930,0.876
932366.CSI,600585.SH,20250930,0.847
932366.CSI,000792.SZ,20250930,0.785
932366.CSI,600150.SH,20250930,0.77
932366.CSI,000807.SZ,20250930,0.66
932366.CSI,000876.SZ,20250930,0.623
932366.CSI,600489.SH,20250930,0.573
932366.CSI,002027.SZ,20250930,0.566
932366.CSI,002001.SZ,20250930,0.563
932366.CSI,000895.SZ,20250930,0.554
932366.CSI,002311.SZ,20250930,0.522
932366.CSI,600803.SH,20250930,0.495
932366.CSI,600219.SH,20250930,0.486
932366.CSI,601888.SH,20250930,0.461
932366.CSI,603833.SH,20250930,0.42
932366.CSI,000975.SZ,20250930,0.333
932366.CSI,000999.SZ,20250930,0.327
932366.CSI,002236.SZ,20250930,0.289
932366.CSI,605117.SH,20250930,0.248
932366.CSI,000786.SZ,20250930,0.224
