index_code,con_code,trade_date,weight
000985.SH,600875.SH,20150630,0.099
000985.SH,600398.SH,20150630,0.099
000985.SH,002008.SZ,20150630,0.098
000985.SH,002405.SZ,20150630,0.098
000985.SH,601991.SH,20150630,0.097
000985.SH,000623.SZ,20150630,0.097
000985.SH,600863.SH,20150630,0.096
000985.SH,600027.SH,20150630,0.096
000985.SH,600688.SH,20150630,0.095
000985.SH,601933.SH,20150630,0.095
000985.SH,601718.SH,20150630,0.094
000985.SH,000750.SZ,20150630,0.094
000985.SH,600315.SH,20150630,0.094
000985.SH,600881.SH,20150630,0.094
000985.SH,000568.SZ,20150630,0.093
000985.SH,000686.SZ,20150630,0.093
000985.SH,600157.SH,20150630,0.093
000985.SH,000629.SZ,20150630,0.093
000985.SH,002500.SZ,20150630,0.092
000985.SH,600642.SH,20150630,0.092
000985.SH,000748.SZ,20150630,0.092
000985.SH,300017.SZ,20150630,0.092
000985.SH,601872.SH,20150630,0.092
000985.SH,300124.SZ,20150630,0.091
000985.SH,600895.SH,20150630,0.091
000985.SH,000839.SZ,20150630,0.09
000985.SH,002065.SZ,20150630,0.089
000985.SH,002268.SZ,20150630,0.089
000985.SH,600037.SH,20150630,0.089
000985.SH,600741.SH,20150630,0.089
000985.SH,000566.SZ,20150630,0.088
000985.SH,000540.SZ,20150630,0.088
000985.SH,600376.SH,20150630,0.087
000985.SH,600645.SH,20150630,0.087
000985.SH,601607.SH,20150630,0.087
000985.SH,600737.SH,20150630,0.086
000985.SH,002353.SZ,20150630,0.086
000985.SH,300144.SZ,20150630,0.086
000985.SH,600307.SH,20150630,0.086
000985.SH,300058.SZ,20150630,0.086
000985.SH,600252.SH,20150630,0.086
000985.SH,002018.SZ,20150630,0.086
000985.SH,600652.SH,20150630,0.086
000985.SH,600820.SH,20150630,0.085
000985.SH,601898.SH,20150630,0.085
000985.SH,601179.SH,20150630,0.085
000985.SH,000895.SZ,20150630,0.085
000985.SH,601168.SH,20150630,0.084
000985.SH,002456.SZ,20150630,0.084
000985.SH,000009.SZ,20150630,0.084
000985.SH,002030.SZ,20150630,0.083
000985.SH,600663.SH,20150630,0.082
000985.SH,600201.SH,20150630,0.082
000985.SH,600435.SH,20150630,0.082
000985.SH,000800.SZ,20150630,0.082
000985.SH,600018.SH,20150630,0.082
000985.SH,600879.SH,20150630,0.082
000985.SH,002385.SZ,20150630,0.082
000985.SH,000876.SZ,20150630,0.082
000985.SH,600601.SH,20150630,0.081
000985.SH,600660.SH,20150630,0.081
000985.SH,600219.SH,20150630,0.081
000985.SH,000046.SZ,20150630,0.081
000985.SH,000826.SZ,20150630,0.08
000985.SH,600654.SH,20150630,0.08
000985.SH,300003.SZ,20150630,0.08
000985.SH,002223.SZ,20150630,0.08
000985.SH,600446.SH,20150630,0.08
000985.SH,002375.SZ,20150630,0.079
000985.SH,600873.SH,20150630,0.079
000985.SH,601117.SH,20150630,0.078
000985.SH,600060.SH,20150630,0.078
000985.SH,300208.SZ,20150630,0.078
000985.SH,600635.SH,20150630,0.078
000985.SH,002310.SZ,20150630,0.078
000985.SH,600158.SH,20150630,0.078
000985.SH,600489.SH,20150630,0.077
000985.SH,002292.SZ,20150630,0.077
000985.SH,300079.SZ,20150630,0.077
000985.SH,002146.SZ,20150630,0.077
000985.SH,600718.SH,20150630,0.076
000985.SH,000998.SZ,20150630,0.076
000985.SH,600074.SH,20150630,0.076
000985.SH,600208.SH,20150630,0.076
000985.SH,300186.SZ,20150630,0.076
000985.SH,002236.SZ,20150630,0.076
000985.SH,000425.SZ,20150630,0.076
000985.SH,600372.SH,20150630,0.075
000985.SH,600332.SH,20150630,0.075
000985.SH,600594.SH,20150630,0.075
000985.SH,000883.SZ,20150630,0.075
000985.SH,600200.SH,20150630,0.075
000985.SH,300287.SZ,20150630,0.075
000985.SH,300033.SZ,20150630,0.075
000985.SH,002129.SZ,20150630,0.074
000985.SH,002400.SZ,20150630,0.074
000985.SH,600143.SH,20150630,0.074
000985.SH,000581.SZ,20150630,0.074
000985.SH,600525.SH,20150630,0.074
000985.SH,600500.SH,20150630,0.074
000985.SH,002252.SZ,20150630,0.073
000985.SH,300002.SZ,20150630,0.073
000985.SH,000792.SZ,20150630,0.073
000985.SH,600021.SH,20150630,0.073
000985.SH,002191.SZ,20150630,0.072
000985.SH,601258.SH,20150630,0.072
000985.SH,000547.SZ,20150630,0.072
000985.SH,000806.SZ,20150630,0.072
000985.SH,600362.SH,20150630,0.072
000985.SH,600547.SH,20150630,0.071
000985.SH,000012.SZ,20150630,0.071
000985.SH,000997.SZ,20150630,0.071
000985.SH,600026.SH,20150630,0.071
000985.SH,002022.SZ,20150630,0.071
000985.SH,000970.SZ,20150630,0.071
000985.SH,000592.SZ,20150630,0.071
000985.SH,600320.SH,20150630,0.071
000985.SH,600867.SH,20150630,0.07
000985.SH,000061.SZ,20150630,0.07
000985.SH,002312.SZ,20150630,0.07
000985.SH,601633.SH,20150630,0.07
000985.SH,600872.SH,20150630,0.07
000985.SH,000878.SZ,20150630,0.07
000985.SH,002303.SZ,20150630,0.069
000985.SH,000977.SZ,20150630,0.069
000985.SH,002439.SZ,20150630,0.069
000985.SH,000031.SZ,20150630,0.069
000985.SH,000598.SZ,20150630,0.069
000985.SH,300253.SZ,20150630,0.069
000985.SH,300315.SZ,20150630,0.068
000985.SH,600503.SH,20150630,0.068
000985.SH,600643.SH,20150630,0.068
000985.SH,600499.SH,20150630,0.068
000985.SH,002475.SZ,20150630,0.068
000985.SH,601012.SH,20150630,0.068
000985.SH,600170.SH,20150630,0.068
000985.SH,000016.SZ,20150630,0.068
000985.SH,601098.SH,20150630,0.067
000985.SH,000413.SZ,20150630,0.067
000985.SH,601808.SH,20150630,0.067
000985.SH,600079.SH,20150630,0.067
000985.SH,600587.SH,20150630,0.067
000985.SH,600811.SH,20150630,0.067
000985.SH,601225.SH,20150630,0.066
000985.SH,600388.SH,20150630,0.066
000985.SH,600694.SH,20150630,0.066
000985.SH,000825.SZ,20150630,0.066
000985.SH,600600.SH,20150630,0.066
000985.SH,002153.SZ,20150630,0.065
000985.SH,002276.SZ,20150630,0.065
000985.SH,600655.SH,20150630,0.065
000985.SH,600682.SH,20150630,0.065
000985.SH,601918.SH,20150630,0.065
000985.SH,600827.SH,20150630,0.065
000985.SH,600108.SH,20150630,0.065
000985.SH,600482.SH,20150630,0.064
000985.SH,000712.SZ,20150630,0.064
000985.SH,600816.SH,20150630,0.064
000985.SH,600110.SH,20150630,0.064
000985.SH,002410.SZ,20150630,0.064
000985.SH,000963.SZ,20150630,0.063
000985.SH,002038.SZ,20150630,0.063
000985.SH,002075.SZ,20150630,0.063
000985.SH,600797.SH,20150630,0.063
000985.SH,000882.SZ,20150630,0.063
000985.SH,002170.SZ,20150630,0.063
000985.SH,600198.SH,20150630,0.063
000985.SH,002055.SZ,20150630,0.063
000985.SH,000400.SZ,20150630,0.062
000985.SH,600312.SH,20150630,0.062
000985.SH,000690.SZ,20150630,0.062
000985.SH,002701.SZ,20150630,0.062
000985.SH,600770.SH,20150630,0.062
000985.SH,600277.SH,20150630,0.062
000985.SH,002739.SZ,20150630,0.061
000985.SH,600169.SH,20150630,0.061
000985.SH,600584.SH,20150630,0.061
000985.SH,300085.SZ,20150630,0.061
000985.SH,000831.SZ,20150630,0.061
000985.SH,600571.SH,20150630,0.061
000985.SH,000738.SZ,20150630,0.061
000985.SH,600787.SH,20150630,0.061
