code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,buy_price,last_price,div_total,max_yr_loss
600177.SH,雅戈尔,服饰,582.6335695028387,21.179629393935894,163.86686897040715,418.7667005324315,248.4192125,158.77814982601274,3.281958069912606,8.66,248419.2125,-9.246080934280032
600295.SH,鄂尔多斯,特种钢,510.6485350688246,19.836740498314278,187.8511444854596,322.797390583365,244.519565,112.20936050972412,3.3350570890243345,9.6,244519.565,-45.83141423899082
603806.SH,福斯特,塑料,440.9967181642765,18.39417033033415,160.51914996487514,280.4775681994014,123.44918950000002,107.70125124570922,5.535101738948633,14.42,123449.18950000001,-46.30665707612266
000937.SZ,冀中能源,煤炭开采,236.03512708663524,12.888401545245687,64.42637560914928,171.60875147748595,140.27462949999997,104.42772004889976,3.8193385804038598,6.28,140274.62949999998,-31.00030396642054
600348.SH,华阳股份,煤炭开采,199.36631090072652,11.59150849290529,55.362970495861276,144.00334040486524,101.177684,92.73937715026139,4.466958875625306,6.94,101177.684,-33.81100596379357
600153.SH,建发股份,仓储物流,156.66655351195354,9.887371110499554,51.24019977996783,105.4263537319857,86.960885,69.7410358565737,6.638446666036356,10.04,86960.885,-36.86537477336051
600398.SH,海澜之家,服饰,143.86237765193118,9.32647271591689,30.77043432955351,113.09194332237767,96.1738032,86.51959361393324,5.804064228212703,7.59,96173.8032,-16.650488978533453
601098.SH,中南传媒,出版业,137.35230880350215,9.031051792394006,37.96777192380942,99.38453687969273,65.3210064,72.04255767407564,10.531444987039414,14.53,65321.006400000006,-27.41891439266395
603156.SH,养元饮品,软饮料,106.09745815476894,7.502389675781518,-0.011512001950009232,106.10897015671895,89.7774,106.12198452435138,22.75261928197542,22.75,89777.4,-15.832332896966882
603565.SH,中谷物流,水运,73.96336507772747,5.695533470086933,-0.008410451910711991,73.97177552963818,61.10945999999999,74.00663821716454,9.48079737790422,9.48,61109.45999999999,-33.493088219992416
600704.SH,物产中大,仓储物流,70.68560419395584,5.494676657168807,1.0681606476007577,69.61744354635508,61.38002475,68.91033412540615,4.8482132934872215,4.9,61380.02475,-27.73830502302329
300146.SZ,汤臣倍健,食品,68.82284878483567,5.378976796538626,16.655113578180636,52.16773520665504,59.934982500000004,44.687786492818574,10.183865615147843,11.88,59934.9825,-27.140165869766953
603858.SH,步长制药,中成药,57.66413861754569,4.660823308411022,-0.013613051949334931,57.677751669495024,67.358108,57.63364658758281,15.402096695424435,15.4,67358.10800000001,-42.503398198605126
601997.SH,贵阳银行,银行,55.06716898368684,4.487139848502708,-0.004868681807002062,55.072037665493845,52.14629000000001,55.09111020550736,5.820283371077604,5.82,52146.29,-13.782700749335397
601155.SH,新城控股,区域地产,27.441403416091802,2.4570647108454136,-0.008410451910711991,27.449813868002515,62.534062,27.406353722143194,11.850996722380275,11.85,62534.062,-44.3258514913862
600816.SH,建元信托,多元金融,21.6115478955587,1.9784336820417803,-10.218401065335069,31.82994896089377,60.56458299999999,35.47294783061696,3.72013869170514,3.34,60564.583,-67.33758995137016
