ts_code,trade_date,close
000300.SH,20260604,4904.7454
000300.SH,20260603,4938.8091
000300.SH,20260602,4914.5591
000300.SH,20260601,4844.2556
000300.SH,20260529,4892.1213
000300.SH,20260528,4914.2133
000300.SH,20260527,4908.1714
000300.SH,20260526,4947.8493
000300.SH,20260525,4921.5974
000300.SH,20260522,4845.0956
000300.SH,20260521,4783.0976
000300.SH,20260520,4850.7
000300.SH,20260519,4852.8832
000300.SH,20260518,4833.5237
000300.SH,20260515,4859.5927
000300.SH,20260514,4914.5971
000300.SH,20260513,4998.3417
000300.SH,20260512,4948.0465
000300.SH,20260511,4951.8366
000300.SH,20260508,4871.9122
000300.SH,20260507,4900.5098
000300.SH,20260506,4877.0932
000300.SH,20260430,4807.3069
000300.SH,20260429,4810.3468
000300.SH,20260428,4758.2083
000300.SH,20260427,4770.9469
000300.SH,20260424,4769.3688
000300.SH,20260423,4786.3273
000300.SH,20260422,4799.627
000300.SH,20260421,4767.997
000300.SH,20260420,4757.4419
000300.SH,20260417,4728.6716
000300.SH,20260416,4736.6077
000300.SH,20260415,4685.2464
000300.SH,20260414,4701.2837
000300.SH,20260413,4646.1546
000300.SH,20260410,4636.5655
000300.SH,20260409,4566.2237
000300.SH,20260408,4595.556
000300.SH,20260407,4440.6162
000300.SH,20260403,4440.7889
000300.SH,20260402,4478.9141
000300.SH,20260401,4526.0668
000300.SH,20260331,4450.0493
000300.SH,20260330,4491.95
000300.SH,20260327,4502.5698
000300.SH,20260326,4477.5343
000300.SH,20260325,4537.4656
000300.SH,20260324,4474.7224
000300.SH,20260323,4417.9971
000300.SH,20260320,4567.0179
000300.SH,20260319,4583.2511
000300.SH,20260318,4658.3324
000300.SH,20260317,4637.4392
000300.SH,20260316,4671.5591
000300.SH,20260313,4669.14
000300.SH,20260312,4687.5601
000300.SH,20260311,4704.4959
000300.SH,20260310,4674.7562
000300.SH,20260309,4615.4551
000300.SH,20260306,4660.439
000300.SH,20260305,4647.6921
000300.SH,20260304,4602.6247
000300.SH,20260303,4655.8962
000300.SH,20260302,4728.6688
000300.SH,20260227,4710.6469
000300.SH,20260226,4726.8739
000300.SH,20260225,4735.8858
000300.SH,20260224,4707.544
000300.SH,20260213,4660.4056
000300.SH,20260212,4719.578
000300.SH,20260211,4713.8185
000300.SH,20260210,4724.2956
000300.SH,20260209,4719.0559
000300.SH,20260206,4643.5959
000300.SH,20260205,4670.4188
000300.SH,20260204,4698.6832
000300.SH,20260203,4660.1074
000300.SH,20260202,4605.9799
000300.SH,20260130,4706.3401
000300.SH,20260129,4753.8697
000300.SH,20260128,4717.9914
000300.SH,20260127,4705.6918
000300.SH,20260126,4706.964
000300.SH,20260123,4702.4966
000300.SH,20260122,4723.7091
000300.SH,20260121,4723.0692
000300.SH,20260120,4718.8782
000300.SH,20260119,4734.4556
000300.SH,20260116,4731.8728
000300.SH,20260115,4751.4293
000300.SH,20260114,4741.9306
000300.SH,20260113,4761.0324
000300.SH,20260112,4789.9155
000300.SH,20260109,4758.9221
000300.SH,20260108,4737.6536
000300.SH,20260107,4776.6658
000300.SH,20260106,4790.6938
000300.SH,20260105,4717.7457
000300.SH,20251231,4629.9395
000300.SH,20251230,4651.2818
000300.SH,20251229,4639.3721
000300.SH,20251226,4657.24
000300.SH,20251225,4642.5357
000300.SH,20251224,4634.0586
000300.SH,20251223,4620.7341
