code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,div_total,buy_price,last_price,max_yr_loss
000001.SZ,平安银行,银行,70.82629673026459,5.503369094603183,32.60971351256752,38.21658321769707,34.17798818999999,28.795585826364345,34177.98819,8.619278103573288,11.43,-27.028905703135607
000002.SZ,万科Ａ,全国地产,10.801112269589396,1.0334695783100534,-26.777140056939864,37.57825232652926,95.7029664657,51.3014763014763,95702.9664657,9.710082350687898,7.110000000000001,-36.51192578427021
000063.SZ,中兴通讯,通信设备,191.04671920278355,11.277440142686768,168.72535239311836,22.321366809665193,16.122332,8.315685444020904,16122.332,14.114782867420786,37.93,-46.11895660848955
000100.SZ,TCL科技,元器件,111.06405033931736,7.758684880726152,68.47080592816772,42.59324441114963,33.2057736,25.30711808616939,33205.7736,2.93819452737145,4.95,-35.19790300365128
000157.SZ,中联重科,工程机械,121.56464407407638,8.283155163237431,43.62689719221289,77.93774688186349,58.84157,54.292399941500506,58841.57,4.873738928323464,7.0,-23.656457471917957
000301.SZ,东方盛虹,化纤,96.02107279173347,6.964861230826203,74.53162161729293,21.48945117444056,20.68086875,12.324056668653435,20680.86875,4.583696596564106,8.0,-31.247829725086778
000333.SZ,美的集团,家用电器,703.227653748352,23.16710105917379,439.87803707503554,263.3496166733165,144.0291866034,48.7859335752163,144029.1866034,13.95129915046564,75.32,-30.024150365048897
000338.SZ,潍柴动力,汽车配件,369.4996152988045,16.72782129747965,191.6452096921872,177.8544056066173,108.32808625,61.00343132708894,108328.08625,4.635769610023594,13.52,-39.9591982710601
000408.SZ,藏格矿业,农药化肥,289.7546678548265,14.575032121291432,219.06478001210235,70.68988784272415,63.631574,22.158556401265717,63631.574,8.549987873611514,27.28,-36.60802353286549
000425.SZ,徐工机械,工程机械,114.30170746823644,7.922853287555154,82.458601769565,31.843105698671422,22.5218446,17.471506964964114,22521.8446,4.2201353760918705,7.7,-28.76249550410268
000538.SZ,云南白药,中成药,130.20183432488267,8.698044798317795,60.1999837386471,70.00185058623558,60.472189668,43.53026458861906,60472.189668,36.23595873436774,58.05,-24.360933825711395
000568.SZ,泸州老窖,白酒,770.7286669564498,24.164984761403407,612.0730117751183,158.65565518133155,142.87102825,22.241115456555004,142871.02825,16.999661270441344,121.05,-35.57468288534154
