code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,buy_price,last_price,div_total,max_yr_loss
000009.SZ,中国宝安,电气设备,9.578738671863896,0.9214509082872135,0.256857622517237,9.321881049346658,3.7312793,9.261232463150426,8.87719823965548,8.9,3731.2793,-39.852622476009536
000021.SZ,深科技,元器件,183.9062557073212,11.001373322876296,163.8035829241775,20.102672783143703,13.900961249999998,7.62507742068681,6.880118836451389,18.15,13900.96125,-39.975492519326025
000027.SZ,深圳能源,火力发电,61.99918877738841,4.9450937077799795,27.96814312868847,34.031045648699944,31.564039,26.60514431572747,4.9074713803455365,6.28,31564.039,-24.59538200083884
000032.SZ,深桑达Ａ,建筑工程,83.37570810739334,6.253938203429299,73.64643815296559,9.72926995442775,5.9178774999999995,5.5931221020092625,9.657554844417405,16.77,5917.8775,-32.48682611263184
000034.SZ,神州数码,软件服务,469.6054852274041,19.005839376838484,422.61961720615,46.98586802125408,29.293454312599998,9.006505400113696,6.314343915449117,33.0,29293.4543126,-37.5060785899494
000039.SZ,中集集团,运输设备,15.49350479511471,1.4534013685168379,-22.41190806021647,37.90541285533118,32.2564155,48.8417364220362,9.730874688682368,7.550000000000001,32256.4155,-50.46951245810527
000050.SZ,深天马Ａ,元器件,-53.401893632500006,-7.349518452941384,-54.96026490799852,1.5583712754985157,2.9411130000000005,3.3773291925465854,19.40508749029503,8.74,2941.1130000000003,-49.990302434760004
000060.SZ,中金岭南,铅锌,-4.926768077569532,-0.501466090845526,-23.708902364943228,18.782134287373694,15.450105300699999,24.613347776373583,6.016429363693981,4.59,15450.1053007,-40.09112719066508
000062.SZ,深圳华强,元器件,199.92035255268243,11.612143733685599,138.70396057102963,61.216391981652805,29.258378,25.640084426906483,9.17454404510534,21.9,29258.378,-26.000169492897886
000088.SZ,盐田港,港口,-40.53258474059793,-5.062287894200179,-44.880224455212606,4.347639714614672,5.06228504,7.854389721627419,8.563169848478028,4.72,5062.28504,-34.28779131613615
000155.SZ,川能动力,新型电力,53.154632559999996,4.357548793785826,51.003380818580155,2.1512517414198413,2.2982400000000003,1.4480646059593427,6.960109067112225,10.51,2298.2400000000002,-41.28485853745868
000400.SZ,许继电气,电气设备,41.12685993034846,3.5075007800076996,32.877527026793715,8.249332903554745,6.565651,6.146984681016088,19.386272890829538,25.76,6565.651,-32.25486747266498
000415.SZ,渤海租赁,多元金融,-37.107148230806665,-4.529107048466363,-38.428211128138216,1.3210628973315508,3.3411805,2.1521726416749543,5.84683353522833,3.6,3341.1805000000004,-36.83594079212698
000423.SZ,东阿阿胶,中成药,142.742626420653,9.276168485364522,98.13951526293827,44.603111157714736,33.4288730289,22.44131455399061,31.29108291080846,61.99999999999999,33428.8730289,-31.681892688859513
