ts_code,trade_date,close
H00922.CSI,20260604,12017.23
H00922.CSI,20260603,12070.008
H00922.CSI,20260602,12074.4141
H00922.CSI,20260601,12111.5369
H00922.CSI,20260529,11797.2013
H00922.CSI,20260528,11646.7965
H00922.CSI,20260527,11666.683
H00922.CSI,20260526,11766.8326
H00922.CSI,20260525,11756.2097
H00922.CSI,20260522,11695.247
H00922.CSI,20260521,11715.3603
H00922.CSI,20260520,11896.0699
H00922.CSI,20260519,11933.7117
H00922.CSI,20260518,11916.5119
H00922.CSI,20260515,11971.6653
H00922.CSI,20260514,12001.034
H00922.CSI,20260513,12110.0069
H00922.CSI,20260512,12158.7574
H00922.CSI,20260511,12177.1531
H00922.CSI,20260508,12123.9061
H00922.CSI,20260507,12164.951
H00922.CSI,20260506,12363.8851
H00922.CSI,20260430,12328.6459
H00922.CSI,20260429,12364.0514
H00922.CSI,20260428,12243.9979
H00922.CSI,20260427,12107.4512
H00922.CSI,20260424,12133.6381
H00922.CSI,20260423,12144.1114
H00922.CSI,20260422,12083.3043
H00922.CSI,20260421,12084.2795
H00922.CSI,20260420,11978.5663
H00922.CSI,20260417,11963.4625
H00922.CSI,20260416,12043.0666
H00922.CSI,20260415,12013.8377
H00922.CSI,20260414,11971.0907
H00922.CSI,20260413,11945.581
H00922.CSI,20260410,11954.9073
H00922.CSI,20260409,11929.3043
H00922.CSI,20260408,12020.2542
H00922.CSI,20260407,11924.3534
H00922.CSI,20260403,11864.387
H00922.CSI,20260402,12064.3383
H00922.CSI,20260401,12036.2253
H00922.CSI,20260331,12029.0816
H00922.CSI,20260330,12171.1845
H00922.CSI,20260327,12059.7518
H00922.CSI,20260326,12030.6368
H00922.CSI,20260325,12025.2741
H00922.CSI,20260324,11995.89
H00922.CSI,20260323,11813.902
H00922.CSI,20260320,12121.582
H00922.CSI,20260319,12177.3206
H00922.CSI,20260318,12249.1557
H00922.CSI,20260317,12322.8189
H00922.CSI,20260316,12414.9692
H00922.CSI,20260313,12503.3629
H00922.CSI,20260312,12549.7087
H00922.CSI,20260311,12399.8809
H00922.CSI,20260310,12222.0429
H00922.CSI,20260309,12314.4762
H00922.CSI,20260306,12306.0732
H00922.CSI,20260305,12283.0061
H00922.CSI,20260304,12296.9315
H00922.CSI,20260303,12498.393
H00922.CSI,20260302,12400.0336
H00922.CSI,20260227,12235.1055
H00922.CSI,20260226,12113.754
H00922.CSI,20260225,12148.7184
H00922.CSI,20260224,12083.2937
H00922.CSI,20260213,11902.3098
H00922.CSI,20260212,12077.4765
H00922.CSI,20260211,12116.305
H00922.CSI,20260210,12028.8121
H00922.CSI,20260209,11984.8503
H00922.CSI,20260206,11903.9969
H00922.CSI,20260205,11932.8387
H00922.CSI,20260204,11983.0873
H00922.CSI,20260203,11670.1466
H00922.CSI,20260202,11582.1934
H00922.CSI,20260130,11955.8348
H00922.CSI,20260129,12076.7169
H00922.CSI,20260128,11929.2215
H00922.CSI,20260127,11745.9092
H00922.CSI,20260126,11846.9378
H00922.CSI,20260123,11770.1417
H00922.CSI,20260122,11775.252
H00922.CSI,20260121,11690.1406
H00922.CSI,20260120,11762.0326
H00922.CSI,20260119,11609.1365
H00922.CSI,20260116,11513.7667
H00922.CSI,20260115,11611.9082
H00922.CSI,20260114,11634.1275
H00922.CSI,20260113,11713.225
H00922.CSI,20260112,11753.4362
H00922.CSI,20260109,11712.4367
H00922.CSI,20260108,11672.4228
H00922.CSI,20260107,11710.7672
H00922.CSI,20260106,11705.2259
H00922.CSI,20260105,11567.2086
H00922.CSI,20251231,11522.9608
H00922.CSI,20251230,11512.9764
H00922.CSI,20251229,11518.2732
H00922.CSI,20251226,11543.4143
H00922.CSI,20251225,11486.2462
H00922.CSI,20251224,11453.9423
H00922.CSI,20251223,11426.5174
H00922.CSI,20251222,11424.6163
H00922.CSI,20251219,11477.1978
H00922.CSI,20251218,11457.0178
H00922.CSI,20251217,11364.8691
H00922.CSI,20251216,11332.0832
H00922.CSI,20251215,11421.4861
H00922.CSI,20251212,11354.2729
H00922.CSI,20251211,11369.8732
H00922.CSI,20251210,11460.9307
H00922.CSI,20251209,11451.0264
H00922.CSI,20251208,11556.7863
H00922.CSI,20251205,11620.6428
H00922.CSI,20251204,11610.1719
H00922.CSI,20251203,11652.5911
H00922.CSI,20251202,11675.5094
H00922.CSI,20251201,11690.0581
H00922.CSI,20251128,11593.933
H00922.CSI,20251127,11581.719
H00922.CSI,20251126,11562.4731
H00922.CSI,20251125,11611.4432
H00922.CSI,20251124,11553.1939
H00922.CSI,20251121,11610.3657
H00922.CSI,20251120,11818.542
H00922.CSI,20251119,11840.7426
H00922.CSI,20251118,11822.1825
H00922.CSI,20251117,11988.3383
H00922.CSI,20251114,12047.3231
H00922.CSI,20251113,12119.2356
H00922.CSI,20251112,12086.7179
H00922.CSI,20251111,12078.7169
H00922.CSI,20251110,12103.6809
H00922.CSI,20251107,12011.5656
H00922.CSI,20251106,11996.8592
H00922.CSI,20251105,11949.8637
H00922.CSI,20251104,11899.8725
H00922.CSI,20251103,11855.9896
H00922.CSI,20251031,11750.0054
H00922.CSI,20251030,11756.0258
H00922.CSI,20251029,11804.4653
H00922.CSI,20251028,11799.2279
H00922.CSI,20251027,11861.5421
H00922.CSI,20251024,11806.3816
H00922.CSI,20251023,11867.9118
H00922.CSI,20251022,11771.5472
H00922.CSI,20251021,11759.9862
H00922.CSI,20251020,11754.9347
H00922.CSI,20251017,11667.4085
H00922.CSI,20251016,11757.6421
H00922.CSI,20251015,11712.1498
H00922.CSI,20251014,11659.0663
H00922.CSI,20251013,11529.9592
H00922.CSI,20251010,11581.0003
H00922.CSI,20251009,11462.9433
H00922.CSI,20250930,11376.9082
H00922.CSI,20250929,11403.6778
H00922.CSI,20250926,11354.8086
H00922.CSI,20250925,11320.5591
H00922.CSI,20250924,11375.7611
H00922.CSI,20250923,11346.7527
H00922.CSI,20250922,11305.1091
H00922.CSI,20250919,11377.2788
H00922.CSI,20250918,11284.4806
H00922.CSI,20250917,11488.7014
H00922.CSI,20250916,11458.4144
H00922.CSI,20250915,11457.6398
H00922.CSI,20250911,11552.7325
H00922.CSI,20250910,11503.0454
H00922.CSI,20250909,11559.6323
H00922.CSI,20250908,11533.7904
H00922.CSI,20250905,11445.4066
H00922.CSI,20250904,11410.1756
H00922.CSI,20250903,11415.1509
H00922.CSI,20250902,11512.1631
H00922.CSI,20250901,11475.9708
H00922.CSI,20250829,11503.5708
H00922.CSI,20250828,11510.4921
H00922.CSI,20250827,11486.0783
H00922.CSI,20250826,11697.029
H00922.CSI,20250825,11710.4075
H00922.CSI,20250822,11625.1201
H00922.CSI,20250821,11642.8489
H00922.CSI,20250820,11580.7322
H00922.CSI,20250819,11493.9367
H00922.CSI,20250818,11504.9448
H00922.CSI,20250815,11527.0692
H00922.CSI,20250814,11499.4946
H00922.CSI,20250813,11610.6892
H00922.CSI,20250812,11670.8485
H00922.CSI,20250811,11605.7845
H00922.CSI,20250808,11655.4204
H00922.CSI,20250807,11649.3308
H00922.CSI,20250806,11629.6669
H00922.CSI,20250805,11556.3598
H00922.CSI,20250804,11431.9087
H00922.CSI,20250801,11378.49
H00922.CSI,20250731,11378.7358
H00922.CSI,20250730,11579.487
H00922.CSI,20250729,11549.0338
H00922.CSI,20250728,11553.3318
H00922.CSI,20250725,11672.826
H00922.CSI,20250724,11741.6786
H00922.CSI,20250723,11690.2543
H00922.CSI,20250722,11728.7852
H00922.CSI,20250721,11538.9264
H00922.CSI,20250718,11395.8797
H00922.CSI,20250717,11342.1925
H00922.CSI,20250716,11344.8807
H00922.CSI,20250715,11385.294
H00922.CSI,20250714,11512.0098
H00922.CSI,20250711,11444.1059
H00922.CSI,20250710,11508.4167
H00922.CSI,20250709,11422.3823
H00922.CSI,20250708,11380.9818
H00922.CSI,20250707,11386.5839
H00922.CSI,20250703,11267.0079
H00922.CSI,20250702,11261.0812
H00922.CSI,20250701,11180.8426
H00922.CSI,20250630,11090.508
H00922.CSI,20250627,11096.4568
H00922.CSI,20250626,11141.265
H00922.CSI,20250625,11133.0376
H00922.CSI,20250624,11060.8869
H00922.CSI,20250623,11025.5794
H00922.CSI,20250620,10987.2442
H00922.CSI,20250619,10952.0771
H00922.CSI,20250618,11017.703
H00922.CSI,20250617,11018.0532
H00922.CSI,20250616,11019.1269
H00922.CSI,20250613,10994.1709
H00922.CSI,20250612,11061.6409
H00922.CSI,20250611,11055.1792
H00922.CSI,20250610,11010.9076
H00922.CSI,20250609,11010.5876
H00922.CSI,20250606,10981.2887
H00922.CSI,20250605,10973.2061
H00922.CSI,20250604,11036.3896
H00922.CSI,20250603,10996.0829
H00922.CSI,20250530,10956.0598
H00922.CSI,20250529,10939.3601
H00922.CSI,20250528,10917.3168
H00922.CSI,20250527,10879.5867
H00922.CSI,20250526,10907.9381
H00922.CSI,20250523,10980.657
H00922.CSI,20250522,11085.2563
H00922.CSI,20250521,11102.3755
H00922.CSI,20250520,11014.5321
H00922.CSI,20250519,10980.0417
H00922.CSI,20250516,10944.6186
H00922.CSI,20250515,11005.7606
H00922.CSI,20250514,11043.9927
H00922.CSI,20250513,10982.0113
H00922.CSI,20250512,10905.7697
H00922.CSI,20250509,10868.1581
H00922.CSI,20250508,10807.3916
H00922.CSI,20250507,10790.4262
H00922.CSI,20250506,10717.8927
H00922.CSI,20250430,10690.89
H00922.CSI,20250429,10757.0261
H00922.CSI,20250428,10780.0376
H00922.CSI,20250425,10781.8385
H00922.CSI,20250424,10796.0068
H00922.CSI,20250423,10738.3162
H00922.CSI,20250422,10786.3665
H00922.CSI,20250421,10744.6915
H00922.CSI,20250418,10759.2999
H00922.CSI,20250417,10751.9088
H00922.CSI,20250416,10774.1796
H00922.CSI,20250415,10725.4215
H00922.CSI,20250414,10674.2196
H00922.CSI,20250411,10579.4667
H00922.CSI,20250410,10627.3182
H00922.CSI,20250409,10527.7735
H00922.CSI,20250408,10496.5041
H00922.CSI,20250407,10234.976
H00922.CSI,20250403,10966.6315
H00922.CSI,20250402,10951.8203
H00922.CSI,20250401,10912.1981
H00922.CSI,20250331,10807.2366
H00922.CSI,20250328,10864.1534
H00922.CSI,20250327,10943.6118
H00922.CSI,20250326,10953.8949
H00922.CSI,20250325,10969.1761
H00922.CSI,20250324,10900.0892
H00922.CSI,20250321,10839.4101
H00922.CSI,20250320,10885.7523
H00922.CSI,20250319,10915.8173
H00922.CSI,20250318,10899.3768
H00922.CSI,20250317,10918.1138
H00922.CSI,20250314,10877.9552
H00922.CSI,20250313,10795.8281
H00922.CSI,20250312,10720.8591
H00922.CSI,20250311,10764.1551
H00922.CSI,20250310,10696.0174
H00922.CSI,20250307,10664.7494
H00922.CSI,20250306,10650.3306
H00922.CSI,20250305,10652.8514
H00922.CSI,20250304,10602.5969
H00922.CSI,20250303,10601.5675
H00922.CSI,20250228,10613.0509
H00922.CSI,20250227,10691.0139
H00922.CSI,20250226,10574.1163
H00922.CSI,20250225,10443.1619
H00922.CSI,20250224,10512.7546
H00922.CSI,20250221,10503.8579
H00922.CSI,20250220,10571.854
H00922.CSI,20250219,10597.162
H00922.CSI,20250218,10627.0075
H00922.CSI,20250217,10662.849
H00922.CSI,20250214,10707.8932
H00922.CSI,20250213,10687.0903
H00922.CSI,20250212,10683.1615
H00922.CSI,20250211,10680.7514
H00922.CSI,20250210,10640.4206
H00922.CSI,20250207,10652.5657
H00922.CSI,20250206,10581.3799
H00922.CSI,20250205,10572.7181
H00922.CSI,20250127,10785.2651
H00922.CSI,20250124,10650.4671
H00922.CSI,20250123,10574.1725
H00922.CSI,20250122,10461.0144
H00922.CSI,20250121,10559.0231
H00922.CSI,20250120,10624.8315
H00922.CSI,20250117,10640.5667
H00922.CSI,20250116,10670.297
H00922.CSI,20250115,10584.5403
H00922.CSI,20250114,10581.0224
H00922.CSI,20250113,10390.0045
H00922.CSI,20250110,10471.1597
H00922.CSI,20250109,10624.9244
H00922.CSI,20250108,10784.3381
H00922.CSI,20250107,10803.4825
H00922.CSI,20250106,10832.0688
H00922.CSI,20250103,10792.5728
H00922.CSI,20250102,10883.6693
H00922.CSI,20241231,11105.1173
H00922.CSI,20241230,11166.3927
H00922.CSI,20241227,11033.6098
H00922.CSI,20241226,11010.2276
H00922.CSI,20241225,11061.2695
H00922.CSI,20241224,11018.4404
H00922.CSI,20241223,10893.491
H00922.CSI,20241220,10888.0897
H00922.CSI,20241219,10979.5205
H00922.CSI,20241218,11086.1853
H00922.CSI,20241217,11017.8549
H00922.CSI,20241216,11057.7607
H00922.CSI,20241213,10965.977
H00922.CSI,20241212,11161.1933
H00922.CSI,20241211,11117.6669
H00922.CSI,20241210,11056.9144
H00922.CSI,20241209,11054.7144
H00922.CSI,20241206,11036.6292
H00922.CSI,20241205,10887.7204
H00922.CSI,20241204,10905.8734
H00922.CSI,20241203,10887.8581
H00922.CSI,20241202,10777.916
H00922.CSI,20241129,10721.5044
H00922.CSI,20241128,10654.2698
H00922.CSI,20241127,10692.7842
H00922.CSI,20241126,10577.9096
H00922.CSI,20241125,10573.8924
H00922.CSI,20241122,10557.4431
H00922.CSI,20241121,10851.7178
H00922.CSI,20241120,10860.8879
H00922.CSI,20241119,10828.5762
H00922.CSI,20241118,10819.6143
H00922.CSI,20241115,10644.0134
H00922.CSI,20241114,10676.1496
