ts_code,trade_date,close
H00300.CSI,20150105,4192.9874
H00300.CSI,20150106,4192.4325
H00300.CSI,20150107,4195.5765
H00300.CSI,20150108,4098.2451
H00300.CSI,20150109,4084.7204
H00300.CSI,20150112,4046.5451
H00300.CSI,20150113,4047.0794
H00300.CSI,20150114,4033.7008
H00300.CSI,20150115,4150.8248
H00300.CSI,20150116,4186.5566
H00300.CSI,20150119,3864.0944
H00300.CSI,20150120,3911.3901
H00300.CSI,20150121,4087.2102
H00300.CSI,20150122,4108.7795
H00300.CSI,20150123,4113.5228
H00300.CSI,20150126,4155.275
H00300.CSI,20150127,4117.2074
H00300.CSI,20150128,4060.0744
H00300.CSI,20150129,4009.9472
H00300.CSI,20150130,3955.3479
H00300.CSI,20150202,3862.7179
H00300.CSI,20150203,3958.8664
H00300.CSI,20150204,3917.7781
H00300.CSI,20150205,3877.6733
H00300.CSI,20150206,3814.8765
H00300.CSI,20150209,3853.4594
H00300.CSI,20150210,3923.7372
H00300.CSI,20150211,3955.0411
H00300.CSI,20150212,3965.1189
H00300.CSI,20150213,3996.1614
H00300.CSI,20150216,4030.3154
H00300.CSI,20150217,4056.6186
H00300.CSI,20150225,4006.4122
H00300.CSI,20150226,4107.2612
H00300.CSI,20150227,4114.8032
H00300.CSI,20150302,4147.5365
H00300.CSI,20150303,4040.0089
H00300.CSI,20150304,4066.4072
H00300.CSI,20150305,4026.6996
H00300.CSI,20150306,4006.1717
H00300.CSI,20150309,4074.3869
H00300.CSI,20150310,4054.6473
H00300.CSI,20150311,4059.3026
H00300.CSI,20150312,4137.8375
H00300.CSI,20150313,4166.4148
H00300.CSI,20150316,4267.7798
H00300.CSI,20150317,4327.0352
H00300.CSI,20150318,4429.4582
H00300.CSI,20150319,4422.1842
H00300.CSI,20150320,4483.0332
H00300.CSI,20150323,4574.5776
H00300.CSI,20150324,4575.7125
H00300.CSI,20150325,4538.128
H00300.CSI,20150326,4549.1685
H00300.CSI,20150327,4574.1585
H00300.CSI,20150330,4708.3087
H00300.CSI,20150331,4665.7258
H00300.CSI,20150401,4749.4433
H00300.CSI,20150402,4750.4581
H00300.CSI,20150403,4803.161
H00300.CSI,20150407,4906.2447
H00300.CSI,20150408,4947.4278
H00300.CSI,20150409,4909.0622
H00300.CSI,20150410,5003.8285
H00300.CSI,20150413,5092.5883
H00300.CSI,20150414,5112.6103
H00300.CSI,20150415,5046.7326
H00300.CSI,20150416,5200.0389
H00300.CSI,20150417,5295.1906
H00300.CSI,20150420,5209.6859
H00300.CSI,20150421,5321.7219
H00300.CSI,20150422,5460.8508
H00300.CSI,20150423,5462.1213
H00300.CSI,20150424,5418.1157
H00300.CSI,20150427,5539.0341
H00300.CSI,20150428,5463.3029
H00300.CSI,20150429,5500.8869
H00300.CSI,20150430,5474.6445
H00300.CSI,20150504,5518.4874
H00300.CSI,20150505,5298.4456
H00300.CSI,20150506,5248.295
H00300.CSI,20150507,5152.3525
H00300.CSI,20150508,5254.6875
H00300.CSI,20150511,5407.1282
H00300.CSI,20150512,5472.9946
H00300.CSI,20150513,5439.7853
H00300.CSI,20150514,5419.8519
H00300.CSI,20150515,5324.1284
H00300.CSI,20150518,5275.588
H00300.CSI,20150519,5455.7202
H00300.CSI,20150520,5483.9658
H00300.CSI,20150521,5583.628
H00300.CSI,20150522,5711.5725
H00300.CSI,20150525,5882.4812
H00300.CSI,20150526,5997.4481
H00300.CSI,20150527,5980.5213
H00300.CSI,20150528,5580.9091
H00300.CSI,20150529,5588.8314
H00300.CSI,20150601,5860.7629
H00300.CSI,20150602,5959.8412
H00300.CSI,20150603,5942.7191
H00300.CSI,20150604,5986.6316
H00300.CSI,20150605,6043.5718
H00300.CSI,20150608,6186.0209
H00300.CSI,20150609,6144.3615
H00300.CSI,20150610,6135.8367
H00300.CSI,20150611,6133.881
H00300.CSI,20150612,6167.4134
H00300.CSI,20150615,6036.4537
H00300.CSI,20150616,5857.2185
H00300.CSI,20150617,5943.0553
H00300.CSI,20150618,5702.815
H00300.CSI,20150619,5366.7579
H00300.CSI,20150623,5543.5541
H00300.CSI,20150624,5652.7675
H00300.CSI,20150625,5452.2169
H00300.CSI,20150626,5024.7145
H00300.CSI,20150629,4857.1192
H00300.CSI,20150630,5184.4053
H00300.CSI,20150701,4930.6731
H00300.CSI,20150702,4762.6174
H00300.CSI,20150703,4515.4125
H00300.CSI,20150706,4647.2651
H00300.CSI,20150707,4569.6151
H00300.CSI,20150708,4262.9472
H00300.CSI,20150709,4536.566
H00300.CSI,20150710,4782.2093
H00300.CSI,20150713,4905.5183
H00300.CSI,20150714,4789.545
H00300.CSI,20150715,4620.7867
H00300.CSI,20150716,4657.0419
H00300.CSI,20150717,4839.821
H00300.CSI,20150720,4850.4489
H00300.CSI,20150721,4859.1285
H00300.CSI,20150722,4851.0546
H00300.CSI,20150723,4960.9967
H00300.CSI,20150724,4874.2506
H00300.CSI,20150727,4458.1898
H00300.CSI,20150728,4449.3964
H00300.CSI,20150729,4588.6617
H00300.CSI,20150730,4454.5235
H00300.CSI,20150731,4456.0971
H00300.CSI,20150803,4470.7334
H00300.CSI,20150804,4609.5756
H00300.CSI,20150805,4514.7076
H00300.CSI,20150806,4473.862
H00300.CSI,20150807,4561.9682
H00300.CSI,20150810,4769.2074
H00300.CSI,20150811,4748.545
H00300.CSI,20150812,4689.6699
H00300.CSI,20150813,4758.958
H00300.CSI,20150814,4757.7056
H00300.CSI,20150817,4762.7653
H00300.CSI,20150818,4468.0591
H00300.CSI,20150819,4538.9839
H00300.CSI,20150820,4393.6646
H00300.CSI,20150821,4193.2712
H00300.CSI,20150824,3826.4567
H00300.CSI,20150825,3554.7713
H00300.CSI,20150826,3534.6376
H00300.CSI,20150827,3744.8514
H00300.CSI,20150828,3904.4856
H00300.CSI,20150831,3932.8142
H00300.CSI,20150901,3927.6119
H00300.CSI,20150902,3931.9917
H00300.CSI,20150907,3797.2426
H00300.CSI,20150908,3894.8327
H00300.CSI,20150909,3971.9919
H00300.CSI,20150910,3923.2148
H00300.CSI,20150911,3911.094
H00300.CSI,20150914,3833.9093
H00300.CSI,20150915,3683.2935
H00300.CSI,20150916,3866.9076
H00300.CSI,20150917,3782.4826
H00300.CSI,20150918,3799.2946
H00300.CSI,20150921,3865.8713
H00300.CSI,20150922,3901.8433
H00300.CSI,20150923,3813.8918
H00300.CSI,20150924,3839.6247
H00300.CSI,20150925,3777.6207
H00300.CSI,20150928,3790.2452
H00300.CSI,20150929,3715.6338
H00300.CSI,20150930,3743.7952
H00300.CSI,20151008,3853.1239
H00300.CSI,20151009,3904.1258
H00300.CSI,20151012,4030.4094
H00300.CSI,20151013,4027.3546
H00300.CSI,20151014,3981.8425
H00300.CSI,20151015,4076.1871
H00300.CSI,20151016,4131.4241
H00300.CSI,20151019,4131.5606
H00300.CSI,20151020,4182.548
H00300.CSI,20151021,4060.4417
H00300.CSI,20151022,4120.3905
H00300.CSI,20151023,4174.994
H00300.CSI,20151026,4196.0605
H00300.CSI,20151027,4200.2904
H00300.CSI,20151028,4120.8417
H00300.CSI,20151029,4130.6462
H00300.CSI,20151030,4131.5491
H00300.CSI,20151102,4063.6074
H00300.CSI,20151103,4051.3679
H00300.CSI,20151104,4242.0751
H00300.CSI,20151105,4332.5998
H00300.CSI,20151106,4434.7829
H00300.CSI,20151109,4489.7075
H00300.CSI,20151110,4481.3873
H00300.CSI,20151111,4481.8641
H00300.CSI,20151112,4437.0629
H00300.CSI,20151113,4379.6818
