code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,div_total,buy_price,last_price,max_yr_loss
000001.SZ,平安银行,银行,70.82629673026459,5.503369094603183,32.60971351256752,38.21658321769707,34.17798818999999,28.795585826364345,8.619278103573288,11.43,34177.98819,-27.028905703135607
000002.SZ,万科Ａ,全国地产,10.801112269589396,1.0334695783100534,-26.777140056939864,37.57825232652926,95.7029664657,51.3014763014763,9.710082350687898,7.110000000000001,95702.9664657,-36.511925784270204
000006.SZ,深振业Ａ,区域地产,63.82979304407892,5.063083768641752,29.07500955552489,34.754783488554025,26.56485173,26.939715714365974,5.6168889895617085,7.25,26564.85173,-43.91277057722023
000007.SZ,全新好,其他商业,-27.4752735860852,-3.1589553146264104,-27.458249295653015,-0.017024290432186007,0.0,0.0,9.677185802436574,7.02,0.0,-51.62031642526501
000008.SZ,神州高铁,运输设备,-41.077645772791335,-5.149665930707547,-42.089286242856204,1.0116404700648687,1.6375899999999999,1.7610124595310417,4.904101185680276,2.84,1637.59,-54.63707772086679
000009.SZ,中国宝安,电气设备,9.578738671863896,0.9214509082872135,0.256857622517237,9.321881049346658,3.7312793,9.261232463150426,8.87719823965548,8.9,3731.2793,-39.852622476009536
000011.SZ,深物业A,房产服务,57.630359744658975,4.658581093755099,14.916081392086443,42.714278352572535,48.1774853,37.162364945978396,7.501125948237916,8.62,48177.4853,-41.876309331883476
000012.SZ,南玻Ａ,玻璃,38.76158398079432,3.332700780994413,6.9849988419400155,31.776585138854305,38.327605000000005,29.708299293574903,4.804411885439988,5.14,38327.605,-43.72556195036699
000014.SZ,沙河股份,全国地产,6.207187583339779,0.6065477454846757,-1.5835424335798653,7.790730016919644,5.116746265,7.8871361919573335,11.10586610234723,10.93,5116.746265,-48.05444651373083
000017.SZ,深中华A,服饰,-8.61879363500001,-0.8947766402582769,-8.596414921568574,-0.02237871343143638,0.0,0.0,6.98003256056692,6.38,0.0,-50.79351953446096
000019.SZ,深粮控股,农业综合,97.40913598193497,7.040364843931557,63.58473570342511,33.824400278509856,34.02405,20.69874226392494,3.9918149892901504,6.53,34024.05,-41.234129334585326
000020.SZ,深华发Ａ,元器件,-0.0249921999999958,0.0,-0.006209351853647682,-0.01878284814634812,0.0,0.0,12.400770007442324,12.4,0.0,-36.80087820678413
