code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,buy_price,last_price,div_total,max_yr_loss
000002.SZ,万科Ａ,全国地产,10.801112269589396,1.0334695783100534,-26.777140056939864,37.57825232652926,95.7029664657,51.3014763014763,9.710082350687898,7.110000000000001,95702.9664657,-36.511925784270204
600016.SH,民生银行,银行,33.81248080073813,2.9580996483586697,-26.77914981511219,60.59163061585032,61.00979494999999,82.77184333059435,5.476582134562037,4.01,61009.794949999996,-16.821857955650778
600585.SH,海螺水泥,水泥,69.33551631272287,5.410933686552277,2.34527642999518,66.99023988272769,73.00163575,65.3811045184847,22.814926896964856,23.35,73001.63575,-7.155661065962072
600188.SH,兖矿能源,煤炭开采,126.27330383837561,8.511105258773854,10.682881953076073,115.59042188529953,102.2698841,104.41450480149061,14.329225730428517,15.86,102269.8841,-34.67876989154072
601006.SH,大秦铁路,铁路,141.84668515210106,9.235768789692855,14.578236409242251,127.26844874285881,110.68087195999998,111.1200737497119,5.76025622913814,6.6000000000000005,110680.87195999999,-15.646727895930223
600048.SH,保利发展,全国地产,70.66268302006495,5.493259698305475,9.829448361364612,60.833234658700334,74.02955232000001,55.391304347826086,7.903162703176625,8.68,74029.55232,-30.006383618336287
601818.SH,光大银行,银行,128.78542268632165,8.630978364756015,29.87002938192036,98.91539330440129,79.21060924000001,76.21304834956477,2.8721022223155557,3.73,79210.60924,-6.861625434400631
601998.SH,中信银行,银行,122.67981510278219,8.337532755697463,28.933584367163224,93.74623073561897,64.05727019999999,72.74353040185146,5.258521302481318,6.78,64057.2702,-11.519260082703608
600028.SH,中国石化,石油加工,274.8324308099373,14.128621469473558,77.1577168287263,197.67471398121103,128.03718655,111.62635653172339,3.7029151862134912,6.56,128037.18655,-24.255625903912247
600015.SH,华夏银行,银行,114.66882263454683,7.941327076874249,32.511618774048756,82.15720386049807,60.2174718,62.03346203346203,5.848543751634985,7.75,60217.4718,-13.898796951608139
600104.SH,上汽集团,汽车整车,120.08603578571191,8.210674628725778,36.13658505921049,83.94945072650142,86.5606192,61.67505592841162,13.978608315849261,19.03,86560.6192,-24.057508755838274
601169.SH,北京银行,银行,207.91940308838153,11.906306390986066,63.098484107047106,144.82091898133442,101.89629274999999,88.84294469467622,3.6910214297570465,6.02,101896.29275,-12.457063389758982
600019.SH,宝钢股份,普钢,181.03921237082847,10.888765337247786,56.04348108330635,124.99573128752212,97.1939212,80.13662171753015,4.434661385377352,6.92,97193.9212,-21.538561297383385
600000.SH,浦发银行,银行,113.83483005552594,7.899318139324207,39.52497129569521,74.30985875983073,63.87611082,53.27523602033406,7.260349101618158,10.13,63876.11082,-20.25340291749268
601088.SH,中国神华,煤炭开采,849.4182052781784,25.24390821607081,295.6748114889065,553.743393789272,248.7813937,139.9978466838932,10.763889629399392,42.59,248781.3937,-27.32233682945544
601328.SH,交通银行,银行,267.39572637445167,13.900142115661772,93.48652924675325,173.9091971276984,108.1195602,89.93343454396823,3.891743797004595,7.530000000000001,108119.5602,-8.788071767320094
000157.SZ,中联重科,工程机械,121.56464407407638,8.283155163237431,43.62689719221289,77.93774688186349,58.84157,54.292399941500506,4.873738928323464,7.0,58841.57,-23.656457471917957
000895.SZ,双汇发展,食品,365.4251517475476,16.626123507883083,135.7180526506633,229.7070990968843,199.7437969,97.43617837186369,10.953764342464478,25.82,199743.79690000002,-25.632817022849153
600741.SH,华域汽车,汽车配件,163.64949965733692,10.182735499894214,62.71808643157959,100.93141322575732,99.8839294,62.02344492554652,10.558137928461887,17.18,99883.9294,-33.38478318653183
000983.SZ,山西焦煤,煤炭开采,162.644016789019,10.140642801048404,62.86805532800266,99.77596146101632,88.09977174500001,61.297060966723336,4.856692114405075,7.91,88099.771745,-44.91872337072197
601668.SH,中国建筑,建筑工程,164.06748938278938,10.200191552672532,63.44899117250331,100.61849821028606,75.40577551999999,61.598461374078425,3.5607439105314507,5.82,75405.77552,-9.2105983809023
601988.SH,中国银行,银行,301.7046242126939,14.921566922176233,118.07113275762728,183.6334914550666,105.85900875,84.258232961403,2.4624992460457507,5.37,105859.00875000001,-2.6564687903170237
