trade_date,close
20161230,3958.5305
20161229,3943.8018
20161228,3948.7336
20161227,3966.0701
20161226,3973.2639
20161223,3955.5628
20161222,3989.1351
20161221,3992.5602
20161220,3957.3147
20161219,3981.1354
20161216,4001.5229
20161215,3994.8298
20161214,4040.8857
20161213,4072.087
20161212,4076.9562
20161209,4178.0329
20161208,4149.8606
20161207,4156.5632
20161206,4136.632
20161205,4148.8943
20161202,4220.1041
20161201,4263.2519
20161130,4230.9221
20161129,4262.0613
20161128,4227.4299
20161125,4210.8737
20161124,4171.9396
20161123,4155.1845
20161122,4147.5728
20161121,4114.9827
20161118,4086.6951
20161117,4109.5111
20161116,4101.2086
20161115,4101.5406
20161114,4101.9931
20161111,4086.4149
20161110,4054.5949
20161109,4009.6829
20161108,4031.2832
20161107,4013.8095
20161104,4010.9196
20161103,4023.9658
20161102,3985.9542
20161101,4016.6846
20161031,3989.4523
20161028,3994.0541
20161027,4000.7131
20161026,4011.6011
20161025,4026.733
20161024,4026.8645
20161021,3979.2275
20161020,3968.3034
20161019,3965.3699
20161018,3971.4583
20161017,3919.4989
20161014,3952.943
20161013,3949.1136
20161012,3945.962
20161011,3953.7911
20161010,3938.619
20160930,3890.0908
20160929,3879.3379
20160928,3863.0068
20160927,3874.8009
20160926,3850.325
20160923,3914.9998
20160922,3933.4707
20160921,3904.2071
20160920,3892.6795
20160919,3899.516
20160914,3870.3642
20160913,3896.1804
20160912,3898.8948
20160909,3965.1466
20160908,3990.8635
20160907,3992.3612
20160906,3994.5225
20160905,3967.102
20160902,3959.4929
20160901,3944.5139
20160831,3975.8364
20160830,3956.8215
20160829,3951.7966
20160826,3950.9711
20160825,3952.9283
20160824,3977.8848
20160823,3991.1172
20160822,3984.8674
20160819,4018.574
20160818,4016.1057
20160817,4026.1437
20160816,4032.3475
20160815,4050.4653
20160812,3932.0696
20160811,3858.4494
20160810,3868.9634
20160809,3885.0594
20160808,3857.8649
20160805,3823.1853
20160804,3817.2822
20160803,3808.0034
20160802,3802.6919
20160801,3788.0921
20160729,3820.4321
20160728,3838.2278
20160727,3834.7552
20160726,3895.3866
20160725,3848.993
20160722,3841.0464
20160721,3873.0883
20160720,3855.2338
20160719,3867.6266
20160718,3882.2713
20160715,3899.0807
20160714,3897.1882
20160713,3904.2691
20160712,3884.7414
20160711,3801.3501
20160708,3787.0535
20160707,3801.6451
20160706,3802.3579
20160705,3789.8894
20160704,3784.6305
20160701,3724.7199
20160630,3722.8907
20160629,3718.2874
20160628,3700.4483
20160627,3680.5142
20160624,3629.043
20160623,3671.4418
20160622,3687.9997
20160621,3654.8582
20160620,3662.3376
20160617,3659.2176
20160616,3638.965
20160615,3662.0057
20160614,3614.2851
20160613,3602.8308
20160608,3717.4351
20160607,3730.5507
20160606,3732.1435
20160603,3740.9048
20160602,3714.4623
20160601,3706.6641
20160531,3717.1992
20160530,3595.6588
20160527,3590.5516
20160526,3592.5464
20160525,3586.6983
20160524,3591.4916
20160523,3619.1622
20160520,3607.6454
20160519,3589.2082
20160518,3595.4304
20160517,3615.723
20160516,3625.4177
20160513,3601.4051
20160512,3619.2101
20160511,3610.599
20160510,3594.4979
20160509,3590.4023
20160506,3666.2209
20160505,3761.6443
20160504,3756.426
20160503,3761.0725
20160429,3694.4626
20160428,3698.2788
20160427,3703.974
20160426,3719.1064
20160425,3699.0146
20160422,3714.0293
20160421,3697.0424
20160420,3720.9318
20160419,3787.9297
20160418,3776.3684
20160415,3827.5018
20160414,3831.6404
20160413,3814.7398
20160412,3764.5219
20160411,3777.9571
20160408,3726.0615
20160407,3753.6228
20160406,3810.024
20160405,3818.1624
20160401,3768.3476
20160331,3763.8177
20160330,3761.6977
20160329,3667.1189
20160328,3707.2572
20160325,3740.1091
20160324,3721.4354
20160323,3784.8755
20160322,3772.8264
20160321,3800.4833
20160318,3709.8709
20160317,3654.0127
20160316,3614.0468
20160315,3596.207
20160314,3585.5763
20160311,3530.1312
20160310,3524.121
20160309,3592.8471
20160308,3634.6781
20160307,3631.3646
20160304,3618.5575
20160303,3577.0752
20160302,3568.7839
20160301,3427.6867
20160229,3365.4332
20160226,3447.9636
20160225,3412.8006
20160224,3635.8914
20160223,3612.293
20160222,3646.7914
20160219,3568.1201
20160218,3570.5914
20160217,3581.8414
20160216,3551.1077
20160215,3445.4892
20160205,3465.4636
20160204,3489.9836
20160203,3447.7483
20160202,3462.5923
20160201,3392.1017
20160129,3444.7685
20160128,3336.8053
20160127,3426.3662
20160126,3438.242
20160125,3658.5057
20160122,3640.4716
20160121,3602.918
20160120,3711.6982
20160119,3768.6965
20160118,3660.6605
20160115,3646.6308
20160114,3766.8798
20160113,3689.9814
20160112,3759.9385
20160111,3732.742
20160108,3930.4761
20160107,3851.9273
20160106,4138.8874
20160105,4067.5304
20160104,4056.173
20171229,4918.5184
20171228,4903.9277
20171227,4870.14
20171226,4946.2997
20171225,4931.5566
20171222,4947.4905
20171221,4963.6586
20171220,4918.0729
20171219,4923.9782
20171218,4862.921
20171215,4857.5086
20171214,4912.7793
20171213,4941.9927
20171212,4900.4121
20171211,4965.6734
20171208,4884.992
20171207,4845.5518
20171206,4900.1739
20171205,4929.8721
20171204,4903.8653
20171201,4878.5817
20171130,4888.2981
20171129,4946.4456
20171128,4948.9722
20171127,4941.8022
20171124,5008.006
20171123,5005.7798
20171122,5158.5133
20171121,5146.4759
20171120,5056.3414
20171117,5028.2785
20171116,5008.9523
20171115,4970.7078
20171114,5002.0444
20171113,5037.0914
20171110,5017.3704
20171109,4973.4292
20171108,4939.3927
20171107,4947.0077
20171106,4906.3055
20171103,4871.9059
20171102,4877.3192
20171101,4876.6942
20171031,4889.0131
20171030,4892.6785
20171027,4907.6209
20171026,4872.9521
20171025,4852.6649
20171024,4831.2459
20171023,4796.3188
20171020,4791.5038
20171019,4796.5573
20171018,4812.3126
20171017,4774.3747
20171016,4774.8352
20171013,4784.0538
20171012,4774.2342
20171011,4761.7076
20171010,4746.062
20171009,4736.7207
20170929,4680.954
20170928,4663.918
20170927,4662.2848
20170926,4661.7742
20170925,4656.9064
20170922,4681.2277
20170921,4681.334
20170920,4686.9667
20170919,4673.9277
20170918,4687.3767
20170915,4672.9281
20170914,4671.1462
20170913,4686.5754
20170912,4680.8774
20170911,4665.8895
20170908,4666.3093
20170907,4671.0436
20170906,4694.9224
20170905,4704.1873
20170904,4690.2469
20170901,4669.5297
20170831,4659.2344
20170830,4674.1159
20170829,4674.405
20170828,4682.0601
20170825,4624.8458
20170824,4549.7468
20170823,4575.5313
20170822,4570.9139
20170821,4557.1439
