ts_code,trade_date,close,pre_close,pct_chg
000906.SH,20150105,3944.364,3839.385,2.7343
000906.SH,20150106,3955.21,3944.364,0.275
000906.SH,20150107,3958.937,3955.21,0.0942
000906.SH,20150108,3881.915,3958.937,-1.9455
000906.SH,20150109,3865.424,3881.915,-0.4248
000906.SH,20150112,3824.61,3865.424,-1.0559
000906.SH,20150113,3837.987,3824.61,0.3498
000906.SH,20150114,3823.964,3837.987,-0.3654
000906.SH,20150115,3919.498,3823.964,2.4983
000906.SH,20150116,3957.55,3919.498,0.9708
000906.SH,20150119,3686.077,3957.55,-6.8596
000906.SH,20150120,3753.665,3686.077,1.8336
000906.SH,20150121,3903.341,3753.665,3.9875
000906.SH,20150122,3932.654,3903.341,0.751
000906.SH,20150123,3925.878,3932.654,-0.1723
000906.SH,20150126,3977.928,3925.878,1.3258
000906.SH,20150127,3953.524,3977.928,-0.6135
000906.SH,20150128,3906.894,3953.524,-1.1795
000906.SH,20150129,3864.384,3906.894,-1.0881
000906.SH,20150130,3813.397,3864.384,-1.3194
000906.SH,20150202,3743.43,3813.397,-1.8348
000906.SH,20150203,3829.204,3743.43,2.2913
000906.SH,20150204,3795.751,3829.204,-0.8736
000906.SH,20150205,3762.044,3795.751,-0.888
000906.SH,20150206,3696.152,3762.044,-1.7515
000906.SH,20150209,3718.232,3696.152,0.5974
000906.SH,20150210,3781.643,3718.232,1.7054
000906.SH,20150211,3814.768,3781.643,0.8759
000906.SH,20150212,3828.984,3814.768,0.3727
000906.SH,20150213,3866.719,3828.984,0.9855
000906.SH,20150216,3908.892,3866.719,1.0907
000906.SH,20150217,3934.952,3908.892,0.6667
000906.SH,20150225,3898.491,3934.952,-0.9266
000906.SH,20150226,3981.348,3898.491,2.1254
000906.SH,20150227,3995.426,3981.348,0.3536
000906.SH,20150302,4040.309,3995.426,1.1234
000906.SH,20150303,3960.18,4040.309,-1.9832
000906.SH,20150304,3995.295,3960.18,0.8867
000906.SH,20150305,3966.844,3995.295,-0.7121
000906.SH,20150306,3938.717,3966.844,-0.7091
000906.SH,20150309,4001.285,3938.717,1.5885
000906.SH,20150310,3998.73,4001.285,-0.0639
000906.SH,20150311,3999.625,3998.73,0.0224
000906.SH,20150312,4054.983,3999.625,1.3841
000906.SH,20150313,4087.653,4054.983,0.8057
000906.SH,20150316,4193.01,4087.653,2.5774
000906.SH,20150317,4253.151,4193.01,1.4343
000906.SH,20150318,4345.523,4253.151,2.1718
000906.SH,20150319,4350.036,4345.523,0.1039
000906.SH,20150320,4405.462,4350.036,1.2742
000906.SH,20150323,4500.114,4405.462,2.1485
000906.SH,20150324,4506.077,4500.114,0.1325
000906.SH,20150325,4493.4,4506.077,-0.2813
000906.SH,20150326,4492.261,4493.4,-0.0253
000906.SH,20150327,4524.535,4492.261,0.7184
000906.SH,20150330,4635.794,4524.535,2.459
000906.SH,20150331,4606.897,4635.794,-0.6233
000906.SH,20150401,4697.128,4606.897,1.9586
000906.SH,20150402,4721.89,4697.128,0.5272
000906.SH,20150403,4780.42,4721.89,1.2395
000906.SH,20150407,4886.485,4780.42,2.2187
000906.SH,20150408,4905.891,4886.485,0.3971
000906.SH,20150409,4867.327,4905.891,-0.7861
000906.SH,20150410,4971.358,4867.327,2.1373
000906.SH,20150413,5064.494,4971.358,1.8735
000906.SH,20150414,5077.968,5064.494,0.266
000906.SH,20150415,4974.25,5077.968,-2.0425
000906.SH,20150416,5102.565,4974.25,2.5796
000906.SH,20150417,5182.363,5102.565,1.5639
000906.SH,20150420,5096.542,5182.363,-1.656
000906.SH,20150421,5224.723,5096.542,2.5151
000906.SH,20150422,5360.982,5224.723,2.608
000906.SH,20150423,5377.429,5360.982,0.3068
000906.SH,20150424,5347.642,5377.429,-0.5539
000906.SH,20150427,5450.228,5347.642,1.9183
000906.SH,20150428,5352.501,5450.228,-1.7931
000906.SH,20150429,5407.904,5352.501,1.0351
000906.SH,20150430,5395.306,5407.904,-0.233
000906.SH,20150504,5433.542,5395.306,0.7087
000906.SH,20150505,5221.92,5433.542,-3.8947
000906.SH,20150506,5165.582,5221.92,-1.0789
000906.SH,20150507,5065.485,5165.582,-1.9378
000906.SH,20150508,5190.84,5065.485,2.4747
000906.SH,20150511,5362.567,5190.84,3.3083
000906.SH,20150512,5442.534,5362.567,1.4912
000906.SH,20150513,5432.968,5442.534,-0.1758
000906.SH,20150514,5416.47,5432.968,-0.3037
000906.SH,20150515,5335.767,5416.47,-1.49
000906.SH,20150518,5329.834,5335.767,-0.1112
000906.SH,20150519,5496.938,5329.834,3.1353
000906.SH,20150520,5543.53,5496.938,0.8476
000906.SH,20150521,5674.82,5543.53,2.3683
000906.SH,20150522,5793.447,5674.82,2.0904
000906.SH,20150525,5961.35,5793.447,2.8982
000906.SH,20150526,6102.073,5961.35,2.3606
000906.SH,20150527,6109.771,6102.073,0.1262
000906.SH,20150528,5713.429,6109.771,-6.487
