trade_date,close
20161230,1400.3997
20161229,1391.6853
20161228,1392.5502
20161227,1397.6453
20161226,1403.3664
20161223,1400.9186
20161222,1415.288
20161221,1409.9403
20161220,1387.9683
20161219,1397.9478
20161216,1401.091
20161215,1394.1606
20161214,1414.088
20161213,1422.3754
20161212,1416.5864
20161209,1445.3575
20161208,1434.6687
20161207,1436.5529
20161206,1432.0928
20161205,1434.7054
20161202,1466.991
20161201,1475.3429
20161130,1449.1322
20161129,1471.6387
20161128,1453.4047
20161125,1434.3734
20161124,1424.4617
20161123,1413.4944
20161122,1407.447
20161121,1392.613
20161118,1381.6553
20161117,1394.655
20161116,1389.7996
20161115,1389.9892
20161114,1394.8861
20161111,1392.1906
20161110,1385.4719
20161109,1374.0022
20161108,1380.082
20161107,1377.3143
20161104,1370.1418
20161103,1372.6687
20161102,1367.5014
20161101,1377.772
20161031,1372.0333
20161028,1370.1664
20161027,1372.0463
20161026,1377.2722
20161025,1384.7167
20161024,1380.4393
20161021,1357.3925
20161020,1353.4898
20161019,1354.3852
20161018,1354.1833
20161017,1341.0978
20161014,1350.0312
20161013,1343.4321
20161012,1347.8848
20161011,1351.2632
20161010,1345.3901
20160930,1332.5728
20160929,1327.0889
20160928,1320.4269
20160927,1323.7535
20160926,1317.9301
20160923,1336.6327
20160922,1339.189
20160921,1330.9566
20160920,1332.8641
20160919,1336.8714
20160914,1327.1288
20160913,1338.7437
20160912,1341.7519
20160909,1355.039
20160908,1362.9878
20160907,1364.8265
20160906,1368.9915
20160905,1358.7182
20160902,1348.248
20160901,1336.4532
20160831,1342.5082
20160830,1338.5578
20160829,1340.4827
20160826,1342.8496
20160825,1342.892
20160824,1348.0062
20160823,1350.6019
20160822,1350.0275
20160819,1357.3726
20160818,1361.4141
20160817,1368.9258
20160816,1370.2223
20160815,1377.1255
20160812,1351.3933
20160811,1340.5612
20160810,1345.4055
20160809,1352.5133
20160808,1344.8226
20160805,1335.9917
20160804,1340.6656
20160803,1346.3205
20160802,1340.9279
20160801,1339.7608
20160729,1344.7766
20160728,1351.5123
20160727,1335.113
20160726,1343.5592
20160725,1322.5475
20160722,1323.6256
20160721,1340.2123
20160720,1331.994
20160719,1335.5663
20160718,1351.0288
20160715,1356.4653
20160714,1343.7822
20160713,1348.9169
20160712,1350.611
20160711,1303.002
20160708,1289.6254
20160707,1302.9841
20160706,1309.747
20160705,1302.3142
20160704,1292.7618
20160701,1273.2433
20160630,1271.3236
20160629,1267.833
20160628,1263.6268
20160627,1262.4783
20160624,1244.3001
20160623,1259.9581
20160622,1268.5695
20160621,1259.5854
20160620,1264.3595
20160617,1262.3978
20160616,1253.0912
20160615,1263.1026
20160614,1249.9828
20160613,1246.9814
20160608,1276.9371
20160607,1282.7493
20160606,1282.3552
20160603,1281.9349
20160602,1276.0971
20160601,1269.4834
20160531,1269.8569
20160530,1239.0535
20160527,1243.6316
20160526,1244.2072
20160525,1244.767
20160524,1254.6975
20160523,1261.4388
20160520,1255.8959
20160519,1250.2915
20160518,1254.8432
20160517,1264.0691
20160516,1270.8265
20160513,1263.116
20160512,1273.0917
20160511,1268.1943
20160510,1250.8698
20160509,1246.6065
20160506,1271.7737
20160505,1297.076
20160504,1293.2296
20160503,1283.5585
20160429,1266.5889
20160428,1268.3063
20160427,1271.0675
20160426,1273.3562
20160425,1269.5656
20160422,1272.2113
20160421,1272.1143
20160420,1281.6055
20160419,1301.4535
20160418,1299.0639
20160415,1314.5842
20160414,1321.0711
20160413,1318.0097
20160412,1298.0403
20160411,1302.4106
20160408,1288.6154
20160407,1299.2894
20160406,1314.8911
20160405,1316.8159
20160401,1305.6521
20160331,1293.4244
20160330,1287.7438
20160329,1257.3304
20160328,1267.4469
20160325,1268.5252
20160324,1264.4251
20160323,1282.788
20160322,1285.2061
20160321,1291.2893
20160318,1275.7099
20160317,1266.8489
20160316,1258.4033
