
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 11.30% | | 中国石化 | 1000.0% | 1288.00% |
| 2 | 中国建筑 | 10.0% | 8.81% | | 中国神华 | 1000.0% | 1035.00% |
| 3 | 中国石油 | 10.0% | 3.16% | | 中国建筑 | 1000.0% | 884.00% |
| 4 | 中国神华 | 9.7% | 9.17% | | 中国石油 | 1000.0% | 339.00% |
| 5 | 中国中铁 | 7.6% | 6.13% | | 中国中铁 | 794.0% | 651.00% |
| 6 | 长江电力 | 6.7% | 6.93% | | 长江电力 | 700.0% | 1029.00% |
| 7 | 贵州茅台 | 6.7% | 4.81% | | 贵州茅台 | 694.0% | 462.00% |
| 8 | 美的集团 | 4.5% | 5.88% | | 美的集团 | 464.0% | 577.00% |
| 9 | 中国中冶 | 2.8% | 4.37% | | 中国中冶 | 294.0% | 466.00% |
| 10 | 格力电器 | 2.1% | 4.10% | | 格力电器 | 221.0% | 398.00% |

### 2018-03-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 10.92% | | 中国石化 | 1000.0% | 1243.00% |
| 2 | 中国建筑 | 10.0% | 8.94% | | 中国神华 | 1000.0% | 1007.00% |
| 3 | 中国石油 | 10.0% | 3.16% | | 中国建筑 | 1000.0% | 896.00% |
| 4 | 中国神华 | 9.6% | 8.77% | | 中国石油 | 1000.0% | 340.00% |
| 5 | 中国中铁 | 7.6% | 6.36% | | 中国中铁 | 799.0% | 671.00% |
| 6 | 长江电力 | 6.7% | 6.80% | | 长江电力 | 704.0% | 1023.00% |
| 7 | 贵州茅台 | 6.6% | 4.12% | | 贵州茅台 | 698.0% | 414.00% |
| 8 | 美的集团 | 4.4% | 5.09% | | 美的集团 | 467.0% | 518.00% |
| 9 | 中国中冶 | 2.8% | 4.61% | | 中国中冶 | 296.0% | 478.00% |
| 10 | 格力电器 | 2.1% | 3.30% | | 格力电器 | 222.0% | 331.00% |

### 2018-06-11

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 14.21% | | 中国神华 | 1000.0% | 1656.00% |
| 2 | 中国建筑 | 10.0% | 9.17% | | 中国石化 | 1000.0% | 1015.00% |
| 3 | 中国石化 | 10.0% | 8.80% | | 中国建筑 | 1000.0% | 919.00% |
| 4 | 中国石油 | 10.0% | 5.55% | | 中国石油 | 1000.0% | 604.00% |
| 5 | 长江电力 | 6.5% | 6.97% | | 长江电力 | 748.0% | 1048.00% |
| 6 | 中国联通 | 4.5% | 6.53% | | 中国联通 | 518.0% | 753.00% |
| 7 | 美的集团 | 3.7% | 4.45% | | 美的集团 | 427.0% | 446.00% |
| 8 | 宝钢股份 | 3.5% | 5.63% | | 宝钢股份 | 399.0% | 561.00% |
| 9 | 中国中冶 | 2.5% | 4.13% | | 中国中冶 | 289.0% | 425.00% |
| 10 | 格力电器 | 2.5% | 4.12% | | 格力电器 | 281.0% | 409.00% |

### 2018-09-17

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 15.62% | | 中国神华 | 1000.0% | 1825.00% |
| 2 | 中国建筑 | 10.0% | 9.42% | | 中国石化 | 1000.0% | 985.00% |
| 3 | 中国石化 | 10.0% | 8.59% | | 中国建筑 | 1000.0% | 947.00% |
| 4 | 中国石油 | 10.0% | 5.24% | | 中国石油 | 1000.0% | 566.00% |
| 5 | 长江电力 | 7.3% | 7.36% | | 长江电力 | 764.0% | 1094.00% |
| 6 | 中国联通 | 5.1% | 6.46% | | 中国联通 | 529.0% | 754.00% |
| 7 | 宝钢股份 | 3.9% | 6.16% | | 宝钢股份 | 408.0% | 623.00% |
| 8 | 中国中冶 | 2.8% | 4.16% | | 中国中冶 | 295.0% | 430.00% |
| 9 | 格力电器 | 2.8% | 5.13% | | 格力电器 | 287.0% | 520.00% |
| 10 | 潍柴动力 | 2.7% | 8.40% | | 潍柴动力 | 282.0% | 1029.00% |

### 2018-12-17

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国建筑 | 10.0% | 9.04% | | 中国神华 | 1000.0% | 1731.00% |
| 2 | XD伊利股 | 10.0% | 6.54% | | 中国石化 | 1000.0% | 1046.00% |
| 3 | 分众传媒 | 9.1% | 5.16% | | 中国建筑 | 1000.0% | 900.00% |
| 4 | 首钢股份 | 8.4% | 3.89% | | 中国石油 | 1000.0% | 607.00% |
| 5 | 恒逸石化 | 4.5% | 5.93% | | 长江电力 | 733.0% | 1121.00% |
