
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
| 3 | 中国石油 | 8.1% | 4.06% | | 中国神华 | 837.0% | 1513.00% |
| 4 | 中国神华 | 7.5% | 12.26% | | 中国电信 | 639.0% | 1573.00% |
| 5 | 中国电信 | 5.8% | 8.20% | | 陕西煤业 | 511.0% | 2158.00% |
| 6 | 陕西煤业 | 4.6% | 20.79% | | 中国联通 | 472.0% | 1085.00% |
| 7 | 中国联通 | 4.2% | 10.84% | | 中煤能源 | 446.0% | 1991.00% |
| 8 | 中煤能源 | 4.0% | 16.36% | | 宝钢股份 | 425.0% | 1304.00% |
| 9 | 宝钢股份 | 3.8% | 12.81% | | 长江电力 | 382.0% | 539.00% |
| 10 | 长江电力 | 3.4% | 5.34% | | 美的集团 | 334.0% | 510.00% |

### 2023-03-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 69.35% | | 中远海控 | 1000.0% | 8203.00% |
| 2 | 中国石化 | 8.5% | 5.83% | | 中国石化 | 873.0% | 628.00% |
| 3 | 中国石油 | 8.0% | 3.94% | | 中国石油 | 825.0% | 410.00% |
| 4 | 中国神华 | 7.4% | 12.69% | | 中国神华 | 769.0% | 1482.00% |
| 5 | 中国电信 | 5.7% | 6.26% | | 中国电信 | 587.0% | 1357.00% |
| 6 | 陕西煤业 | 4.5% | 21.12% | | 陕西煤业 | 469.0% | 2078.00% |
| 7 | 中煤能源 | 4.0% | 17.19% | | 中煤能源 | 410.0% | 2023.00% |
| 8 | 宝钢股份 | 3.8% | 12.27% | | 宝钢股份 | 391.0% | 1225.00% |
| 9 | 长江电力 | 3.4% | 5.21% | | 长江电力 | 351.0% | 534.00% |
| 10 | 中国联通 | 3.1% | 7.13% | | 中国联通 | 318.0% | 705.00% |

### 2023-06-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 98.63% | | 中远海控 | 1000.0% | 11935.00% |
| 2 | 中国石油 | 10.0% | 6.60% | | 中国石油 | 1000.0% | 691.00% |
| 3 | XD中国移 | 8.7% | 3.46% | | 中国移动 | 998.0% | 2892.00% |
| 4 | 中国神华 | 7.7% | 14.48% | | 中国神华 | 753.0% | 1675.00% |
| 5 | 陕西煤业 | 4.4% | 23.96% | | 中国石化 | 746.0% | 581.00% |
| 6 | 中国电信 | 4.4% | 5.12% | | 中国电信 | 425.0% | 1093.00% |
| 7 | 比亚迪 | 4.1% | 3.89% | | 比亚迪 | 403.0% | 695.00% |
| 8 | 兖矿能源 | 3.4% | 13.75% | | 陕西煤业 | 401.0% | 2261.00% |
| 9 | 中煤能源 | 3.2% | 17.66% | | 兖矿能源 | 328.0% | 1696.00% |
| 10 | 潞安环能 | 3.1% | 53.36% | | 中煤能源 | 315.0% | 2090.00% |

### 2023-09-11

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 96.77% | | 中远海控 | 1000.0% | 12697.00% |
| 2 | 中国石油 | 10.0% | 6.40% | | 中国石油 | 1000.0% | 674.00% |
| 3 | XD中国移 | 8.8% | 3.62% | | 中国移动 | 945.0% | 2900.00% |
| 4 | 中国神华 | 7.8% | 13.42% | | 中国神华 | 713.0% | 1677.00% |
| 5 | 陕西煤业 | 4.4% | 21.95% | | 中国石化 | 706.0% | 596.00% |
| 6 | 中国电信 | 4.4% | 5.45% | | 中国电信 | 402.0% | 1113.00% |
| 7 | 比亚迪 | 4.2% | 3.97% | | 比亚迪 | 382.0% | 713.00% |
| 8 | 兖矿能源 | 3.4% | 12.68% | | 陕西煤业 | 380.0% | 2254.00% |
| 9 | 中煤能源 | 3.3% | 17.60% | | 兖矿能源 | 310.0% | 1682.00% |
| 10 | 潞安环能 | 3.2% | 46.81% | | 中煤能源 | 298.0% | 2094.00% |

### 2023-12-11

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 98.53% | | 中远海控 | 1000.0% | 12518.00% |
| 2 | 中国石油 | 10.0% | 6.93% | | 中国移动 | 1000.0% | 2291.00% |
| 3 | XD中国移 | 9.4% | 4.87% | | 中国石油 | 1000.0% | 742.00% |
| 4 | 中国海油 | 9.0% | 9.40% | | 中国神华 | 712.0% | 1607.00% |
| 5 | 中国神华 | 6.6% | 13.19% | | 中国石化 | 705.0% | 636.00% |
| 6 | 陕西煤业 | 3.7% | 19.78% | | 中国电信 | 401.0% | 1152.00% |
| 7 | 中国电信 | 3.7% | 5.89% | | 比亚迪 | 381.0% | 784.00% |
| 8 | 比亚迪 | 3.5% | 4.32% | | 陕西煤业 | 379.0% | 2078.00% |
| 9 | 兖矿能源 | 2.9% | 10.17% | | 兖矿能源 | 310.0% | 1653.00% |
| 10 | 中煤能源 | 2.7% | 16.76% | | 中煤能源 | 298.0% | 1957.00% |

### 2024-03-11

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 93.34% | | 中远海控 | 1000.0% | 11819.00% |
| 2 | 中国石油 | 10.0% | 5.80% | | 中国石油 | 1000.0% | 634.00% |
| 3 | XD中国移 | 9.6% | 4.23% | | 中国移动 | 973.0% | 2244.00% |
| 4 | 中国海油 | 9.1% | 6.60% | | 中国神华 | 674.0% | 1286.00% |
| 5 | 中国神华 | 6.6% | 10.18% | | 中国石化 | 668.0% | 592.00% |
| 6 | 陕西煤业 | 3.8% | 14.70% | | 中国海油 | 545.0% | 2127.00% |
| 7 | 中国电信 | 3.7% | 5.38% | | 中国电信 | 380.0% | 1114.00% |
| 8 | 比亚迪 | 3.5% | 4.45% | | 比亚迪 | 361.0% | 785.00% |
| 9 | 兖矿能源 | 2.9% | 8.77% | | 陕西煤业 | 359.0% | 1579.00% |
| 10 | 中煤能源 | 2.8% | 14.01% | | 兖矿能源 | 293.0% | 1468.00% |

### 2024-06-17

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石油 | 10.0% | 5.91% | | 中国移动 | 1000.0% | 2022.00% |
| 2 | XD中国移 | 10.0% | 4.09% | | 中国石油 | 1000.0% | 650.00% |
| 3 | 中国海油 | 8.7% | 5.69% | | 中国海油 | 876.0% | 3697.00% |
| 4 | 宁德时代 | 6.6% | 6.82% | | 宁德时代 | 663.0% | 740.00% |
| 5 | 长江电力 | 5.4% | 5.57% | | 长江电力 | 541.0% | 564.00% |
| 6 | 美的集团 | 5.3% | 8.33% | | 美的集团 | 533.0% | 853.00% |
| 7 | 中国神华 | 4.9% | 5.98% | | 中国神华 | 492.0% | 737.00% |
| 8 | 比亚迪 | 4.7% | 4.24% | | 比亚迪 | 470.0% | 676.00% |
| 9 | 中国电信 | 3.8% | 4.84% | | 中国电信 | 381.0% | 965.00% |
| 10 | 格力电器 | 3.1% | 9.15% | | 格力电器 | 313.0% | 928.00% |

### 2024-09-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国海油 | 10.0% | 7.25% | | 中国石油 | 1000.0% | 772.00% |
| 2 | 中国石油 | 10.0% | 7.16% | | 中国海油 | 991.0% | 4225.00% |
| 3 | 宁德时代 | 7.7% | 6.82% | | 中国移动 | 963.0% | 1841.00% |
| 4 | 中国神华 | 6.6% | 7.94% | | 宁德时代 | 691.0% | 748.00% |
| 5 | 美的集团 | 5.9% | 8.08% | | 中国神华 | 588.0% | 953.00% |
| 6 | 长江电力 | 5.7% | 5.02% | | 美的集团 | 526.0% | 817.00% |
| 7 | 五粮液 | 4.4% | 11.85% | | 长江电力 | 511.0% | 508.00% |
| 8 | 陕西煤业 | 3.4% | 12.10% | | 五粮液 | 398.0% | 1185.00% |
| 9 | 上汽集团 | 3.2% | 4.92% | | 中国电信 | 333.0% | 800.00% |
| 10 | 格力电器 | 2.8% | 7.10% | | 陕西煤业 | 304.0% | 1210.00% |

### 2024-12-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国海油 | 10.0% | 7.42% | | 中国石油 | 1000.0% | 722.00% |
| 2 | 中国石油 | 10.0% | 6.77% | | 中国移动 | 977.0% | 1980.00% |
| 3 | 宁德时代 | 8.0% | 5.75% | | 中国海油 | 937.0% | 4275.00% |
| 4 | 中国神华 | 6.7% | 7.93% | | 宁德时代 | 689.0% | 636.00% |
| 5 | 美的集团 | 6.7% | 8.79% | | 中国神华 | 574.0% | 938.00% |
| 6 | 长江电力 | 6.6% | 6.28% | | 美的集团 | 572.0% | 958.00% |
| 7 | 五粮液 | 4.7% | 9.75% | | 长江电力 | 567.0% | 628.00% |
| 8 | 中远海控 | 3.3% | 13.00% | | 五粮液 | 407.0% | 1003.00% |
| 9 | 陕西煤业 | 3.1% | 11.36% | | 中国电信 | 305.0% | 767.00% |
| 10 | 格力电器 | 2.6% | 6.90% | | 中远海控 | 286.0% | 1546.00% |

### 2025-03-17

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国海油 | 10.0% | 7.78% | | 中国移动 | 1000.0% | 1944.00% |
| 2 | 中国石油 | 10.0% | 7.01% | | 中国石油 | 1000.0% | 752.00% |
| 3 | 宁德时代 | 8.0% | 5.84% | | 中国海油 | 976.0% | 4372.00% |
| 4 | 中国神华 | 6.7% | 9.10% | | 宁德时代 | 718.0% | 659.00% |
| 5 | 美的集团 | 6.7% | 8.98% | | 中国神华 | 598.0% | 1103.00% |
| 6 | 长江电力 | 6.6% | 6.48% | | 美的集团 | 596.0% | 971.00% |
| 7 | 五粮液 | 4.7% | 10.36% | | 长江电力 | 591.0% | 657.00% |
| 8 | 中远海控 | 3.3% | 13.04% | | 五粮液 | 424.0% | 1044.00% |
| 9 | 陕西煤业 | 3.1% | 13.48% | | 中远海控 | 298.0% | 1582.00% |
| 10 | 格力电器 | 2.6% | 6.88% | | 陕西煤业 | 278.0% | 1353.00% |

### 2025-06-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | XD中国移 | 10.0% | 5.52% | | 中国移动 | 1000.0% | 2796.00% |
| 2 | 中国海油 | 9.8% | 6.65% | | 中国海油 | 981.0% | 4170.00% |
| 3 | 宁德时代 | 6.6% | 4.91% | | 宁德时代 | 662.0% | 561.00% |
| 4 | 中国神华 | 5.7% | 7.11% | | 中国神华 | 566.0% | 859.00% |
| 5 | 中国电信 | 5.5% | 5.45% | | 中国电信 | 553.0% | 605.00% |
| 6 | 美的集团 | 5.3% | 6.71% | | 美的集团 | 530.0% | 722.00% |
| 7 | 上汽集团 | 4.9% | 8.09% | | 上汽集团 | 487.0% | 811.00% |
| 8 | 中远海控 | 4.4% | 15.57% | | 中远海控 | 435.0% | 1878.00% |
| 9 | 陕西煤业 | 2.9% | 10.86% | | 五粮液 | 314.0% | 815.00% |
| 10 | 洛阳钼业 | 2.8% | 12.27% | | 陕西煤业 | 286.0% | 1086.00% |

### 2025-09-15

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | XD中国移 | 10.0% | 5.71% | | 中国移动 | 1000.0% | 2821.00% |
| 2 | 中国石油 | 9.7% | 4.30% | | 中国石油 | 987.0% | 462.00% |
| 3 | 中国海油 | 9.1% | 6.95% | | 中国海油 | 927.0% | 4219.00% |
| 4 | 中国神华 | 5.3% | 7.39% | | 中国神华 | 535.0% | 878.00% |
| 5 | 中国电信 | 5.1% | 5.67% | | 中国电信 | 522.0% | 638.00% |
| 6 | 美的集团 | 4.9% | 6.45% | | 美的集团 | 500.0% | 696.00% |
| 7 | 上汽集团 | 4.5% | 7.75% | | 上汽集团 | 460.0% | 772.00% |
| 8 | 长江电力 | 4.2% | 4.43% | | 中远海控 | 412.0% | 2006.00% |
| 9 | 中远海控 | 4.0% | 16.67% | | 五粮液 | 297.0% | 752.00% |
| 10 | 陕西煤业 | 2.7% | 10.68% | | 陕西煤业 | 270.0% | 1062.00% |

### 2025-12-15

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国海油 | 10.0% | 6.49% | | 中国海油 | 1000.0% | 4110.00% |
| 2 | XD中国移 | 10.0% | 5.86% | | 中国移动 | 1000.0% | 2842.00% |
| 3 | 中国神华 | 5.8% | 6.98% | | 中国神华 | 595.0% | 841.00% |
| 4 | 中国电信 | 5.7% | 5.97% | | 中国电信 | 581.0% | 669.00% |
| 5 | 美的集团 | 5.4% | 6.22% | | 美的集团 | 556.0% | 663.00% |
| 6 | 上汽集团 | 5.0% | 8.17% | | 上汽集团 | 512.0% | 816.00% |
| 7 | 长江电力 | 4.7% | 4.42% | | 中远海控 | 457.0% | 1996.00% |
| 8 | 中远海控 | 4.5% | 16.70% | | 五粮液 | 330.0% | 866.00% |
| 9 | 陕西煤业 | 2.9% | 10.09% | | 陕西煤业 | 301.0% | 1019.00% |
| 10 | 洛阳钼业 | 2.8% | 6.39% | | 洛阳钼业 | 290.0% | 749.00% |

### 2026-03-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | XD中国移 | 10.0% | 6.17% | | 中国移动 | 1000.0% | 2866.00% |
| 2 | 中国海油 | 9.1% | 4.54% | | 中国海油 | 885.0% | 3535.00% |
| 3 | 宁德时代 | 8.5% | 4.36% | | 宁德时代 | 824.0% | 452.00% |
| 4 | 中国神华 | 5.3% | 5.73% | | 中国神华 | 511.0% | 694.00% |
| 5 | 中国电信 | 5.1% | 6.30% | | 中国电信 | 499.0% | 703.00% |
| 6 | 美的集团 | 4.9% | 6.42% | | 美的集团 | 478.0% | 692.00% |
| 7 | 上汽集团 | 4.5% | 8.35% | | 上汽集团 | 440.0% | 835.00% |
| 8 | 长江电力 | 4.2% | 4.48% | | 长江电力 | 410.0% | 449.00% |
| 9 | 中远海控 | 4.0% | 16.10% | | 中远海控 | 393.0% | 1889.00% |
| 10 | 陕西煤业 | 2.7% | 8.77% | | 五粮液 | 284.0% | 947.00% |
