ts_code,trade_date,total_mv,circ_mv
002063.SZ,20070608,190867.16,47795.0
600785.SH,20070608,259042.158,162743.958
000150.SZ,20070608,398844.0,155106.0
000503.SZ,20070608,1061359.2202,742897.6396
000523.SZ,20070608,138238.017,75425.3408
000811.SZ,20070608,255874.5032,145538.6772
000973.SZ,20070608,373658.4677,226769.2727
600201.SH,20070608,407181.6485,236371.6485
600435.SH,20070608,136800.0,90330.5068
600581.SH,20070608,489937.7424,229672.0376
600806.SH,20070608,543827.0496,169136.5536
600987.SH,20070608,274975.2,136559.2
601666.SH,20070608,2098932.73,722610.0
000421.SZ,20070608,280995.5959,129825.9417
000617.SZ,20070608,747601.92,299034.787
000899.SZ,20070608,552416.256,239702.142
002017.SZ,20070608,135391.88,72336.5105
002058.SZ,20070608,87004.5318,25110.0
000630.SZ,20070608,1744282.736,1125053.0712
600712.SH,20070608,153931.008,86160.5069
601111.SH,20070608,12116597.288,1274821.0
000717.SZ,20070608,956218.56,570078.7493
600126.SH,20070608,528531.4125,211045.5506
600130.SH,20070608,443904.0,253280.5248
600355.SH,20070608,182319.0486,88759.2015
600628.SH,20070608,1126350.8539,844864.3882
600993.SH,20070608,374992.3226,158293.44
000533.SZ,20070608,748959.68,304596.0916
000806.SZ,20070608,438598.4765,346587.7942
600301.SH,20070608,169040.2518,108494.0625
600361.SH,20070608,1189644.0459,658223.4133
600517.SH,20070608,590941.575,422531.1172
600599.SH,20070608,122724.0,46284.48
600682.SH,20070608,524874.7211,348566.4
600683.SH,20070608,210042.33,112380.9209
600805.SH,20070608,378538.9605,257743.7002
600012.SH,20070608,1472845.68,413684.568
600030.SH,20070608,18091742.0,10404000.6811
600421.SH,20070608,167433.6,73958.4
600444.SH,20070608,67200.0,50572.8
600571.SH,20070608,158367.6723,111101.5153
600658.SH,20070608,122260.9209,91860.4236
600348.SH,20070608,1886001.0,785738.4122
600368.SH,20070608,335478.0,102191.76
600470.SH,20070608,270748.0,127889.8065
600577.SH,20070608,202864.0,86713.2
600781.SH,20070608,159833.5776,50118.75
600853.SH,20070608,310811.634,152448.4008
600881.SH,20070608,2535880.4145,2057151.152
600892.SH,20070608,89637.5,27174.7175
000668.SZ,20070608,261231.7223,88732.5173
600467.SH,20070608,597168.0,325761.176
600016.SH,20070608,12932786.9474,7776632.3428
600175.SH,20070608,446507.0064,212831.658
600190.SH,20070608,754674.9746,227239.155
600647.SH,20070608,68661.9903,52781.7232
600763.SH,20070608,199758.72,50238.72
600784.SH,20070608,224966.0269,181518.4327
600891.SH,20070608,205324.565,109100.4986
600963.SH,20070608,1043085.3751,410871.1043
600122.SH,20070608,446560.8,235703.52
600200.SH,20070608,392307.3,283431.6382
600307.SH,20070608,881462.4,335718.1497
600345.SH,20070608,222354.0,84898.8
600793.SH,20070608,99192.6,42020.9244
002028.SZ,20070608,641088.0,316619.1867
600619.SH,20070608,434249.7369,122387.2827
600771.SH,20070608,392921.9403,122681.79
000100.SZ,20070608,1580248.329,1393442.4574
000778.SZ,20070608,1811104.591,978825.3106
002010.SZ,20070608,258336.0,164784.3339
002029.SZ,20070608,366970.5,188330.9875
600776.SH,20070608,994752.0,248592.96
600814.SH,20070608,332109.8325,186618.9012
600280.SH,20070608,259954.2867,197685.6052
600308.SH,20070608,1024241.3219,738513.8842
600433.SH,20070608,139360.0,68983.2
600520.SH,20070608,102866.4,52416.0
600558.SH,20070608,150840.0,74665.8
600730.SH,20070608,273528.3611,111197.2691
600787.SH,20070608,811846.5389,452165.2171
000004.SZ,20070608,71380.1814,45995.1031
600960.SH,20070608,138291.426,69596.8708
