ts_code,trade_date,total_mv,circ_mv
000683.SZ,20090121,363431.9522,206535.6069
000685.SZ,20090121,915252.272,233481.4652
000686.SZ,20090121,823550.6723,248199.7022
000687.SZ,20090121,189272.0,98307.711
000690.SZ,20090121,766560.6,761162.4431
000692.SZ,20090121,82322.6948,53415.5056
000695.SZ,20090121,103965.0483,70270.083
000697.SZ,20090121,73712.0394,47728.2517
000698.SZ,20090121,365544.3166,201428.1757
000700.SZ,20090121,100130.1264,59948.9505
000701.SZ,20090121,100664.75,77306.2596
000702.SZ,20090121,104520.7538,82899.1604
000703.SZ,20090121,43892.55,33694.373
002160.SZ,20090121,125970.0,50388.0
002161.SZ,20090121,258084.0,102444.7454
002162.SZ,20090121,242060.0,67117.7471
002163.SZ,20090121,126480.0,49877.481
002164.SZ,20090121,196020.0,81675.0
002165.SZ,20090121,163237.5,86618.0065
002247.SZ,20090121,86773.2,21823.2
002249.SZ,20090121,256032.0,65024.0
002250.SZ,20090121,152256.06,38081.7
600289.SH,20090121,319941.6581,185274.8061
600290.SH,20090121,340880.88,132649.3434
600291.SH,20090121,214400.0,201857.7072
600292.SH,20090121,126775.5,126775.5
600293.SH,20090121,128499.4698,74448.6366
600295.SH,20090121,945312.0,175872.0
600201.SH,20090121,210892.0124,196895.6164
600202.SH,20090121,402188.255,254644.3328
600203.SH,20090121,98141.9928,53192.796
600206.SH,20090121,173782.5,122546.625
600207.SH,20090121,148280.0,96345.4648
600208.SH,20090121,1303694.7531,288995.4749
600209.SH,20090121,131703.3507,67128.75
600210.SH,20090121,499984.183,403710.0053
600608.SH,20090121,95040.9564,76002.7026
600609.SH,20090121,293927.4585,222259.2029
600610.SH,20090121,252106.6237,18172.44
600611.SH,20090121,1081192.1896,416544.6139
600612.SH,20090121,244830.285,56963.8523
600613.SH,20090121,99096.3487,30114.9382
600408.SH,20090121,363706.2,355984.2
600409.SH,20090121,370958.72,370958.72
600410.SH,20090121,428325.4735,240853.0517
600415.SH,20090121,1676509.9662,740750.7135
600416.SH,20090121,233590.0,160461.8922
600418.SH,20090121,398219.6202,272188.3341
600419.SH,20090121,34068.0,21506.4314
600420.SH,20090121,192781.3793,139405.0582
600421.SH,20090121,51247.2,36836.0734
600422.SH,20090121,152375.36,132122.552
600423.SH,20090121,253186.3229,253186.3229
600425.SH,20090121,304704.1725,202011.4474
600426.SH,20090121,654390.0,399339.171
600428.SH,20090121,981489.6,981489.6
600987.SH,20090121,153745.02,76353.42
600988.SH,20090121,43242.7965,14781.1633
600990.SH,20090121,84907.2,47697.7271
600991.SH,20090121,233590.7849,115843.3669
600992.SH,20090121,84486.18,59461.8232
600993.SH,20090121,230171.7245,170050.755
