ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
300327.SZ,20181214,440355.6186,437051.2931,27.5439,5.417
002679.SZ,20181214,406207.588,406207.588,54.6494,5.599
002176.SZ,20181214,985821.1972,985234.3385,26.7704,2.3218
603313.SH,20181214,462000.0,158518.0559,38.0911,2.8209
600692.SH,20181214,245179.5526,177742.3303,40.189,3.3453
603113.SH,20181214,789497.2834,387618.6178,7.8733,1.6882
300089.SZ,20181214,264581.2785,152419.1169,16.51,1.1309
002782.SZ,20181214,489900.0,122475.0,52.4441,5.9472
002089.SZ,20181214,621350.6664,423248.897,,3.3813
300402.SZ,20181214,161600.0,69040.0,89.897,2.6641
600861.SH,20181214,230950.8078,230950.8078,39.6068,0.9877
601958.SH,20181214,1929509.4312,1929509.4312,65.1196,1.4983
000701.SZ,20181214,255352.9992,237317.6531,72.5654,0.8049
600592.SH,20181214,242129.464,242129.464,24.9117,1.3241
600216.SH,20181214,872593.232,864157.7594,13.7158,1.1287
300403.SZ,20181214,307530.0,194280.5205,20.0817,2.3756
603605.SH,20181214,953195.988,294315.132,37.1149,6.0034
600986.SH,20181214,584578.0546,560884.9195,9.9012,0.9242
603456.SH,20181214,545586.9688,542245.5676,42.4824,2.0256
300526.SZ,20181214,192897.918,67291.1055,62.5935,3.5578
603025.SH,20181214,1015923.5635,1002668.842,23.8962,5.7205
600023.SH,20181214,6201914.6345,6201914.6345,14.3693,1.0048
000720.SZ,20181214,441060.629,295303.32,7.5285,2.6473
600728.SH,20181214,1157434.7957,989408.4486,42.6152,3.5144
000902.SZ,20181214,1205385.064,1083753.825,14.6515,1.9583
000099.SZ,20181214,358187.6182,358187.6182,37.7012,1.1837
300014.SZ,20181214,1406408.4081,1346862.9517,30.6417,4.1252
002903.SZ,20181214,266250.0,117150.0,49.0402,4.2472
600837.SH,20181214,10961120.1,7711801.0145,18.0851,0.9309
603889.SH,20181214,357435.1697,357435.1697,16.6299,1.5564
601997.SH,20181214,2528451.09,1362861.6045,4.9802,0.9003
002387.SZ,20181214,1129689.676,387398.7561,,0.7318
603918.SH,20181214,224095.58,220480.974,40.3603,4.1573
002540.SZ,20181214,595878.3355,419752.8252,15.7273,1.235
600186.SH,20181214,220901.0567,220901.0567,,
600520.SH,20181214,224178.45,224178.45,2199.0035,5.2434
600903.SH,20181214,1929223.6208,1070770.8023,127.2028,8.3104
300284.SZ,20181214,888836.4724,571579.4191,16.9217,2.2125
603555.SH,20181214,393504.9415,393504.9415,154.4998,1.7956
603677.SH,20181214,282652.6688,82271.6297,34.4364,2.9884
601618.SH,20181214,6569387.2769,5659280.2769,10.4639,1.0012
002203.SZ,20181214,1501440.5342,1257148.177,18.2795,1.5083
300398.SZ,20181214,694733.7082,592592.0,24.012,3.2232
002147.SZ,20181214,670904.0443,197074.2319,4.6837,0.8226
600438.SH,20181214,3373781.4592,2417976.3444,15.7411,2.348
603012.SH,20181214,490151.2,490151.2,24.9334,1.8303
300188.SZ,20181214,1093763.6548,675760.4195,43.1772,4.6525
002593.SZ,20181214,227170.98,151138.6938,26.728,1.2223
603979.SH,20181214,450450.0,450450.0,17.1358,1.1214
300603.SZ,20181214,242925.0,114424.4058,41.9859,5.3619
601599.SH,20181214,280315.6387,280315.6387,10.7428,1.0969
603043.SH,20181214,1054430.0402,327573.8546,23.9928,5.6662
300032.SZ,20181214,252998.4265,248647.598,,1.0147
002297.SZ,20181214,290330.0677,244918.2194,,1.9095
000417.SZ,20181214,361086.3846,360689.7098,27.3791,0.9717
000636.SZ,20181214,1058165.5372,1034782.9673,11.1115,1.995
000826.SZ,20181214,1545025.0867,1282663.6405,12.181,1.1716
300569.SZ,20181214,195165.612,110055.8183,22.8279,1.1372
603385.SH,20181214,328762.8352,234716.965,13.1998,1.0569
000017.SZ,20181214,283944.1927,156035.2191,713.8267,167.1937
601166.SH,20181214,32802447.1958,30083639.7298,5.4083,0.7655
600629.SH,20181214,506547.9307,437007.9846,15.8066,1.9159
002019.SZ,20181214,1407332.3568,948242.4422,12.3486,2.1341
002559.SZ,20181214,251777.3497,206895.0978,21.1855,1.5475
600462.SH,20181214,182018.98,182018.98,,6.3034
002095.SZ,20181214,536019.12,533724.391,175.5932,6.3272
600879.SH,20181214,1563580.9883,1387666.214,28.3062,1.3295
300316.SZ,20181214,1345005.7819,1254604.7457,23.217,3.4287
002051.SZ,20181214,1276236.1788,1274577.7131,8.1288,1.4415
600877.SH,20181214,318211.5845,318211.5845,29.3139,
002731.SZ,20181214,269265.16,229807.9016,56.8829,2.2411
002102.SZ,20181214,481992.0411,364450.317,9.0389,0.8653
603131.SH,20181214,318400.0,79600.0,61.5653,4.7093
000975.SZ,20181214,1814786.338,1124340.1279,31.5506,2.1705
600882.SH,20181214,315516.7747,310277.6947,1163.3874,2.6353
000718.SZ,20181214,961979.7337,725714.9101,8.0919,1.1511
002141.SZ,20181214,523076.6553,293476.288,476.3288,3.9731
600500.SH,20181214,1512267.1991,1512267.1991,14.6015,1.3279
000423.SZ,20181214,2944404.9596,2943710.6431,14.5558,2.8129
300699.SZ,20181214,1381032.5,857031.6038,40.6083,4.873
600460.SH,20181214,1159862.4668,1102496.512,62.4179,3.4008
002389.SZ,20181214,1168387.416,835578.4983,61.2947,1.9338
000939.SZ,20181214,471551.4593,364536.8491,,0.6084
000917.SZ,20181214,890225.3803,813033.8892,,0.9053
600604.SH,20181214,1240127.7802,883230.2767,59.908,2.1005
600685.SH,20181214,1414919.8844,822256.6162,,1.2826
600099.SH,20181214,136511.76,136511.76,,2.8995
300443.SZ,20181214,259481.9142,173801.7895,24.4875,1.523
002502.SZ,20181214,386922.9933,279659.0016,22.7955,1.1269
603938.SH,20181214,281412.2084,95174.0884,20.8405,2.7174
300422.SZ,20181214,398513.1181,296298.0216,16.6717,3.0081
002692.SZ,20181214,269304.75,268268.9625,42.1764,1.7654
