ts_code,total_mv,circ_mv
000875.SZ,2049407.9037,1888458.7499
600521.SH,2596234.0004,2596234.0004
300215.SZ,575304.3356,383900.4641
600919.SH,19048674.7926,19048674.7926
688236.SH,918646.5575,690785.06
002241.SZ,10168909.665,9001123.5854
603092.SH,2823200.7058,236107.4627
300775.SZ,1662348.7968,1613882.3539
300043.SZ,706704.6918,706330.4366
300980.SZ,369048.2743,262866.6905
603685.SH,499642.5809,401118.3023
688526.SH,725295.2551,725295.2551
000301.SZ,6485616.941,6482993.1858
920002.BJ,491386.5514,338813.2903
605266.SH,298576.9369,298576.9369
002164.SZ,888197.8869,800744.8388
301077.SZ,467376.9299,262166.4245
300248.SZ,558280.3166,479480.5637
605298.SH,730736.5,718296.28
603948.SH,419222.0509,419222.0509
002796.SZ,511800.1705,461792.2357
600655.SH,1973476.3444,1972152.0604
600307.SH,1033453.975,1033453.975
603326.SH,277683.9291,277683.9291
601006.SH,10919770.3221,10919770.3221
603828.SH,448162.0388,448146.598
603955.SH,411638.76,411638.76
002763.SZ,288586.496,213733.8368
603711.SH,592474.3335,592474.3335
600982.SH,498461.8583,498461.8583
300921.SZ,431740.297,269432.8064
920275.BJ,144077.3504,119250.727
300953.SZ,2539540.5041,1826267.8626
600246.SH,2306303.2207,2306303.2207
600739.SH,1743869.1902,1743869.1902
300790.SZ,1114500.4444,967053.4452
300054.SZ,3686481.2781,2867781.5641
688510.SH,655258.2939,655258.2939
301528.SZ,378889.9,194953.5868
301167.SZ,179536.0,114001.9873
001286.SZ,3783750.0,1059450.0
600203.SH,804091.8392,804091.8392
000852.SZ,704548.1868,697009.4853
002390.SZ,641471.1164,636180.0172
300708.SZ,835634.4782,631912.6861
301171.SZ,1635084.6608,1319780.2152
301662.SZ,962560.0,200065.9543
301066.SZ,406886.8283,326978.4657
001309.SZ,4630748.8115,3295863.7439
301238.SZ,1470333.2665,1470333.2665
600980.SH,421111.3454,417843.4656
600252.SH,881883.0301,878829.0073
002136.SZ,252003.44,251342.1507
300199.SZ,1641062.4023,1385506.596
603080.SH,337477.5,337477.5
002827.SZ,1008170.394,1004364.0
603416.SH,842420.2115,747886.305
000550.SZ,1588313.76,953972.2144
300173.SZ,394547.6998,394547.6998
688433.SH,2141252.696,1044879.3344
603868.SH,1449241.2,1449241.2
603506.SH,227398.8904,227398.8904
688358.SH,334358.578,333911.278
605277.SH,713745.2313,700850.9269
605167.SH,508347.24,508347.24
603650.SH,3037412.302,3029353.8028
920469.BJ,161101.278,118241.2492
300804.SZ,254338.0,94517.5
601696.SH,4055880.0,4055880.0
001356.SZ,767883.96,163175.3415
002582.SZ,462034.5435,355257.9535
001298.SZ,873143.0469,484208.6581
688588.SH,578814.4743,578814.4743
300812.SZ,385632.0608,255225.2809
301205.SZ,2062929.6,1080536.652
600386.SH,350784.0,350784.0
605116.SH,890379.9529,890353.6489
002651.SZ,1247386.22,682514.6147
300971.SZ,288002.4,225461.0576
300808.SZ,475200.0,353131.7467
603809.SH,1182571.117,1182571.117
603010.SH,623774.1514,623774.1514
600107.SH,224640.0,224640.0
603279.SH,869746.857,869746.857
002737.SZ,892352.0,892352.0
002193.SZ,142373.2592,142372.4432
603393.SH,1131446.0218,1129577.7324
301009.SZ,334659.66,185924.1195
002313.SZ,378892.8,378866.1591
002385.SZ,1715731.3474,1406107.0769
300652.SZ,677757.4963,608286.7871
603609.SH,643306.179,643306.179
002238.SZ,756010.7287,756010.7287
605183.SH,787266.7935,780728.9394
001400.SZ,400920.0,100230.0
688038.SH,183986.3454,183986.3454
603128.SH,765792.199,765792.199
688163.SH,236244.26,236244.26
300920.SZ,389800.0,215876.3503
600536.SH,4057302.7075,3665684.8638
600268.SH,1117457.8558,1111914.5103
300588.SZ,525013.5643,484846.0063
600009.SH,7651562.598,6292309.5086
920419.BJ,165290.24,154589.2784
603028.SH,217002.24,214847.64
688691.SH,1308000.0,778968.609
603112.SH,983110.4247,919461.6649
000997.SZ,2606700.9353,2592141.5273
600702.SH,1945973.9244,1945155.2044
002201.SZ,554542.4411,512321.9304
603722.SH,366841.3342,359258.2542
301398.SZ,528080.0,175487.585
600824.SH,459555.8038,459555.8038
600011.SH,12385795.6603,8677193.1261
301208.SZ,438960.2195,183370.2725
600305.SH,875218.9786,872463.6883
600292.SH,5606663.9373,999445.6192
920781.BJ,146993.2684,97080.2007
600406.SH,18489867.1722,18407539.5929
000055.SZ,453174.9238,285209.6406
000049.SZ,1048909.2822,1048626.5687
301213.SZ,543999.9932,351635.1332
002440.SZ,862107.9271,725857.0991
920892.BJ,265066.7053,227518.2282
605196.SH,1791064.7474,1769894.5474
002534.SZ,1427777.2823,1408658.8731
600881.SH,607644.3857,607644.3857
688231.SH,696384.0004,356711.9576
003037.SZ,448107.8591,448107.8591
688386.SH,664937.0,664937.0
603111.SH,594801.1637,584091.7475
002984.SZ,2333851.1062,1607646.4917
600372.SH,6169593.2033,6169593.2033
301098.SZ,156344.9396,127235.6271
603120.SH,351294.4,87823.6
301469.SZ,243475.08,125325.6819
688012.SH,17273470.5842,17273470.5842
600971.SH,754803.072,754803.072
300992.SZ,241776.2855,196522.6335
002192.SZ,1248422.216,1245850.0562
688373.SH,399263.744,320024.3272
002861.SZ,348909.8608,281265.3196
300668.SZ,227761.3685,188620.7869
600446.SH,1450493.1851,1450493.1851
920058.BJ,183572.9147,90316.4319
920634.BJ,162775.627,103047.7053
300197.SZ,542649.5486,542635.8236
688710.SH,689390.3174,443493.484
301305.SZ,534802.9283,274272.7275
001260.SZ,225170.0,62166.5
300401.SZ,810313.518,797114.3675
603273.SH,417696.8166,109257.8216
002532.SZ,6294000.9665,5587897.3766
688158.SH,1126160.9399,1000709.6049
600241.SH,250156.7978,250156.7978
601766.SH,19457829.8517,16494247.0765
002807.SZ,1139624.8613,1138061.5964
688420.SH,205865.04,97168.392
300960.SZ,350999.564,318034.184
601688.SH,20518061.3856,16608261.1749
688048.SH,2547245.1764,2547245.1764
601169.SH,11713213.2867,11713213.2867
001358.SZ,310710.4,128562.2488
001896.SZ,836128.1688,836128.1688
603787.SH,305861.0969,305861.0969
300323.SZ,1238348.0821,670875.2778
688499.SH,925138.4203,925138.4203
601963.SH,3853318.0576,2084259.0293
301459.SZ,432522.0403,108415.2086
002454.SZ,536180.1048,534813.2815
603949.SH,377090.1105,375426.6194
300513.SZ,321219.7427,295196.5
600258.SH,1717335.6078,1717335.6078
300848.SZ,625571.7107,370065.1125
300972.SZ,3371711.8827,2998676.2817
300251.SZ,4811085.0285,4551598.6164
688091.SH,920037.9016,920037.9016
002662.SZ,577500.0,577492.7235
600482.SH,4561184.8802,4561184.8802
603713.SH,851514.8266,851514.8266
301210.SZ,411007.0017,155861.6099
301193.SZ,421975.69,298128.1144
300101.SZ,1303911.4872,1299635.6808
300798.SZ,337106.7206,268048.4142
688538.SH,3687119.8459,1535846.9386
002888.SZ,275945.537,140031.1244
301173.SZ,411330.2373,83161.6881
000791.SZ,2166884.9477,1292995.353
002625.SZ,11406388.1414,11406350.4217
600373.SH,1357932.5832,1337927.208
300507.SZ,730990.6261,707567.4659
605338.SH,664557.9204,664557.9204
603489.SH,702446.2291,702446.2291
000669.SZ,205483.4567,205483.4567
605389.SH,949533.7913,897997.9484
600477.SH,630144.9959,630144.9959
301303.SZ,616879.2,153517.8358
002158.SZ,1246441.968,1243791.6443
000928.SZ,936822.9375,936811.4774
688356.SH,497275.0893,497275.0893
002637.SZ,487805.837,459103.9066
601005.SH,1310061.0375,1230418.2119
920171.BJ,220412.8838,148128.176
688443.SH,984169.12,313169.12
301390.SZ,197760.0,101107.8323
300029.SZ,106669.458,106591.653
688337.SH,724896.4452,695143.5209
002910.SZ,202969.8422,177562.3041
603357.SH,447901.7493,443926.7642
300386.SZ,665108.004,398955.4259
600233.SH,5910726.314,5910726.314
603319.SH,1233487.3789,1233487.3789
603110.SH,328200.7999,328200.7999
600667.SH,1604212.8505,1604212.8505
920278.BJ,155654.0,66050.816
688416.SH,427479.2984,336360.575
002218.SZ,607598.8361,598731.2471
603178.SH,432160.9185,432160.9185
920493.BJ,794314.2147,549373.2992
600731.SH,376592.3884,365094.1162
603600.SH,392885.0391,356745.2224
301273.SZ,182185.0771,139829.8227
002771.SZ,314855.9141,261946.4972
920427.BJ,129074.94,63376.4453
600594.SH,320730.597,320730.597
603993.SH,38359998.1456,31307290.0216
301037.SZ,193810.1703,94788.9123
600060.SH,3224586.4396,3212716.9096
603156.SH,3275461.394,3275461.394
601598.SH,4494450.7619,3232258.8559
300275.SZ,413958.8114,364844.1928
920608.BJ,119687.52,75789.2087
301630.SZ,668120.0,167030.0
301500.SZ,844051.9085,216364.1033
300598.SZ,965351.7657,965081.4178
600577.SH,2514543.6818,2514543.6818
688798.SH,1690182.611,984138.49
920260.BJ,119186.05,113738.3198
601003.SH,1271145.4272,1271145.4272
601001.SH,2418496.5,2418496.5
300832.SZ,4558740.3906,3956948.7001
600400.SH,554511.9882,554511.9882
002622.SZ,260400.0,260392.3275
002916.SZ,13453495.7615,13418786.3125
600576.SH,610583.5468,382365.8581
600775.SH,1014360.7672,745740.7672
300092.SZ,433894.4613,332428.1495
600710.SH,1374700.4046,1374700.4046
688519.SH,1467318.7625,1467318.7625
300818.SZ,572139.1276,371145.3767
600798.SH,429526.1756,429526.1756
300464.SZ,313606.4692,243409.7324
601528.SH,1053680.6691,931403.1609
601588.SH,575760.42,454860.0
301201.SZ,642526.5111,450784.4945
603967.SH,428480.0536,428480.0536
000159.SZ,266780.7261,266773.4417
688030.SH,320273.5399,320273.5399
002418.SZ,521607.6,521606.3781
603660.SH,596514.3437,592066.4331
301189.SZ,453597.0241,435520.4311
600778.SH,206518.7664,206335.4668
688665.SH,470589.6359,470589.6359
300881.SZ,374660.0,195525.6875
002120.SZ,2009145.7518,1950884.2626
688680.SH,321895.5264,321895.5264
600817.SH,574368.7806,569996.1606
920810.BJ,126683.9,82440.3669
002542.SZ,608661.3407,592705.9227
300608.SZ,363038.0174,315183.3102
300889.SZ,474809.5845,315567.2067
603108.SH,888610.8129,888610.8129
002850.SZ,4087424.5149,2942755.7477
002777.SZ,720119.551,713558.2701
600211.SH,1349550.4737,1349550.4737
688345.SH,317508.2805,313900.0
002304.SZ,9388165.7012,9387944.1536
300771.SZ,346800.0,261832.7544
688639.SH,878406.3138,878406.3138
920478.BJ,147972.356,88509.4468
002559.SZ,547565.9639,498405.8939
600421.SH,149242.8,149242.8
600289.SH,436056.9797,391052.5746
002897.SZ,893790.0086,840980.2319
300150.SZ,306010.4657,240696.7503
603101.SH,483571.2,483571.2
002095.SZ,435942.0,434197.0159
301237.SZ,392560.0,323187.2875
600879.SH,5219491.5464,5219491.5464
300461.SZ,312856.9305,227105.4599
603836.SH,281172.2747,281172.2747
300316.SZ,4553249.0122,4282118.2405
600808.SH,2918558.1695,2261777.6995
605288.SH,588635.5169,584686.738
688391.SH,321011.0077,321011.0077
002051.SZ,1132229.1774,1132164.0111
301369.SZ,835048.1091,430251.7251
688363.SH,2086630.1443,2086630.1443
600877.SH,1855421.224,1855421.224
300841.SZ,976940.7867,894110.2895
002801.SZ,750667.008,378559.0263
920806.BJ,391559.1404,391559.1404
300839.SZ,355726.0715,349365.0027
002731.SZ,329416.616,295338.1304
300883.SZ,228706.0,218575.8941
002102.SZ,861518.1229,756163.6264
603131.SH,938077.3853,938077.3853
920570.BJ,174891.996,84853.8555
000975.SZ,6800192.827,6189682.048
002037.SZ,454850.552,454850.552
920300.BJ,127568.8292,98866.0408
600278.SH,658296.2455,658296.2455
001379.SZ,470000.0,158152.65
000426.SZ,6159680.3786,6158187.7546
688235.SH,41689561.9445,3112705.004
002085.SZ,3242275.313,3242275.313
600600.SH,8486657.8477,4411472.4914
601098.SH,2027684.0,2027684.0
000568.SZ,18076919.2476,18044053.081
605388.SH,473781.876,473781.876
605255.SH,1985992.96,1985992.96
603618.SH,558631.4977,558631.4977
600790.SH,552603.1799,552603.1799
603817.SH,426422.8612,426422.8612
002620.SZ,195541.892,163356.637
603228.SH,6403066.4588,6344147.6755
600100.SH,2874555.4378,2874555.4378
600162.SH,601392.6144,601392.6144
920195.BJ,209686.17,151353.4689
002889.SZ,620507.6565,412860.5206
000012.SZ,1366457.9876,871895.8861
301121.SZ,386212.2308,197712.1369
000897.SZ,370355.3416,370348.3342
301056.SZ,292931.7604,193243.4213
600567.SH,971184.6067,971184.6067
920475.BJ,166951.12,69420.6711
301280.SZ,642456.3176,178122.6401
920023.BJ,143031.848,117469.3276
301139.SZ,221763.3792,138928.878
301218.SZ,261835.84,160878.0475
920866.BJ,148129.2498,76947.2038
002484.SZ,2296414.6407,2215275.1155
688051.SH,281959.764,281959.764
601138.SH,117441298.8808,117441298.8808
300813.SZ,302755.6491,189975.5804
002663.SZ,336053.0359,252113.9632
600221.SH,7562735.6936,5752718.4148
002572.SZ,1327078.992,897716.8684
002112.SZ,402371.5938,358524.8244
002949.SZ,259954.1637,201395.9152
600187.SH,430879.5545,430879.5545
002759.SZ,1604424.336,1603014.6976
