ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
000972.SZ,20191213,246810.7453,246810.7453,,5.3498
000856.SZ,20191213,238350.0,238350.0,179.8773,7.3732
600896.SH,20191213,358068.8189,358068.8189,,2.2084
600170.SH,20191213,3134348.0003,2987392.295,8.4947,1.21
603589.SH,20191213,3226800.0,3226800.0,19.1293,4.9167
600149.SH,20191213,203385.6,203385.6,225.3333,10.0678
300478.SZ,20191213,144407.22,143588.0707,,2.6989
601019.SH,20191213,1412831.3,289011.3,9.7127,1.3927
002212.SZ,20191213,2089903.8461,1617144.8749,60.0412,2.4867
300768.SZ,20191213,1458436.46,145876.46,64.5576,9.0945
002524.SZ,20191213,613718.2133,576230.3621,108.6931,6.5622
603099.SH,20191213,235469.61,235469.61,32.3854,2.1626
600333.SH,20191213,319132.0784,277520.7794,,1.5916
002594.SZ,20191213,11831955.5621,4947049.5067,41.8469,2.2568
002950.SZ,20191213,831266.3909,94512.0,27.272,4.2558
002048.SZ,20191213,881101.8308,766768.206,9.817,0.9937
300438.SZ,20191213,717780.7318,541853.5145,27.0318,2.9267
601636.SH,20191213,1263220.3818,1248688.3578,10.7439,1.6223
002715.SZ,20191213,145820.0,135029.2518,266.2832,2.9622
600900.SH,20191213,40722000.0,40722000.0,18.0816,2.805
600073.SH,20191213,718300.7756,718300.7756,21.3187,1.8092
603916.SH,20191213,467468.05,197248.31,15.7548,2.0461
603536.SH,20191213,237552.0,85199.2507,,3.9655
002179.SZ,20191213,4182194.37,4151779.426,38.4472,5.3007
600415.SH,20191213,2035762.1018,2035762.1018,27.2938,1.618
300682.SZ,20191213,1536012.3872,376992.3427,18.4383,3.7921
300225.SZ,20191213,273267.54,272260.4817,93.8998,3.0163
002494.SZ,20191213,184683.6318,141758.9038,108.6586,0.9779
002575.SZ,20191213,412692.72,412117.5495,,4.7007
300157.SZ,20191213,282708.963,280701.808,,0.7866
300538.SZ,20191213,273691.7312,109165.6329,83.1451,6.1992
002552.SZ,20191213,846732.4146,553411.8302,142.2786,12.7808
600082.SH,20191213,250046.8247,245406.755,81.5718,1.4598
002103.SZ,20191213,240074.3096,169748.6239,,2.3135
300609.SZ,20191213,370896.1574,203194.1548,48.3759,6.8814
300040.SZ,20191213,184551.2182,128411.5842,56.3671,0.9543
000796.SZ,20191213,644006.2069,643625.3371,65.3134,2.648
688011.SH,20191213,410000.0,93377.2581,72.8672,3.4812
000585.SZ,20191213,165940.3,115789.9858,,127.1864
000723.SZ,20191213,3381892.0179,3115166.1511,23.4638,4.2217
600634.SH,20191213,86359.8122,86359.8122,,
002258.SZ,20191213,698469.3728,695590.4,17.7507,2.2682
300743.SZ,20191213,193860.075,107869.4736,61.5587,4.9689
002449.SZ,20191213,798454.0252,784606.5087,21.2912,2.2307
002798.SZ,20191213,875400.3225,431546.4262,16.3427,2.5154
002384.SZ,20191213,3518393.7246,2677639.9898,34.427,3.8605
300662.SZ,20191213,513720.0,258594.4472,36.5586,6.2586
300749.SZ,20191213,246203.28,103521.24,31.5857,3.2079
002923.SZ,20191213,303531.7215,98250.6938,24.3664,3.3286
300530.SZ,20191213,345975.084,169668.2071,96.5497,6.6728
600814.SH,20191213,361803.5395,361803.5395,22.7795,1.4609
601212.SH,20191213,2554647.2063,677812.9043,91.325,2.1201
300317.SZ,20191213,382919.3429,299240.4787,,1.3095
300118.SZ,20191213,1189795.1221,918412.4004,14.7856,1.4814
600435.SH,20191213,1198902.6,1198902.6,241.473,5.6289
600236.SH,20191213,3854482.7452,3854482.7452,16.4753,2.6532
002745.SZ,20191213,1655210.4278,948722.1422,20.4746,1.6582
603871.SH,20191213,447350.4,111837.6,13.7382,2.4843
300363.SZ,20191213,744649.6153,586690.3209,45.8072,2.4808
600056.SH,20191213,1353771.1716,1353293.0869,10.6346,1.5114
002293.SZ,20191213,738073.5086,685203.3889,14.3132,1.9065
300654.SZ,20191213,153887.475,72030.0975,51.4136,3.2746
300288.SZ,20191213,410598.8034,253177.4633,44.1047,3.0023
002437.SZ,20191213,652842.5162,645911.3467,53.453,1.4129
002783.SZ,20191213,439875.313,369433.5658,60.3251,2.5869
002732.SZ,20191213,339876.0,336052.962,38.5758,3.426
300009.SZ,20191213,1556573.9703,1017815.6427,53.9502,5.631
603079.SH,20191213,425712.0,138780.4396,113.5656,5.176
300681.SZ,20191213,246304.8,61576.2,,4.1617
002560.SZ,20191213,241901.5761,147330.9536,61.0789,1.4851
300299.SZ,20191213,349714.0551,305192.6214,74.2562,3.2014
688016.SH,20191213,972280.8097,188853.3488,76.4998,9.3788
300709.SZ,20191213,882566.7928,562645.0438,72.9354,6.4014
600981.SH,20191213,809518.3823,263837.6373,19.5483,1.5714
600176.SH,20191213,3502306.849,3502306.849,17.4222,2.3179
600637.SH,20191213,3081022.1781,3066221.1805,16.9748,1.0796
300138.SZ,20191213,367520.8894,290985.9975,22.2758,1.9986
002387.SZ,20191213,2223820.1128,1736262.5543,175.8704,1.4977
603918.SH,20191213,272057.2998,269482.2588,50.2493,4.5354
002540.SZ,20191213,515834.977,363342.7424,16.3272,1.1489
600186.SH,20191213,266568.1021,266568.1021,,
600520.SH,20191213,168569.52,168569.52,,4.1254
600528.SH,20191213,2339293.8222,1935149.5864,14.0277,1.3952
600903.SH,20191213,1722073.9459,955797.1819,77.3239,6.4433
300284.SZ,20191213,789753.0617,539318.171,11.605,1.7461
603555.SH,20191213,275956.3408,275956.3408,,1.8003
603677.SH,20191213,237414.2453,70000.1594,29.169,2.4178
002567.SZ,20191213,717777.7455,665663.5385,51.3747,2.078
601618.SH,20191213,5657548.0334,4873765.0334,8.5193,0.8047
002203.SZ,20191213,1901352.6388,1778091.7261,18.3347,2.2461
002147.SZ,20191213,378411.8179,111156.3107,,0.5011
300398.SZ,20191213,710722.5044,589688.6908,33.1776,3.0516
000807.SZ,20191213,1222607.3958,1222538.5363,,1.4247
600438.SH,20191213,5125012.0865,5125012.0865,19.6963,3.134
603012.SH,20191213,592000.8,592000.8,21.7661,2.3562
300188.SZ,20191213,1321765.6707,868110.2856,59.621,5.211
000936.SZ,20191213,623753.0724,623277.3459,12.3763,1.2356
300356.SZ,20191213,358084.1003,321074.9314,716.4013,3.3874
002593.SZ,20191213,304982.85,203198.0178,36.4886,1.6087
002474.SZ,20191213,522025.8,393724.4685,183.8323,3.5334
300238.SZ,20191213,470386.2136,464147.7279,136.2696,4.0433
002554.SZ,20191213,311605.71,224027.8635,,1.7936
300619.SZ,20191213,165117.48,66522.2708,37.0083,3.3676
300562.SZ,20191213,294185.891,164371.61,93.2074,5.2995
000502.SZ,20191213,128634.4465,127609.4821,38.2266,6.2851
600191.SH,20191213,237131.748,237131.748,731.7936,1.2563
300476.SZ,20191213,1213136.5111,1182734.5851,28.9538,3.7876
603520.SH,20191213,717094.0151,717094.0151,49.01,7.2697
300703.SZ,20191213,225814.8448,122567.3719,19.7402,3.2254
600960.SH,20191213,306065.9968,219001.397,39.2098,0.6517
600836.SH,20191213,359212.165,359212.165,,4.392
300793.SZ,20191213,893904.84,223529.84,69.1738,7.6314
600488.SH,20191213,438938.4454,392584.6639,28.4618,1.5781
600621.SH,20191213,1436457.6414,724728.5352,209.8088,2.3048
300404.SZ,20191213,234358.384,149468.4131,340.7882,5.5987
603616.SH,20191213,236154.8,236154.8,340.8307,3.0056
300452.SZ,20191213,205459.2,162156.5792,25.014,4.0488
600581.SH,20191213,513520.7865,513520.7865,14.136,1.1986
000721.SZ,20191213,203614.8154,177822.9016,,3.1769
002165.SZ,20191213,251660.29,247859.0644,35.7371,1.6311
002263.SZ,20191213,383185.4604,383182.5228,58.2143,1.7307
300676.SZ,20191213,2418604.5,1478012.6496,71.862,5.4219
000607.SZ,20191213,485442.1416,422069.011,42.3352,2.8127
002870.SZ,20191213,276121.65,100099.4,57.3862,3.2405
600501.SH,20191213,315962.7,315962.7,,1.6164
300080.SZ,20191213,1042391.826,258531.2695,17.378,2.0874
600387.SH,20191213,383552.6392,315055.386,8.0073,1.2648
002945.SZ,20191213,3790800.0,379080.0,96.395,7.2867
002589.SZ,20191213,1095429.2229,846396.6711,20.9077,1.2347
000400.SZ,20191213,1027485.5279,1027335.7308,33.0713,1.2893
002148.SZ,20191213,294202.338,230678.0715,263.5618,2.5683
300220.SZ,20191213,411516.0,408744.959,305.4306,15.474
002481.SZ,20191213,928812.33,827024.3546,49.0686,3.4005
603866.SH,20191213,2965602.6764,2963003.664,43.4547,8.5863
002678.SZ,20191213,1088014.5787,1086941.9092,58.7568,3.2445
600019.SH,20191213,12674167.9534,12575518.4603,8.6265,0.7257
600886.SH,20191213,5998844.6387,5998844.6387,11.7591,1.6627
300535.SZ,20191213,140316.2906,87222.0852,40.0241,1.8981
000533.SZ,20191213,193428.48,191772.672,,3.182
002009.SZ,20191213,277912.0755,233759.2665,37.6858,1.3717
600106.SH,20191213,360044.9714,360044.9714,15.0023,0.9753
000586.SZ,20191213,200790.72,200790.72,388.3459,8.2846
002273.SZ,20191213,1955048.4018,1885544.2341,46.1992,4.879
300026.SZ,20191213,1015928.2349,822567.3,38.5079,1.4691
300586.SZ,20191213,331680.0,87679.2625,31.6574,4.8171
002767.SZ,20191213,223350.0,184102.7519,97.0494,3.0701
002139.SZ,20191213,549280.0716,430283.2284,18.1993,2.3371
300503.SZ,20191213,310116.0852,169252.5515,167.4804,2.9291
002877.SZ,20191213,268654.1824,134607.3056,32.6098,3.9232
002250.SZ,20191213,1450488.5479,1407740.1483,42.2077,2.4215
000503.SZ,20191213,1478562.5256,1478562.5256,,13.9378
000537.SZ,20191213,1341014.9184,292280.9861,5.0499,1.0394
002786.SZ,20191213,341972.28,340626.78,,3.4802
000421.SZ,20191213,258263.7672,258263.7672,23.2069,0.9982
600433.SH,20191213,401735.68,401735.68,35.041,1.5281
600990.SH,20191213,710734.7262,610374.6086,37.4763,3.1032
600115.SH,20191213,8926832.5156,5345624.6967,34.5198,1.3134
300733.SZ,20191213,183200.0,77673.9512,78.7917,1.6149
002333.SZ,20191213,223658.602,215811.5254,,1.7811
000534.SZ,20191213,436213.3802,435850.2078,34.4784,4.2029
600361.SH,20191213,244351.5059,244351.5059,31.7443,0.8946
603100.SH,20191213,333380.0,333380.0,8.8026,1.4259
300096.SZ,20191213,452360.0,396101.2271,137.1393,6.0823
002284.SZ,20191213,359950.4099,334777.2432,,1.4256
002537.SZ,20191213,972444.5569,967987.1569,,1.5539
600593.SH,20191213,531944.0,531944.0,135.0912,9.1482
000809.SZ,20191213,195475.5364,195475.5364,56.7399,0.6204
000564.SZ,20191213,1327730.0391,443303.0008,,0.4269
600829.SH,20191213,385046.0284,385046.0284,14.5185,2.1519
300343.SZ,20191213,333901.0788,225708.3445,,1.361
300354.SZ,20191213,165430.9604,92010.9555,80.8363,4.6089
600525.SH,20191213,804357.4936,804357.4936,,1.7856
600380.SH,20191213,1887644.4712,1887644.4712,22.5599,1.8306
601330.SH,20191213,1189068.8,261786.2042,33.5299,3.7126
603365.SH,20191213,415471.86,138013.872,13.0242,1.9368
300005.SZ,20191213,343148.153,254955.7553,,1.4155
002938.SZ,20191213,11235865.1966,1123586.5216,38.5928,6.0544
300713.SZ,20191213,185321.25,82977.0889,,2.5638
688139.SH,20191213,906825.2279,208148.7465,52.515,3.8019
603085.SH,20191213,246465.2538,246465.2538,116.3372,2.442
688098.SH,20191213,656339.4,72333.009,78.9815,5.1258
600297.SH,20191213,2774392.979,2757502.595,11.8037,0.7346
002246.SZ,20191213,404089.6084,331123.8689,25.7732,1.6233
002832.SZ,20191213,760517.6321,331313.9061,19.1317,4.0841
600807.SH,20191213,300775.8085,267586.2778,2.8681,2.4477
601328.SH,20191213,41215813.288,21784229.5283,5.3896,0.6102
600559.SH,20191213,998680.9252,917877.9143,26.4472,3.1645
600596.SH,20191213,655209.4241,645497.6581,13.7851,1.144
600519.SH,20191213,146095804.14,146095804.14,35.6985,11.6636
601567.SH,20191213,978917.7514,978917.7514,10.9442,1.2554
002397.SZ,20191213,408014.1506,258756.7509,47.0972,2.1758
300083.SZ,20191213,496535.1626,433966.4798,,1.8701
000903.SZ,20191213,506495.8202,454178.734,27.6745,0.9148
601965.SH,20191213,759493.218,752603.8359,17.5635,1.6836
603729.SH,20191213,145140.59,145140.59,,1.7661
600403.SH,20191213,946761.7112,946761.7112,72.3088,1.107
601966.SH,20191213,2676026.5392,2676026.5392,17.7026,2.5969
603444.SH,20191213,2154310.2833,1245167.3662,24.3145,7.3549
300280.SZ,20191213,253146.6921,209362.4748,27.0214,1.4792
300330.SZ,20191213,162456.0,162109.2928,,4.3946
600261.SH,20191213,627308.4658,627308.4658,10.1491,1.6454
000629.SZ,20191213,2499616.1448,1387237.4563,10.1911,2.6447
600448.SH,20191213,272921.8534,267642.6657,352.5448,1.839
603377.SH,20191213,1052520.0,1052520.0,47.1344,6.1516
002487.SZ,20191213,284761.17,275663.4356,22.4402,1.4678
