ts_code,trade_date,total_mv,circ_mv
600126.SH,20060621,244582.9125,85434.18
600130.SH,20060621,192384.0,99558.72
600355.SH,20060621,79226.3612,28548.52
600081.SH,20060621,116017.2,29004.3
600354.SH,20060621,105814.8816,42675.0
600491.SH,20060621,199454.4,64638.0
600511.SH,20060621,164122.0,65402.0
600200.SH,20060621,323492.4,218987.55
600307.SH,20060621,320320.0,116160.0
600345.SH,20060621,166716.0,45468.0
600793.SH,20060621,71182.8,22673.04
600077.SH,20060621,96255.7288,35324.4232
600198.SH,20060621,366114.6576,184815.0881
600392.SH,20060621,117072.0,52023.87
600399.SH,20060621,174720.0,54028.8
600439.SH,20060621,151042.32,54375.2352
000409.SZ,20060621,40272.9248,17689.9707
000595.SZ,20060621,69819.0455,34671.9628
000680.SZ,20060621,257386.6714,201801.0152
600589.SH,20060621,119424.0,40305.6
600706.SH,20060621,36330.7115,20280.0112
600128.SH,20060621,72000.5475,36123.8928
600317.SH,20060621,194504.5842,93904.1049
600386.SH,20060621,177811.2,79027.2
600789.SH,20060621,157701.8643,78552.5129
600981.SH,20060621,79317.42,29565.0
000155.SZ,20060621,233120.0,85113.6
000611.SZ,20060621,95747.1891,41288.3925
000662.SZ,20060621,111054.447,59967.0704
600097.SH,20060621,53568.7485,21599.2
600403.SH,20060621,88717.032,37584.0
600405.SH,20060621,77214.264,36763.2
600591.SH,20060621,317961.0,114660.0003
600705.SH,20060621,162631.2226,89369.8848
000590.SZ,20060621,78368.9721,24531.8154
600433.SH,20060621,59360.0,29383.2
600520.SH,20060621,58441.68,23265.0
600558.SH,20060621,98280.0,36855.0
600656.SH,20060621,45324.6725,24777.7661
600730.SH,20060621,97531.5604,39649.4284
600787.SH,20060621,324614.48,180796.9484
000004.SZ,20060621,39385.0648,19537.2399
000502.SZ,20060621,85617.6822,31437.455
000531.SZ,20060621,151650.5969,67469.2882
000931.SZ,20060621,296257.8067,164557.8067
002001.SZ,20060621,216866.04,77031.0
002030.SZ,20060621,108972.6,37280.1
600482.SH,20060621,143226.0,69904.8
000026.SZ,20060621,162306.0173,39548.2493
000787.SZ,20060621,77735.6756,44038.6
600161.SH,20060621,490528.5,214521.45
600267.SH,20060621,275408.64,92509.056
600312.SH,20060621,393657.2454,167331.1454
600420.SH,20060621,193566.1068,91575.0
600498.SH,20060621,290280.0,92209.92
600537.SH,20060621,83042.274,32851.0
600650.SH,20060621,415914.0207,42566.135
600702.SH,20060621,151785.0,92960.9343
000549.SZ,20060621,503722.1693,322051.8787
600112.SH,20060621,85437.1128,33837.1128
000541.SZ,20060621,362749.6381,148799.839
000582.SZ,20060621,97062.977,29458.0
000612.SZ,20060621,352449.2449,155025.5916
000709.SZ,20060621,901986.1427,349073.056
000859.SZ,20060621,109324.8,66632.6791
000983.SZ,20060621,963540.0,439587.7834
600343.SH,20060621,150405.0,68170.05
600390.SH,20060621,61565.9,34620.0
600432.SH,20060621,280440.0,112471.2
600615.SH,20060621,79269.446,24505.753
600634.SH,20060621,59213.7452,27030.8114
600867.SH,20060621,148440.0561,90597.0874
600960.SH,20060621,57856.617,28142.4
000555.SZ,20060621,24197.59,8223.6
000570.SZ,20060621,151945.3177,59500.706
000607.SZ,20060621,171592.9838,87852.7856
600173.SH,20060621,47840.0,21115.224
600216.SH,20060621,233581.14,91217.2477
600338.SH,20060621,92466.6665,29200.0
600814.SH,20060621,150225.3822,84414.531
000035.SZ,20060621,23756.876,8743.086
000971.SZ,20060621,56848.0,33611.8451
600091.SH,20060621,132254.718,100485.384
600158.SH,20060621,256438.3302,76886.55
600172.SH,20060621,137484.0,74692.8
000667.SZ,20060621,108124.259,35320.0992
000783.SZ,20060621,542588.8365,109980.0
000835.SZ,20060621,68472.0,22253.4
600242.SH,20060621,34979.9948,17679.9198
600268.SH,20060621,179596.0,80361.6
600359.SH,20060621,150870.0,74236.5
600497.SH,20060621,560640.0,311505.6
600539.SH,20060621,96600.0,36960.0
600757.SH,20060621,154391.1622,45910.8
000065.SZ,20060621,95837.9008,33342.4547
600151.SH,20060621,743865.6,296854.272
600436.SH,20060621,261240.0,95539.2
600438.SH,20060621,274320.48,110124.0
600548.SH,20060621,843930.9,84288.6
000007.SZ,20060621,48965.4394,27130.2877
000498.SZ,20060621,82680.0,49412.1366
000625.SZ,20060621,810424.6,231279.3345
000791.SZ,20060621,41013.0,22840.9014
002007.SZ,20060621,203010.0,90641.1168
002026.SZ,20060621,78030.0,32512.5
600099.SH,20060621,105615.84,43958.4
600220.SH,20060621,464632.4526,265021.4138
600292.SH,20060621,125103.0,59241.6
002019.SZ,20060621,62175.75,25754.2324
600599.SH,20060621,70056.0,22017.6
600682.SH,20060621,227906.1289,151351.2
600533.SH,20060621,211470.0,77337.6
600749.SH,20060621,90240.0,35193.6
000037.SZ,20060621,289874.0129,42345.3825
000626.SZ,20060621,135675.0,33918.75
000723.SZ,20060621,79431.942,39647.4477
600196.SH,20060621,600827.7577,264807.9697
600209.SH,20060621,105801.6917,39945.75
600222.SH,20060621,160515.238,41265.0
000933.SZ,20060621,461500.0,218381.8
600229.SH,20060621,132806.7945,56000.4179
600302.SH,20060621,139441.951,62710.83
600327.SH,20060621,249443.4605,91800.0
600362.SH,20060621,3129536.2942,303328.6
600555.SH,20060621,175538.0,44177.4
000848.SZ,20060621,177540.324,101801.9278
600227.SH,20060621,141440.0,78624.0
600256.SH,20060621,460744.5823,162792.0
600401.SH,20060621,79736.722,48389.4
600525.SH,20060621,167963.796,56106.05
600667.SH,20060621,105850.5883,54426.68
600701.SH,20060621,130932.7511,70575.1511
600863.SH,20060621,546816.72,147348.4057
600864.SH,20060621,95479.5898,41232.2625
000016.SZ,20060621,225744.882,105091.6643
000539.SZ,20060621,1188753.588,229228.9768
000995.SZ,20060621,90706.0,25916.0
600508.SH,20060621,498675.42,177606.0
000565.SZ,20060621,80995.0267,48143.78
000767.SZ,20060621,501739.875,182673.2485
000897.SZ,20060621,392186.7541,169412.7467
002018.SZ,20060621,66144.0,28492.8
600005.SH,20060621,2053556.0,620940.0
600132.SH,20060621,626673.06,190710.0
600143.SH,20060621,606105.5,202612.41
600279.SH,20060621,126756.9828,63003.6
600604.SH,20060621,177865.0457,30173.9989
600489.SH,20060621,470960.0,215296.0
600631.SH,20060621,782830.4067,302218.103
000949.SZ,20060621,125586.2815,63698.4115
002011.SZ,20060621,51678.034,26426.4
600001.SH,20060621,1075110.9226,542984.4075
600265.SH,20060621,69615.0,26520.0
600468.SH,20060621,132528.0,49878.72
