ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
301003.SZ,20230609,221780.4126,153929.629,21.6606,2.0257
600066.SH,20230609,2889190.686,2889190.686,29.0273,2.3221
301068.SZ,20230609,351372.0,165839.607,65.1017,4.5404
300870.SZ,20230609,583954.728,224376.0933,48.1395,3.596
600782.SH,20230609,1237224.406,1237224.406,110.5704,0.4688
301018.SZ,20230609,1032391.2536,333191.78,60.384,4.3409
300259.SZ,20230609,443354.7746,307546.4796,15.6041,1.5838
603676.SH,20230609,585292.2175,577142.19,29.5167,4.943
605303.SH,20230609,178973.5229,75463.1369,,1.317
688539.SH,20230609,549659.2,116832.9727,65.064,3.1831
002663.SZ,20230609,326852.0623,236900.1131,,1.0932
600221.SH,20230609,7260226.2659,5522609.6782,,31.3893
002572.SZ,20230609,1556503.2848,1089757.5506,14.7654,2.9643
002112.SZ,20230609,262866.24,258003.376,55.2536,5.7245
600187.SH,20230609,432493.3356,432493.3356,,1.3688
002759.SZ,20230609,550320.3077,541656.9264,43.7762,1.4809
000716.SZ,20230609,542375.672,502190.6361,,2.1822
603519.SH,20230609,367532.4178,367532.4178,4.7726,2.7419
300925.SZ,20230609,592095.3225,316304.515,44.8904,4.3816
300153.SZ,20230609,265600.0,263419.9967,85.4644,3.2983
000861.SZ,20230609,486793.4829,459430.2944,,1.5366
688035.SH,20230609,768238.24,166332.0261,59.1429,3.5135
301025.SZ,20230609,591256.9838,141539.0017,97.3213,9.5518
002083.SZ,20230609,382502.5365,375306.0189,21.8301,1.0143
301311.SZ,20230609,631440.0,157860.0,70.7923,3.5213
600335.SH,20230609,1546645.5075,1506409.1129,37.7249,1.3635
301293.SZ,20230609,1524303.709,328275.208,207.5311,6.6571
300537.SZ,20230609,286259.9071,203183.4127,,4.2556
300658.SZ,20230609,219069.7026,150162.6225,73.9237,1.5993
002733.SZ,20230609,610901.7117,580809.9536,33.893,2.3244
688071.SH,20230609,407467.9246,195929.6095,78.3256,3.8079
601665.SH,20230609,1873560.8336,948737.187,5.0653,0.6235
300523.SZ,20230609,593923.8898,591867.9487,791.2868,4.1327
603197.SH,20230609,1022891.4536,1017336.2316,38.8996,3.9572
000977.SZ,20230609,6723241.1022,6712679.2479,34.3612,4.0535
300795.SZ,20230609,549443.6065,313701.7257,79.7313,12.1804
600196.SH,20230609,8003109.0499,6342555.5594,18.8075,1.7631
002329.SZ,20230609,509292.2103,344950.5912,,3.0527
600757.SH,20230609,1241564.2293,1241407.5364,15.1088,1.4069
002949.SZ,20230609,286021.7107,217589.5042,23.8095,2.1844
