ts_code,trade_date,total_mv,circ_mv
600774.SH,20121115,158689.0259,157158.3626
601199.SH,20121115,278222.0,95723.9641
600318.SH,20121115,221430.0,221430.0
300110.SZ,20121115,285619.458,128551.548
600161.SH,20121115,657220.2567,622518.75
002519.SZ,20121115,173747.2,43436.8
002185.SZ,20121115,300211.296,300044.1231
000900.SZ,20121115,499955.2898,499682.0836
002142.SZ,20121115,2546413.5271,2192957.088
002604.SZ,20121115,275872.0,192717.904
002098.SZ,20121115,112530.0,112530.0
002582.SZ,20121115,233946.0,82858.7343
002337.SZ,20121115,220032.0,55741.44
600770.SH,20121115,589856.4,577841.4
002295.SZ,20121115,129621.6,111995.1977
002171.SZ,20121115,290501.64,287123.0357
601678.SH,20121115,628980.0,204418.5
002235.SZ,20121115,135915.0,73426.7182
002688.SZ,20121115,266091.56,66522.89
000570.SZ,20121115,271705.1738,199105.1738
300018.SZ,20121115,103090.0,77539.54
000702.SZ,20121115,109053.5416,109051.6663
002027.SZ,20121115,115189.6792,74176.7471
000790.SZ,20121115,244937.5474,240581.6399
600259.SH,20121115,1057456.0,1057456.0
002121.SZ,20121115,291567.15,196701.424
002282.SZ,20121115,168163.32,160633.8428
300276.SZ,20121115,96564.0,34156.0659
300229.SZ,20121115,239088.0,80266.0256
600818.SH,20121115,323785.7133,239688.5133
002310.SZ,20121115,1577574.0346,521032.2472
002569.SZ,20121115,103980.76,32629.06
002658.SZ,20121115,276595.2736,69172.56
600279.SH,20121115,216544.4018,95417.1667
600823.SH,20121115,1082800.6877,1082800.6877
002220.SZ,20121115,293707.5904,248383.0872
002682.SZ,20121115,151200.0,37800.0
601336.SH,20121115,6644634.258,337690.2
600802.SH,20121115,225687.3366,225687.3366
002309.SZ,20121115,446958.0,188093.43
002430.SZ,20121115,783604.125,288768.1257
000522.SZ,20121115,823189.2242,823161.3706
000789.SZ,20121115,444484.7124,430333.1018
600435.SH,20121115,551793.06,551793.06
002184.SZ,20121115,113520.0,68487.9942
600896.SH,20121115,209273.6783,209273.6783
000755.SZ,20121115,235101.5751,235081.4755
601988.SH,20121115,78440402.6409,54942542.9739
002126.SZ,20121115,158682.0,145076.1183
600012.SH,20121115,617002.92,433603.2
600236.SH,20121115,770791.9357,381192.2744
002181.SZ,20121115,550142.0988,173328.9019
600983.SH,20121115,341524.8,126084.9564
000927.SZ,20121115,657211.6962,657210.4355
600866.SH,20121115,236118.7965,233605.6338
300235.SZ,20121115,75592.0,24155.1315
600064.SH,20121115,494537.6411,494537.6411
002355.SZ,20121115,277177.6,90480.6657
600360.SH,20121115,242752.64,242752.64
600697.SH,20121115,327562.3464,319466.2349
002609.SZ,20121115,138316.2038,33870.0
000950.SZ,20121115,287423.6328,287423.6328
300179.SZ,20121115,150600.0,60424.0094
002629.SZ,20121115,176679.92,124982.3131
002146.SZ,20121115,1942928.0886,1691300.4882
002063.SZ,20121115,608058.927,457176.0936
300311.SZ,20121115,92051.4,23045.4
000049.SZ,20121115,430464.5374,430331.8171
002440.SZ,20121115,475540.0,203341.4372
002689.SZ,20121115,189645.9119,47430.0
000788.SZ,20121115,351036.5933,329118.1057
600578.SH,20121115,526653.8916,513381.794
002534.SZ,20121115,505055.72,141068.0448
002595.SZ,20121115,414000.0,134154.7335
002632.SZ,20121115,140271.05,35071.05
600317.SH,20121115,770284.9774,391833.0705
600290.SH,20121115,274506.3858,268410.6858
600250.SH,20121115,106063.9086,106063.9086
000610.SZ,20121115,120606.4633,119369.8388
002570.SZ,20121115,876810.9,537266.3678
600246.SH,20121115,400327.2,400327.2
600739.SH,20121115,1798687.5375,1798687.5375
300054.SZ,20121115,331783.2,158835.268
601258.SH,20121115,1289778.0,351012.48
600793.SH,20121115,90242.1,90242.1
600573.SH,20121115,140000.0,140000.0
002352.SZ,20121115,150291.2362,37654.5
002497.SZ,20121115,388320.0,97080.0
600260.SH,20121115,472765.44,472765.44
000711.SZ,20121115,111341.6928,111341.6928
002073.SZ,20121115,460266.3,382290.3341
300252.SZ,20121115,107568.0,47311.0956
600297.SH,20121115,189700.0,189700.0
002186.SZ,20121115,433315.16,426697.1219
600843.SH,20121115,297163.0464,135672.2839
601038.SH,20121115,688166.9,103650.0
002011.SZ,20121115,754981.6515,751942.4757
600313.SH,20121115,234696.5515,194383.8
000056.SZ,20121115,299983.8079,161891.2431
601360.SH,20121115,201152.0,50288.0
601998.SH,20121115,16703075.7511,11313804.3516
002413.SZ,20121115,162729.0,58082.1867
600109.SH,20121115,1433346.9637,1433346.9637
300145.SZ,20121115,239472.0,95103.6107
002690.SZ,20121115,432600.0,108150.0
600309.SH,20121115,2769950.7763,2769950.7763
300106.SZ,20121115,119223.0,61192.8443
000955.SZ,20121115,176427.9,124881.9
002244.SZ,20121115,1103232.0,926327.28
601519.SH,20121115,594920.0,214491.8533
