ts_code,trade_date,total_mv,circ_mv
601777.SH,20111027,893406.9367,187800.0
601788.SH,20111027,4337442.0,1387017.0
601789.SH,20111027,306104.24,61120.0
601798.SH,20111027,413120.0,103280.0
601799.SH,20111027,376685.16,95460.0
601801.SH,20111027,1193920.0,198899.2
601808.SH,20111027,7412782.68,4799361.732
601818.SH,20111027,12130437.0,4565067.0
601857.SH,20111027,181007747.062,159745334.962
601866.SH,20111027,3621768.75,2386523.375
300209.SZ,20111027,191760.0,47940.0
300210.SZ,20111027,202020.15,51281.0
300211.SZ,20111027,105439.88,26975.0
300212.SZ,20111027,248369.0,63019.0
300213.SZ,20111027,146412.0,36603.0
300214.SZ,20111027,251100.0,65100.0
300136.SZ,20111027,268013.4,67013.4
300137.SZ,20111027,297960.0,74490.0
300138.SZ,20111027,230479.2142,59041.0
300139.SZ,20111027,318826.4,79706.6
002551.SZ,20111027,297414.0,74353.5
002552.SZ,20111027,200250.0,50062.5
002553.SZ,20111027,150684.0,38104.0
002447.SZ,20111027,399052.0,146018.785
002448.SZ,20111027,277346.3621,185891.5896
002449.SZ,20111027,384420.0,205014.4044
002450.SZ,20111027,743360.0,489497.914
002451.SZ,20111027,179193.6,44798.4
002452.SZ,20111027,177000.0,59829.4444
000606.SZ,20111027,255351.1044,247419.3307
000607.SZ,20111027,222405.7897,222405.7897
000608.SZ,20111027,352459.2552,352459.2552
000609.SZ,20111027,273353.5937,266771.7033
000610.SZ,20111027,144019.4635,142215.0418
000611.SZ,20111027,181507.6204,179919.0168
000612.SZ,20111027,715462.3637,715449.2889
000633.SZ,20111027,362385.097,172378.6527
002591.SZ,20111027,160720.0,40180.0
002593.SZ,20111027,257792.0,64448.0
002594.SZ,20111027,5096626.5,171035.0
002595.SZ,20111027,473400.0,118350.0
002596.SZ,20111027,201134.0,51034.0
002597.SZ,20111027,398898.0,100098.0
002598.SZ,20111027,231192.0,59280.0
002599.SZ,20111027,175692.0,43923.0
002600.SZ,20111027,574582.4,143736.0
002601.SZ,20111027,756230.0,193080.0
002602.SZ,20111027,332325.0,68364.0
002603.SZ,20111027,1586100.0,194064.0
002604.SZ,20111027,406538.4,82005.6
002310.SZ,20111027,1497931.683,487603.4779
002311.SZ,20111027,1039584.0,259896.0
002312.SZ,20111027,228023.25,125509.1625
002313.SZ,20111027,438500.0,109625.0
002314.SZ,20111027,410640.0,156760.3304
002315.SZ,20111027,524637.5,135726.1145
002316.SZ,20111027,239148.0,129737.79
300255.SZ,20111027,252692.55,50608.8
300256.SZ,20111027,220000.0,44000.0
300257.SZ,20111027,879593.0,177148.8
002063.SZ,20111027,725020.562,615387.496
002124.SZ,20111027,168099.0,106988.391
002125.SZ,20111027,155304.5501,134660.2476
