ts_code,trade_date,total_mv,circ_mv
600112.SH,20061010,86827.9495,34387.9495
600167.SH,20061010,106400.0,39200.0
600459.SH,20061010,114571.35,60784.8
600567.SH,20061010,135630.4885,116423.9245
600649.SH,20061010,964810.2472,350330.2574
600758.SH,20061010,61665.5072,23775.7472
600801.SH,20061010,222983.6,42369.6
600834.SH,20061010,282132.7059,74408.6257
600860.SH,20061010,168378.0,39644.64
600591.SH,20061010,308227.5,111150.0003
600696.SH,20061010,99445.1406,43220.6408
600705.SH,20061010,182225.3458,100137.3408
600845.SH,20061010,285059.3041,19226.856
000549.SZ,20061010,511212.4618,326840.7542
002060.SZ,20061010,156860.0,46772.8
600151.SH,20061010,806181.888,321722.8186
600436.SH,20061010,279300.0,102144.0
600438.SH,20061010,309040.24,124062.0
600548.SH,20061010,957327.3,95614.2
600673.SH,20061010,107089.7179,51949.7609
600687.SH,20061010,56972.9648,26540.4093
600744.SH,20061010,209936.16,114667.8263
600835.SH,20061010,637507.5022,201326.6534
000821.SZ,20061010,102190.6792,61628.4562
000933.SZ,20061010,399500.0,189043.4
600064.SH,20061010,254667.9571,151880.2877
600231.SH,20061010,196462.5,105823.575
600227.SH,20061010,147220.0,81837.0
600256.SH,20061010,442557.2962,156366.0
600401.SH,20061010,90574.723,54966.6
600525.SH,20061010,228404.484,76295.45
600667.SH,20061010,144945.2307,74528.52
600701.SH,20061010,144220.4808,77737.4808
600863.SH,20061010,523042.08,140941.9532
600864.SH,20061010,128672.0652,55566.225
000016.SZ,20061010,257650.1587,119944.6195
000603.SZ,20061010,39722.5875,16126.6984
000632.SZ,20061010,115448.8534,45306.5975
000790.SZ,20061010,142211.376,58307.4809
000807.SZ,20061010,343980.0,167067.3986
600009.SH,20061010,2641860.0322,1234970.1382
600518.SH,20061010,229826.4,115935.0
600538.SH,20061010,79576.56,50542.3195
600597.SH,20061010,691816.6598,178483.2
600794.SH,20061010,67847.3779,37073.5273
000567.SZ,20061010,64713.6,32356.8
600005.SH,20061010,2022204.0,611460.0
600132.SH,20061010,744857.4475,281078.3395
000683.SZ,20061010,202608.0,94898.6064
000729.SZ,20061010,930754.8823,407869.7841
000913.SZ,20061010,179600.256,70671.744
000921.SZ,20061010,264865.7523,51931.767
600159.SH,20061010,132065.6997,45728.7905
600270.SH,20061010,892804.9759,225488.34
600568.SH,20061010,51315.8394,29993.5733
600590.SH,20061010,186906.5503,93249.8946
600773.SH,20061010,55180.9977,21215.9788
600887.SH,20061010,1101113.5795,790791.8588
600656.SH,20061010,46825.4895,25598.2219
600077.SH,20061010,98665.2925,36208.6973
600198.SH,20061010,541270.2312,273233.8172
600258.SH,20061010,332059.0,100450.0
600587.SH,20061010,49947.24,30740.7744
600693.SH,20061010,115507.6038,69589.7431
600704.SH,20061010,164516.1579,98912.7147
600769.SH,20061010,125992.3392,45716.1869
600859.SH,20061010,642117.9245,324150.6749
002013.SZ,20061010,60300.0,31339.8517
600348.SH,20061010,536796.0,217620.0
600368.SH,20061010,155142.0,47258.64
600470.SH,20061010,143068.0,77926.4
600862.SH,20061010,67002.9787,34385.363
600881.SH,20061010,347698.4115,282059.1159
600892.SH,20061010,36562.0,11084.2228
000555.SZ,20061010,32988.4748,11211.2
000570.SZ,20061010,152693.8168,59793.8129
000607.SZ,20061010,168755.2703,86399.923
600691.SH,20061010,28282.4666,12157.056
600750.SH,20061010,181032.768,102053.952
600633.SH,20061010,120728.3447,15721.2143
600732.SH,20061010,126723.1966,53825.884
000627.SZ,20061010,189739.5836,72050.9873
600240.SH,20061010,157150.0,77452.5
600516.SH,20061010,97400.0,38960.0
600607.SH,20061010,245700.3004,138525.7892
000024.SZ,20061010,897292.8744,355408.3038
000062.SZ,20061010,225211.4258,121593.2926
000560.SZ,20061010,66931.2,40392.7103
000065.SZ,20061010,84792.1766,29499.5955
002063.SZ,20061010,156822.96,31416.0
600119.SH,20061010,83655.0,36138.96
600188.SH,20061010,3019897.6,221040.0
600250.SH,20061010,93646.6705,52253.5981
600283.SH,20061010,169771.35,50575.0
600418.SH,20061010,381115.9807,274530.7807
600455.SH,20061010,56149.742,22349.14
600540.SH,20061010,96300.0,42372.0
000534.SZ,20061010,90819.5502,48085.9827
000910.SZ,20061010,308950.0,117568.0
000922.SZ,20061010,105347.555,47407.9
600292.SH,20061010,138817.5,65736.0
600293.SH,20061010,95082.7176,49185.0216
600310.SH,20061010,133864.5,51111.9
600543.SH,20061010,82901.6,44613.52
600605.SH,20061010,196949.904,34856.4
600655.SH,20061010,463006.7877,163167.466
600664.SH,20061010,832143.6669,542900.7367
600879.SH,20061010,744446.5418,523577.8082
000033.SZ,20061010,111008.4909,36696.7152
000063.SZ,20061010,3051278.847,1196589.2765
000600.SZ,20061010,101925.2486,40306.7522
000720.SZ,20061010,233134.2,172348.2903
000911.SZ,20061010,245043.12,117437.8296
000987.SZ,20061010,308464.667,147811.151
600073.SH,20061010,248508.0,122413.2
600157.SH,20061010,117778.2979,43918.8765
600329.SH,20061010,214029.8744,46653.504
600983.SH,20061010,113886.0,37791.0
000034.SZ,20061010,72806.6196,19810.1746
000030.SZ,20061010,69797.64,9742.92
000066.SZ,20061010,268676.019,140044.5466
000430.SZ,20061010,92718.0,37550.79
000400.SZ,20061010,424042.912,287217.0598
000422.SZ,20061010,261426.2211,187539.7827
000676.SZ,20061010,137474.3875,56368.0689
000501.SZ,20061010,288624.4477,116297.8258
000756.SZ,20061010,144968.1671,32572.7222
