ts_code,total_mv,circ_mv
002085.SZ,2879320.4808,2777071.0315
600600.SH,4206960.4236,2167075.0033
000568.SZ,3401864.5068,3397674.7684
603618.SH,670985.75,167785.75
600790.SH,844923.7706,844923.7706
002620.SZ,445560.0,346919.9445
600100.SH,5000097.5303,3492429.831
600162.SH,1047932.6482,676442.9173
000012.SZ,2334752.505,1465371.1429
600278.SH,876843.8798,876843.8798
601098.SH,4757604.0,4757604.0
000897.SZ,828043.3838,827960.8535
600567.SH,1378699.898,796497.6872
002484.SZ,762112.0,700677.5838
600238.SH,744012.0,738254.4228
002671.SZ,775580.2549,559486.1199
000923.SZ,358974.0,358972.3683
002427.SZ,642621.618,538214.7002
601799.SH,846204.15,843698.729
300357.SZ,684214.4,293372.7719
300391.SZ,361684.75,112134.75
603015.SH,628914.3,157464.3
600768.SH,287957.7216,287957.7216
300051.SZ,822090.6551,475988.991
002028.SZ,947470.6048,719460.9984
300207.SZ,1710031.025,1179853.2636
603019.SH,2682900.0,1604065.112
601288.SH,104908499.791,94979859.931
600612.SH,2150014.01,1303320.5793
002248.SZ,543037.2296,391395.6043
300376.SZ,1127570.92,282239.384
600230.SH,350083.977,350083.977
002465.SZ,3499720.9477,2988724.0091
002428.SZ,1162553.6,1126960.704
600007.SH,1810086.7136,1810086.7136
000756.SZ,512190.3696,344190.3696
300068.SZ,1125262.8,812971.4542
002646.SZ,970200.0,970200.0
601369.SH,1399509.779,1399509.779
002518.SZ,959989.8204,911800.1029
600686.SH,1093342.7968,797559.9688
000623.SZ,2559882.7952,2309432.1889
300045.SZ,1117456.56,660318.6489
000518.SZ,675388.8816,675375.4146
600167.SH,465466.0,465466.0
002108.SZ,1136725.929,1062847.6881
300079.SZ,1789754.2267,1567142.9626
600247.SH,712919.7504,712919.7504
601116.SH,479766.2784,479766.2784
600148.SH,368650.3523,368650.3523
002352.SZ,333777.3,174619.6319
000912.SZ,398385.0,398385.0
600094.SH,2353521.6221,2121019.111
000011.SZ,867149.5789,255880.1208
002592.SZ,1236460.0457,563194.4978
002396.SZ,1289554.0693,1259603.28
300304.SZ,497600.0,497600.0
000637.SZ,402903.4009,284026.261
000505.SZ,435707.0575,368014.6237
002776.SZ,702486.24,175621.56
300243.SZ,387779.5112,251265.1613
600050.SH,12972316.9937,12972316.9937
002197.SZ,1037858.2749,821393.8554
300093.SZ,817560.0,814761.5224
300064.SZ,861212.748,769302.5203
002145.SZ,674377.2967,324899.4474
300310.SZ,1304388.8,760703.2433
600338.SH,1400047.5719,339466.666
300255.SZ,837050.0748,584462.6017
002116.SZ,748013.506,743338.6893
000959.SZ,1925337.8144,439036.883
000027.SZ,3940704.6474,1428899.8132
002217.SZ,2574678.3237,667155.0477
000532.SZ,819027.0158,816116.6677
002326.SZ,1822639.9744,1213609.9448
002740.SZ,496800.0,124200.0
300086.SZ,663750.0,639821.9482
600298.SH,925937.347,910924.1493
600509.SH,842297.825,779987.825
002224.SZ,1192808.1898,849862.8228
002613.SZ,504630.0,301336.2737
300292.SZ,1438864.5127,381748.5717
000949.SZ,512593.4102,512238.1846
002380.SZ,624852.0,312485.3058
603268.SH,558008.0,139502.0
002446.SZ,1086993.6146,488122.6792
002443.SZ,889074.6682,838700.9453
300143.SZ,363341.0,261152.6946
002298.SZ,1109506.5863,621900.7503
300489.SZ,500123.25,125099.7
600000.SH,35870625.531,35870625.531
601901.SH,7639390.0946,5836981.2974
002026.SZ,537221.6588,537221.6588
600240.SH,2110743.8352,2110743.8352
601777.SH,2273999.616,1798734.989
000333.SZ,12161552.0509,6384446.0197
000996.SZ,683100.0,683100.0
000610.SZ,339496.49,279746.8179
002570.SZ,1421302.8,1415881.187
002229.SZ,836411.73,576808.6125
000619.SZ,516960.0,516960.0
300097.SZ,492813.4609,324564.6349
601918.SH,2453243.0846,2453243.0846
002538.SZ,859589.9788,686530.3725
600619.SH,1307262.7784,480728.9311
000962.SZ,643615.6602,643612.5767
600575.SH,1871725.0445,923656.8
000509.SZ,670292.291,491773.5161
300185.SZ,783000.0,617604.8881
002746.SZ,650148.0,162588.0
600458.SH,1135000.3099,1135000.3099
002584.SZ,1230124.9201,540882.3046
002318.SZ,1221025.1073,1174080.1788
000823.SZ,571868.79,571769.6289
000551.SZ,480896.6468,480896.6468
600792.SH,654339.4996,629291.0897
300176.SZ,289548.72,289548.72
000016.SZ,1765023.9841,879475.3314
300339.SZ,1613716.1462,877484.1684
600287.SH,512361.7948,512361.7948
600151.SH,1467711.1991,1467711.1991
000536.SZ,1167875.2261,376047.8477
002289.SZ,603106.0334,470242.4637
002353.SZ,2396550.688,1662337.4269
300435.SZ,538152.0,131896.7025
300084.SZ,343926.9165,264073.5299
002365.SZ,349690.0,273585.8508
002206.SZ,731776.6035,557881.8266
002363.SZ,527382.0,527151.0056
600640.SH,1079830.2852,1079830.2852
300297.SZ,1824887.8639,1156289.9392
002695.SZ,454957.0518,448601.2593
000628.SZ,472203.68,284632.32
000338.SZ,3882659.3189,2031496.8506
002735.SZ,358800.0,100464.0
600220.SH,971920.4777,971920.4777
600761.SH,820367.0556,820367.0556
300070.SZ,6091972.7045,3289976.4437
601727.SH,16914741.735,12993470.807
600897.SH,651608.28,651608.28
002008.SZ,2722303.4056,2529551.3495
002717.SZ,1047892.712,492857.2809
601211.SH,17507000.0,3501400.0
300258.SZ,431190.0,398882.1901
600711.SH,1154227.3272,916878.2038
000100.SZ,4889819.7048,3598166.3536
300272.SZ,726688.7784,435168.7527
600239.SH,752531.9311,752531.9311
000759.SZ,527791.6625,527520.7543
000539.SZ,3869459.2977,1882231.0531
000548.SZ,525175.0332,525159.5004
002339.SZ,900256.896,703984.5648
600863.SH,2683178.19,2683178.19
300102.SZ,615075.0405,314807.3357
002232.SZ,641421.0744,627536.8955
600385.SH,333241.083,321241.0815
000546.SZ,759419.7166,347258.8602
002169.SZ,649925.0014,512803.2332
002563.SZ,3281950.2072,2233407.7312
300044.SZ,639556.06,425012.5022
002264.SZ,416956.5208,412500.1234
603688.SH,488107.8,167195.46
300088.SZ,1452903.8753,1227524.3201
002261.SZ,1747812.2891,870466.9988
000719.SZ,1642635.5572,1071028.4024
000882.SZ,1306712.7338,1106311.2103
600493.SH,396576.0,396576.0
600537.SH,896973.9419,740953.734
002372.SZ,1007498.9418,883569.687
300002.SZ,2403680.7433,1382989.6078
002063.SZ,1469926.9175,1246548.1459
300311.SZ,1297481.0661,580770.6799
002689.SZ,1048966.4442,1020686.5196
600621.SH,680258.8916,680258.8916
300404.SZ,577095.52,144295.52
601155.SH,4468297.4069,1390626.3966
603366.SH,800800.0,800800.0
002770.SZ,819379.8,204994.8
300480.SZ,631580.0,157895.0
603616.SH,555330.48,138870.48
002087.SZ,404891.7936,404782.3542
300452.SZ,527568.0,131892.0
000571.SZ,638226.176,576828.3434
600581.SH,633853.2692,633853.2692
000721.SZ,425195.6438,371151.7076
002165.SZ,428723.4406,419345.4345
000961.SZ,2026201.0571,2019305.7871
002263.SZ,928849.0695,836070.2347
603885.SH,3878304.0,464304.0
000607.SZ,1484821.9802,711600.9807
600501.SH,1007710.3712,931166.3712
300080.SZ,525430.2019,375676.4226
600387.SH,733976.1,733234.71
002656.SZ,506000.0,404009.375
002589.SZ,1965302.1215,1028909.9713
600328.SH,591826.5134,591826.5134
600970.SH,1342592.0672,1255105.2545
000400.SZ,1807930.865,1322335.3843
002148.SZ,580786.0285,460358.4176
300220.SZ,517860.0,276675.7388
300013.SZ,617023.8015,372960.0
002678.SZ,1529600.0,1525441.3776
600019.SH,8909455.7539,8885534.8438
600886.SH,5897054.2885,5897054.2885
002666.SZ,825236.2192,248479.3339
000409.SZ,440565.1095,333273.304
600395.SH,1221428.2734,1221428.2734
600275.SH,449303.2812,449303.2812
601890.SH,1247220.0,1247220.0
000533.SZ,540908.928,536278.5792
000018.SZ,1340272.8394,299061.6385
002009.SZ,590980.9233,478498.3528
601800.SH,21803543.3529,15835273.3529
603568.SH,2440990.2,246358.2
002273.SZ,1532508.4113,1253032.257
600487.SH,1664541.8162,1543851.8162
600673.SH,2180015.6616,2168870.6546
600066.SH,4598351.7662,3953536.7312
600782.SH,751068.5291,751068.5291
300259.SZ,529292.9124,285923.7504
000552.SZ,995975.8923,308442.9673
002709.SZ,1199953.9217,524961.9357
000068.SZ,1138545.4258,1014135.4258
002079.SZ,658814.1957,656560.2163
600257.SH,530396.1,530396.1
002359.SZ,1304167.2,1051152.9714
300291.SZ,2862496.2712,1902407.9503
600392.SH,1165947.7955,485068.5
600475.SH,425216.0,425216.0
000898.SZ,3299072.3782,2803912.8598
600546.SH,872280.7016,872280.7016
600961.SH,738441.0796,738441.0796
600828.SH,463767.4411,463261.4584
600077.SH,1137763.8548,926228.8028
600165.SH,1500580.351,1062380.351
000682.SZ,607439.3441,607352.5718
002721.SZ,1901337.624,642209.7108
600108.SH,1423194.9535,1423194.9535
600583.SH,3939427.1268,3607671.6522
603308.SH,1046426.16,627372.2383
600523.SH,603579.042,603180.897
002602.SZ,1645401.4481,906624.7525
600058.SH,3211444.4902,3211444.4902
002643.SZ,1315981.48,1036736.0925
002466.SZ,4524198.107,2855718.2654
603005.SH,939658.8785,413004.1068
600975.SH,521814.1294,374741.8415
000710.SZ,472046.4,472046.4
300147.SZ,1435403.647,1431612.0754
603166.SH,1140972.0,171187.912
002549.SZ,701946.0,243788.2723
002373.SZ,2201486.1162,947992.0624
002003.SZ,811452.9231,700356.8469
000920.SZ,945280.0,945280.0
300019.SZ,475238.4,314894.1869
300024.SZ,5077870.7542,4538211.2796
002411.SZ,691375.5,562750.9182
000869.SZ,3057169.44,2022435.168
002644.SZ,833392.224,725081.28
603227.SH,996283.75,249108.75
603368.SH,978187.5,498953.4192
002292.SZ,6032194.8185,3158127.1904
000736.SZ,478779.3487,223499.9102
002480.SZ,857049.0626,830281.5958
603088.SH,415920.0,129975.0
600293.SH,410991.6018,410991.6018
300228.SZ,778400.6074,586276.5708
300091.SZ,664411.0,459580.5911
000868.SZ,657309.4948,657304.0138
600146.SH,588800.0,588800.0
