ts_code,trade_date,total_mv,circ_mv
600676.SH,20100914,533919.042,271345.4625
600677.SH,20100914,365965.3834,314136.3808
600678.SH,20100914,200320.26,159902.4673
600679.SH,20100914,374836.8417,192940.8417
600821.SH,20100914,270158.078,270158.078
600822.SH,20100914,539618.5304,303829.9263
600823.SH,20100914,1435149.8844,586463.6444
600824.SH,20100914,606065.5669,606065.5669
600825.SH,20100914,1054291.8407,715478.092
600874.SH,20100914,966233.6471,736053.6471
600875.SH,20100914,6330193.74,3002451.0418
600876.SH,20100914,409014.922,204514.922
600877.SH,20100914,687969.322,687969.322
600879.SH,20100914,1107070.6702,854038.6655
600739.SH,20100914,2707516.7898,2707516.7898
600740.SH,20100914,405041.2,327092.2547
600741.SH,20100914,3278081.0221,1868681.7338
600742.SH,20100914,681951.4416,681951.4416
002342.SZ,20100914,908640.0,113580.0
002343.SZ,20100914,322242.18,81325.0
002344.SZ,20100914,1374800.0,343700.0
002345.SZ,20100914,729000.0,182250.0
002346.SZ,20100914,235980.0,61180.0
002347.SZ,20100914,250640.0,62660.0
002348.SZ,20100914,328560.0,84360.0
002349.SZ,20100914,257200.0,64300.0
002350.SZ,20100914,351045.6,88581.6
002351.SZ,20100914,499653.0,125763.0
002387.SZ,20100914,612097.5,153597.5
002388.SZ,20100914,349206.0,88088.0
002389.SZ,20100914,389806.0,98906.0
002063.SZ,20100914,802544.7924,767431.9915
002064.SZ,20100914,781227.2,688404.099
002065.SZ,20100914,1364856.2284,1067291.1043
002066.SZ,20100914,196350.0,195432.969
002067.SZ,20100914,297920.0,250068.5
002068.SZ,20100914,335131.992,335126.2686
002069.SZ,20100914,1894651.2,1787711.6167
002070.SZ,20100914,274979.748,134877.418
002071.SZ,20100914,159913.38,156560.1497
002072.SZ,20100914,135696.0,135696.0
000973.SZ,20100914,1026029.3989,862399.9554
000975.SZ,20100914,397426.5947,246509.4198
002366.SZ,20100914,275944.5,69244.5
002367.SZ,20100914,476434.8,119554.8
002368.SZ,20100914,468260.808,118500.0
002369.SZ,20100914,336100.0,84025.0
002241.SZ,20100914,1422000.0,355500.0
002242.SZ,20100914,1346881.5,337981.5
002243.SZ,20100914,337812.2634,137562.0442
002244.SZ,20100914,1438528.0,312193.7728
002245.SZ,20100914,261926.4,94600.9875
002246.SZ,20100914,383117.0225,101180.7556
002247.SZ,20100914,188376.0,68526.0
002248.SZ,20100914,731287.504,220087.504
002270.SZ,20100914,257244.0,64532.0
300034.SZ,20100914,326226.2157,83100.0
300035.SZ,20100914,230163.75,58008.75
300036.SZ,20100914,291600.0,73872.0
600216.SH,20100914,1581510.84,1581224.8566
600217.SH,20100914,400444.8,396566.4
600218.SH,20100914,338379.6,338379.6
600219.SH,20100914,1818105.2253,778991.6253
600220.SH,20100914,1228721.4846,939193.7851
600221.SH,20100914,2487671.0097,2017151.982
600222.SH,20100914,341053.4652,341053.4652
600223.SH,20100914,760735.68,257590.942
600225.SH,20100914,633292.1258,125084.4433
600226.SH,20100914,434343.2446,434343.2446
600149.SH,20100914,225434.88,192790.23
600150.SH,20100914,4021718.1857,1593718.1857
600999.SH,20100914,7533054.4161,753305.4422
601000.SH,20100914,787000.0,125920.0
601001.SH,20100914,2739846.9,2739846.9
601002.SH,20100914,606283.87,606283.87
601003.SH,20100914,1506922.4016,1506922.4016
600966.SH,20100914,474302.1657,368465.4131
600967.SH,20100914,271104.95,257567.7
600969.SH,20100914,308673.013,135643.2
600970.SH,20100914,2722613.8699,2168812.8
600971.SH,20100914,1181175.6504,427602.4844
600973.SH,20100914,307164.0,307164.0
600975.SH,20100914,195420.2897,195420.2897
600976.SH,20100914,305876.8084,305677.4084
600978.SH,20100914,737422.435,602258.435
600979.SH,20100914,184330.7066,184330.7066
600097.SH,20100914,302883.862,172597.5841
600098.SH,20100914,1369368.0,1369368.0
600099.SH,20100914,236649.6,236649.6
600100.SH,20100914,2481644.8333,2439495.4733
600101.SH,20100914,258046.4657,258046.4657
600250.SH,20100914,239031.833,239031.833
600251.SH,20100914,884610.3,884610.3
600252.SH,20100914,1369051.4001,1072575.99
600253.SH,20100914,440160.0,439528.2949
600255.SH,20100914,354206.0,354206.0
600256.SH,20100914,3871449.6582,2248131.8971
600257.SH,20100914,357440.85,357440.85
600258.SH,20100914,598631.8,598631.8
600259.SH,20100914,1163201.6,518907.6711
600260.SH,20100914,350352.96,350352.96
600299.SH,20100914,636657.8081,355801.3671
600545.SH,20100914,898795.0847,660096.1291
600546.SH,20100914,1795500.0,432677.1601
600547.SH,20100914,6291403.1158,3058978.32
600548.SH,20100914,1072939.0004,705169.0004
002312.SZ,20100914,333369.4,84540.0
002313.SZ,20100914,431100.0,107775.0
002202.SZ,20100914,4791360.0,2116000.5544
002203.SZ,20100914,544136.0,243765.3528
002204.SZ,20100914,513386.0,129546.0
002334.SZ,20100914,663040.0,165760.0
002335.SZ,20100914,390468.0,97617.0
002336.SZ,20100914,1133600.0,283400.0
002337.SZ,20100914,348120.0,87030.0
002338.SZ,20100914,342000.0,85500.0
002339.SZ,20100914,347440.0,88880.0
002340.SZ,20100914,703390.168,175847.542
002341.SZ,20100914,288554.4,74898.0
000419.SZ,20100914,405072.8217,404787.7814
000420.SZ,20100914,234897.8851,195312.9481
000421.SZ,20100914,257784.4453,257751.5241
000422.SZ,20100914,1053840.555,1053285.9568
000423.SZ,20100914,3025503.6302,3024401.6476
000425.SZ,20100914,3226894.1017,1312057.9723
000426.SZ,20100914,485362.5605,266247.999
000428.SZ,20100914,616617.3,575953.9748
000429.SZ,20100914,678843.5839,251777.6719
000488.SZ,20100914,1560968.7773,612875.9267
000501.SZ,20100914,993699.9878,993603.4346
000502.SZ,20100914,159499.3208,158213.0409
000503.SZ,20100914,919794.7229,698752.9767
000001.SZ,20100914,5987253.6431,5335021.5402
300012.SZ,20100914,350180.025,89932.5
300013.SZ,20100914,150300.0,37575.0
300014.SZ,20100914,421476.0,105369.0
300015.SZ,20100914,989235.0,248235.0
300016.SZ,20100914,218125.7205,54621.0
300017.SZ,20100914,290231.2863,73586.2
300018.SZ,20100914,321490.0,80867.1
300019.SZ,20100914,221034.0,56342.0
300020.SZ,20100914,385280.0,96320.0
600987.SH,20100914,380762.46,265248.152
600988.SH,20100914,121558.116,75625.5064
600990.SH,20100914,572006.4,572006.4
