ts_code,trade_date,total_mv,circ_mv
600774.SH,20121105,157466.9982,155948.1222
601199.SH,20121105,294354.2,101274.3453
600318.SH,20121105,245146.0,245146.0
300110.SZ,20121105,309202.716,139165.896
600161.SH,20121105,653611.9886,619101.0
002519.SZ,20121105,182617.6,45654.4
002185.SZ,20121105,324254.192,324073.6308
000900.SZ,20121105,516121.5087,515839.4683
002142.SZ,20121105,2632928.143,2267462.9913
002604.SZ,20121105,284260.0,198577.57
002098.SZ,20121105,110360.0,110360.0
002582.SZ,20121105,248706.0,88086.4147
002337.SZ,20121105,195648.0,49564.16
600770.SH,20121105,683747.4,669819.9
002295.SZ,20121105,138729.0,119864.1413
002171.SZ,20121105,311694.24,308069.1607
601678.SH,20121105,687720.0,223509.0
002235.SZ,20121105,155415.0,83961.398
002688.SZ,20121105,263586.4,65896.6
000570.SZ,20121105,284616.7833,208566.7833
300018.SZ,20121105,106210.0,79886.26
000702.SZ,20121105,115186.1368,115184.1561
002027.SZ,20121105,121841.0517,78459.9189
000790.SZ,20121105,273280.3207,268420.3725
600259.SH,20121105,1042242.6,1042242.6
002121.SZ,20121105,320525.52,216237.7559
002282.SZ,20121105,173573.4,165801.6876
300276.SZ,20121105,97422.0,24355.5
300229.SZ,20121105,256224.0,86018.8807
600818.SH,20121105,348332.6446,257859.8446
002310.SZ,20121105,1625790.2419,536956.824
002569.SZ,20121105,105100.84,32980.54
002658.SZ,20121105,296116.4112,74054.52
600279.SH,20121105,229886.0001,101295.9494
600823.SH,20121105,1188154.2681,1188154.2681
002220.SZ,20121105,316014.496,267247.6255
002682.SZ,20121105,156000.0,39000.0
601336.SH,20121105,7043936.2228,357983.32
600802.SH,20121105,244017.2726,244017.2726
002309.SZ,20121105,510877.8,214992.813
002430.SZ,20121105,990670.5,365074.7288
000522.SZ,20121105,937169.2706,937137.5604
000789.SZ,20121105,494886.9738,494863.2725
600435.SH,20121105,605408.58,605408.58
002184.SZ,20121105,124300.0,74991.6991
600896.SH,20121105,222643.9411,222643.9411
000755.SZ,20121105,267480.834,267457.9661
601988.SH,20121105,77323813.2794,54160442.718
002126.SZ,20121105,183486.0,134287.3472
600012.SH,20121105,643540.68,452252.8
600236.SH,20121105,761670.1377,376681.1232
002181.SZ,20121105,602734.2994,189898.7089
600983.SH,20121105,367632.0,135723.276
000927.SZ,20121105,727399.3531,727397.9578
600866.SH,20121105,254281.7808,251575.298
300235.SZ,20121105,77264.0,24689.4127
600064.SH,20121105,528091.8651,528091.8651
002355.SZ,20121105,280011.2,91405.6539
600360.SH,20121105,261738.88,261738.88
600697.SH,20121105,360493.578,351583.53
002609.SZ,20121105,139908.8616,34260.0
000950.SZ,20121105,306585.2083,306585.2083
300179.SZ,20121105,162240.0,65094.2316
002629.SZ,20121105,188580.64,133400.8109
002146.SZ,20121105,2012184.6775,1751587.6925
002063.SZ,20121105,658435.9021,495052.6013
300311.SZ,20121105,98060.9,24549.9
000049.SZ,20121105,451536.228,451397.0109
002440.SZ,20121105,521560.0,223019.6408
002689.SZ,20121105,212267.0746,53087.5
000788.SZ,20121105,365340.2915,342528.6906
600578.SH,20121105,575461.8756,560959.7778
002534.SZ,20121105,537497.84,150129.5132
002595.SZ,20121105,422000.0,136747.0955
002632.SZ,20121105,146564.58,36644.58
600317.SH,20121105,806965.2144,410491.7881
600290.SH,20121105,291893.5465,285411.7465
600250.SH,20121105,113048.605,113048.605
000610.SZ,20121105,131034.1021,129690.559
002570.SZ,20121105,935605.8,573292.9755
600246.SH,20121105,427096.8,427096.8
600739.SH,20121105,1886028.9657,1886028.9657
300054.SZ,20121105,348535.8,166855.2754
601258.SH,20121105,1347451.0,366708.16
600793.SH,20121105,94875.3,94875.3
600573.SH,20121105,155250.0,155250.0
002352.SZ,20121105,154883.2522,38805.0
002497.SZ,20121105,455040.0,113760.0
600260.SH,20121105,543996.84,543996.84
000711.SZ,20121105,116651.34,116651.34
002073.SZ,20121105,521882.595,423881.4684
300252.SZ,20121105,116640.0,51301.188
600297.SH,20121105,206150.0,206150.0
002186.SZ,20121105,458371.28,451370.5589
600843.SH,20121105,320056.272,146124.3783
601038.SH,20121105,723023.4,108900.0
002011.SZ,20121105,808609.6489,723221.6239
600313.SH,20121105,251959.0521,208681.2
000056.SZ,20121105,306610.8434,165467.6329
601360.SH,20121105,218848.0,54712.0
601998.SH,20121105,17217736.3485,11662408.9675
002413.SZ,20121105,194040.0,69257.892
600109.SH,20121105,1520368.0285,1520368.0285
300145.SZ,20121105,248256.0,98592.0775
002690.SZ,20121105,433200.0,108300.0
600309.SH,20121105,2973210.24,2973210.24
300106.SZ,20121105,122031.0,62634.0889
000955.SZ,20121105,174771.3,123709.3
002244.SZ,20121105,1176240.0,987628.35
601519.SH,20121105,643570.0,232032.075
300253.SZ,20121105,218815.0,102284.5155
000985.SZ,20121105,148566.867,148566.867
002137.SZ,20121105,182299.104,180147.0611
600439.SH,20121105,414118.0068,414118.0068
002304.SZ,20121105,12934080.0,5853381.269
