ts_code,trade_date,total_mv,circ_mv
002160.SZ,20071022,535500.0,107100.0
002161.SZ,20071022,307389.6,61669.44
002162.SZ,20071022,468160.0,93632.0
002163.SZ,20071022,242624.0,48524.8
002164.SZ,20071022,350280.0,70056.0
002165.SZ,20071022,355725.0,72093.6
002166.SZ,20071022,176165.9136,35904.0
002167.SZ,20071022,226250.0,45250.0
002168.SZ,20071022,211709.1514,43971.2
002169.SZ,20071022,187344.96,39052.8
002170.SZ,20071022,269122.0,54969.6
600097.SH,20071022,132305.5728,97924.5322
600098.SH,20071022,2915827.2,962426.88
600099.SH,20071022,205096.32,122934.24
600100.SH,20071022,2027903.2637,1240801.2662
600101.SH,20071022,287870.9316,197410.8156
600102.SH,20071022,1846390.7302,446606.16
600103.SH,20071022,608435.2368,429741.7488
600104.SH,20071022,17720533.6885,4005433.0455
600105.SH,20071022,244355.1949,154432.5927
600301.SH,20071022,259368.3984,131072.2354
600302.SH,20071022,372998.5687,191416.5318
600303.SH,20071022,306360.0,159131.25
600305.SH,20071022,211069.0,103423.81
600589.SH,20071022,436554.0,189398.124
600590.SH,20071022,304312.1355,184151.1182
600591.SH,20071022,1827735.0,1060726.6799
600592.SH,20071022,308100.0,137874.75
600593.SH,20071022,108836.0,75399.688
600594.SH,20071022,234265.5,144230.625
600595.SH,20071022,2557381.5163,1403026.3908
600596.SH,20071022,1638985.059,1124389.9998
600597.SH,20071022,1317994.0884,390751.7032
000683.SZ,20071022,815122.0,381814.6156
000685.SZ,20071022,752912.82,528124.5208
000686.SZ,20071022,3559807.9519,927753.4989
000687.SZ,20071022,421852.0,198014.1715
000690.SZ,20071022,1842936.24,737688.8054
000692.SZ,20071022,262153.8242,170083.6777
000695.SZ,20071022,225479.7521,140573.8196
000697.SZ,20071022,117752.6503,70356.1081
000698.SZ,20071022,561800.7248,372589.4625
000700.SZ,20071022,253724.7956,151907.6801
000666.SZ,20071022,573610.0,215968.1512
600545.SH,20071022,323630.2361,149074.1801
600546.SH,20071022,569400.0,324868.3363
600547.SH,20071022,2689760.0,1303693.05
600548.SH,20071022,2756404.8,275299.2
600549.SH,20071022,1731180.0,769903.2
600550.SH,20071022,4813620.0,2358673.8
600760.SH,20071022,151790.6026,105782.6968
600761.SH,20071022,1245057.2158,795530.4867
601919.SH,20071022,50920496.2632,7129784.2492
601939.SH,20071022,217798226.288,5871600.0
601988.SH,20071022,165756972.7919,3400689.482
601991.SH,20071022,19919353.0166,1032516.0346
601998.SH,20071022,40867911.2245,1868575.3027
600829.SH,20071022,924342.4236,232714.8225
600830.SH,20071022,562149.9986,394307.0845
600876.SH,20071022,486517.7495,69083.0
600877.SH,20071022,535392.7092,337315.7248
600879.SH,20071022,1588558.5489,1080604.9231
600793.SH,20071022,107511.3,56296.1022
600057.SH,20071022,270369.36,151728.0241
600058.SH,20071022,3927294.7058,1444645.8
600201.SH,20071022,448180.6283,373617.8927
600202.SH,20071022,543803.1456,317117.2347
600206.SH,20071022,367720.0,222534.0
600207.SH,20071022,443520.0,243129.6
600208.SH,20071022,3066998.344,473718.5519
600209.SH,20071022,229602.8414,117027.7875
