rb_date,next_rb,period_ret,nav
2016-06-13,2016-09-12,10.631099585462914,1.106310995854629
2016-09-12,2016-12-12,8.258974310087277,1.1976809367919337
2016-12-12,2017-03-13,2.0559391761247596,1.2223045283764171
2017-03-13,2017-06-12,11.070745851821027,1.3576227562482697
2017-06-12,2017-09-11,6.49282043659549,1.4457707640178283
2017-09-11,2017-12-11,6.716140206051548,1.5428707555873684
2017-12-11,2018-03-12,3.927784005416035,1.6034713863495704
2018-03-12,2018-06-11,-4.273908158673418,1.5349404919463823
2018-06-11,2018-09-17,-7.917477852263959,1.413411918451096
2018-09-17,2018-12-17,-2.808102386798393,1.3737218646337779
2018-12-17,2019-03-11,11.736043129575295,1.534942455147604
2019-03-11,2019-06-17,-3.286398621164109,1.4844981274659708
2019-06-17,2019-09-16,4.622168675888286,1.5531141349078512
2019-09-16,2019-12-16,-1.7047773104580288,1.5266369975304257
2019-12-16,2020-03-16,-8.719846980731937,1.393516587394532
2020-03-16,2020-06-15,3.62310027783151,1.4440050907440516
2020-06-15,2020-09-14,18.30765838194654,1.7083686097753898
2020-09-14,2020-12-14,4.065362303821567,1.7778199832475192
2020-12-14,2021-03-15,8.84316382456762,1.935035516871998
2021-03-15,2021-06-14,7.025195384370006,2.07097554268921
2021-06-14,2021-09-13,15.39449561466422,2.3897917817892687
2021-09-13,2021-12-13,-7.220208916792164,2.2172438224677538
2021-12-13,2022-03-14,-6.416549592220163,2.074973273018672
2022-03-14,2022-06-13,5.204593632615183,2.182967199864669
2022-06-13,2022-09-12,0.6156333203781293,2.1964062733199614
2022-09-12,2022-12-12,-0.7891987917266654,2.1790722615495115
2022-12-12,2023-03-13,7.3526312917234655,2.339291410521467
2023-03-13,2023-06-12,1.7121235355787912,2.379342969326778
2023-06-12,2023-09-11,2.4506440516875103,2.4376521962738296
2023-09-11,2023-12-11,-5.255190867775162,2.3095489206671265
2023-12-11,2024-03-11,15.733795666001015,2.672928628651224
2024-03-11,2024-06-17,2.8422239663657796,2.7488992467386013
2024-06-17,2024-09-16,-9.287334686473796,2.49359977350003
2024-09-16,2024-12-16,18.669884259868006,2.959151965116816
2024-12-16,2025-03-17,-1.3459472659530956,2.919323340146929
2025-03-17,2025-06-16,0.8266082895290575,2.9434547088747403
2025-06-16,2025-09-15,11.956136250306475,3.295378164333866
2025-09-15,2025-12-15,2.3734926495464728,3.3735937228390895
2025-12-15,2026-03-16,11.18617647466428,3.750969870214067
2026-03-16,2026-06-04,-6.353891316798163,3.51263732133482
