rb_date,nav,period_ret,year
2015-06-12,0.6445112974442659,-0.355488702555734,2015
2015-09-14,0.66473761008274,0.031382402013244944,2015
2015-12-14,0.5765462346641813,-0.13267095780481195,2015
2016-03-14,0.5462541979511153,-0.05254051607970367,2016
2016-06-13,0.5840549162698514,0.06919986786466568,2016
2016-09-12,0.6197651268934137,0.061141871472686966,2016
2016-12-12,0.6616163563165777,0.06752756424509432,2016
2017-03-13,0.7784061730562751,0.17652196114059582,2017
2017-06-12,0.7901858772321685,0.01513310734631306,2017
2017-09-11,0.88493565896678,0.11990821965395934,2017
2017-12-11,0.9175762933631141,0.036884754349761774,2017
2018-03-12,0.8668679537086624,-0.05526334978489338,2018
2018-06-11,0.7726087583164176,-0.10873535581628332,2018
2018-09-14,0.7687776535551574,-0.004958660796971313,2018
2018-12-17,0.8963856615097345,0.16598818574455576,2018
2019-03-11,0.812015653466375,-0.0941224426785895,2019
2019-06-14,0.8185619149090404,0.008061742916802664,2019
2019-09-16,0.8116210602351718,-0.008479327644555652,2019
2019-12-16,0.7659120729410867,-0.05631813851754994,2019
2020-03-13,0.7144642490076689,-0.06717197149779758,2020
2020-06-15,0.8254828690651138,0.15538722925834358,2020
2020-09-14,0.8197626289296227,-0.006929568559029553,2020
2020-12-14,0.9083158660992364,0.10802302281727467,2020
2021-03-15,0.9096751127262571,0.0014964470816280725,2021
2021-06-11,1.052084110552838,0.15654929527508715,2021
2021-09-13,0.9431458955073099,-0.10354515760938961,2021
2021-12-13,0.9013840920680461,-0.04427926118132598,2021
2022-03-14,0.992641482274132,0.10124140309234199,2022
2022-06-13,0.9570364058936333,-0.03586901919404756,2022
2022-09-12,0.9419428734463705,-0.01577111628597786,2022
2022-12-12,1.029323457373349,0.09276633051776424,2022
2023-03-13,0.9665243893311772,-0.06101004265697376,2023
2023-06-12,0.9551836206993893,-0.011733556604438653,2023
2023-09-11,0.9579285598551804,0.0028737292980182956,2023
2023-12-11,1.1501220297755042,0.20063445018215095,2023
2024-03-11,1.163075117353646,0.011262359334748223,2024
2024-06-17,0.995326907707993,-0.1442281819486705,2024
2024-09-16,1.2248253468884316,0.23057594183695912,2024
2024-12-16,1.1574834991879634,-0.054980775725734836,2024
2025-03-17,1.165459632435697,0.006890926093831174,2025
2025-06-16,1.3131326349155024,0.12670795141242552,2025
2025-09-15,1.369420873694975,0.04286561561475055,2025
2025-12-15,1.5732578686709495,0.1488490491794397,2025
2026-03-16,1.4361552546041503,-0.08714567191875555,2026
