ts_code,ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,f_ann_date,comp_type,report_type,end_type
000697.SZ,20230429,20230331,-152546935.74,16264716.05,20230429.0,1.0,1.0,1.0
000403.SZ,20230429,20230331,106564727.56,101793113.45,20230429.0,1.0,1.0,1.0
000034.SZ,20230429,20230331,81580374.15,109562598.33,20230429.0,1.0,1.0,1.0
000046.SZ,20230429,20230331,-96797173.53,19300700.2,20230429.0,1.0,1.0,1.0
600418.SH,20230429,20230331,1803778087.06,101352645.64,20230429.0,1.0,1.0,1.0
600039.SH,20230429,20230331,-8253033817.58,1117355298.96,,,,
600125.SH,20230429,20230331,-251605607.43,5433939.89,20230429.0,1.0,1.0,1.0
601088.SH,20230429,20230331,29203000000.0,10816000000.0,,,,
600061.SH,20230429,20230331,25821749749.78,146779238.79,,,,
688187.SH,20230429,20230331,-1272174259.0,419284617.0,,,,
600000.SH,20230429,20230331,103419000000.0,4286000000.0,,,,
600372.SH,20230429,20230331,-974134403.63,132957408.94,,,,
601988.SH,20230429,20230331,488759000000.0,4230000000.0,,,,
600111.SH,20230429,20230331,948619535.56,653726277.64,,,,
601019.SH,20230429,20230331,-69269437.91,132200218.61,20230429.0,1.0,1.0,1.0
603885.SH,20230429,20230331,1231941936.09,626792999.44,20230429.0,1.0,1.0,1.0
603993.SH,20230429,20230331,4643002834.66,2683922636.86,,,,
000776.SZ,20230429,20230331,-4582031552.9,247053160.36,,,,
000166.SZ,20230429,20230331,29569645649.26,210208963.24,,,,
002050.SZ,20230429,20230331,735871707.43,706664201.58,,,,
002180.SZ,20230429,20230331,-260709662.81,236496997.38,,,,
002179.SZ,20230429,20230331,-442585322.81,406947023.5,,,,
600873.SH,20230429,20230331,333494806.92,403466604.09,20230429.0,1.0,1.0,1.0
002555.SZ,20230429,20230331,1311265301.83,46713613.09,,,,
600100.SH,20230429,20230331,-1714930710.76,153459826.05,20230429.0,1.0,1.0,1.0
000768.SZ,20230429,20230331,-6790450205.62,146094893.72,,,,
601009.SH,20230429,20230331,64661421000.0,759839000.0,,,,
000002.SZ,20230429,20230331,7001300467.87,1851679402.14,,,,
000568.SZ,20230429,20230331,1508783232.53,223117083.05,,,,
600122.SH,20230429,20230331,-12010693.62,58015.31,20230429.0,1.0,1.0,1.0
603826.SH,20230429,20230331,-53650077.27,152822541.12,20230429,1,1,1
603728.SH,20230429,20230331,16266917.27,63929112.17,20230429,1,1,1
000999.SZ,20230429,20230331,301166852.2,196098337.34,,,,
002221.SZ,20230429,20230331,-328596533.55,978856404.19,20230429,1,1,1
002124.SZ,20230429,20230331,245854537.22,168441350.78,20230429,1,1,1
002126.SZ,20230429,20230331,64602500.56,243237628.46,20230429,1,1,1
002131.SZ,20230429,20230331,408967987.07,72641334.66,20230429,1,1,1
002153.SZ,20230429,20230331,-97521917.52,81580817.61,20230429,1,1,1
002157.SZ,20230429,20230331,-286348393.13,1305576.7,20230429,1,1,1
002161.SZ,20230429,20230331,20974617.66,6308467.58,20230429,1,1,1
002174.SZ,20230429,20230331,-91421569.35,6769379.43,20230429,1,1,1
002203.SZ,20230429,20230331,-3298985335.56,256124943.74,20230429,1,1,1
002212.SZ,20230429,20230331,-50383940.19,95745867.26,20230429,1,1,1
002217.SZ,20230429,20230331,209429630.14,77433467.95,20230429,1,1,1
002223.SZ,20230429,20230331,815331594.82,41699772.3,20230429,1,1,1
603699.SH,20230429,20230331,22110691.14,26046808.78,20230429,1,1,1
002240.SZ,20230429,20230331,586869884.91,831369169.13,20230429,1,1,1
002254.SZ,20230429,20230331,63343251.57,598668211.82,20230429,1,1,1
002266.SZ,20230429,20230331,-393827882.27,145494247.51,20230429,1,1,1
002267.SZ,20230429,20230331,503074686.8,166823788.03,20230429,1,1,1
002269.SZ,20230429,20230331,33852615.35,2864957.57,20230429,1,1,1
002277.SZ,20230429,20230331,121984214.32,24572038.45,20230429,1,1,1
002292.SZ,20230429,20230331,-212519126.21,13015973.06,20230429,1,1,1
002309.SZ,20230429,20230331,12897200.81,8072853.1,20230429,1,1,1
002310.SZ,20230429,20230331,-162834256.44,79038932.78,20230429,1,1,1
002315.SZ,20230429,20230331,-31129591.18,14108216.12,20230429,1,1,1
002123.SZ,20230429,20230331,86206443.24,3019646.84,20230429,1,1,1
002118.SZ,20230429,20230331,2169839.17,510000.0,20230429,1,1,1
002106.SZ,20230429,20230331,230376476.12,36100728.22,20230429,1,1,1
002081.SZ,20230429,20230331,-1322641726.26,20481321.17,20230429,1,1,1
000806.SZ,20230429,20230331,-36839976.82,866041.71,20230429,1,1,1
000793.SZ,20230429,20230331,174100434.64,39293433.22,20230429,1,1,1
000829.SZ,20230429,20230331,2357205291.19,130733275.02,20230429,1,1,1
000831.SZ,20230429,20230331,-133306764.62,1491977.04,20230429,1,1,1
000860.SZ,20230429,20230331,-1580529335.1,43654814.5,20230429,1,1,1
000887.SZ,20230429,20230331,238881856.59,199818909.75,20230429,1,1,1
000919.SZ,20230429,20230331,-25354145.88,42035839.68,20230429,1,1,1
000932.SZ,20230429,20230331,-3426219406.71,1144596869.83,20230429,1,1,1
000937.SZ,20230429,20230331,990045615.3,355428324.11,20230429,1,1,1
000951.SZ,20230429,20230331,1319407557.47,136115879.92,20230429,1,1,1
000961.SZ,20230429,20230331,358139479.8,392890116.66,20230429,1,1,1
