ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
600816.SH,20170125,20170125,20161231,1,2,5245959043.75,5245959043.75,,4022595511.27,4153221290.46,3033947447.7,1.7142
603025.SH,20170120,20170120,20161231,1,1,689539575.09,689539575.09,329771155.94,246991787.98,276161599.5,238810728.49,0.53
603009.SH,20170114,20170114,20161231,1,1,800512601.38,800512601.38,602214470.63,65162288.11,65989022.55,56970501.69,0.46
603716.SH,20170124,20170124,20161231,1,1,627328056.89,627328056.89,408847035.97,94846110.43,96933380.44,73547790.86,1.71
300561.SZ,20170117,20170117,20161231,1,1,218054407.37,218054407.37,58607292.52,68292669.92,91372812.61,78861491.66,1.83
002742.SZ,20170126,20170126,20161231,1,1,1512803855.04,1512803855.04,1146702300.8,141243021.15,143489659.91,120515542.28,0.55
600265.SH,20170125,20170125,20161231,1,1,70718280.47,70718280.47,65835376.92,-47517622.55,34677783.46,34677783.46,0.26
002107.SZ,20170125,20170125,20161231,1,1,562845617.66,562845617.66,142597625.14,66620780.11,70131311.48,61453894.75,0.14
000838.SZ,20170120,20170120,20161231,1,1,1716087294.0,1716087294.0,1312132140.85,147334931.61,146685004.54,103508056.19,0.1011
000545.SZ,20170124,20170124,20161231,1,1,1046072626.65,1046072626.65,858730371.85,126410950.15,140653816.71,120803780.18,0.12
002479.SZ,20170117,20170117,20161231,1,1,2699263759.5,2699263759.5,2146509849.74,319684495.07,374159179.81,308175760.97,0.31
600227.SH,20170124,20170124,20161231,1,1,2856923346.02,2856923346.02,2321971564.87,-309354462.51,-316689045.23,-337469549.76,-0.2389
600408.SH,20170125,20170125,20161231,1,1,3384732695.02,3384732695.02,3205865916.16,-533792764.87,-601081842.87,-601159662.4,-0.58
300304.SZ,20170125,20170125,20161231,1,1,535626834.29,535626834.29,353347839.31,112677880.82,123832528.64,109553574.98,0.51
300401.SZ,20170124,20170124,20161231,1,1,329093755.62,329093755.62,207253441.6,44582055.57,50708298.36,43772785.03,0.24
002849.SZ,20170123,20170123,20161231,1,1,389942168.32,389942168.32,263798790.87,41194633.25,61087760.15,52228604.4,0.8
601211.SH,20170221,20170221,20161231,1,4,25764651745.0,25764651745.0,,14068969384.0,14773524199.0,11352963678.0,1.21
002409.SZ,20170228,20170228,20161231,1,1,894478347.17,894478347.17,686416157.98,75131982.6,76815328.95,67840939.08,0.2034
300039.SZ,20170228,20170228,20161231,1,1,1497151217.58,1497151217.58,280735644.21,325103308.19,333233831.88,282606841.72,0.3397
002846.SZ,20170206,20170206,20161231,1,1,339658278.94,339658278.94,236916154.63,63445298.56,64405022.14,55419923.03,0.62
300568.SZ,20170225,20170225,20161231,1,1,505698305.37,505698305.37,199250689.36,172337979.33,180289558.87,153331851.15,1.68
002359.SZ,20170217,20170217,20161231,1,1,940127834.2,940127834.2,688778351.38,43133465.79,-65404526.16,-48441491.38,-0.1162
603517.SH,20170227,20170227,20161231,1,1,3274144755.05,3274144755.05,2231748133.17,508356243.9,516892601.32,380303249.81,1.06
603579.SH,20170227,20170227,20161231,1,1,1285049735.39,1285049735.39,794699525.31,232920410.56,242535819.96,209005935.91,3.94
300033.SZ,20170210,20170210,20161231,1,1,1733656403.77,1733656403.77,142162281.85,1295847001.28,1319863329.65,1211576655.51,2.25
002331.SZ,20170228,20170228,20161231,1,1,992136841.31,992136841.31,786780518.49,76806195.89,98138644.48,83178654.12,0.2194
300014.SZ,20170228,20170228,20161231,1,1,2339712007.5,2339712007.5,1656609468.1,340404426.15,358917255.28,315255721.05,0.59
002349.SZ,20170209,20170209,20161231,1,1,881487170.96,881487170.96,443814339.32,193688526.99,201985343.87,173459557.59,0.3927
002756.SZ,20170228,20170228,20161231,1,1,3163257003.52,3163257003.52,2774971967.82,276241120.5,295215478.53,253604980.42,0.7
300416.SZ,20170224,20170224,20161231,1,1,394233983.61,394233983.61,212453231.06,67348918.92,73587595.23,60832499.17,0.43
002772.SZ,20170228,20170228,20161231,1,1,585018459.38,585018459.38,356114818.27,153534656.32,161338514.43,161338514.43,0.4902
603338.SH,20170228,20170228,20161231,1,1,694657422.46,694657422.46,400989103.8,194741098.63,205996976.52,174985183.22,1.08
300453.SZ,20170225,20170225,20161231,1,1,317774431.65,317774431.65,211666042.48,43517671.23,42181582.63,36613955.34,0.23
300409.SZ,20170221,20170221,20161231,1,1,803653432.71,803653432.71,479115985.99,122679269.69,122045129.09,105224912.72,0.47
002760.SZ,20170217,20170217,20161231,1,1,306964965.62,306964965.62,247312434.24,-25951534.7,12013070.6,10229780.1,0.12
300586.SZ,20170228,20170228,20161231,1,1,417553509.25,417553509.25,321327687.19,52098078.06,54607784.06,47316652.51,0.66
300446.SZ,20170227,20170227,20161231,1,1,261429532.23,261440593.76,95877810.65,124977526.89,127265357.57,107977641.79,0.8793
603822.SH,20170223,20170223,20161231,1,1,506196445.61,506196445.61,397350051.87,47306174.59,51473452.34,43445748.6,0.6379
300487.SZ,20170227,20170227,20161231,1,1,332405996.76,332405996.76,205731832.49,69017615.55,70996419.59,61695588.09,0.77
002768.SZ,20170227,20170227,20161231,1,1,1282759501.35,1282759501.35,1038422874.9,131562326.97,151271691.1,130914335.86,0.55
300398.SZ,20170221,20170221,20161231,1,1,391040152.46,391040152.46,216425998.97,51076610.89,73488243.81,67722783.25,0.65
002732.SZ,20170228,20170228,20161231,1,1,1100742577.46,1100742577.46,692694723.98,128319450.23,130128228.72,105918918.8,0.67
300411.SZ,20170213,20170213,20161231,1,1,343844069.06,343844069.06,202886621.84,44506095.71,49606616.71,42654992.26,0.27
300510.SZ,20170222,20170222,20161231,1,1,378225977.89,378225977.89,237058389.96,66325681.86,71218782.55,60644241.89,0.34
600701.SH,20170204,20180428,20161231,1,1,1651111128.54,1651111128.54,1261377812.3,22631933.05,-30907038.64,-60564343.58,0.0218
