ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
688648.SH,20220630,20220630.0,20211231,55794373.76,234772833.99,,,
600240.SH,20220630,20220630,20211231,116945381.18,,1,1,4
002411.SZ,20220630,20220630,20211231,601421995.64,281129624.57,1,1,4
920871.BJ,20220630,20220630.0,20211231,25692042.73,14049276.51,,,
002118.SZ,20220630,20220630,20211231,-725585234.22,40726541.42,1,1,4
688573.SH,20220629,20220629.0,20211231,183394753.23,141463816.13,,,
688332.SH,20220628,20220628.0,20211231,-110204304.73,6307259.03,,,
603170.SH,20220628,20220628.0,20211231,178900763.66,153844579.26,,,
001230.SZ,20220627,20220627.0,20211231,246496584.01,88078729.09,,,
920725.BJ,20220625,20220625.0,20211231,25329852.11,4622300.08,,,
688353.SH,20220624,20220624.0,20211231,287157389.11,93913532.91,,,
920062.BJ,20220624,20220624.0,20211231,11091673.48,69974336.11,,,
920639.BJ,20220624,20220624.0,20211231,48201518.55,9129382.95,,,
301208.SZ,20220623,20220623.0,20211231,128127057.29,3042895.65,,,
603235.SH,20220623,20220623.0,20211231,818631084.4,215501625.65,,,
301234.SZ,20220622,20220622.0,20211231,62577380.62,56505804.91,,,
600687.SH,20220622,20220622,20211231,-24633889.31,140803.53,1,1,4
920821.BJ,20220621,20220621.0,20211231,45760251.15,128004371.08,,,
301139.SZ,20220620,20220620.0,20211231,-91921646.28,6194959.45,,,
001309.SZ,20220620,20220620.0,20211231,10624304.33,57147506.09,,,
920870.BJ,20220618,20220618.0,20211231,56048237.39,10567096.01,,,
301175.SZ,20220617,20220617.0,20211231,331316209.86,627613628.03,,,
688400.SH,20220615,20220615.0,20211231,-141380165.29,81191161.11,,,
688237.SH,20220614,20220614.0,20211231,48671888.42,111330475.76,,,
601089.SH,20220613,20220613.0,20211231,528023273.99,192973668.97,,,
001268.SZ,20220613,20220613.0,20211231,51896211.84,86406206.63,,,
301239.SZ,20220610,20220610.0,20211231,359424143.7,254804910.29,,,
301233.SZ,20220609,20220609.0,20211231,60329582.86,1999938.56,,,
301289.SZ,20220609,20220609.0,20211231,118972769.56,30106856.8,,,
920943.BJ,20220609,20220609.0,20211231,36612918.47,31982097.78,,,
688047.SH,20220607,20220607.0,20211231,3839063.53,226894410.6,,,
688297.SH,20220607,20220607.0,20211231,50952463.04,254940029.8,,,
301156.SZ,20220606,20220606.0,20211231,90039563.92,125798274.77,,,
001323.SZ,20220606,20220606.0,20211231,994612484.6,768179163.97,,,
301302.SZ,20220602,20220602.0,20211231,41209099.14,15168816.94,,,
688349.SH,20220602,20220602.0,20211231,646828510.64,1900179616.89,,,
600614.SH,20220602,20220602,20211231,-55748.94,,1,1,4
301112.SZ,20220602,20220602.0,20211231,19246527.94,62838116.68,,,
920378.BJ,20220601,20220601.0,20211231,16926928.32,17700011.43,,,
301220.SZ,20220601,20220601.0,20211231,90809491.67,77774386.89,,,
301238.SZ,20220530,20220530.0,20211231,54009998.53,283613451.48,,,
000420.SZ,20220528,20220528.0,20211231,168886089.53,87443143.2,,,
920564.BJ,20220526,20220526.0,20211231,91398.97,1467965.56,,,
301286.SZ,20220524,20220524.0,20211231,120615905.03,168100335.69,,,
001316.SZ,20220523,20220523.0,20211231,45856796.16,21355953.52,,,
920299.BJ,20220520,20220520.0,20211231,23864095.64,13823142.45,,,
688348.SH,20220519,20220519.0,20211231,51280142.92,3502991.26,,,
001226.SZ,20220518,20220518.0,20211231,-242987967.78,29708785.27,,,
688120.SH,20220518,20220518.0,20211231,389805247.69,174324181.45,,,
301266.SZ,20220518,20220518.0,20211231,-118673567.31,25830826.24,,,
688322.SH,20220517,20220517.0,20211231,-27082339.53,140746026.71,,,
301298.SZ,20220517,20220517.0,20211231,19048686.06,53924555.95,,,
688251.SH,20220517,20220517.0,20211231,57159793.49,9073475.35,,,
920271.BJ,20220517,20220517.0,20211231,18650152.8,55694062.22,,,
301192.SZ,20220517,20220517.0,20211231,73216136.01,6540391.0,,,
301125.SZ,20220517,20220517.0,20211231,43140354.05,125189085.6,,,
688119.SH,20220517,20220517.0,20211231,155937784.08,96781092.09,,,
920223.BJ,20220513,20220513.0,20211231,6859297.56,38714451.6,,,
301183.SZ,20220511,20220511.0,20211231,72275451.57,73484261.16,,,
301107.SZ,20220511,20220511.0,20211231,42223257.62,75951231.33,,,
688045.SH,20220509,20220509.0,20211231,184390755.89,45272771.73,,,
920267.BJ,20220507,20220507.0,20211231,39570564.91,18184106.3,,,
920533.BJ,20220506,20220506.0,20211231,8210095.75,35309677.88,,,
002771.SZ,20220430,20220430.0,20211231,55940554.45,3958737.53,,,
002755.SZ,20220430,20220430.0,20211231,567707650.56,133761395.2,,,
002589.SZ,20220430,20220430.0,20211231,442952611.75,461085764.44,,,
600988.SH,20220430,20220430.0,20211231,755148839.23,1342365051.41,,,
002195.SZ,20220430,20220430.0,20211231,183908929.94,73279471.88,,,
002397.SZ,20220430,20220430.0,20211231,11822968.93,191889146.0,,,
603030.SH,20220430,20220430.0,20211231,-249162092.54,43451806.21,,,
002980.SZ,20220430,20220430.0,20211231,32545946.89,36238739.66,,,
002640.SZ,20220430,20220430.0,20211231,-274735948.42,12481506.66,,,
601611.SH,20220430,20220430.0,20211231,2406257445.16,8012399059.09,,,
688329.SH,20220430,20220430.0,20211231,39751602.03,84833688.98,,,
600496.SH,20220430,20220430.0,20211231,-242599848.28,202085307.2,,,
002775.SZ,20220430,20220430.0,20211231,-892605194.92,142346835.37,,,
603895.SH,20220430,20220430.0,20211231,-180420709.45,25670684.56,,,
600331.SH,20220430,20220430.0,20211231,132435209.53,95095717.58,,,
000985.SZ,20220430,20220430.0,20211231,63163053.33,19114141.53,,,
002708.SZ,20220430,20220430.0,20211231,-45227301.36,190712918.28,,,
603037.SH,20220430,20220430.0,20211231,119097110.98,81197045.21,,,
688165.SH,20220430,20220430.0,20211231,-196907163.02,29616390.81,,,
002735.SZ,20220430,20220430.0,20211231,93773663.33,69276823.79,,,
603633.SH,20220430,20220430.0,20211231,115600179.22,244053761.65,,,
920171.BJ,20220430,20220430.0,20211231,14139469.39,27749135.5,,,
600199.SH,20220430,20220430.0,20211231,-456112885.38,64119107.39,,,
000881.SZ,20220430,20220430.0,20211231,475720066.83,556329425.37,,,
600439.SH,20220430,20220430.0,20211231,222530806.29,23080146.56,,,
000007.SZ,20220430,20230429.0,20211231,-48706064.0,12873149.26,,,
603598.SH,20220430,20220430.0,20211231,183327838.45,9307670.28,,,
603228.SH,20220430,20220430.0,20211231,1140088344.62,2385047075.36,,,
603808.SH,20220430,20220430.0,20211231,300114435.43,133888485.82,,,
603203.SH,20220430,20220430.0,20211231,171127993.91,7520339.77,,,
601968.SH,20220430,20220430.0,20211231,971079921.95,925330463.48,,,
605116.SH,20220430,20220430.0,20211231,201570616.26,250614975.9,,,
603111.SH,20220430,20220430.0,20211231,474093671.61,80867069.32,,,
300149.SZ,20220430,20220430.0,20211231,378219891.25,286000511.64,,,
603800.SH,20220430,20220430.0,20211231,-122738890.02,38844582.55,,,
002899.SZ,20220430,20220430.0,20211231,62204409.16,432366754.99,,,
002543.SZ,20220430,20220430.0,20211231,410167108.15,96642579.66,,,
000826.SZ,20220430,20220430.0,20211231,742617430.63,1284573565.16,,,
603990.SH,20220430,20220430.0,20211231,36037346.25,40988962.28,,,
600133.SH,20220430,20220430.0,20211231,668169369.03,176892138.35,,,
600771.SH,20220430,20220430.0,20211231,81368872.18,18194707.05,,,
002251.SZ,20220430,20220430.0,20211231,3270655104.9,2596293807.75,,,
603489.SH,20220430,20220430.0,20211231,334939789.62,226425350.84,,,
002159.SZ,20220430,20220430.0,20211231,95745843.0,121218919.07,,,
002239.SZ,20220430,20220628.0,20211231,257502288.18,388733921.54,,,
002833.SZ,20220430,20220430.0,20211231,550644895.53,422292989.67,,,
002370.SZ,20220430,20220430.0,20211231,-3843770.44,15777263.66,,,
603098.SH,20220430,20220430.0,20211231,32967977.02,68773420.54,,,
605100.SH,20220430,20220430.0,20211231,311512939.96,312376257.36,,,
603669.SH,20220430,20220430.0,20211231,128502550.89,54816105.11,,,
002356.SZ,20220430,20220430.0,20211231,-13099459.27,9159094.63,,,
000790.SZ,20220430,20220430.0,20211231,-55640088.39,107510762.71,,,
600345.SH,20220430,20220430.0,20211231,-24488726.86,7208116.62,,,
002037.SZ,20220430,20220430.0,20211231,-37090717.17,130717030.38,,,
