ts_code,ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,f_ann_date,comp_type,report_type,end_type
688692.SH,20240523,20240331,-54812587.75,21794342.86,20240523.0,1.0,1.0,1.0
688235.SH,20240511,20240331,-2395729000.0,1243304000.0,20240511.0,1.0,1.0,1.0
688981.SH,20240510,20240331,3566576000.0,13544328000.0,,,,
688347.SH,20240510,20240331,443549494.96,2157467996.6,20240510.0,1.0,1.0,1.0
600466.SH,20240501,20240331,-2414413.68,,20240501,1,1,1
002251.SZ,20240430,20240331,183070330.3,36033177.28,20240430.0,1.0,1.0,1.0
601200.SH,20240430,20240331,7122565.69,162491101.46,20240430.0,1.0,1.0,1.0
002157.SZ,20240430,20240331,-282675730.92,8288847.76,20240430.0,1.0,1.0,1.0
002505.SZ,20240430,20240331,-530751104.94,24952337.62,20240430.0,1.0,1.0,1.0
002310.SZ,20240430,20240331,-64072293.08,39005735.18,20240430.0,1.0,1.0,1.0
002318.SZ,20240430,20240331,4447171.26,134824378.33,20240430.0,1.0,1.0,1.0
002325.SZ,20240430,20240331,3910195.08,,20240430.0,1.0,1.0,1.0
002354.SZ,20240430,20240331,-35347280.07,1091762.22,20240430.0,1.0,1.0,1.0
002456.SZ,20240430,20240331,-328615035.48,107088842.76,20240430.0,1.0,1.0,1.0
002368.SZ,20240430,20240331,-1545364750.74,53101748.09,20240430.0,1.0,1.0,1.0
002385.SZ,20240430,20240331,-832883521.44,227471555.5,20240430.0,1.0,1.0,1.0
002387.SZ,20240430,20240331,952352350.26,158204136.56,20240430.0,1.0,1.0,1.0
002392.SZ,20240430,20240331,-150221945.07,1473160.48,20240430.0,1.0,1.0,1.0
002400.SZ,20240430,20240331,-1998633605.5,8060476.41,20240430.0,1.0,1.0,1.0
000062.SZ,20240430,20240331,687749261.62,12676345.77,20240430.0,1.0,1.0,1.0
002405.SZ,20240430,20240331,85916337.29,71625456.38,20240430.0,1.0,1.0,1.0
000623.SZ,20240430,20240331,-12751058.81,84884868.79,20240430.0,1.0,1.0,1.0
002424.SZ,20240430,20240331,-254664208.38,18186386.5,20240430.0,1.0,1.0,1.0
002428.SZ,20240430,20240331,-59569115.4,7089590.61,20240430.0,1.0,1.0,1.0
002434.SZ,20240430,20240331,-132323676.94,247850997.98,20240430.0,1.0,1.0,1.0
002375.SZ,20240430,20240331,-1003219007.36,8759882.16,20240430.0,1.0,1.0,1.0
002512.SZ,20240430,20240331,-137693949.29,138356272.09,20240430.0,1.0,1.0,1.0
