ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
300694.SZ,20180917,20180917,20171231,143057951.01,96255123.53,,,
300724.SZ,20180723,20180723,20171231,117565647.61,72566895.39,,,
000939.SZ,20180629,20180629,20171231,439982657.27,2156026251.82,1,1,4
600399.SH,20180626,20180626,20171231,671135719.31,214973051.72,1,1,4
000409.SZ,20180622,20180622,20171231,-66505584.1,212258111.52,,,
920808.BJ,20180621,20180621,20171231,27357077.13,523970.8,,,
603706.SH,20180619,20180619,20171231,168417768.03,116549015.31,,,
603105.SH,20180619,20180619,20171231,185548546.85,355013564.04,,,
603693.SH,20180612,20180612,20171231,736373401.71,637499344.73,,,
603650.SH,20180606,20180606,20171231,229299457.83,18906383.13,,,
920527.BJ,20180606,20180606,20171231,26906051.53,20383628.8,,,
300747.SZ,20180605,20180605,20171231,203618062.61,31409923.18,,,
603587.SH,20180604,20180604,20171231,561343709.11,277516402.18,,,
920436.BJ,20180531,20180531,20171231,-51660169.52,12944311.02,,,
300750.SZ,20180522,20180522,20171231,2340748210.25,7180281117.24,1,1,4
601330.SH,20180521,20180521,20171231,-223585188.91,377942310.02,,,
603045.SH,20180516,20180516,20171231,53553166.09,140109798.33,,,
601138.SH,20180514,20180514,20171231,8513807000.0,935661000.0,,,
300746.SZ,20180508,20180508,20171231,57919803.51,7538836.05,,,
603486.SH,20180508,20180508,20171231,485053876.73,50340369.21,,,
601868.SH,20180508,20180508,20171231,5632559612.63,12064971000.0,,,
301191.SZ,20180504,20180504,20171231,46683667.4,24480074.59,,,
300745.SZ,20180503,20180503,20171231,141967104.97,51331161.6,,,
600175.SH,20180503,20180503,20171231,940133981.82,269138015.55,1,1,4
002122.SZ,20180428,20190430,20171231,80602327.13,351174821.09,1,1,4
603861.SH,20180428,20180428,20171231,156764002.35,89370208.09,,,
002069.SZ,20180428,20180428,20171231,136477878.95,93392266.69,,,
002654.SZ,20180428,20180428,20171231,44294286.37,183267113.69,,,
600055.SH,20180428,20180428,20171231,-77702778.26,50850314.14,,,
000669.SZ,20180428,20180428,20171231,688694970.4,1550590921.2,1,1,4
920819.BJ,20180428,20200707,20171231,152804937.43,325414805.23,,,
000627.SZ,20180428,20180428,20171231,431578209.09,778946672.93,1,1,4
002201.SZ,20180428,20180428,20171231,134074892.5,102743771.58,,,
600234.SH,20180428,20180428,20171231,-100188481.43,122720.6,,,
