ts_code,ann_date,end_date,total_liab,money_cap,total_assets
600804.SH,20260501,20251231,7256963376.2,55869027.79,6431657205.76
002308.SZ,20260501,20251231,178724933.38,221135726.11,1729692470.57
000540.SZ,20260501,20251231,128532604911.52,5585940482.51,106150685637.28
000587.SZ,20260501,20251231,1137354029.57,7298055.63,1034849664.47
600393.SH,20260501,20251231,10046302405.59,30799457.53,7480637909.79
002665.SZ,20260501,20251231,3150557372.97,213602056.73,7115667484.33
002280.SZ,20260501,20251231,6205591057.63,862358014.53,5637949885.29
600277.SH,20260501,20251231,12837159916.95,137372454.99,29221925956.25
002505.SZ,20260501,20251231,7724819719.15,612263783.03,9690427059.74
000961.SZ,20260501,20251231,112583428509.92,1387183073.74,95965814145.11
000939.SZ,20260501,20251231,5206664206.34,9237767.4,7273534137.81
920510.BJ,20260430,20251231,150315981.82,22013310.86,539793086.59
600229.SH,20260430,20251231,1004090231.69,1250567130.23,3751599440.06
688007.SH,20260430,20251231,1197778702.1,1028567574.32,3487800983.47
603215.SH,20260430,20251231,2408148572.89,422300915.38,3660934491.15
603051.SH,20260430,20251231,720220861.36,607173067.75,2403643954.13
601500.SH,20260430,20251231,8835643464.13,653930484.53,15118140426.46
601006.SH,20260430,20251231,32279255707.0,35850008755.0,211817901515.0
688057.SH,20260430,20251231,359787194.05,2005547441.99,3556869545.42
600620.SH,20260430,20251231,1507447246.36,273278357.07,2959597417.12
688272.SH,20260430,20251231,296360277.13,187179784.95,708249134.87
300396.SZ,20260430,20251231,1235233795.71,309590005.1,2772083659.51
688391.SH,20260430,20251231,149541092.66,556273043.13,2008647888.59
688133.SH,20260430,20251231,2041030453.16,881474665.76,4866980556.89
688333.SH,20260430,20251231,3685498975.34,773953293.32,8668185653.72
603222.SH,20260430,20251231,1004086393.95,295283804.31,2309638773.02
300430.SZ,20260430,20251231,1854555209.91,255344285.63,3160883273.19
600004.SH,20260430,20251231,8369051967.61,7079313944.26,29677988460.37
600897.SH,20260430,20251231,992324401.88,169034929.13,6118037978.07
600682.SH,20260430,20251231,7082497827.91,5488048749.94,25379729234.74
600779.SH,20260430,20251231,3320278209.25,671895932.93,8433824490.45
603707.SH,20260430,20251231,3443212174.39,1394522261.25,10342534723.5
920039.BJ,20260430,20251231,303109230.4,617619642.9,841924611.59
603718.SH,20260430,20251231,229143334.59,214308870.34,1125109601.59
920725.BJ,20260430,20251231,138220518.1,75218950.61,744187166.97
688021.SH,20260430,20251231,279977220.92,59678181.07,1157347712.61
600491.SH,20260430,20251231,41553792488.34,887865974.64,49773838600.21
688410.SH,20260430,20251231,567742760.1,572884468.29,2346693651.27
600436.SH,20260430,20251231,2471958553.92,1255932193.56,17560037344.69
600187.SH,20260430,20251231,290188166.42,306154420.75,3281430009.71
688576.SH,20260430,20251231,170744626.32,289080100.88,1898658521.46
688218.SH,20260430,20251231,1087546075.27,147191113.64,1902426990.06
688032.SH,20260430,20251231,2653621843.21,3570482552.52,8379715709.31
603052.SH,20260430,20251231,665981131.82,350039757.26,1735229835.81
920469.BJ,20260430,20251231,829570311.88,46381940.73,1132502216.13
600783.SH,20260430,20251231,4479044159.28,159865434.43,9020913952.59
603195.SH,20260430,20251231,5747672525.3,4167319154.36,22556242542.63
600009.SH,20260430,20251231,27139427653.7,16763111526.17,71678547661.74
600996.SH,20260430,20251231,12414511500.96,177323366.81,14847419602.72
688409.SH,20260430,20251231,4317675618.78,773269219.83,8885094392.26
603567.SH,20260430,20251231,4355091797.09,78911075.8,10634255156.06
600482.SH,20260430,20251231,63134179191.57,48060281022.64,116795591158.73
688189.SH,20260430,20251231,97062515.5,301518768.62,809472122.47
002486.SZ,20260430,20251231,238884042.68,268660040.96,1320031481.19
300076.SZ,20260430,20251231,142555141.34,68366436.16,994001843.75
600540.SH,20260430,20251231,6822637967.32,1704899193.38,7175062181.9
605122.SH,20260430,20251231,1420898630.06,257134231.15,3152695776.86
920392.BJ,20260430,20251231,268645229.24,55499428.11,741617013.06
603989.SH,20260430,20251231,2129498764.66,332535383.95,6015818444.74
603690.SH,20260430,20251231,10211963273.31,1005744400.04,14051216903.76
603520.SH,20260430,20251231,3591003741.84,415339793.27,6155232743.94
688793.SH,20260430,20251231,382555417.79,193912790.1,617089943.72
920720.BJ,20260430,20251231,493139263.92,183251730.51,1024078749.66
600886.SH,20260430,20251231,189791463566.28,23113000367.25,313579818706.81
600844.SH,20260430,20251231,1158624687.49,124908839.94,1331523796.56
000892.SZ,20260430,20251231,805628315.61,319003459.12,1398390940.19
688033.SH,20260430,20251231,2466141272.38,209650384.16,3926377388.5
