ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
000001.SZ,20110818,20110818,20110630,2,1,2,31573899000.0,95378000.0
000002.SZ,20110809,20110809,20110630,1,1,2,3825848847.41,124039945.57
000006.SZ,20110803,20110803,20110630,1,1,2,780629244.56,725537.87
000008.SZ,20110730,20110730,20110630,1,1,2,-5061799.37,72649.57
000009.SZ,20110826,20110826,20110630,1,1,2,-255845303.01,132383863.83
000012.SZ,20110809,20110809,20110630,1,1,2,942700324.0,1589103709.0
000021.SZ,20110831,20110831,20110630,1,1,2,73345846.32,159298201.77
000025.SZ,20110812,20110812,20110630,1,1,2,6776674.04,914244.41
000027.SZ,20110819,20110819,20110630,1,1,2,1492921071.32,1373539677.05
000028.SZ,20110818,20110818,20110630,1,1,2,107677081.76,83934660.07
000030.SZ,20110809,20110809,20110630,1,1,2,-101749.1,
000031.SZ,20110830,20110830,20110630,1,1,2,-2376696439.7,22871033.55
000032.SZ,20110817,20110817,20110630,1,1,2,-37048855.0,4478281.07
000034.SZ,20110723,20110723,20110630,1,1,2,-9421293.41,7540493.73
000039.SZ,20110824,20110824,20110630,1,1,2,-4161444000.0,1083498000.0
000046.SZ,20110830,20110830,20110630,1,1,2,-814338950.12,4827709.24
000049.SZ,20110809,20110809,20110630,1,1,2,89862168.31,47823749.9
000050.SZ,20110817,20110817,20110630,1,1,2,109353102.0,252428612.0
000060.SZ,20110826,20110826,20110630,1,1,2,525117677.69,471944708.64
000061.SZ,20110831,20110831,20110630,1,1,2,-682618706.33,812732637.34
000062.SZ,20110730,20110730,20110630,1,1,2,327654779.92,16950016.25
000063.SZ,20110831,20110831,20110630,1,1,2,-6171353000.0,1520120000.0
000066.SZ,20110831,20110831,20110630,1,1,2,2135927765.95,683898876.93
000069.SZ,20110820,20110820,20110630,1,1,2,-4706079470.27,1989923646.88
000078.SZ,20110823,20110823,20110630,1,1,2,-123891492.13,63682479.39
000088.SZ,20110817,20110817,20110630,1,1,2,105874670.14,5596281.24
000089.SZ,20110804,20110804,20110630,1,1,2,392714712.24,806048340.28
000090.SZ,20110809,20110809,20110630,1,1,2,8532365.39,9921020.5
000099.SZ,20110823,20110823,20110630,1,1,2,-6199008.25,79285977.71
000100.SZ,20110809,20110809,20110630,1,1,2,578881428.0,9636636427.0
000155.SZ,20110817,20110817,20110630,1,1,2,27131088.34,53451708.0
000156.SZ,20110817,20110817,20110630,1,1,2,-9275765.54,3981950.44
000157.SZ,20110831,20110831,20110630,1,1,2,467329422.51,679727179.36
000158.SZ,20110817,20110817,20110630,1,1,2,-101583641.39,189478017.22
000301.SZ,20110825,20110825,20110630,1,1,2,466792408.42,29397902.66
000333.SZ,20110831,20110831,20110630,1,1,2,362346147.01,3678488608.64
000338.SZ,20110830,20110830,20110630,1,1,2,-347584108.31,1151615996.03
000400.SZ,20110806,20110806,20110630,1,1,2,-171159921.78,78695761.37
000401.SZ,20110812,20110812,20110630,1,1,2,670413654.73,2291697876.29
000402.SZ,20110820,20110820,20110630,1,1,2,526033648.61,46057583.07
000403.SZ,20110819,20110819,20110630,1,1,2,38136191.44,33849119.97
000408.SZ,20110802,20110802,20110630,1,1,2,56524762.72,1085214.34
000413.SZ,20110829,20110829,20110630,1,1,2,-9288305.16,50610.69
000415.SZ,20110812,20110812,20110630,1,1,2,474918599.14,2885057387.0
000417.SZ,20110812,20110812,20110630,1,1,2,311995642.29,84727853.62
000418.SZ,20110825,20110825,20110630,1,1,2,-509000827.63,151044435.96
000423.SZ,20110816,20110816,20110630,1,1,2,150683806.4,92117530.64
000425.SZ,20110812,20110812,20110630,1,1,2,-915675380.45,1076400103.38
000426.SZ,20110816,20110816,20110630,1,1,2,-49748371.5,1243984.0
000429.SZ,20110811,20110811,20110630,1,1,2,311622476.31,364026349.12
000488.SZ,20110826,20110826,20110630,1,1,2,737643905.04,2632670826.14
000501.SZ,20110829,20110829,20110630,1,1,2,491973060.98,518570428.91
000503.SZ,20110824,20110824,20110630,1,1,2,-71293417.44,2732259.73
000511.SZ,20110730,20110730,20110630,1,1,2,51161988.87,1251937.0
000513.SZ,20110810,20110810,20110630,1,1,2,292654480.77,108535578.28
000517.SZ,20110822,20110822,20110630,1,1,2,-1108223821.34,2648999.9
000519.SZ,20110815,20110815,20110630,1,1,2,-25732706.0,1194838.25
000536.SZ,20110819,20110819,20110630,1,1,2,283118630.27,47805272.68
000528.SZ,20110827,20120229,20110630,1,1,2,-1315694023.56,493608331.18
000537.SZ,20110831,20110831,20110630,1,1,2,217453521.25,365720.0
000539.SZ,20110831,20110831,20110630,1,1,2,1057308604.0,2111885680.0
000538.SZ,20110820,20110820,20110630,1,1,2,-161469290.39,218212874.87
000540.SZ,20110831,20110831,20110630,1,1,2,-1479321399.48,7647415.15
000541.SZ,20110817,20110817,20110630,1,1,2,74468557.85,39458297.28
000543.SZ,20110817,20110817,20110630,1,1,2,150844828.29,1391893836.17
000547.SZ,20110826,20110826,20110630,1,1,2,30855434.1,21927294.37
000550.SZ,20110823,20110823,20110630,1,1,2,149798250.0,399261605.0
000552.SZ,20110816,20110816,20110630,1,1,2,82087465.79,25668068.44
000553.SZ,20110817,20110817,20110630,1,1,2,2184221.45,95321678.66
000555.SZ,20110829,20110829,20110630,1,1,2,-4424881.03,18985.0
000559.SZ,20110819,20110819,20110630,1,1,2,144815450.1,433177419.83
000563.SZ,20110824,20110824,20110630,1,1,2,-71262783.72,348565.04
000564.SZ,20110816,20110816,20110630,1,1,2,44282436.46,222460649.12
000566.SZ,20110831,20110831,20110630,1,1,2,32460451.39,10331515.79
000568.SZ,20110819,20110819,20110630,1,1,2,867239422.39,101750306.01
000572.SZ,20110826,20110826,20110630,1,1,2,-135881712.95,413895255.43
000581.SZ,20110825,20110825,20110630,1,1,2,53803389.19,377850266.49
000582.SZ,20110818,20110818,20110630,1,1,2,47714422.34,53455617.91
000587.SZ,20110827,20110827,20110630,1,1,2,22802782.47,
000591.SZ,20110723,20110723,20110630,1,1,2,-45950487.17,31677564.82
000592.SZ,20110816,20110816,20110630,1,1,2,-100100504.56,25786039.07
000596.SZ,20110819,20110819,20110630,1,1,2,195085921.58,93006246.14
000598.SZ,20110721,20110721,20110630,1,1,2,406391923.71,190347765.99
000600.SZ,20110803,20110803,20110630,1,1,2,-5150376.68,1056438518.58
000612.SZ,20110812,20110812,20110630,1,1,2,190564791.84,149107165.1
000616.SZ,20110818,20110818,20110630,1,1,2,-1303213840.9,20022823.51
000617.SZ,20110730,20120914,20110630,1,1,2,-165400444.22,9327318.44
000620.SZ,20110819,20110819,20110630,1,1,2,-471464250.12,61211203.4
000623.SZ,20110823,20110823,20110630,1,1,2,-29612902.08,121252807.61
000625.SZ,20110830,20110830,20110630,1,1,2,2378405526.54,1859838889.5
000627.SZ,20110831,20110831,20110630,1,1,2,91186487.89,60914221.98
000629.SZ,20110831,20110831,20110630,1,1,2,-88171121.35,1073122889.1
000630.SZ,20110830,20110830,20110630,1,1,2,1525077324.35,899893477.73
000636.SZ,20110823,20110823,20110630,1,1,2,46609534.65,60074896.57
000651.SZ,20110727,20110727,20110630,1,1,2,5648133846.94,2163133485.53
000652.SZ,20110831,20110831,20110630,1,1,2,-94852542.05,314659820.96
000656.SZ,20110812,20110812,20110630,1,1,2,-5431904.46,
000657.SZ,20110812,20110812,20110630,1,1,2,6664945.29,2759587.44
000661.SZ,20110728,20110728,20110630,1,1,2,1386624.02,94716564.36
000667.SZ,20110816,20110816,20110630,1,1,2,-559289446.71,14096031.84
000669.SZ,20110823,20110823,20110630,1,1,2,-701309.48,
000671.SZ,20110824,20110824,20110630,1,1,2,-1635487743.21,11936700.35
000680.SZ,20110823,20120821,20110630,1,1,2,-1036673136.33,361739056.74
000681.SZ,20110720,20110720,20110630,1,1,2,-6237051.42,
000683.SZ,20110811,20110811,20110630,1,1,2,128892509.38,177727335.78
000685.SZ,20110823,20110823,20110630,1,1,2,115133185.97,153873711.26
