ts_code,ann_date,end_date,operate_profit
601258.SH,20170831,20170630,402307555.0
601126.SH,20170831,20170630,10404687.92
000156.SZ,20170831,20170630,305801713.77
600428.SH,20170831,20170630,135309146.21
002131.SZ,20170831,20170630,338571685.19
600316.SH,20170831,20170630,-60038127.91
600875.SH,20170831,20170630,379116511.41
600886.SH,20170831,20170630,2761865145.78
600887.SH,20170831,20170630,4053301454.76
600900.SH,20170831,20170630,9717874225.25
601005.SH,20170831,20170630,-998390000.0
601058.SH,20170831,20170630,28280916.54
601111.SH,20170831,20170630,5034227000.0
601390.SH,20170831,20170630,10286583000.0
000025.SZ,20170831,20170630,23712476.5
601598.SH,20170831,20170630,1469623000.0
601727.SH,20170831,20170630,2386707000.0
601801.SH,20170831,20170630,430033394.48
601866.SH,20170831,20170630,1291641920.26
601877.SH,20170831,20170630,1478497889.02
601919.SH,20170831,20170630,3696192839.07
002551.SZ,20170831,20170630,119734771.0
002555.SZ,20170831,20170630,1014952052.7
600831.SH,20170831,20170630,110670683.49
600811.SH,20170831,20170630,378513550.78
600587.SH,20170831,20170630,125673275.37
000543.SZ,20170831,20170630,-152008151.66
601179.SH,20170831,20170630,709857324.33
600600.SH,20170831,20170630,1677441838.0
000403.SZ,20170831,20170630,67614838.49
300748.SZ,20170831,20170630,74370090.06
000592.SZ,20170831,20170630,-2221843.47
000616.SZ,20170831,20170630,44094630.85
000046.SZ,20170831,20170630,827860343.02
601200.SH,20170831,20170630,385981257.76
600372.SH,20170831,20170630,111931524.17
000539.SZ,20170831,20170630,458775692.0
600416.SH,20170831,20170630,38335413.89
600350.SH,20170831,20170630,1709993908.38
000564.SZ,20170831,20170630,474420819.13
000511.SZ,20170831,20170630,-77221371.86
600500.SH,20170831,20170630,1095706469.07
000550.SZ,20170831,20170630,405363598.0
600485.SH,20170831,20170630,896843342.37
000338.SZ,20170831,20170630,4327890790.45
000333.SZ,20170831,20170630,13036153000.0
600418.SH,20170831,20170630,269816941.11
600515.SH,20170831,20170630,1237793541.22
000157.SZ,20170831,20170630,1049739314.5
000066.SZ,20170831,20170630,332297843.87
000425.SZ,20170831,20170630,640751423.17
000426.SZ,20170831,20170630,279966499.27
600388.SH,20170831,20170630,251718799.87
000155.SZ,20170831,20170630,82177217.72
600570.SH,20170831,20170630,233032665.18
601139.SH,20170831,20170630,741040188.15
600556.SH,20170831,20170630,-8886665.83
002179.SZ,20170831,20170630,506397370.43
600295.SH,20170831,20170630,550019151.03
000657.SZ,20170831,20170630,96894936.08
000652.SZ,20170831,20170630,16622072.46
000651.SZ,20170831,20170630,10948926670.82
000732.SZ,20170831,20170630,984380637.05
000625.SZ,20170831,20170630,4668913592.07
000960.SZ,20170831,20170630,602538477.72
600068.SH,20170831,20170630,2944466355.63
688183.SH,20170831,20170630,
688516.SH,20170831,20170630,29004659.15
688819.SH,20170831,20170630,459602355.92
002157.SZ,20170831,20170630,292784288.09
600291.SH,20170831,20170630,2007100068.9
002050.SZ,20170831,20170630,617965541.93
600073.SH,20170831,20170630,537263314.68
002032.SZ,20170831,20170630,717733079.63
002024.SZ,20170831,20170630,264481000.0
