ts_code,end_date,total_liab,money_cap,total_assets
600546.SH,20090930,1096491172.7,185360566.72,1741795349.96
600458.SH,20090930,1035556756.85,100536606.7,1544209554.17
600361.SH,20090930,3644459850.94,2304150630.18,5420260395.06
600730.SH,20090930,441869365.45,169061142.72,1252870720.66
600565.SH,20090930,2762508348.91,744009113.57,3992393697.92
000756.SZ,20090930,891124440.88,250414828.51,2497348881.18
000525.SZ,20090930,2887097537.87,630685311.96,3661757235.94
600703.SH,20090930,335753103.27,851203694.5,1758761940.82
000609.SZ,20090930,226699442.85,590270069.9,1055880989.28
600590.SH,20090930,2170570425.84,743628633.2,4131947969.69
600614.SH,20090930,1073493529.02,101395541.02,1820552671.83
000050.SZ,20090930,3836949036.34,867015615.05,5779630117.78
000602.SZ,20090930,1615795208.5,650344732.84,2229943684.53
600705.SH,20090930,9824175.07,427764.33,5456845.08
000558.SZ,20090930,1833314933.08,255405833.14,2421613370.59
000413.SZ,20090930,134883275.63,5138531.52,387335515.53
000151.SZ,20090930,187021667.71,150079032.26,1077725309.21
600696.SH,20090930,209440426.44,24319014.76,744285775.23
000538.SZ,20090930,2213879878.39,2308895082.94,5651142563.06
000068.SZ,20090930,736177873.18,124967838.46,1431643402.01
600313.SH,20090930,200809376.62,438919204.52,647837621.27
600876.SH,20090930,1510538562.56,144105844.8,1636281439.69
000016.SZ,20090930,8793300959.25,4033814149.0,12835775228.26
600866.SH,20090930,505632868.69,219612009.18,1371331966.21
600882.SH,20090930,1273630496.07,296837026.55,1714027224.58
600988.SH,20090930,133920844.13,501963.08,111799440.86
001872.SZ,20090930,1699157625.0,474833677.0,5165527116.0
600551.SH,20090930,516377800.7,380338047.91,2517822797.13
600598.SH,20090930,4381355809.32,790152676.53,9675132115.51
600575.SH,20090930,269550728.82,109872893.15,802027278.88
600535.SH,20090930,1873201359.49,505881640.36,3980177947.36
600641.SH,20090930,2466347068.64,2192373188.05,5119402083.89
600560.SH,20090930,1165312479.29,214355111.47,1651513226.54
600688.SH,20090930,15243855000.0,342975000.0,30865244000.0
600671.SH,20090930,111485466.17,19527521.63,315363630.36
000418.SZ,20090930,1636628437.44,999829894.36,3470314689.59
600791.SH,20090930,1659103369.45,47758575.23,2570942945.44
600851.SH,20090930,1830380036.06,526737079.25,5434845527.59
600736.SH,20090930,9005638108.26,1790978053.13,12165115396.49
600114.SH,20090930,743831970.03,47885663.55,1372385193.26
600090.SH,20090930,548564043.02,71536767.38,1121673964.06
600076.SH,20090930,212793633.76,5895319.77,263352906.27
600821.SH,20090930,651694494.93,306184673.71,1214019212.79
600743.SH,20090930,4761818322.15,2655064906.9,6453884344.03
600226.SH,20090930,824889122.85,212296388.05,2034962592.24
600889.SH,20090930,1259121465.31,175359151.8,2051498087.38
600446.SH,20090930,570101400.08,243415333.92,1008798448.04
000028.SZ,20090930,4176212783.15,459477701.64,5012704506.58
600359.SH,20090930,1825606922.3,342916933.02,2934226479.26
600190.SH,20090930,1558440848.74,861471825.59,5105842894.39
000922.SZ,20090930,278081076.34,12898582.96,369980735.18
002241.SZ,20090930,860107546.37,475065355.93,1759313623.8
002191.SZ,20090930,1283786121.07,681183137.32,3707900051.36
002320.SZ,20090930,75977194.16,102553542.95,472140286.41
601186.SH,20090930,213766119000.0,63089583000.0,264706317000.0
002212.SZ,20090930,323686203.97,365304583.38,1363402195.24
002244.SZ,20090930,13796259425.69,895469968.13,17479857582.08
002238.SZ,20090930,551751269.96,701543385.3,1787440527.72
600098.SH,20090930,4528106755.62,2277936329.86,14905293711.09
600775.SH,20090930,1071556398.63,232809636.48,2493614180.62
600017.SH,20090930,3352728287.16,545971867.73,7683451959.34
601107.SH,20090930,2140796670.02,1086423247.27,9371982754.15
000737.SZ,20090930,2623756025.07,455763093.42,4292411354.84
000669.SZ,20090930,50506993.69,1767975.07,233568771.67
000798.SZ,20090930,68334428.55,238903404.92,708324018.42
002273.SZ,20090930,32340870.4,223026252.68,438511568.06
000852.SZ,20090930,725279479.5,81796439.28,1704771388.36
002135.SZ,20090930,2482192334.41,427502379.18,3469410696.18
002167.SZ,20090930,312078583.05,175828557.26,852642986.2
002153.SZ,20090930,107297476.66,347010771.03,810934362.65
000929.SZ,20090930,415900654.05,284649010.43,1192817164.34
002218.SZ,20090930,159450772.24,162079686.87,856728037.26
002266.SZ,20090930,637492478.94,357541946.29,1521192579.09
002251.SZ,20090930,1433025898.44,876276539.12,2953365478.52
000959.SZ,20090930,10401444200.22,2689872546.12,18404963321.14
002204.SZ,20090930,1276152700.18,105235314.24,2283370395.1
002279.SZ,20090930,6800703.37,401540830.38,577923437.87
300018.SZ,20090930,30628281.88,44250603.9,165938487.2
300013.SZ,20090930,57604199.31,45384457.77,172298093.52
002033.SZ,20090930,506524173.79,169587650.56,970978018.9
002303.SZ,20090930,234192495.87,246169302.87,608666959.63
002049.SZ,20090930,63629345.17,45436183.51,480821545.95
002253.SZ,20090930,61263587.42,191915116.49,425999792.26
000711.SZ,20090930,450419876.89,140933846.23,819463506.62
000697.SZ,20090930,403329378.06,141911936.21,785813698.86
600721.SH,20090930,570689637.27,61786069.17,919659642.54
000862.SZ,20090930,1755992408.75,533345269.0,2058775979.25
002148.SZ,20090930,17408249.31,280983728.99,399612595.31
002179.SZ,20090930,1011396337.23,560139237.32,2181115605.36
000902.SZ,20090930,975661142.44,157194033.79,1425453442.05
000698.SZ,20090930,4295215303.74,466501189.06,7095145194.69
000789.SZ,20090930,4098158017.9,959950221.87,6067732273.73
600987.SH,20090930,339699688.29,217574472.54,1741398882.53
000511.SZ,20090930,704518196.76,345447337.48,2190110782.57
600666.SH,20090930,910629194.53,532614952.79,1314365217.84
002037.SZ,20090930,456503639.27,281647389.5,1096245564.18
000993.SZ,20090930,1137429814.45,220506866.78,2619947545.78
000848.SZ,20090930,330386719.91,225136239.5,932303456.26
000930.SZ,20090930,4503006782.72,440232428.01,6781778362.6
000725.SZ,20090930,8400285815.0,13283122033.0,26035456345.0
000153.SZ,20090930,533478743.15,144491580.21,1208499868.95
600894.SH,20090930,4040937675.99,629861441.25,4628817043.4
000667.SZ,20090930,1662873926.1,757974237.2,6463163293.25
600398.SH,20090930,293951756.41,667238618.73,2172794198.06
600022.SH,20090930,22233584232.05,3949554992.15,28853894351.11
600122.SH,20090930,4273140447.37,1958793893.59,6677580789.36
300024.SZ,20090930,248880392.66,51045478.2,596500312.96
600250.SH,20090930,3745572123.32,1083058902.82,4441611501.34
600112.SH,20090930,323195893.47,52181827.08,846733048.31
600493.SH,20090930,440172783.07,87608940.92,987468370.34
600567.SH,20090930,3321454082.79,208640372.66,4660787523.53
600774.SH,20090930,908636224.37,39813460.61,1470938965.81
600960.SH,20090930,1114072994.0,211233013.28,1785315214.97
000419.SZ,20090930,1671371945.93,414368003.85,2459433796.97
601668.SH,20090930,194456026000.0,84698839000.0,280474793000.0
000610.SZ,20090930,436198831.32,96574504.34,861177664.29
002278.SZ,20090930,258812452.71,723959646.54,1289531891.4
002233.SZ,20090930,2423942256.74,524837553.69,4308353409.12
002247.SZ,20090930,101902164.82,256414955.76,519748634.05
002206.SZ,20090930,214684213.8,122813719.53,1126244782.24
002138.SZ,20090930,159663233.75,44308677.1,673679632.33
