ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
000001.SZ,20130308,20130308,20121231,1521737985000.0,,1606536760000.0
000002.SZ,20130228,20130228,20121231,296663420087.27,52291542055.49,378801615075.37
000006.SZ,20130330,20130330,20121231,5794468428.18,1831359377.43,9343430259.57
000008.SZ,20130329,20130329,20121231,73003221.58,108181859.16,613829627.28
000009.SZ,20130427,20130427,20121231,8477977308.4,2126795510.04,13171329970.76
000025.SZ,20130410,20130410,20121231,443849775.76,55145531.39,644911292.0
000021.SZ,20130329,20130329,20121231,6025130748.18,4953240745.65,10181363678.63
000027.SZ,20130418,20130418,20121231,14810361577.2,3263939937.94,32359212807.99
000028.SZ,20130321,20130321,20121231,7456788727.44,953992070.61,9295839939.64
000012.SZ,20130326,20130326,20121231,7067614986.0,474421278.0,14335809746.0
000030.SZ,20130125,20130125,20121231,26253591.28,167339.91,24606158.49
000031.SZ,20130330,20140412,20121231,27285641877.8,5962774756.13,34999026330.67
000034.SZ,20130320,20130320,20121231,104232138.05,30629230.53,193552086.24
000032.SZ,20130427,20130427,20121231,643530398.32,349000490.91,1692009584.0
000039.SZ,20130322,20130322,20121231,40875223000.0,5221539000.0,62992380000.0
000046.SZ,20130420,20130420,20121231,21972426748.99,3621617663.05,30934760741.08
000049.SZ,20130423,20130423,20121231,1397056146.71,293343646.07,1861265599.16
000050.SZ,20130302,20141023,20121231,4747076450.0,472176166.0,7803188441.0
000060.SZ,20130412,20130412,20121231,6980124927.47,1190517121.78,14073180901.43
000061.SZ,20130426,20130426,20121231,6296164474.43,1505801874.4,10616638777.15
000063.SZ,20130328,20130328,20121231,84807576000.0,24126423000.0,107446306000.0
000062.SZ,20130228,20130228,20121231,3397977502.76,872071474.9,4997949379.35
000066.SZ,20130420,20130420,20121231,28938013481.2,3557156563.41,39183620435.79
000069.SZ,20130309,20130309,20121231,51064294823.05,9180337870.3,72998225434.54
000078.SZ,20130423,20130423,20121231,4806538535.64,1085252321.53,5863516482.67
000100.SZ,20130227,20130227,20121231,59511913000.0,17798178000.0,79744793000.0
000099.SZ,20130423,20130423,20121231,1537804590.95,862284934.38,3531026379.73
000089.SZ,20130329,20130329,20121231,3053087360.03,1258235799.62,10402527007.45
000090.SZ,20130330,20130330,20121231,5356984458.27,1140039548.68,8578279498.58
000088.SZ,20130319,20130319,20121231,396572586.37,853909317.68,5292636082.54
000155.SZ,20130423,20130423,20121231,1691748523.27,351551180.25,3154875050.22
000157.SZ,20130329,20130329,20121231,47785504249.83,23206160008.02,88974464566.71
000156.SZ,20130329,20130329,20121231,2533380625.94,414880615.32,3383570965.58
000158.SZ,20130425,20130425,20121231,3289214420.59,812518423.01,5716866936.8
000166.SZ,20130425,20130425,20121231,40243631051.92,34993791308.24,58378773252.43
000301.SZ,20130411,20130411,20121231,888408444.53,455717405.09,3582781837.18
000333.SZ,20130409,20130409,20121231,54571041640.0,13435509080.0,87736526980.0
000338.SZ,20130322,20130322,20121231,34921127073.19,16726970096.0,66320362850.69
000401.SZ,20130416,20130416,20121231,28137909302.27,3324513809.09,41504031304.72
000400.SZ,20130328,20130328,20121231,3738230892.44,539352001.27,6925570212.57
000403.SZ,20130427,20130427,20121231,780266960.21,37922254.55,1067946323.61
000408.SZ,20130427,20130427,20121231,273858317.0,6023178.12,451035442.68
000402.SZ,20130403,20130403,20121231,48984765872.0,11380518595.11,70030327731.72
000413.SZ,20130427,20130427,20121231,1558364059.98,110770070.84,2061707738.09
000415.SZ,20130308,20130308,20121231,20429316306.87,2300184178.48,30002635302.17
000417.SZ,20130412,20130412,20121231,3596872332.08,3520588194.7,6664443395.38
000418.SZ,20130306,20130306,20121231,4153162367.16,1404291094.65,8403705443.29
000425.SZ,20130326,20130326,20121231,27835922145.12,6982422357.8,45358935029.53
000423.SZ,20130330,20130330,20121231,1014450175.74,2687604198.54,5325655926.77
000426.SZ,20130330,20130330,20121231,1620532356.82,28349670.83,3325557016.29
000429.SZ,20130320,20130320,20121231,8042103163.15,798485320.49,13154565539.37
000501.SZ,20130424,20130424,20121231,8399469336.04,2173909129.25,11038554972.78
000488.SZ,20130328,20130328,20121231,33380003994.34,4456217362.86,47725421927.39
000503.SZ,20130427,20130427,20121231,189555930.23,398315908.15,1478465008.21
000511.SZ,20130302,20150606,20121231,2307954230.92,207502406.43,3940752508.2
000517.SZ,20130423,20130423,20121231,7927181438.88,370200247.96,10728785497.09
000519.SZ,20130312,20130312,20121231,119583400.74,17804621.37,474204468.04
000528.SZ,20130402,20130402,20121231,13255231310.6,3572296243.41,22583924812.36
000536.SZ,20130315,20130315,20121231,2534711280.75,1236661356.77,5789909929.8
000513.SZ,20130309,20130309,20121231,2453634712.5,1221332802.4,5633753961.14
000539.SZ,20130413,20130413,20121231,43733902942.0,2870764537.0,65708659470.0
000537.SZ,20130220,20130220,20121231,1769364101.49,1162738519.39,3284010702.9
