ts_code,ann_date,f_ann_date,end_date,operate_profit
300346.SZ,20140424,20140424,20131231,68335615.29
300347.SZ,20140318,20140318,20131231,102057739.93
300357.SZ,20140418,20140418,20131231,81691790.07
300363.SZ,20140325,20140325,20131231,115890136.98
300373.SZ,20140408,20140408,20131231,104710351.57
300376.SZ,20140422,20140422,20131231,164437766.54
300383.SZ,20140319,20140319,20131231,78706045.92
300390.SZ,20140715,20140715,20131231,43785183.89
300394.SZ,20150202,20150202,20131231,67662119.13
300395.SZ,20140820,20140820,20131231,79207153.13
300408.SZ,20141114,20141114,20131231,662017213.65
300413.SZ,20150106,20150106,20131231,159896899.36
300418.SZ,20150106,20150106,20131231,419688871.89
300432.SZ,20150303,20150303,20131231,108640909.47
300433.SZ,20150303,20150303,20131231,2768957210.98
300438.SZ,20150403,20150403,20131231,61215658.34
300442.SZ,20150403,20150403,20131231,102549583.85
300450.SZ,20150424,20150424,20131231,42292658.76
300458.SZ,20150424,20150424,20131231,418692563.12
300459.SZ,20150424,20150424,20131231,58423586.6
300463.SZ,20150511,20150511,20131231,251877280.73
300474.SZ,20160314,20160314,20131231,71128928.48
300476.SZ,20150525,20150525,20131231,101210743.64
300482.SZ,20150610,20150610,20131231,44023913.18
300487.SZ,20150610,20150610,20131231,66423138.65
300496.SZ,20151123,20151123,20131231,78296480.81
300502.SZ,20160219,20160219,20131231,90535133.54
300529.SZ,20160714,20160714,20131231,145099424.42
300558.SZ,20161019,20161019,20131231,189287014.82
300568.SZ,20161111,20161111,20131231,53572139.81
300570.SZ,20161115,20161115,20131231,84699693.76
300573.SZ,20161125,20161125,20131231,51948368.44
300595.SZ,20170104,20170104,20131231,32197681.16
300601.SZ,20170112,20170112,20131231,-33967912.33
300604.SZ,20151225,20151225,20131231,7971245.01
300618.SZ,20161121,20161121,20131231,21005906.36
300623.SZ,20170222,20170222,20131231,73666251.55
300627.SZ,20170105,20170105,20131231,-27357756.74
300628.SZ,20161227,20161227,20131231,106275766.13
300630.SZ,20170111,20170111,20131231,27415546.36
300661.SZ,20151113,20151113,20131231,51501228.87
300676.SZ,20151218,20151218,20131231,199022251.49
300677.SZ,20160422,20160422,20131231,10731052.28
300679.SZ,20160603,20160603,20131231,182250230.86
300682.SZ,20141205,20141205,20131231,17897600.0
300699.SZ,20151113,20151113,20131231,65919526.24
300718.SZ,20161230,20161230,20131231,90599700.0
300724.SZ,20150924,20150924,20131231,-528723.49
300735.SZ,20170120,20170120,20131231,47973900.0
300748.SZ,20151208,20151208,20131231,6963144.69
300763.SZ,20160109,20160109,20131231,-8931442.99
300769.SZ,20160909,20160909,20131231,-10459120.18
300776.SZ,20151211,20170621,20131231,-1078511.03
300832.SZ,20160415,20160415,20131231,160237555.77
300869.SZ,20160101,20160101,20131231,50348532.21
300888.SZ,20160318,20160318,20131231,95849603.31
300972.SZ,20150807,20150807,20131231,14031141.97
600903.SH,20161216,20161216,20131231,17944694.45
600908.SH,20160810,20160810,20131231,1161515244.13
600927.SH,20151009,20151009,20131231,292467767.45
600977.SH,20160720,20160720,20131231,548700053.67
600996.SH,20161205,20161205,20131231,186758376.28
601019.SH,20151211,20151211,20131231,636518400.0
601021.SH,20141211,20141211,20131231,432611295.0
601068.SH,20160624,20160624,20131231,2272003985.1
601099.SH,20140430,20140430,20131231,106796027.29
601100.SH,20140325,20140325,20131231,231048810.18
601106.SH,20140428,20140428,20131231,29466709.0
601108.SH,20160706,20160706,20131231,629708691.72
601111.SH,20140326,20140326,20131231,3959298000.0
601117.SH,20140416,20140416,20131231,4124310919.11
601118.SH,20140418,20140418,20131231,87355629.08
601126.SH,20140331,20140331,20131231,312505701.37
601127.SH,20160523,20160523,20131231,418861009.68
601128.SH,20160822,20160822,20131231,1179537251.31
601136.SH,20140428,20140428,20131231,167013624.65
601139.SH,20140329,20140329,20131231,803804256.89
601155.SH,20150922,20150922,20131231,2341862441.0
601156.SH,20140327,20140327,20131231,
601158.SH,20140404,20140404,20131231,1745276870.77
601162.SH,20151225,20151225,20131231,136341228.11
601163.SH,20160822,20160822,20131231,1043247185.14
601166.SH,20140401,20140401,20131231,54078000000.0
601168.SH,20140328,20140328,20131231,755378637.0
601169.SH,20140429,20140429,20131231,16769241000.0
601212.SH,20161228,20161228,20131231,192093939.21
601226.SH,20141114,20141114,20131231,416875320.56
601298.SH,20160316,20160316,20131231,1801020942.0
601512.SH,20140504,20140504,20131231,860187776.66
603026.SH,20150511,20150511,20131231,122975369.9
603087.SH,20160603,20160603,20131231,233875820.86
603127.SH,20150612,20150612,20131231,18858261.8
603129.SH,20160422,20160422,20131231,36844985.95
603160.SH,20160920,20160920,20131231,319407112.67
603169.SH,20140916,20140916,20131231,51850571.79
603179.SH,20161220,20161220,20131231,53864980.87
603188.SH,20140820,20140820,20131231,320136269.07
603198.SH,20150511,20150511,20131231,569952554.91
603218.SH,20161208,20161208,20131231,150022719.05
603228.SH,20161216,20161216,20131231,307207744.15
603233.SH,20151204,20151204,20131231,315614198.9
603260.SH,20160108,20160108,20131231,179865159.66
603298.SH,20161205,20161205,20131231,399597195.35
603305.SH,20160401,20160401,20131231,23562410.76
603317.SH,20150416,20150416,20131231,192542132.33
603338.SH,20150304,20150304,20131231,91773327.68
603345.SH,20170124,20170124,20131231,123635531.08
603355.SH,20150424,20150424,20131231,339415346.27
603369.SH,20140611,20140611,20131231,908909286.24
603377.SH,20160120,20160120,20131231,329393456.93
603379.SH,20170113,20170113,20131231,76756201.72
603392.SH,20160624,20160624,20131231,96231169.5
603444.SH,20161220,20161220,20131231,169164951.94
603486.SH,20170210,20170210,20131231,190803908.71
603501.SH,20150619,20150619,20131231,138219818.3
603515.SH,20160729,20160729,20131231,403333689.6
603517.SH,20170227,20170227,20131231,253659656.1
603528.SH,20160413,20160413,20131231,134600244.55
603529.SH,20141028,20141028,20131231,
603556.SH,20161021,20161021,20131231,295320325.81
603565.SH,20160226,20160226,20131231,33111291.24
603567.SH,20150403,20150403,20131231,494138727.27
603568.SH,20150511,20150511,20131231,175579385.26
603589.SH,20150610,20150610,20131231,551091001.41
603596.SH,20160115,20160115,20131231,28514585.88
603605.SH,20160527,20160527,20131231,214858911.57
603606.SH,20140916,20140916,20131231,64406993.06
603613.SH,20150401,20150401,20131231,17977983.82
603638.SH,20161230,20161230,20131231,58041656.46
603658.SH,20160811,20160811,20131231,134499257.63
603659.SH,20160617,20160617,20131231,10259574.0
603698.SH,20150107,20150107,20131231,262777548.73
603707.SH,20160325,20160325,20131231,79741900.0
603708.SH,20161122,20161122,20131231,326123279.44
603712.SH,20161223,20161223,20131231,225925668.53
688153.SH,20151125,20151125,20131231,1494401.57
688180.SH,20150801,20150801,20131231,-1202885.08
688183.SH,20160521,20160521,20131231,
688208.SH,20151113,20151113,20131231,102429000.0
688303.SH,20160428,20160428,20131231,-79257729.18
688390.SH,20151219,20151219,20131231,-11039424.82
688506.SH,20151223,20151223,20131231,35073236.3
688516.SH,20160223,20160223,20131231,-3526228.95
688536.SH,20160507,20160507,20131231,-4371433.37
002958.SZ,20150910,20150910,20131231,2204897532.37
003035.SZ,20140613,20140613,20131231,
003816.SZ,20150123,20150123,20131231,4865247932.81
300339.SZ,20140325,20140325,20131231,57174139.05
301165.SZ,20140401,20140401,20131231,
301200.SZ,20140422,20140422,20131231,
600032.SH,20161027,20161027,20131231,
600905.SH,20150812,20150812,20131231,
601869.SH,20140430,20140430,20131231,
601966.SH,20160613,20160613,20131231,1205807109.0
603019.SH,20141016,20141016,20131231,57059074.01
603025.SH,20150403,20150403,20131231,280164431.87
688276.SH,20140328,20140328,20131231,
688278.SH,20140306,20140306,20131231,
688348.SH,20140322,20140322,20131231,
688349.SH,20141108,20141108,20131231,
688363.SH,20140430,20140430,20131231,
688385.SH,20150522,20150522,20131231,
688779.SH,20141105,20141105,20131231,
000008.SZ,20140329,20140329,20131231,30277855.24
000001.SZ,20140307,20140307,20131231,19955000000.0
000009.SZ,20140426,20140426,20131231,473357073.47
000002.SZ,20140307,20140307,20131231,24261338387.14
000006.SZ,20140315,20140315,20131231,923820307.27
000012.SZ,20140325,20140325,20131231,1870607636.0
000025.SZ,20140401,20140401,20131231,16527768.69
000027.SZ,20140328,20140328,20131231,1576631707.97
000028.SZ,20140322,20140322,20131231,645008418.68
000021.SZ,20140331,20140331,20131231,244416836.33
000030.SZ,20140430,20140430,20131231,613703113.0
000031.SZ,20140412,20140412,20131231,1224605755.21
000034.SZ,20140312,20140312,20131231,21684275.46
000039.SZ,20140326,20140326,20131231,3370835000.0
000032.SZ,20140429,20140429,20131231,31860958.78
000046.SZ,20140328,20140328,20131231,1556456205.78
000050.SZ,20140305,20140305,20131231,125608497.0
000060.SZ,20140327,20140327,20131231,311385492.25
000049.SZ,20140225,20140225,20131231,338275755.02
000061.SZ,20140430,20140430,20131231,210566218.03
000062.SZ,20140307,20140307,20131231,510207379.02
000066.SZ,20140422,20140422,20131231,-1898457037.25
000078.SZ,20140422,20140422,20131231,88749920.73
000063.SZ,20140327,20140327,20131231,-1493094000.0
000069.SZ,20140313,20140313,20131231,6482804561.56
000088.SZ,20140416,20140416,20131231,466027492.73
000090.SZ,20140329,20140329,20131231,464416834.69
000089.SZ,20140403,20140403,20131231,689758751.78
000099.SZ,20140410,20140410,20131231,212906318.61
000100.SZ,20140225,20140225,20131231,1275180000.0
000155.SZ,20140423,20140423,20131231,-666589423.06
000157.SZ,20140329,20140329,20131231,4534236539.83
000156.SZ,20140326,20140326,20131231,191125479.27
000158.SZ,20140426,20140426,20131231,-244714153.43
000166.SZ,20140429,20140429,20131231,2485179880.75
000301.SZ,20140411,20140411,20131231,295304424.18
000333.SZ,20140329,20140329,20131231,9323650810.0
000400.SZ,20140328,20140328,20131231,746384377.29
000338.SZ,20140331,20140331,20131231,4456250157.9
000401.SZ,20140415,20140415,20131231,-27893767.92
000402.SZ,20140320,20140320,20131231,4686752079.37
000403.SZ,20140430,20140430,20131231,58865509.08
000408.SZ,20140430,20150206,20131231,-23248040.32
000413.SZ,20140429,20140429,20131231,398907988.11
000415.SZ,20140429,20140429,20131231,1452167000.0
000417.SZ,20140410,20140410,20131231,610083049.26
000418.SZ,20140307,20140307,20131231,521442323.19
000423.SZ,20140312,20140312,20131231,1418048087.71
000425.SZ,20140408,20140408,20131231,1610244498.35
000426.SZ,20140329,20140329,20131231,86427224.19
000488.SZ,20140321,20140321,20131231,403540944.85
000429.SZ,20140328,20140328,20131231,217989464.11
000503.SZ,20140419,20140419,20131231,21749044.26
000501.SZ,20140421,20140421,20131231,874050076.31
000511.SZ,20140428,20150606,20131231,41599835.66
000517.SZ,20140304,20140304,20131231,598639318.03
000513.SZ,20140325,20140325,20131231,590556920.08
000519.SZ,20140418,20140418,20131231,453169186.62
000528.SZ,20140401,20140401,20131231,327293187.17
000536.SZ,20140426,20150310,20131231,867646970.03
000537.SZ,20140225,20140225,20131231,516201228.36
000538.SZ,20140328,20140328,20131231,2638930639.93
000539.SZ,20140424,20140424,20131231,5549494183.0
000540.SZ,20140422,20140422,20131231,1387231372.32
000541.SZ,20140425,20140425,20131231,245423704.63
000547.SZ,20140418,20140418,20131231,156637872.35
000543.SZ,20140318,20140318,20131231,2155467876.92
000550.SZ,20140315,20140315,20131231,1753477239.0
000552.SZ,20140415,20140415,20131231,497423897.9
000553.SZ,20140306,20140306,20131231,442171784.5
000555.SZ,20140326,20140326,20131231,228203312.22
000559.SZ,20140331,20140331,20131231,634983731.22
000563.SZ,20140327,20140327,20131231,406511803.13
000564.SZ,20140429,20140429,20131231,69870568.27
000566.SZ,20140416,20140416,20131231,119078433.04
000568.SZ,20140412,20140412,20131231,4675354233.34
000572.SZ,20140331,20140331,20131231,521327078.5
000581.SZ,20140415,20140415,20131231,1232366853.08
000582.SZ,20140425,20140425,20131231,675935548.47
000587.SZ,20140325,20140325,20131231,178880105.2
000591.SZ,20140315,20140315,20131231,-8919483.46
