ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
688297.SH,20251031,20251031,20250930,1,1,3,675000000.0,4412419043.47,497480311.93,112827682.94,27646429.71,1114955824.45,2424819219.17,,1796858313.79,,130219325.13,,,3218828659.5,,,,,,,,,181449112.97,8870902685.01,,,,,,,,,,,,,,50297826.68,126623206.08,,,50976549.06,,252000.0,555102485.64,,,,,,,,,,,,,,,,,9426005170.65,,,,,,,549703452.15,2561005203.71,,,,33003895.22,1039720.21,,,,,,,,,,,14371727.03,8067369.84,3512418475.96,,,,,11678069.69,94305720.18,,188213226.64,,,,,,,,,,,,,,,,,3700631702.6,,,,,,5725373468.05,5725373468.05,9426005170.65,,,,,,,,,,,,,,323352825.11,1796858313.79,3110708655.86,3772230.0,233638841.69,18302050.5,21874282.69,,,,0
000400.SZ,20251028,20251028,20250930,1,1,3,1018622249.0,657842094.96,9664315271.58,539057897.68,82227943.04,6977979035.11,,47439660.44,7193860632.76,,1103739943.63,,,3423718137.86,,92003318.18,,,,,,,452390339.07,21528296133.79,,,345675344.06,,,,89336358.73,1926232967.84,55253651.35,,,,,690838372.61,93819435.71,,6830333.57,209458907.42,,1295385973.28,4773955612.04,,,,,,,,,,,,,,,,,26302251745.83,153000000.0,5395500.0,,,,,1153542059.2,8511397642.35,446401.33,,,15474382.02,66554521.66,,245062095.26,,,,,,,,,119977344.0,258359284.42,12820482343.88,,,,,9900944.39,165263250.99,,455031014.49,,,,,,,,,,,,,,,,,13275513358.37,117226950.9,,,,1182620694.64,11844117692.82,13026738387.46,26302251745.83,4623613.61,-720812.54,,,,,,,,,,,867567502.47,2175625726.09,7241300293.2,9664939701.55,599283872.45,1926232967.84,55253651.35,513709482.81,86232893.44,,,0
688281.SH,20251029,20251029,20250930,1,1,3,272570675.0,2986169649.3,1302142153.56,97346669.5,,906057290.99,2158463653.71,52598627.43,963838014.62,,15999920.07,,,344168729.43,,5921924.69,,,,,,,67465220.47,4529267873.0,,,26466481.16,,,,1106054.55,730934711.84,,,,,,159226329.12,,106709508.42,35426235.12,103959051.89,,73633745.67,2213838910.74,,,,,,,,,,,,,,,,,6743106783.74,505686423.39,443211419.91,,,,,48025311.43,476206050.81,,,,21842292.41,18400243.92,,,,,,,,,,,62610341.51,983322.24,1121429684.48,,,,,3803669.0,77309723.02,,699719894.84,,,,,,,,,,,,,,,,,1821149579.32,,,,,263728057.06,4658229147.36,4921957204.42,6743106783.74,,,,,,,,,,,,,5290509.92,32490790.53,1016436642.05,524231362.24,5300425.63,730934711.84,851664735.66,17659911.72,,,,0
601211.SH,20251031,20251031,20250930,1,4,3,17628925829.0,182126316296.0,77476406240.0,7172530796.0,,429061765157.0,671658434914.0,,,,,,,,,,59911672514.0,734812328.0,,,,57668958727.0,,,,,24819721923.0,3125011921.0,,15986802211.0,,19338356456.0,620840375.0,,,,,3005019238.0,,4052356186.0,,4371423658.0,,,,,,,11930658136.0,,,,,115342340846.0,,,,352001300861.0,39958842412.0,,,2008925905780.0,38136004882.0,37223072191.0,,,6445239517.0,98119159896.0,,,,445312587364.0,,10928849767.0,6201322498.0,,,,,,,,,488105924560.0,1298689668.0,,,,302441991383.0,,,684313268.0,1321705578.0,,,,,22803690124.0,,,29427460420.0,,,,,,,,,,,,1670009229651.0,1276320091.0,27966689009.0,,,14774521672.0,324142154457.0,338916676129.0,2008925905780.0,,3072323359.0,9975283019.0,,238557785217.0,45582838412.0,80828997521.0,98342963679.0,,,,,,225151659.0,,,,,,,,9024570078.0,143010838208.0,0
688248.SH,20251031,20251031,20250930,1,1,3,564700000.0,1714799862.59,820810742.11,98517789.84,,1113094896.72,951890000.0,3874459.28,727548220.73,,41199794.53,,,1003090487.71,,,,,,,,,4396375.22,3975042217.97,,,182126338.16,9122803.91,,,,,,,,,,114785453.78,,23238940.85,30155135.25,42392736.0,,71143109.92,823684022.26,,,,,,,,,,,,,,,,,4798726240.23,,,,,,,,508076109.83,,,,109351450.27,27130981.3,,,,,,,,,,,30990333.93,8883358.36,1415403240.68,,,,32177106.89,30288834.84,17907184.87,,142352846.46,,,,,,,,,,,,,,,,,1557756087.14,,,,,42073593.54,3198896559.55,3240970153.09,4798726240.23,,68165.01,,,,,,,,,,,60291657.33,719657230.06,731422680.01,508076109.83,11066601.78,252990834.4,3775945.33,11313776.93,,,,0
003031.SZ,20251029,20251029,20250930,1,1,3,451052859.0,3187547046.9,2171614744.52,470315118.3,12408584.52,2803813208.58,722743718.55,56138840.74,1099241275.23,,36905875.83,,,759899577.2,,,,,,,,,86233900.99,5789795895.11,,,,37796663.44,,,,1524627802.95,572236103.68,,,,,157323843.78,,5906732.32,2371841.32,25351781.7,,48278130.95,2384555685.34,,,,,,,,,,,,,,,,,8174351580.45,,,,,,,272514739.89,790623828.05,1664920.47,,,76308662.74,25415933.76,,,,,,,,,,,10143173.78,1061881.73,1208795573.94,,,,,57016666.75,224838591.89,,290848708.65,,,,,,,,,,,,,,,,,1499644282.59,,,,,381768944.62,6292938353.24,6674707297.86,8174351580.45,,,,,,,,,,,,,,9864920.66,1155380115.97,1063138567.94,233339.05,1524627802.95,572236103.68,21197512.86,,,,0
600188.SH,20251031,20251031,20250930,1,1,3,10037481000.0,-625632000.0,46241021000.0,,3551261000.0,44323404000.0,307514000.0,881357000.0,9702480000.0,,9300737000.0,2346000.0,,8686092000.0,,2623438000.0,,,,,,,29936908000.0,114411203000.0,,,26013285000.0,1712908000.0,,,2781406000.0,,,,,,,93280537000.0,,893882000.0,1175290000.0,5881823000.0,,25631806000.0,317489178000.0,,,,,,,,,,,,,,,,,431900381000.0,62735119000.0,24686752000.0,,,,532112000.0,13111070000.0,21485504000.0,,,,2190936000.0,2738076000.0,49463000.0,10686552000.0,37745385000.0,,,,,,,,29110597000.0,1732487000.0,153942360000.0,19974895000.0,,,13218060000.0,10636019000.0,374790000.0,1129000.0,135022126000.0,,,,,,,,,,,,,,,,,288964486000.0,53424000.0,,,,65876370000.0,77059525000.0,142935895000.0,431900381000.0,12301015000.0,-6971382000.0,24880200000.0,,,,,,,,,,10011000.0,9873426000.0,10583837000.0,34596574000.0,5869821000.0,127668994000.0,29963994000.0,48481400000.0,14489075000.0,69237000.0,,0
600188.SH,20251031,20251031,20250930,1,1,3,10037480544.0,-625632000.0,46241021000.0,,3551261000.0,44323404000.0,307514000.0,881357000.0,9702480000.0,,9300737000.0,2346000.0,,8686092000.0,,2623438000.0,,,,,,,29936908000.0,114411203000.0,,,26013285000.0,1712908000.0,,,2781406000.0,,,,,,,93280537000.0,,893882000.0,1175290000.0,5881823000.0,,25631806000.0,317489178000.0,,,,,,,,,,,,,,,,,431900381000.0,62735119000.0,24686752000.0,,,,532112000.0,13111070000.0,21485504000.0,,,,2190936000.0,2738076000.0,49463000.0,10686552000.0,37745385000.0,,,,,,,,29110597000.0,1732487000.0,153942360000.0,19974895000.0,,,13218060000.0,10636019000.0,374790000.0,1129000.0,135022126000.0,,,,,,,,,,,,,,,,,288964486000.0,53424000.0,,,,65876370000.0,77059525000.0,142935895000.0,431900381000.0,12301015000.0,-6971382000.0,24880200000.0,,,,,,,,,,10011000.0,9873426000.0,10583837000.0,34596574000.0,5869821000.0,127668994000.0,29963994000.0,48481400000.0,14489075000.0,69237000.0,,1
600606.SH,20251031,20251031,20250930,1,1,3,14054218314.0,10176590286.03,28739097033.01,6782152925.99,1266946409.33,21425801241.12,7352056213.23,500436315.09,69691679155.19,92653387307.77,14961702463.71,468816465.48,3828680.56,482056462282.97,,2314068593.89,,,,,,,23487275282.02,870529918094.69,,,38430851638.99,14482672634.88,,,6170385561.33,,,,,13050277.1,,12290903778.5,3167907.63,2276620792.7,443728887.52,18856271501.25,3169278492.21,13449673635.01,182947328211.1,,,,3107729.44,,,,,,,,,,,,,1053477246305.79,73467228022.49,38214760849.2,,5485676114.47,,,7015023613.07,325758659112.9,828925156.29,,,1932417459.62,57560996298.3,2998955388.38,839959955.0,82401906156.17,,,,,,,,73630403946.97,27586007813.12,807680233510.56,26528370595.52,,,1194602492.23,3108250736.69,735801405.85,12724908882.17,135370352068.52,,517571.38,,,,,,,,,,,,,,,943050585579.08,,,,,53135876263.01,57290784463.7,110426660726.71,1053477246305.79,,-3728220504.66,,,,,,,,,,,155495041870.0,183426024075.69,70192115470.28,332773682725.97,93126032453.81,41883529509.94,4110595700.08,86240821499.55,11154770677.3,392462417.83,12132501570.89,0
603658.SH,20251030,20251030,20250930,1,1,3,571424768.0,3358127469.5,4522737332.49,293162011.78,,614459345.36,268453736.33,32354548.11,1150498683.77,,44188053.85,194694.6,,1024018913.4,,,,,,,,,2712645462.84,5880262392.78,,,17796782.82,27157840.06,,,,3457711200.37,,,,,,139349851.04,136456568.52,164648504.26,62295946.73,363396677.91,,830892127.24,5846682436.92,,,,,,,,,,,,,,,,,11726944829.7,,39526239.42,,,,,778677286.25,573079890.55,,,,144712451.27,139447229.76,,,,,,,,,,,11687596.26,78863284.25,2280644264.58,,,,6164413.37,255469043.96,64004461.68,257045716.94,600755206.63,,,,,,,,,,,,,,,,,2881399471.21,,,,,99040779.39,8746504579.1,8845545358.49,11726944829.7,,1052997.33,,,,,,,,,,,,84376923.58,1182853231.88,1351757176.8,28712900.37,3457711200.37,459572018.32,430273363.24,,,,0
