ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
605162.SH,20210616,20210616,20191231,1,1,649996923.16,649996923.16,396684924.53,206136854.21,208659504.13,156249706.96,0.49
001216.SZ,20210831,20210831,20191231,1,1,949570684.72,949570684.72,653722097.13,127157531.16,125518684.86,112616775.45,0.59
605011.SH,20210608,20210608,20191231,1,1,2002067484.62,2002067484.62,1686425261.59,271614688.21,276278044.38,243349168.35,0.57
688789.SH,20210621,20210621,20191231,1,1,591233783.38,591233783.38,323547736.8,167106989.48,167224735.99,143978923.38,2.53
688148.SH,20210720,20210720,20191231,1,1,951142013.88,951142013.88,758253091.38,88405481.0,89091791.43,74525690.69,0.18
688305.SH,20210622,20210622,20191231,1,1,141904575.84,141904575.84,79170501.88,48207048.85,48246895.31,42606735.71,0.6407
688216.SH,20210602,20210602,20191231,1,1,414468603.2,414468603.2,318716193.94,37766982.29,37765082.29,33730969.1,0.42
688779.SH,20210722,20210722,20191231,1,1,2765861247.71,2765861247.71,2290725767.89,218180162.15,221624664.38,206234694.55,0.15
688425.SH,20210601,20210601,20191231,1,1,7281674048.9,7281674048.9,4868956950.94,1713780140.06,1722426664.11,1529933692.38,0.4
688280.SH,20210930,20210930,20191231,1,1,789702169.7,789702169.7,687211647.04,-227822016.14,-260899808.28,-256042142.42,-0.63
605566.SH,20210924,20210924,20191231,1,1,1102268481.36,1102268481.36,671081428.36,308551838.67,305082706.6,258305760.85,3.46
605287.SH,20210616,20210616,20191231,1,1,4773730184.46,4773730184.46,4199113471.69,182276168.73,181151016.38,147767261.97,1.94
301025.SZ,20210624,20210624,20191231,1,1,397016395.32,397016395.32,218481779.39,67387105.15,75627496.02,57166668.52,0.16
688501.SH,20210629,20210629,20191231,1,1,529214728.19,529214728.19,363961778.09,54416490.08,54403572.17,47514824.5,0.65
688733.SH,20210729,20210729,20191231,1,1,165117627.78,165117627.78,89079334.9,45907285.58,50920170.21,44460028.45,0.38
603171.SH,20210608,20210608,20191231,1,1,1397967718.79,1397967718.79,555444717.97,281841294.88,281571516.91,282097127.38,0.78
688226.SH,20210616,20210616,20191231,1,1,908174093.31,908174093.31,685538500.28,67975005.15,67905722.29,58724053.37,0.47
001212.SZ,20210713,20210713,20191231,1,1,528583584.97,528583584.97,334584258.4,127453506.37,125530882.97,108715822.33,1.6
601825.SH,20210706,20210706,20191231,1,2,21271299000.0,21271299000.0,,10668334000.0,10692517000.0,8938347000.0,1.02
001219.SZ,20210922,20210922,20191231,1,1,482857994.02,482857994.02,321625791.58,100881648.14,101467011.67,75135117.81,1.13
001210.SZ,20210617,20210617,20191231,1,1,713330277.93,713330277.93,544458670.28,122064658.38,123373824.66,103951146.21,1.48
688601.SH,20210607,20210607,20191231,1,1,474579213.93,474579213.93,351465871.85,42257432.54,42341049.12,40402516.9,0.85
688766.SH,20210802,20210802,20191231,1,1,362989595.47,362989595.47,263322135.34,35940450.0,35746812.77,32320848.35,
688786.SH,20210806,20210806,20191231,1,1,213140059.83,213140059.83,126670504.96,62019395.54,61071793.97,52964460.08,0.9
688087.SH,20210618,20210618,20191231,1,1,1273001355.05,1273001355.05,906830110.24,104727684.09,104756736.67,95200522.95,0.99
001209.SZ,20210607,20210607,20191231,1,1,1008417769.35,1008417769.35,601128478.32,110404271.59,112427296.12,91751119.43,1.3
605598.SH,20210810,20210810,20191231,1,1,1005643138.36,1005643138.36,713456618.07,170568047.32,169193389.75,145548280.0,1.12
605138.SH,20210914,20210914,20191231,1,1,5569673388.19,5569673388.19,4460503907.86,332827499.57,329197054.37,275841595.38,0.54
605580.SH,20210730,20210730,20191231,1,1,474047345.66,474047345.66,323603270.4,122975992.14,125105875.69,95081901.31,0.63
688793.SH,20210625,20210625,20191231,1,1,694115696.87,694115696.87,271198628.59,63183729.08,62995201.43,54767143.32,1.19
001211.SZ,20210722,20210722,20191231,1,1,717755797.46,717755797.46,462961063.15,82838456.03,85966382.76,71839919.21,1.33
688799.SH,20210623,20210623,20191231,1,1,824648894.37,824648894.37,243832138.2,127726870.82,127653633.11,116011039.14,1.65
688239.SH,20210615,20210615,20191231,1,1,588762242.66,588762242.66,434319274.3,60555176.23,60719024.46,53864940.55,0.51
688728.SH,20210730,20210730,20191231,1,1,3690183620.0,3690183620.0,2729075073.0,384041128.0,383874249.0,359371224.0,0.19
688071.SH,20210709,20210709,20191231,1,1,295935178.35,295935178.35,171117661.34,43237794.01,43826706.62,40204740.38,0.782
688778.SH,20210719,20210719,20191231,1,1,6977723911.27,6977723911.27,6415517218.05,109347502.44,112934184.21,142730777.95,1.07
605028.SH,20210601,20210601,20191231,1,1,263564939.94,263564939.94,108984157.06,109812872.87,109991366.49,85511224.7,0.71
688091.SH,20210820,20210820,20191231,1,1,,,,-315194387.22,-315224387.22,-315224387.22,-4.39
605589.SH,20210721,20210721,20191231,1,1,5881683278.67,5881683278.67,4120199839.85,580211751.92,561356195.81,469625234.33,0.68
688276.SH,20210604,20210604,20191231,1,1,975667802.11,975667802.11,93889745.41,267881756.68,263837000.67,221022136.3,0.61
301026.SZ,20210625,20210625,20191231,1,1,650314340.2,650314340.2,556351469.28,76309683.63,75664679.93,67600937.34,0.7953
688367.SH,20210608,20210608,20191231,1,1,169427788.27,169427788.27,108518795.67,43201213.7,43302163.83,37211821.46,0.57
605599.SH,20210818,20210818,20191231,1,1,8399161618.66,8399161618.66,7257517065.0,549467954.88,548942989.83,403570327.11,0.57
688701.SH,20210827,20210827,20191231,1,1,291040257.56,291040257.56,160113132.32,64998219.91,64828387.92,56073074.34,0.56
301021.SZ,20210616,20210616,20191231,1,1,359369802.3,359369802.3,176985433.62,81195001.89,81108458.55,71764553.52,0.6341
688038.SH,20210623,20210623,20191231,1,1,442916976.4,442916976.4,319022181.92,57367709.84,57391944.23,50297972.43,0.618
688767.SH,20210820,20210820,20191231,1,1,208842040.5,208842040.5,119516997.05,32231172.36,32268348.68,27935319.28,0.35
688776.SH,20210812,20210812,20191231,1,1,354939716.98,354939716.98,200233076.88,48577464.58,48554498.84,42382753.47,0.72
688303.SH,20210705,20210705,20191231,1,1,2426085064.63,2426085064.63,1885534481.84,308098583.96,309450877.92,247054914.75,0.18
301055.SZ,20210816,20210816,20191231,1,1,484014903.87,484014903.87,284567089.01,85807989.42,93960168.95,72300732.38,0.62
688622.SH,20210824,20210824,20191231,1,1,219837151.06,219837151.06,71973630.92,54952510.73,54212715.22,45328566.86,0.89
688511.SH,20210712,20210712,20191231,1,1,151663786.71,151663786.71,51890618.18,54529000.26,54308241.42,45084545.95,0.7946
301036.SZ,20210709,20210709,20191231,1,1,1135610639.8,1135610639.8,884975979.41,102056889.55,100097427.86,85167839.76,1.14
301035.SZ,20210708,20210708,20191231,1,1,6073610606.06,6073610606.06,4954875317.73,426152767.81,424608280.45,354430198.7,1.64
688718.SH,20210708,20210708,20191231,1,1,360583583.57,360583583.57,214493226.99,75197573.62,75472761.34,66181620.51,0.51
688385.SH,20210715,20210715,20191231,1,1,1472839381.68,1472839381.68,891660486.32,-146075995.65,-147067246.71,-149724358.19,-0.23
688722.SH,20210917,20210917,20191231,1,1,301343224.05,301343224.05,201156932.51,54175125.95,54519721.96,46612702.04,0.58
301086.SZ,20210928,20210928,20191231,1,1,444801317.49,444801317.49,261530993.58,97650656.97,97286821.61,84291655.49,1.87
688296.SH,20210707,20210707,20191231,1,1,235441115.31,235441115.31,127281611.09,34992662.41,34947432.75,32106890.89,0.42
001218.SZ,20210914,20210914,20191231,1,1,1993375532.11,1993375532.11,1604672460.62,155301257.28,146930830.31,131441780.0,1.95
688161.SH,20210610,20210610,20191231,1,1,1574008097.2,1574008097.2,275189740.58,513380716.44,511934184.31,441139123.92,1.33
688499.SH,20210610,20210610,20191231,1,1,888896902.76,888896902.76,536227368.2,93887085.14,92580715.97,93086507.08,1.55
301059.SZ,20210824,20210824,20191231,1,1,198486712.31,198486712.31,97807047.07,65386103.99,64988748.9,57596406.57,0.63
301052.SZ,20210809,20210809,20191231,1,1,384283586.18,384283586.18,197946996.88,59355399.38,59723339.74,51804714.9,0.9606
688768.SH,20210706,20210706,20191231,1,1,180123743.27,180123743.27,51656394.83,40604802.76,44674816.05,39844370.4,0.99
301013.SZ,20210607,20210607,20191231,1,1,557843055.84,557843055.84,373271797.5,101401846.2,101947100.1,91373476.27,0.81
301037.SZ,20210709,20210709,20191231,1,1,2054353842.05,2054353842.05,1609063477.07,89610980.81,88288187.92,72508058.17,1.064
688670.SH,20210713,20210713,20191231,1,1,67151263.96,67151263.96,10494712.85,-31190183.39,-31246580.14,-19037689.91,-0.38
300854.SZ,20210827,20210827,20191231,1,1,684051757.49,684051757.49,498670590.43,95799032.53,96690317.63,83439233.97,1.11
688257.SH,20210930,20210930,20191231,1,1,694026671.85,694026671.85,434899603.42,111586882.85,110825828.64,90900680.53,1.1564
