ts_code,ann_date,f_ann_date,end_date,operate_profit
002156.SZ,20150328,20150328,20141231,49590134.1
002157.SZ,20150429,20150429,20141231,23894948.06
002161.SZ,20150420,20150420,20141231,42791262.47
002168.SZ,20150304,20150304,20141231,-117911899.46
002174.SZ,20150331,20150331,20141231,340946328.56
002176.SZ,20150310,20150310,20141231,45635775.59
002180.SZ,20150401,20150401,20141231,220207158.93
002181.SZ,20150408,20170419,20141231,-424097032.07
002179.SZ,20150331,20150331,20141231,425144422.51
002183.SZ,20150424,20150424,20141231,392088207.0
002185.SZ,20150310,20150310,20141231,282178648.07
002190.SZ,20150429,20180428,20141231,-8599621.37
002192.SZ,20150320,20150320,20141231,-102074164.16
002191.SZ,20150411,20150411,20141231,669522720.62
002194.SZ,20150410,20150410,20141231,161717583.52
002195.SZ,20150213,20150213,20141231,108973483.19
002202.SZ,20150328,20150328,20141231,2052318618.12
002212.SZ,20150428,20150428,20141231,61085639.66
002203.SZ,20150423,20150423,20141231,484381271.23
002216.SZ,20150320,20150320,20141231,-9792177.45
002217.SZ,20150331,20150331,20141231,149001921.59
002221.SZ,20150403,20150403,20141231,182259249.0
002223.SZ,20150331,20150331,20141231,284865049.12
002219.SZ,20150429,20150429,20141231,282123373.89
002230.SZ,20150318,20150318,20141231,288063944.24
002233.SZ,20150317,20150317,20141231,830155166.83
002236.SZ,20150320,20150320,20141231,927565196.87
002240.SZ,20150424,20150424,20141231,-71343824.88
002238.SZ,20150401,20150401,20141231,218878506.87
002241.SZ,20150331,20150331,20141231,1924114224.57
002242.SZ,20150401,20150401,20141231,712351398.1
002244.SZ,20150429,20150429,20141231,1162056641.76
002249.SZ,20150217,20150217,20141231,365450845.42
002250.SZ,20150409,20150409,20141231,663418236.22
002251.SZ,20150429,20150429,20141231,429928166.28
002254.SZ,20150429,20150429,20141231,195155029.27
002261.SZ,20150327,20150327,20141231,67983198.19
002262.SZ,20150217,20150217,20141231,259474002.25
002265.SZ,20150325,20150325,20141231,2255488.39
002268.SZ,20150217,20150217,20141231,95515809.78
002269.SZ,20150401,20150401,20141231,178250190.0
002266.SZ,20150429,20150429,20141231,117310383.02
002271.SZ,20150428,20150428,20141231,623854045.42
002273.SZ,20150325,20150325,20141231,174656423.99
002277.SZ,20150417,20150417,20141231,482110451.19
002252.SZ,20150213,20150213,20141231,599410436.03
002281.SZ,20150320,20150320,20141231,131609336.42
002285.SZ,20150324,20150324,20141231,559109074.87
002292.SZ,20150429,20150429,20141231,422864714.11
002293.SZ,20150425,20150425,20141231,432099652.84
002276.SZ,20150415,20150415,20141231,223616463.91
002299.SZ,20150331,20150331,20141231,-11131126.33
002280.SZ,20150304,20150304,20141231,193651068.29
002302.SZ,20150331,20150331,20141231,467484729.04
002304.SZ,20150429,20150429,20141231,6009511515.91
002308.SZ,20150418,20150418,20141231,40266899.91
002309.SZ,20150422,20150422,20141231,289007061.28
