ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
603065.SH,20230209,20230209,20221231,1,1,1792366712.98,1792366712.98,1273955246.32,293541087.84,289348556.63,246334520.52,0.65
920770.BJ,20230208,20230208,20221231,1,1,432833982.12,432833982.12,341525242.81,66067150.15,66299887.71,61792111.63,0.58
301322.SZ,20230215,20230215,20221231,1,1,1470965655.05,1470965655.05,1023846903.39,359558599.19,358841621.49,311847746.09,5.95
001278.SZ,20230210,20230210,20221231,1,1,1861592341.61,1861592341.61,1470911020.83,127639577.88,128872118.92,111031381.63,1.2112
301059.SZ,20230209,20230209,20221231,1,1,279492356.93,279492356.93,172383939.53,71507873.94,75824395.56,66029582.34,0.54
688522.SH,20230210,20230210,20221231,1,1,210008608.23,210008608.23,39736655.21,117197030.96,117216308.65,105433925.41,0.91
603162.SH,20230217,20230217,20221231,1,1,2046032548.74,2046032548.74,1232538678.39,706584473.39,705085486.04,671417018.13,1.81
301157.SZ,20230217,20230217,20221231,1,1,248018709.62,248018709.62,134743374.36,64081387.38,65007434.97,57004835.07,1.27
001337.SZ,20230214,20230214,20221231,1,1,472460494.05,472460494.05,230050053.77,234675489.21,233613375.51,198687610.82,0.55
603061.SH,20230216,20230216,20221231,1,1,426018033.34,426018033.34,181674711.57,180280634.15,176627168.82,153931526.19,3.42
603291.SH,20230216,20230216,20221231,1,1,1156980071.72,1156980071.72,788097141.94,179856885.5,178764713.36,130588534.65,0.34
920422.BJ,20230207,20230207,20221231,1,1,647852012.98,647852012.98,518874290.01,90504494.95,88574318.75,73573773.52,1.08
301076.SZ,20230218,20230218,20221231,1,1,398088103.44,398088103.44,254319726.79,123242852.14,122945371.57,106946897.04,1.03
920478.BJ,20230207,20230207,20221231,1,1,258700268.97,258700268.97,162343581.15,58194400.34,60901057.44,52504714.86,1.88
001225.SZ,20230206,20230206,20221231,1,1,496625757.69,496625757.69,291130986.34,202906177.43,255881784.59,220878628.06,4.55
001311.SZ,20230206,20230206,20221231,1,1,3355008707.31,3355008707.31,2531604143.27,550072259.15,549627162.68,445331628.38,4.2
