ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
600436.SH,20150417,20150417,20141231,662337213.78,1251540707.5,3649637158.82
600438.SH,20150331,20150331,20141231,3778696123.18,1432860120.19,6179290698.88
600435.SH,20150423,20150423,20141231,1676792070.99,768758831.16,4102499391.32
600446.SH,20150320,20150320,20141231,980865981.36,252015410.81,1918824981.94
600456.SH,20150327,20150327,20141231,3005458663.58,811551532.64,6936370507.01
600458.SH,20150328,20150328,20141231,7327166488.22,852908675.11,10279594764.97
600466.SH,20150430,20150430,20141231,146137632.18,167747654.87,744389977.76
600460.SH,20150310,20150310,20141231,1602993165.52,487328505.87,4018156119.2
600468.SH,20150228,20150228,20141231,789244002.36,304745275.94,1527068320.83
600478.SH,20150411,20150411,20141231,1425085472.15,453061315.02,2590899822.89
600482.SH,20150327,20150327,20141231,2255000011.92,517451285.02,4343811435.99
600481.SH,20150321,20150321,20141231,5343416401.38,1516802678.75,7761367496.57
600483.SH,20150326,20150326,20141231,8233241414.02,1242083902.57,14354188248.48
600485.SH,20150430,20150430,20141231,3487616429.56,5576539029.62,14215496595.23
600486.SH,20150415,20150415,20141231,1512625942.85,1701962485.21,4307765411.23
600489.SH,20150425,20150425,20141231,15595251129.4,1675694678.52,27640505181.59
600487.SH,20150415,20150415,20141231,7824765827.22,1900176642.5,12388385022.49
600496.SH,20150420,20150420,20141231,6410638529.29,1034942000.32,9789062972.17
600497.SH,20150421,20150421,20141231,21403499378.35,1291900337.61,32839802236.64
600498.SH,20150425,20150425,20141231,8339418420.2,4101187543.34,15432869589.16
600499.SH,20150425,20150425,20141231,3733877111.61,347877207.15,7576768423.12
600500.SH,20150430,20150430,20141231,15715939880.45,3187046552.16,30111183315.85
600503.SH,20150410,20150410,20141231,800714922.42,634803408.14,4394309716.16
600507.SH,20150318,20150318,20141231,6084267153.46,1702049232.36,9287453287.63
600509.SH,20150429,20150429,20141231,9756111100.88,944921268.62,14295082472.61
600510.SH,20150317,20150317,20141231,11037385135.55,1892274299.78,16034436593.04
600515.SH,20150410,20150410,20141231,2880215366.32,1242639292.79,3698795860.45
600511.SH,20150321,20150321,20141231,2957061612.31,756631512.33,5537855521.43
600516.SH,20150425,20150425,20141231,3565135816.79,2542529503.38,9583485016.41
