ts_code,ann_date,end_date,total_liab,money_cap,total_assets
000001.SZ,20110427,20110331,771613374000.0,,807563445000.0
000002.SZ,20110420,20110331,179229585865.1,37189322962.18,235358830324.57
000006.SZ,20110422,20110331,5471997747.42,978685770.85,8073813736.27
000008.SZ,20110423,20110331,2973041.41,38045516.92,76914317.39
000009.SZ,20110427,20110331,6171701621.45,1486300439.93,10049259909.44
000012.SZ,20110422,20110331,6418950085.0,1219112574.0,13640128781.0
000021.SZ,20110430,20110331,2566469408.17,2121382996.15,7049160412.16
000025.SZ,20110425,20110331,392383255.44,57309242.9,592709964.48
000027.SZ,20110427,20110331,13073709115.5,2551593220.36,29892871476.36
000028.SZ,20110429,20110331,5326910257.34,687645506.54,6547314118.01
000030.SZ,20110427,20110331,2126669434.99,541468.88,31888897.28
000031.SZ,20110427,20110331,14952678795.16,2105535411.49,21447491015.75
000032.SZ,20110428,20110331,747324923.21,124146109.32,1616576424.1
000034.SZ,20110419,20110331,103108471.45,58456096.83,174699057.93
000039.SZ,20110426,20110331,43290046000.0,6030625000.0,63881370000.0
000046.SZ,20110429,20110331,14201836263.03,2253019814.82,22444901992.03
000049.SZ,20110428,20110331,692112494.1,170215435.92,1005925367.37
000050.SZ,20110426,20110331,5386456981.31,869834035.5,8057158514.04
000060.SZ,20110429,20110331,9197388134.33,1571123683.86,14896502844.54
000061.SZ,20110429,20110331,5037052359.49,2448357406.17,8859181920.52
000062.SZ,20110428,20110331,2325065652.09,951263873.98,4147384644.21
000063.SZ,20110420,20110331,64890368000.0,14187560000.0,90001736000.0
000066.SZ,20110430,20110331,19965973228.24,1753009407.25,30799198592.89
000069.SZ,20110430,20110331,39484070290.27,4246725131.29,54331037151.73
000078.SZ,20110420,20110331,3411223092.2,832828983.26,4353550690.0
000088.SZ,20110427,20110331,417953985.67,2258735721.36,5076527679.45
000089.SZ,20110419,20110331,705985261.48,590097165.51,6735651940.97
000090.SZ,20110419,20110331,4980374309.14,913722470.02,8966445240.35
000099.SZ,20110426,20110331,901179869.33,191275205.72,2554925592.37
000100.SZ,20110430,20110331,35514689069.0,24630873414.0,54029509706.0
000155.SZ,20110420,20110331,1523928182.53,146316261.65,3241856843.38
000156.SZ,20110427,20110331,596376490.77,66540912.46,298583467.04
000157.SZ,20110430,20110331,38066540188.77,20877765746.04,69206125143.92
000158.SZ,20110427,20110331,2670210532.1,753075495.42,5057385190.91
000301.SZ,20110430,20110331,1050005945.1,429272960.02,3609353514.31
000333.SZ,20110429,20110331,69134886556.87,14996762836.75,97213276704.8
000338.SZ,20110422,20110331,34425568441.03,10375407193.62,60005147104.51
000400.SZ,20110428,20110331,3050371026.36,650543906.25,5795565142.84
000401.SZ,20110430,20110331,22033766379.38,2506167495.41,31327847218.27
000402.SZ,20110429,20110331,38377471791.22,10940751163.26,56290730062.96
