ts_code,ann_date,end_date,total_liab,money_cap,total_assets
000806.SZ,20230901,20230630,3479450675.93,51076218.68,2084765206.8
600614.SH,20230901,20230630,3768958401.96,7861833.27,1208059085.76
000671.SZ,20230901,20230630,269213183654.45,6556637743.0,286613040628.1
600086.SH,20230901,20230630,15048096174.16,6555168.51,6782731509.58
600978.SH,20230901,20230630,8695990999.16,13333342.97,8411531118.31
000338.SZ,20230831,20230630,213060996869.32,76747311019.25,322609842220.53
600258.SH,20230831,20230630,14714918532.08,1372670196.91,25469625179.27
603816.SH,20230831,20230630,7424308061.47,5087741067.69,17339334442.89
601012.SH,20230831,20230630,87771767103.91,56110206346.11,156760166367.62
601127.SH,20230831,20230630,29205333001.6,9050628104.15,37039620088.2
601988.SH,20230831,20230630,28423477000000.0,,31085240000000.0
600837.SH,20230831,20230630,582523133380.57,167650291602.79,762391665182.85
600900.SH,20230831,20230630,380997342680.01,13144176159.87,577089474242.81
601066.SH,20230831,20230630,457815894242.0,123318243059.63,553418611984.65
605117.SH,20230831,20230630,5747905777.05,3924524019.55,10540232408.45
600115.SH,20230831,20230630,265894000000.0,20124000000.0,289362000000.0
002466.SZ,20230831,20230630,22012728581.29,10646231381.05,76945004851.61
601658.SH,20230831,20230630,14232416000000.0,,15123107000000.0
603296.SH,20230831,20230630,34216411505.69,9244649026.86,47645648031.18
600048.SH,20230831,20230630,1102340096001.2,148581390350.98,1431839038983.36
600150.SH,20230831,20230630,124391269255.2,64441969889.56,174796300430.32
600875.SH,20230831,20230630,86675605435.2,18419338817.5,126473058291.15
601236.SH,20230831,20230630,25273403268.2,5577143636.0,48620356509.54
000333.SZ,20230831,20230630,304497120000.0,71734919000.0,462739635000.0
601688.SH,20230831,20230630,716556907935.83,164061684330.57,887070258102.31
300498.SZ,20230831,20230630,58293217558.2,2309157863.87,95070538902.47
600958.SH,20230831,20230630,282120545773.2,97156148576.71,360118150534.42
600027.SH,20230831,20230630,145950065000.0,6804974000.0,226018159000.0
601225.SH,20230831,20230630,91363249666.0,57929254053.56,229881796717.0
600061.SH,20230831,20230630,260477894486.07,74732776023.7,318661496953.15
000800.SZ,20230831,20230630,47874941807.18,26737335999.7,72001981826.53
300628.SZ,20230831,20230630,735543122.94,387574899.77,8440639554.91
601169.SH,20230831,20230630,3313513000000.0,,3632454000000.0
600482.SH,20230831,20230630,45337300739.54,23250779445.01,91804379859.3
000002.SZ,20230831,20230630,1281551927215.46,122180878822.26,1684196409372.7
