ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
002517.SZ,20250830,20250830,20250630,1,1,2,949375200.1,1881344.94,2518504531.17,,,,,,,,,,,,,57620357.57,2576124888.74,409277020.06,380907376.87,145517319.35,,,,,,904169115.1,1839870831.38,736254057.36,,70822484.04,5965928.72,3354042.95,,80142455.71,52443081.25,656279426.42,,,,708722507.67,-628580051.96,13658811.0,,44948868.48,58671779.48,727372759.6088,,213644323.4,,18556364.98,232200688.38,-173528908.9,-1113174.15,-66968077.65,3248113898.58,3181145820.93,64100.0,64100.0,,3795639.12,4371329.26,15900108.82,26872489.46,,,-1628860.84,130701.46,11944883.28,-14721736.92,202155.27,-2101356.58,-4843612.68,-349296569.15,78172987.33,,736254057.36,,,,-66968077.65,,,,16199354.49,,3181145820.93,3248113898.58,,,1.0
601939.SH,20250830,20250830,20250630,2,1,2,162638000000.0,,,,2745970000000.0,254779000000.0,,,,,,535854000000.0,,47186000000.0,,93912000000.0,4533820000000.0,,62660000000.0,71694000000.0,1666880000000.0,,,303906000000.0,,279142000000.0,3277206000000.0,1256614000000.0,,1758997000000.0,150323000000.0,794000000.0,,1910407000000.0,5251000000.0,2733734000000.0,,,,2741596000000.0,-831189000000.0,,90590000000.0,,235581000000.0,,38887000000.0,110567000000.0,,3661000000.0,153115000000.0,82466000000.0,-4396000000.0,503495000000.0,569448000000.0,1072943000000.0,104994000000.0,,,,14768000000.0,,,,,-137000000.0,,2618000000.0,,,,,-2562840000000.0,3682437000000.0,,1256614000000.0,,,,503495000000.0,104086000000.0,,107652000000.0,,10000000.0,1072943000000.0,569448000000.0,,,0.0
000987.SZ,20250830,20250830,20250630,1,1,2,1999979855.94,,10482004586.98,,,,-2832500535.05,,,,,1869686753.49,,,,14458249202.6,23977440008.02,16057713719.06,415492678.99,727162517.62,,,,576788339.84,,1896725348.46,19673882603.97,4303557404.05,,6490284915.52,515457831.0,32800.0,,7005775546.52,4596946741.44,10626576393.47,,,,15223523134.91,-8217747588.39,22733347346.66,14869103872.27,2825248219.8,41026139438.73,-13944568373.3764,32829936621.35,1797471848.37,87971681.57,3327896888.19,37955305357.91,3070834080.82,-12629481.72,-855985585.24,17645768618.49,16789783033.25,598440000.0,598440000.0,,5830906.29,833602432.85,15883246.68,4799719.89,,,-89464.36,34143.36,-57805726.18,-2187177058.12,-98564369.82,2236993.73,319895682.95,13972181435.9,-12160658063.34,,4303557404.05,,,,-855985585.24,,,90373071.21,45741793.89,,16789783033.25,17645768618.49,,,1.0
000425.SZ,20250830,20250830,20250630,1,1,2,4416694323.09,633245064.94,54947338177.98,1257206635.5,,,284073374.94,,,,,81555537.01,,,,200810563.16,56770984288.59,41600194270.74,3884344123.16,2738035616.48,121788664.86,,,63409235.76,,4638162844.33,53045934755.33,3725049533.26,,331044105.52,213383350.0,180108729.94,8000000.0,732536185.46,1294661818.56,332113095.36,,,,1626774913.92,-894238728.46,28196526683.09,1600000000.0,4409824326.42,34214981009.51,1949564953.5865,24321026846.37,691076769.96,,7578695852.46,32590799468.79,1624181540.72,118375171.08,4573367516.6,15463871908.76,20037239425.36,8630000.0,8630000.0,,407326737.61,1705481597.83,429573809.63,27036852.06,,,33552736.93,1117005.78,74937711.39,-140689920.45,206155475.95,-50297097.86,-2903246164.11,-6864471155.98,4585171514.62,,3725049533.26,,,,4573367516.6,,,153192057.88,,,20037239425.36,15463871908.76,,,1.0
601988.SH,20250830,20250830,20250630,2,1,2,126138000000.0,,,,1145727000000.0,431413000000.0,,,,,,465520000000.0,,60152000000.0,,144948000000.0,2247760000000.0,,64151000000.0,48167000000.0,1504725000000.0,14909000000.0,,267514000000.0,,189051000000.0,2214121000000.0,33639000000.0,,2791172000000.0,118542000000.0,5691000000.0,,2916275000000.0,16508000000.0,3545382000000.0,,,,3563935000000.0,-647660000000.0,,956824000000.0,,1123766000000.0,,871788000000.0,98146000000.0,,3747000000.0,1036167000000.0,87599000000.0,40238000000.0,-486184000000.0,2368929000000.0,1882745000000.0,166942000000.0,,,57502000000.0,10571000000.0,3316000000.0,,,,-664000000.0,,-2920000000.0,-5214000000.0,8767000000.0,-7237000000.0,,-1570002000000.0,1503235000000.0,,33639000000.0,,,,,,,,,,,,,,0.0
601118.SH,20250830,20250830,20250630,1,1,2,-257954364.21,337801280.87,25495857915.37,2834171.3,,,,,,,,,,,,1085186081.26,26583878167.93,22985632924.99,891075107.92,270250572.64,,,,,,459571210.02,24606529815.57,1977348352.36,1059747529.85,2984800.0,,2018023.11,2774722.4,1067525075.36,194185741.15,13500000.0,,1218155480.7,,1425841221.85,-358316146.49,8313071445.7,,10050000.0,8323827225.7,,7814089788.51,362255071.03,30843880.05,211359243.68,8387704103.22,-63876877.52,-3112100.25,1552043228.1,5670314405.02,7222357633.12,705780.0,705780.0,,181885401.64,366639097.55,25495031.1,8852871.7,,,37732.45,194614.86,-2890474.66,-2612143.63,-27613928.06,-9871275.22,621776625.21,922304151.85,-173312117.11,,1977348352.36,,,,1552043228.1,,,-13384151.98,,,7222357633.12,5670314405.02,,,0.0
601328.SH,20250830,20250830,20250630,2,1,2,46455000000.0,,,,484759000000.0,,,,,,,184326000000.0,,,,111459000000.0,894301000000.0,,25075000000.0,15427000000.0,458863000000.0,,,126764000000.0,,88510000000.0,840822000000.0,53479000000.0,,443374000000.0,55963000000.0,4410000000.0,,503747000000.0,19316000000.0,584754000000.0,,,,606043000000.0,-102296000000.0,,105745000000.0,,228445000000.0,,86440000000.0,37173000000.0,,,128302000000.0,100143000000.0,956000000.0,52282000000.0,161950000000.0,214232000000.0,,,,,9913000000.0,,,,,,,-944000000.0,-2418000000.0,,-2402000000.0,,,,,53479000000.0,,,,52282000000.0,77366000000.0,,32814000000.0,,531000000.0,214232000000.0,161950000000.0,,,0.0
600905.SH,20250830,20250830,20250630,1,1,2,4169802472.05,2093925276.17,11365623251.9,219544353.3,,,,,,,,,,,,276521543.89,11861689149.09,967597049.92,820766591.15,1575260798.11,,,,,,251208028.09,3614832467.27,8246856681.82,62527831.13,291596065.27,395406945.43,489154.0,868332882.74,1618352878.57,13098173881.34,143878035.0,,20756418.75,,13262808335.09,-11644455456.52,25273227565.13,,340587640.45,26563995831.28,-4191311667.3578,17763306809.56,2212207480.9,30287500.0,4999902448.72,24975416739.18,1588579092.1,960256.57,-1808059426.03,5246444170.07,3438384744.04,950180625.7,950180625.7,,,6478715510.54,160687280.56,22724505.25,,,-184703.81,-4570253.64,-9803367.54,-915099830.46,-109546224.35,13881253.67,4650361.48,-5248675812.51,985501941.92,,8246856681.82,,,,-1808059426.03,,,376139121.84,228709150.65,,3438384744.04,5246444170.07,,,1.0
600039.SH,20250830,20250830,20250630,1,1,2,2788129245.25,1225626851.47,45493454006.44,5840026.26,,,,,,,,,,,,1481195257.29,47366581230.69,44495958837.58,2159293155.29,1330376832.23,,,,,,2336594008.79,51650255435.23,-4283674204.54,54776179.24,273873930.48,4919054.12,,,333569163.84,688024622.77,650791363.94,,,,1338815986.71,-1005246822.87,11925901390.08,,169811401.31,13295352791.39,,9922471221.94,1254429655.39,1000491.58,81797645.89,11258698523.22,2036654268.17,-11099310.63,-3263366069.87,20086825536.49,16823459466.62,1199640000.0,,,-1077339.15,179202317.17,397502511.81,229498138.3,,,-769203.25,-584570.96,-1362668.43,84648367.83,-2202428.14,72179883.11,-1570214091.11,-1384104390.5,-7110401457.72,,-4283674204.54,,,,-3263366069.87,,,240831905.28,63000760.88,,16823459466.62,20086825536.49,,,0.0
600008.SH,20250830,20250830,20250630,1,1,2,1251995570.91,710951363.55,6968197826.01,42274662.58,,,,,,,,,,,,362750815.74,7373223304.33,3463092596.54,1270549466.36,833963439.26,,,,,,545572205.25,6113177707.41,1260045596.92,47545265.7,946971969.35,9900932.29,27724553.27,106918322.07,1139061042.68,1619872064.44,3030000.0,,12682483.55,,1635584547.99,-496523505.31,9479053071.4,,77736600.0,10965003171.4,-231961748.5929,9159783589.01,2138421113.55,57897235.21,1411350792.48,12709555495.04,-1744552323.64,601174.41,-980429057.62,5445782342.33,4465353284.71,1408213500.0,8213500.0,,27389000.31,283313476.82,1080625947.0,27676244.96,,,-991624.89,288741.34,,4950686.32,-42339435.76,30565247.91,96106818.13,-1350193465.06,-1048692229.36,,1260045596.92,,,,-980429057.62,,,161505666.57,26893588.17,,4465353284.71,5445782342.33,,,1.0
