ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
001267.SZ,20050630,1256730.0,
002023.SZ,20050630,50137170.91,28394221.72
002023.SZ,20050331,19934958.94,17414678.28
001267.SZ,20041231,2380424.43,66460.0
002023.SZ,20041231,141388480.52,58727753.75
001267.SZ,20040930,1481737.06,44090.0
002023.SZ,20040930,72457037.54,33773427.81
001267.SZ,20040630,1335810.1,
002023.SZ,20040630,39229374.43,14311530.38
001267.SZ,20040331,3160375.1,20000.0
001267.SZ,20031231,10808761.52,69588.0
002023.SZ,20031231,113488564.89,52658536.63
001267.SZ,20030930,8360502.37,68628.0
001267.SZ,20030630,7009548.69,61198.0
001267.SZ,20030331,,
001267.SZ,20021231,14196083.17,765531.75
002023.SZ,20021231,,
001267.SZ,20020630,10652206.74,138349.6
001267.SZ,20011231,156372517.21,12581990.0
001267.SZ,20010630,106851888.01,12445990.0
001267.SZ,20001231,271651488.0,11217429.99
001267.SZ,20000630,130718262.89,2280799.62
001267.SZ,19991231,205145432.91,15447064.77
001267.SZ,19990630,98325543.78,1072215.57
001267.SZ,19981231,307656339.76,9041407.72
