ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
601212.SH,20161228,20161228,20151231,1358419292.91,1006735622.3,,,
603444.SH,20161220,20161220,20151231,186637555.68,28479378.42,,,
603929.SH,20161212,20161212,20151231,122670381.47,3307837.34,,,
001206.SZ,20161201,20161201,20151231,48468553.47,70620345.89,,,
002826.SZ,20161114,20161114,20151231,-29691228.38,44171568.67,,,
603816.SH,20160919,20160919,20151231,762093685.73,300237963.48,,,
603031.SH,20160808,20160808,20151231,118259841.86,61515246.49,,,
601811.SH,20160719,20160719,20151231,1016650228.4,198311602.98,,,
688303.SH,20160630,20160630,20151231,235618301.61,392427842.87,,,
688318.SH,20160630,20160630,20151231,157606800.0,900000.0,,,
301148.SZ,20160629,20160629,20151231,2224207.36,1825373.02,,,
688377.SH,20160629,20160629,20151231,83068518.64,86180108.63,,,
920821.BJ,20160625,20160625,20151231,-56958.56,3448115.08,,,
301333.SZ,20160624,20160624,20151231,17438272.7,2008645.31,,,
300614.SZ,20160624,20160624,20151231,55341934.71,72637426.1,,,
688639.SH,20160624,20160624,20151231,35269840.77,90133489.85,,,
688687.SH,20160624,20160624,20151231,8131120.41,77030205.39,,,
688223.SH,20160624,20160624,20151231,1272162043.89,583126627.44,,,
300521.SZ,20160622,20160622,20151231,30417151.26,10125840.71,,,
002803.SZ,20160622,20160622,20151231,55260001.84,34177041.5,,,
300522.SZ,20160621,20160621,20151231,58797004.02,42924214.8,,,
603069.SH,20160621,20160621,20151231,233977266.93,117638604.22,,,
300520.SZ,20160620,20160620,20151231,35112190.06,17292911.33,,,
002805.SZ,20160620,20160620,20151231,27740511.32,20123571.43,,,
688595.SH,20160618,20160618,20151231,2537067.05,5760073.41,,,
003033.SZ,20160617,20160617,20151231,48949961.83,45621420.04,,,
003016.SZ,20160617,20160617,20151231,363675538.5,167807361.59,,,
688161.SH,20160615,20160615,20151231,203610493.11,103857530.17,,,
301092.SZ,20160614,20160614,20151231,23415342.72,3696511.25,,,
601966.SH,20160613,20160613,20151231,1013951000.0,1105686541.0,,,
920344.BJ,20160609,20160609,20151231,8347832.04,15537611.3,,,
603016.SH,20160608,20160608,20151231,88926155.82,29409001.53,,,
688513.SH,20160608,20160608,20151231,50566743.99,35432518.44,,,
920985.BJ,20160607,20160607,20151231,-37064053.8,5518753.27,,,
002802.SZ,20160607,20160607,20151231,52088712.05,4812344.54,,,
002801.SZ,20160607,20160607,20151231,97576394.38,17230425.07,,,
688309.SH,20160607,20160607,20151231,10539720.09,7763988.45,,,
603958.SH,20160607,20160607,20151231,40950555.35,11260747.01,,,
300517.SZ,20160606,20160606,20151231,74649291.1,11424465.3,,,
300519.SZ,20160606,20160606,20151231,124840438.23,14839983.81,,,
603909.SH,20160606,20160606,20151231,46141088.96,34692485.39,,,
300518.SZ,20160606,20160606,20151231,88442179.92,43586456.23,,,
605151.SH,20160603,20160603,20151231,125150500.0,12008000.0,,,
301230.SZ,20160602,20160602,20151231,-1190320.87,12811642.29,,,
002997.SZ,20160601,20160601,20151231,112132378.97,53938124.68,,,
688244.SH,20160601,20160601,20151231,-2444176.1,5529777.2,,,
688793.SH,20160528,20160528,20151231,428879.93,13664758.39,,,
301096.SZ,20160528,20160528,20151231,2610850.18,2736143.8,,,
001218.SZ,20160527,20160527,20151231,113232417.14,123904820.12,,,
688611.SH,20160524,20160524,20151231,7654761.38,,,,
601127.SH,20160523,20160523,20151231,391626442.02,360460584.64,,,
301166.SZ,20160521,20160521,20151231,6916697.22,19606406.23,,,
688131.SH,20160521,20160521,20151231,1819872.69,3726338.34,,,
301120.SZ,20160520,20160520,20151231,122800822.98,17006885.25,,,
300515.SZ,20160520,20160520,20151231,27495800.34,13704504.13,,,
688577.SH,20160520,20160520,20151231,-5413163.26,8311251.79,,,
002799.SZ,20160519,20160519,20151231,63098085.47,13282276.02,,,
300909.SZ,20160519,20160519,20151231,4329804.44,11615863.22,,,
920242.BJ,20160519,20160519,20151231,2186949.81,358312.18,,,
603131.SH,20160518,20160518,20151231,67053801.78,4993022.28,,,
920212.BJ,20160518,20160518,20151231,-16815890.8,6428894.66,,,
605196.SH,20160518,20160518,20151231,-33630876.58,128372542.07,,,
002800.SZ,20160517,20160517,20151231,45757662.06,7196325.18,,,
920046.BJ,20160517,20160517,20151231,13592937.36,330061.14,,,
603959.SH,20160516,20160516,20151231,37739732.8,1122805.5,,,
601611.SH,20160516,20160516,20151231,676680003.71,328673772.2,,,
300516.SZ,20160516,20160516,20151231,124675824.37,70680742.19,,,
300513.SZ,20160516,20160516,20151231,30833039.3,1553044.59,,,
603737.SH,20160516,20160516,20151231,214212973.52,83650440.98,,,
920274.BJ,20160514,20160514,20151231,74354629.22,9666819.65,,,
301106.SZ,20160505,20160505,20151231,12293745.77,2235340.34,,,
000809.SZ,20160430,20160430,20151231,104625054.73,2347190.55,,,
920892.BJ,20160430,20160430,20151231,34947072.06,1875521.03,,,
600822.SH,20160430,20160430,20151231,270237757.75,84583885.16,,,
002069.SZ,20160430,20160430,20151231,317707085.98,73124461.01,,,
000020.SZ,20160430,20160430,20151231,173486015.99,28607045.58,,,
002118.SZ,20160430,20160430,20151231,217319944.92,311137233.51,1,1,4
002325.SZ,20160430,20160430,20151231,-202974613.28,34232540.96,1,1,4
002715.SZ,20160430,20170610,20151231,-7499505.65,30310967.33,,,
002605.SZ,20160430,20160430,20151231,195802489.81,99849496.19,,,
600112.SH,20160430,20160430,20151231,293078354.64,57311361.72,1,1,4
600686.SH,20160430,20160430,20151231,892513161.02,221888663.8,,,
300013.SZ,20160430,20160430,20151231,-29915031.87,60810477.25,,,
000887.SZ,20160430,20160430,20151231,1090666848.6,342489737.27,,,
000938.SZ,20160430,20160430,20151231,93178379.68,19891330.5,,,
688680.SH,20160430,20160430,20151231,-27374741.82,3978128.94,,,
000630.SZ,20160430,20160430,20151231,4874372621.45,1908499577.57,,,
600423.SH,20160430,20160430,20151231,80584626.41,203082019.38,,,
002403.SZ,20160430,20160430,20151231,130113342.94,122699231.59,,,
000767.SZ,20160430,20160430,20151231,2777347127.7,3006855870.78,,,
000593.SZ,20160430,20160430,20151231,54515295.7,30359661.43,,,
600461.SH,20160430,20160430,20151231,503721948.66,334139687.77,,,
301300.SZ,20160430,20160430,20151231,15881711.49,2602557.59,,,
920300.BJ,20160430,20160430,20151231,-9276311.39,15871275.51,,,
000061.SZ,20160430,20160430,20151231,1162634539.13,1798226311.09,,,
300318.SZ,20160430,20160430,20151231,88950522.99,35089671.24,,,
002312.SZ,20160430,20160430,20151231,-135718740.82,820418590.32,,,
300142.SZ,20160430,20160430,20151231,-69412675.86,264747763.74,,,
300135.SZ,20160430,20160430,20151231,-2880939.9,87046262.88,,,
000723.SZ,20160430,20160430,20151231,988389751.52,156350765.82,,,
920017.BJ,20160430,20160430,20151231,19228532.47,93996087.38,,,
000539.SZ,20160430,20160430,20151231,10442437145.0,5363878048.0,,,
600189.SH,20160430,20160430,20151231,156312555.59,40776397.58,,,
002366.SZ,20160430,20160430,20151231,242056013.65,338383266.4,,,
000961.SZ,20160430,20160430,20151231,953350601.13,110994191.29,1,1,4
000546.SZ,20160430,20160430,20151231,279380193.37,389395598.57,,,
600645.SH,20160430,20160430,20151231,8174936.38,128702719.29,,,
000511.SZ,20160430,20161122,20151231,-454119039.07,382064.6,1,1,4
000690.SZ,20160430,20160430,20151231,1145407212.51,793910121.28,,,
000564.SZ,20160430,20160430,20151231,337122426.8,643801605.47,,,
000852.SZ,20160429,20160429,20151231,130295982.45,50300283.46,,,
600642.SH,20160429,20160429,20151231,3624602676.66,3532407098.22,,,
600177.SH,20160429,20160429,20151231,1963920153.13,982090978.42,,,
600620.SH,20160429,20160429,20151231,-6367958.86,9783365.31,,,
000629.SZ,20160429,20160429,20151231,29554465.56,2158120831.64,,,
600757.SH,20160429,20160429,20151231,722348137.27,149755976.81,,,
000637.SZ,20160429,20160429,20151231,179399915.81,42729162.23,,,
000788.SZ,20160429,20160429,20151231,408667748.21,150885449.8,,,
600546.SH,20160429,20160429,20151231,580499227.36,806994675.67,,,
600179.SH,20160429,20160429,20151231,89605521.59,,,,
603601.SH,20160429,20160429,20151231,51508016.65,101750938.93,,,
600556.SH,20160429,20160429,20151231,-92438722.02,953621.89,,,
002335.SZ,20160429,20160429,20151231,199543288.85,596175399.18,,,
601985.SH,20160429,20160429,20151231,16963898517.89,26561812603.28,,,
000801.SZ,20160429,20160429,20151231,164356286.53,119444364.86,,,
600869.SH,20160429,20160429,20151231,1381505511.88,168316981.51,,,
920092.BJ,20160429,20160429,20151231,-1875216.92,64268.89,,,
600489.SH,20160429,20160429,20151231,-1508498735.42,2912953429.07,,,
000612.SZ,20160429,20160429,20151231,-43434742.52,135605261.11,,,
688819.SH,20160429,20160429,20151231,1939152112.78,436736228.02,,,
600825.SH,20160429,20160429,20151231,248358568.53,28842980.34,,,
000009.SZ,20160429,20160429,20151231,12586391.58,855572027.02,,,
000869.SZ,20160429,20160429,20151231,1143046367.0,775468190.0,,,
000798.SZ,20160429,20160429,20151231,64273380.22,37602751.09,,,
000526.SZ,20160429,20160429,20151231,3098888.06,3487241.04,,,
603223.SH,20160429,20160429,20151231,149319210.5,176160807.35,,,
000709.SZ,20160429,20160429,20151231,14365563673.08,12751677880.11,,,
600078.SH,20160429,20160429,20151231,384996190.8,629202949.67,,,
000066.SZ,20160429,20160429,20151231,1687412319.73,1132360002.34,,,
600302.SH,20160429,20160429,20151231,-40618124.26,18044943.45,,,
600272.SH,20160429,20160429,20151231,12170096.25,4532491.03,,,
000571.SZ,20160429,20160429,20151231,-138035573.83,140150078.05,,,
301116.SZ,20160429,20160429,20151231,184607811.86,107568159.32,,,
600539.SH,20160429,20160429,20151231,75838146.98,44716359.28,,,
600117.SH,20160429,20160429,20151231,-1195867945.04,519041845.83,,,
920580.BJ,20160429,20160429,20151231,-2837179.58,188619.16,,,
600331.SH,20160429,20160429,20151231,1015457420.6,147649718.14,,,
600900.SH,20160429,20160429,20151231,17716964895.1,460251120.66,,,
600877.SH,20160429,20160622,20151231,-169538886.48,55397845.93,,,
601388.SH,20160429,20160429,20151231,294686759.0,171858578.61,,,
600073.SH,20160429,20160429,20151231,239508033.21,99625262.8,,,
002792.SZ,20160429,20160429,20151231,232282111.16,61075616.24,,,
600469.SH,20160429,20160429,20151231,1091699108.13,70693427.91,,,
600897.SH,20160429,20160429,20151231,606548737.37,215673358.1,,,
002358.SZ,20160429,20160429,20151231,16972380.08,211778861.46,,,
600499.SH,20160429,20160429,20151231,564938804.79,112975730.17,,,
001267.SZ,20160429,20160429,20151231,-6434264.35,18140.0,,,
000761.SZ,20160429,20160429,20151231,-2305005968.1,3472745508.1,,,
000155.SZ,20160429,20160429,20151231,-155937118.37,11089037.91,,,
601001.SH,20160429,20160429,20151231,-1586727115.07,1206395443.64,,,
