ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
001221.SZ,20250711,20250711,20250331,1,1,1,115592709.18,1547250.05,657675636.96,2850770.11,,,,,,,,,,,,5783747.53,666310154.6,323682565.91,107455469.73,28520530.73,,,,,,199640738.6,659299304.97,7010849.63,,270000000.0,561794.53,,,270561794.53,53294957.32,411220000.0,,,,464514957.32,-193953162.79,156900000.0,,,156900000.0,-69236747.5842,,936195.85,,2610419.14,3546614.99,153353385.01,-51170.02,-33640098.17,896011944.01,862371845.84,,,,-778247.28,17221676.04,1678238.74,647256.5,,,-2238.94,622044.9,,,-1622306.68,-636122.29,-7458945.68,-24306013.27,-98817998.19,,7010849.63,,,,-33640098.17,,,387120.22,2936426.33,,862371845.84,896011944.01,,,1.0
600930.SH,20250627,20250627,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5644473250.0,,,,,,,14676854669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603049.SH,20250515,20250515,20250331,1,1,1,,,8270619478.63,371867346.75,,,,,,,,,,,,298384501.38,8940871326.76,6954155052.83,929415962.81,205867890.45,,,,,,836571454.93,8926010361.02,14860965.74,,,,180337997.22,,180337997.22,1183026853.36,,,,,1183026853.36,-1002688856.14,3417675578.26,,,3417675578.26,-1748352458.1857,2848709246.09,79903657.32,,68402393.02,2997015296.43,420660281.83,71717145.65,-495450462.92,3899184042.82,3403733579.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
688235.SH,20250514,20250514,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-192920000.0,,,,,,,398323000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688981.SH,20250509,20250509,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1171520000.0,,,,,,,13134115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688347.SH,20250509,20250509,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,361199684.0,,,,,,,3664238868.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000046.SZ,20250501,20250501,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15536835.32,,,,,,,7489655.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600823.SH,20250501,20250501,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79977823.77,,,,,,,1224255.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600809.SH,20250430,20250430,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7026539469.24,,,,,,,271411242.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600717.SH,20250430,20250430,20250331,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,392386741.16,,,,,,,120935936.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
