ts_code,end_date,total_liab,money_cap,total_assets
000822.SZ,20010930,1290331485.27,284872084.98,2654669544.66
000805.SZ,20010930,101332275.26,50299818.84,188027629.37
000858.SZ,20010930,2449570000.0,,7011350000.0
600845.SH,20010930,67137245.66,33499100.55,318673129.2
600083.SH,20010930,339353200.0,18059000.0,322222200.0
000662.SZ,20010930,227326500.0,4171702.01,286471490.35
600229.SH,20010930,702131100.48,108369119.19,1603538408.44
600855.SH,20010930,119796263.73,52168496.53,329839601.43
000515.SZ,20010930,481651486.87,77803771.96,711748890.14
600261.SH,20010930,224534025.73,151439255.06,792871563.44
600636.SH,20010930,198815233.38,74135189.25,502943443.46
600743.SH,20010930,152559597.73,20336246.26,285742934.13
600670.SH,20010930,141525752.05,1650691.0,292444853.8
600097.SH,20010930,219760769.17,18129133.27,336936760.84
600306.SH,20010930,295411000.0,304285000.0,704298000.0
000838.SZ,20010930,228800000.0,,229340000.0
600853.SH,20010930,1413183891.67,4921173.98,2169085329.25
600167.SH,20010930,225263549.09,7147711.48,573035193.77
600148.SH,20010930,95084283.03,40573536.79,351905399.71
600759.SH,20010930,682969321.25,1650988.26,223794768.1
600231.SH,20010930,504521157.9,225607254.96,1744373716.97
600399.SH,20010930,1579581236.72,488928296.59,2972534598.19
000522.SZ,20010930,1744169800.0,,1823125800.0
000553.SZ,20010930,765656189.17,531309017.84,1799608555.77
000014.SZ,20010930,628740000.0,,834900000.0
600745.SH,20010930,321124253.69,1249117.98,384110020.75
600109.SH,20010930,231680000.0,22450000.0,231020000.0
000726.SZ,20010930,144414574.74,219733782.45,1491125242.12
000619.SZ,20010930,451616135.25,188386868.74,841045060.27
600831.SH,20010930,278865823.99,4567180.72,368397440.55
000788.SZ,20010930,627444200.0,,956733300.0
600380.SH,20010930,293030926.12,1149102728.7,2309837809.13
600833.SH,20010930,341135366.21,41525210.89,483666855.22
600647.SH,20010930,105116126.64,2971065.88,111227466.89
600178.SH,20010930,571083454.79,638434743.44,2075927151.37
600247.SH,20010930,51721337.56,125044592.43,398590941.23
600227.SH,20010930,150139335.24,211877524.57,885957055.47
000658.SZ,20010930,325396900.56,9841838.27,480724266.22
600899.SH,20010930,664333991.05,392883652.92,1153913744.06
000990.SZ,20010930,191228001.43,89116916.12,904784742.74
600398.SH,20010930,218824065.31,230921169.61,789349004.98
600508.SH,20010930,450698294.16,464002899.95,1938188519.24
600717.SH,20010930,888418347.89,573929629.94,2692881281.5
000416.SZ,20010930,143290415.63,66951262.55,399086136.73
600768.SH,20010930,179632596.52,18284230.88,274707331.86
600539.SH,20010930,283202215.26,578302221.5,1070865548.65
000007.SZ,20010930,873207064.1,21798623.74,986843248.64
600309.SH,20010930,95076700.0,,782782500.0
600010.SH,20010930,3750591436.92,1053081306.03,7330487458.95
000047.SZ,20010930,1304895035.47,,1356185096.25
600599.SH,20010930,37819733.73,193105941.42,312984522.7
000011.SZ,20010930,2521990000.0,,2843760000.0
600000.SH,20010930,154513169432.0,900750132.16,162731747948.12
600372.SH,20010930,1817755400.0,,3452400500.0
600837.SH,20010930,246772448.54,45402650.67,482561962.62
000599.SZ,20010930,774092000.0,,1472057000.0
600834.SH,20010930,334374598.89,35312854.76,912337127.75
600703.SH,20010930,291084018.86,37608828.57,460587053.84
000653.SZ,20010930,1318942700.0,,543806900.0
600318.SH,20010930,848532885.89,443261151.54,1486904141.12
000048.SZ,20010930,1393715139.0,113170697.0,1672067828.0
600753.SH,20010930,290060548.08,1759108.71,386137191.48
000017.SZ,20010930,2164497800.0,,2287445800.0
000613.SZ,20010930,232765700.0,,215596600.0
600160.SH,20010930,1014170000.0,,2385200000.0
600813.SH,20010930,1345040427.22,759423.68,1326980864.19
000813.SZ,20010930,618425949.4,153738332.81,1444981800.05
600301.SH,20010930,191264354.51,162112568.96,734786248.26
600836.SH,20010930,467375646.21,49008938.27,719132271.9
600608.SH,20010930,289111964.18,247248562.69,651629842.27
000030.SZ,20010930,1309394600.0,,1429875700.0
000025.SZ,20010930,934750545.72,67009060.76,1279779928.53
600893.SH,20010930,930517185.44,27831785.26,1703287100.36
600150.SH,20010930,814644338.34,264880107.72,1277145324.27
600888.SH,20010930,844350000.0,85360000.0,1081700000.0
000546.SZ,20010930,491791000.0,,368024000.0
001696.SZ,20010930,116289758.76,730149.08,115359951.69
000411.SZ,20010930,249590000.0,,262900000.0
600734.SH,20010930,1007144627.46,215347634.1,1607047066.75
000585.SZ,20010930,3505437814.98,425001208.92,4462508364.54
600690.SH,20010930,678505858.31,464112593.98,6345215950.86
000430.SZ,20010930,227820800.0,,319699200.0
600848.SH,20010930,870293403.35,176111852.02,1020609626.72
600795.SH,20010930,3492223094.45,672082274.19,8815730956.94
