ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
601988.SH,20250830,20250830.0,20250630,1.0,2.0,2.0,0.36,0.36,329003000000.0,329003000000.0,503331000000.0,,53109000000.0,46791000000.0,34116000000.0,-1046000000.0,,,,,,,,32234000000.0,2920000000.0,15983000000.0,598000000.0,16259000000.0,176542000000.0,,288515000000.0,6318000000.0,3132000000.0,,82628000000.0,,,,,,,,176542000000.0,,,,33280000000.0,152461000000.0,1013000000.0,456000000.0,,153018000000.0,26880000000.0,126138000000.0,117591000000.0,8547000000.0,-6092000000.0,120046000000.0,112117000000.0,7929000000.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
000785.SZ,20250830,20250830.0,20250630,1.0,1.0,2.0,0.05,0.05,6444929677.78,6444929677.78,,,,,,,,,,,,,,,-37966626.8,17254308.83,17257469.73,,6103010179.96,4908001179.11,,,76765276.55,434186245.49,179171700.45,402577790.0,-2879240.47,,,,,,,,,,,461392706.37,12685265.07,15389892.38,,458688079.06,128134414.56,330553664.5,328392399.64,2161264.86,-646698.43,329906966.07,327939710.68,1967255.39,750211637.98,1727456091.77,,,,14828758.07,389036811.85,5270741.25,,,,,,,,,,,,,,,330553664.5,1.0
688271.SH,20250830,20250830.0,20250630,1.0,1.0,2.0,1.21,1.21,6015901402.16,6015901402.16,,,,,,,,,,,,,,,-45441421.76,39841032.04,-1073833.88,,5148210096.78,3132664301.76,,,30107015.65,938304878.27,257182484.27,-49616563.05,-197713.08,,,,,,,,,,,1076930298.74,2148497.13,6106665.13,,1072972130.74,85076398.44,987895732.3,998018064.12,-10122331.82,-3315448.42,984580283.88,994702615.7,-10122331.82,1033752568.26,1276518725.29,,,,766458924.01,5292016.92,44496516.79,,,,,,,,,,,,,,,987895732.3,1.0
000825.SZ,20250830,,20250630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415453827.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000166.SZ,20250830,20250830.0,20250630,1.0,4.0,2.0,0.17,0.17,11695485798.8,11695485798.8,4365958723.09,,,3682663256.32,7795337855.4,17608419.92,,,,,2487054544.73,626940688.36,330905512.28,36326501.01,-29923472.1,7710426732.75,383821632.07,-24860105.38,5679391258.67,,4167192117.1,,79978170.83,,5419634637.46,,,,,,,,5679391258.67,,,,18718081.09,6016094540.13,1907503.8,32573125.57,,5985428918.36,1182332254.47,4803096663.89,4284169415.95,518927247.94,556541350.93,5359638014.82,4853540339.8,506097675.02,,,,,,,,,,,,,,,,,,,,,,,4803096663.89,1.0
000900.SZ,20250830,,20250630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499708869.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000806.SZ,20250830,,20250630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5639673.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000415.SZ,20250830,20250830.0,20250630,1.0,1.0,2.0,-0.3264,-0.3264,28460034000.0,28460034000.0,,,,,,,,,,,,,,,-141785000.0,593471000.0,80232000.0,,29869218000.0,20427186000.0,,,7925000.0,80086000.0,794096000.0,4965920000.0,-3440092000.0,,,,,,,,,,,-855350000.0,,1439000.0,,-856789000.0,448181000.0,-1304970000.0,-2018780000.0,713810000.0,-1221783000.0,-2526753000.0,-2962314000.0,435561000.0,6999939000.0,11770361000.0,,,,,5479214000.0,530331000.0,,,,,,,,,,,,,,,-1304970000.0,1.0
600392.SH,20250830,20250830.0,20250630,1.0,1.0,2.0,0.215,0.215,6178554297.8,6178554297.8,,,,,,,,,,,,,,,,30776156.99,30610893.84,,5808911224.14,5658145495.29,,,18019551.66,16086824.97,108938914.38,49096537.19,42515685.5,,,,,,,,,,,446100242.79,4081033.91,4038327.04,,446142949.66,46220326.23,399922623.43,376906175.23,23016448.2,1797384793.64,2197307417.07,1942457165.57,254850251.5,469983189.71,556827788.44,,,,355275.71,57310954.95,16713332.17,,,,,,,,,,,,,,,399922623.43,1.0
601618.SH,20250830,20250830.0,20250630,1.0,1.0,2.0,0.09,0.09,237532712000.0,237532712000.0,,,,,,,,,,,,,,,-44681000.0,-445757000.0,-52241000.0,,232172262000.0,213563935000.0,,,877155000.0,1304083000.0,5332722000.0,753800000.0,-1700083000.0,,,,,,,,,,,5288336000.0,127460000.0,136647000.0,,5279149000.0,1206157000.0,4072992000.0,3099278000.0,973714000.0,-26314000.0,4046678000.0,3085604000.0,961074000.0,7381224000.0,9578617000.0,,,,6734970000.0,1435030000.0,937172000.0,,,,,,,,,,,,,,,4072992000.0,1.0
