ts_code,ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,f_ann_date,comp_type,report_type,end_type
688396.SH,20200131,20190930,236478676.91,482845265.24,20200131.0,1.0,1.0,3.0
688200.SH,20200123,20190930,9989136.6,2555172.03,20200123,1,1,3
688169.SH,20200123,20190930,705296965.0,36686788.0,20200123,1,1,3
688185.SH,20200122,20190930,-96046989.7,94189414.79,20200122,1,1,3
688208.SH,20200117,20190930,140960540.92,85377409.07,20200117,1,1,3
603719.SH,20200114,20190930,348310616.57,95890419.09,20200114,1,1,3
603893.SH,20200110,20190930,229113737.21,94828294.98,20200110,1,1,3
603195.SH,20200107,20190930,2030765961.84,304882424.71,20200107,1,1,3
688266.SH,20200106,20190930,-133388576.69,8772315.61,20200106,1,1,3
688100.SH,20191227,20190930,103166459.96,17392992.14,20191227,1,1,3
688278.SH,20191226,20190930,65999128.43,29799224.79,20191226.0,1.0,1.0,3.0
601816.SH,20191225,20190930,13332856966.72,357097387.63,20191225.0,1.0,1.0,3.0
688065.SH,20191210,20190930,422930241.72,446477983.8,20191210,1,1,3
300803.SZ,20191115,20190930,65991216.0,2748998.0,20191115.0,1.0,1.0,3.0
688111.SH,20191115,20190930,247925805.33,56120653.88,20191115,1,1,3
688166.SH,20191107,20190930,6539057.24,51331242.85,20191107,1,1,3
688363.SH,20191105,20190930,206914921.57,362825659.69,20191105.0,1.0,1.0,3.0
000973.SZ,20191031,20190930,-28541535.84,34138251.98,20191031,1,1,3
002018.SZ,20191031,20190930,-4399363.93,241213.67,20191031,1,1,3
002005.SZ,20191031,20190930,412032503.23,87079752.65,20191031,1,1,3
002002.SZ,20191031,20190930,1069698940.61,91228022.9,20191031,1,1,3
001872.SZ,20191031,20190930,3956552986.35,2451110448.4,20191031,1,1,3
001696.SZ,20191031,20190930,660122340.7,86653315.9,20191031,1,1,3
000977.SZ,20191031,20190930,-3777192938.87,333806143.02,20191031,1,1,3
000938.SZ,20191031,20190930,-2864598755.27,1438467449.79,20191031,1,1,3
000625.SZ,20191031,20190930,3757823903.36,3313861816.59,20191031,1,1,3
000969.SZ,20191031,20190930,376619560.94,63021758.4,20191031,1,1,3
000939.SZ,20191031,20190930,85474967.66,84325093.51,20191031,1,1,3
002024.SZ,20191031,20190930,-19963541000.0,9886258000.0,20191031,1,1,3
000932.SZ,20191031,20190930,3550922367.02,2153731148.7,20191031,1,1,3
000930.SZ,20191031,20190930,3812330590.92,571287972.3,20191031,1,1,3
000917.SZ,20191031,20190930,634052258.64,249747122.77,20191031,1,1,3
002022.SZ,20191031,20190930,233331708.06,138682886.27,20191031,1,1,3
002106.SZ,20191031,20190930,587506125.8,108167869.38,20191031,1,1,3
002030.SZ,20191031,20190930,195555443.64,53542242.03,20191031,1,1,3
002266.SZ,20191031,20190930,-182521691.23,123812659.01,20191031,1,1,3
600588.SH,20191031,20190930,-124156994.0,148429090.0,20191031,1,1,3
600587.SH,20191031,20190930,442072783.4,263085568.22,20191031,1,1,3
600586.SH,20191031,20190930,382284202.09,477943889.98,20191031,1,1,3
600572.SH,20191031,20190930,742109409.34,165075945.32,20191031,1,1,3
600567.SH,20191031,20190930,2371256915.98,2025835904.54,20191031,1,1,3
600563.SH,20191031,20190930,503602871.23,39259464.0,20191031,1,1,3
002250.SZ,20191031,20190930,854638497.26,722457310.18,20191031,1,1,3
002064.SZ,20191031,20190930,626293241.25,479683096.15,20191031,1,1,3
002242.SZ,20191031,20190930,922017459.4,35473059.5,20191031,1,1,3
002212.SZ,20191031,20190930,-80746880.57,134459657.92,20191031,1,1,3
002203.SZ,20191031,20190930,1953111778.91,698125608.17,20191031,1,1,3
002131.SZ,20191031,20190930,575567022.85,125953928.82,20191031,1,1,3
002375.SZ,20191031,20190930,-669814615.04,80726557.42,20191031.0,1.0,1.0,3.0
000839.SZ,20191031,20190930,-189545942.4,95954448.34,20191031,1,1,3
000861.SZ,20191031,20190930,585467819.77,209334553.11,20191031,1,1,3
000717.SZ,20191031,20190930,1844723895.18,872720469.03,20191031,1,1,3
000806.SZ,20191031,20190930,24242390.24,7449271.5,20191031,1,1,3
000046.SZ,20191031,20190930,2711859490.55,122072236.05,20191031,1,1,3
000413.SZ,20191031,20190930,127114559.45,1281678070.49,20191031,1,1,3
000158.SZ,20191031,20190930,-670215433.04,204313427.84,20191031,1,1,3
000157.SZ,20191031,20190930,4962464721.96,500165973.09,20191031,1,1,3
000156.SZ,20191031,20190930,753210106.37,668734421.46,20191031,1,1,3
000066.SZ,20191031,20190930,-1241725571.29,411636049.44,20191031,1,1,3
000050.SZ,20191031,20190930,2542549209.51,5123285976.97,20191031,1,1,3
000027.SZ,20191031,20190930,3730949007.56,6248573067.22,20191031,1,1,3
000800.SZ,20191031,20190930,1049254365.23,573715794.87,20191031,1,1,3
000025.SZ,20191031,20190930,57968425.9,95210796.24,20191031,1,1,3
000021.SZ,20191031,20190930,-1025256447.6,566827353.2,20191031,1,1,3
688099.SH,20191031,20190930,133939150.7,144192264.58,20191031,1,1,3
688122.SH,20191031,20190930,-342005085.36,110949436.45,20191031,1,1,3
002409.SZ,20191031,20190930,123026589.98,118450860.83,20191031.0,1.0,1.0,3.0
600329.SH,20191031,20190930,274326200.18,132662338.99,20191031.0,1.0,1.0,3.0
000425.SZ,20191031,20190930,3101705447.69,1412102992.59,20191031,1,1,3
000537.SZ,20191031,20190930,-2488734237.85,59916921.63,20191031,1,1,3
000539.SZ,20191031,20190930,6773575977.0,3000250669.0,20191031,1,1,3
000543.SZ,20191031,20190930,1950007062.03,385372118.96,20191031,1,1,3
000552.SZ,20191031,20190930,452454222.0,7553690.0,20191031,1,1,3
000553.SZ,20191031,20190930,94261000.0,1090047000.0,20191031,1,1,3
000566.SZ,20191031,20190930,7575139.83,365524620.5,20191031,1,1,3
000572.SZ,20191031,20190930,301382761.74,341185201.1,20191031,1,1,3
000592.SZ,20191031,20190930,349502722.08,31378620.21,20191031,1,1,3
000623.SZ,20191031,20190930,188502033.41,152496536.51,20191031,1,1,3
000627.SZ,20191031,20190930,26337907093.47,242957945.96,20191031,1,1,3
000630.SZ,20191031,20190930,2562627589.79,1856267074.92,20191031,1,1,3
000652.SZ,20191031,20190930,2642081184.05,434367702.74,20191031,1,1,3
000669.SZ,20191031,20190930,178426434.53,249662034.53,20191031,1,1,3
000685.SZ,20191031,20190930,382611842.54,674174138.08,20191031,1,1,3
000690.SZ,20191031,20190930,1020236974.24,263898270.4,20191031,1,1,3
000733.SZ,20191031,20190930,-272377226.59,220912345.32,20191031,1,1,3
600594.SH,20191031,20190930,264546072.28,90954395.91,20191031,1,1,3
600339.SH,20191031,20190930,-11435431697.15,484068329.12,20191031.0,1.0,1.0,3.0
600623.SH,20191031,20190930,-1117710512.47,1185734705.09,20191031,1,1,3
601186.SH,20191031,20190930,-19941601000.0,20857489000.0,20191031,1,1,3
601618.SH,20191031,20190930,-10634670000.0,1596619000.0,20191031,1,1,3
601607.SH,20191031,20190930,2932438203.93,1680772153.37,20191031,1,1,3
601515.SH,20191031,20190930,368454698.15,80529316.96,20191031,1,1,3
601390.SH,20191031,20190930,-40916475000.0,9258527000.0,20191031,1,1,3
601360.SH,20191031,20190930,1854908000.0,473802000.0,20191031,1,1,3
601258.SH,20191031,20190930,-3583967454.0,273015874.0,20191031,1,1,3
601228.SH,20191031,20190930,2342751751.77,1837905361.9,20191031,1,1,3
601179.SH,20191031,20190930,-862873962.4,171102826.32,20191031,1,1,3
600628.SH,20191031,20190930,-79443377.98,598621317.62,20191031,1,1,3
601200.SH,20191031,20190930,848436541.67,2271552832.36,20191031,1,1,3
601139.SH,20191031,20190930,1823745184.72,463631502.39,20191031,1,1,3
601138.SH,20191031,20190930,2839162000.0,1775664000.0,20191031,1,1,3
601126.SH,20191031,20190930,163062939.32,20629718.88,20191031,1,1,3
601117.SH,20191031,20190930,1661961246.08,434294394.01,20191031,1,1,3
601111.SH,20191031,20190930,30103490000.0,10696300000.0,20191031,1,1,3
601068.SH,20191031,20190930,-806050054.23,777311649.85,20191031,1,1,3
601717.SH,20191031,20190930,1896431809.78,736795168.9,20191031,1,1,3
601766.SH,20191031,20190930,-5534844000.0,3778788000.0,20191031,1,1,3
601800.SH,20191031,20190930,-38224844264.0,33294282257.0,20191031,1,1,3
601866.SH,20191031,20190930,4331729731.43,16229911296.69,20191031,1,1,3
603567.SH,20191031,20190930,38899846.97,149508103.02,20191031,1,1,3
603501.SH,20191031,20190930,-244594420.91,231754428.27,20191031,1,1,3
603369.SH,20191031,20190930,550436635.76,107432028.54,20191031,1,1,3
603225.SH,20191031,20190930,614944629.38,4115232048.16,20191031,1,1,3
603198.SH,20191031,20190930,49731927.72,194060936.74,20191031,1,1,3
600363.SH,20191031,20190930,-95394042.3,86319038.65,20191031.0,1.0,1.0,3.0
603127.SH,20191031,20190930,97256435.71,101992268.09,20191031,1,1,3
603077.SH,20191031,20190930,32206875.88,402384259.49,20191031,1,1,3
603786.SH,20191031,20190930,409382301.31,78787899.02,20191031,1,1,3
603001.SH,20191031,20190930,-235081510.84,64520483.66,20191031,1,1,3
603000.SH,20191031,20190930,221064169.12,29081683.52,20191031,1,1,3
601991.SH,20191031,20190930,15656356000.0,6770060000.0,20191031,1,1,3
601989.SH,20191031,20190930,-4958401179.33,1110285536.06,20191031,1,1,3
601918.SH,20191031,20190930,3155768303.99,536636651.61,20191031,1,1,3
601869.SH,20191031,20190930,236275021.0,636304922.0,20191031,1,1,3
601058.SH,20191031,20190930,1786821285.52,1120050127.12,20191031,1,1,3
601021.SH,20191031,20190930,3199218415.0,3511774014.0,20191031,1,1,3
601012.SH,20191031,20190930,4014292832.29,1165908167.86,20191031,1,1,3
600783.SH,20191031,20190930,-115316521.77,5269600.96,20191031,1,1,3
600751.SH,20191031,20190930,2898269000.0,862728000.0,20191031,1,1,3
600745.SH,20191031,20190930,1145309314.8,426277039.45,20191031,1,1,3
600739.SH,20191031,20190930,427625669.51,468014044.41,20191031,1,1,3
600718.SH,20191031,20190930,-1316652594.0,332260527.0,20191031,1,1,3
600717.SH,20191031,20190930,1600237826.87,507397685.0,20200325,1,1,3
600705.SH,20191031,20190930,-29449463227.77,901584992.01,20191031,1,1,3
600687.SH,20191031,20190930,191115053.05,18215257.15,20191031,1,1,3
600685.SH,20191031,20190930,-4301735196.55,468219422.4,20191031,1,1,3
600682.SH,20191031,20190930,65179261.37,197661775.64,20191031,1,1,3
600660.SH,20191031,20190930,3536992414.0,2071044221.0,20191031,1,1,3
600654.SH,20191031,20190930,22831358.43,31594391.7,20191031,1,1,3
600651.SH,20191031,20190930,-106841052.98,14101245.65,20191031,1,1,3
600642.SH,20191031,20190930,4527519968.94,1955169869.4,20191031,1,1,3
600640.SH,20191031,20190930,-274152678.37,89826881.85,20191031,1,1,3
600635.SH,20191031,20190930,1122132750.93,404891469.28,20191031,1,1,3
600759.SH,20191031,20190930,421939286.3,216641702.72,20191031,1,1,3
600787.SH,20191031,20190930,710192768.08,503016927.49,20191031,1,1,3
601010.SH,20191031,20190930,557033207.93,110940675.76,20191031,1,1,3
600795.SH,20191031,20190930,26618390410.58,7598393091.85,20191031,1,1,3
601003.SH,20191031,20190930,4329862288.29,26391577.06,20191031,1,1,3
600996.SH,20191031,20190930,52326868.26,1865786620.96,20191031,1,1,3
600988.SH,20191031,20190930,575882040.08,263985463.9,20191031,1,1,3
600978.SH,20191031,20190930,147908166.28,226218361.45,20191031,1,1,3
600967.SH,20191031,20190930,414830345.64,56959120.5,20191031,1,1,3
600939.SH,20191031,20190930,300879110.5,46003535.56,20191031,1,1,3
600886.SH,20191031,20190930,15896924441.41,7065066732.2,20191031,1,1,3
600885.SH,20191031,20190930,1552539485.2,543555120.09,20191031,1,1,3
600872.SH,20191031,20190930,888046772.03,181899478.73,20191031,1,1,3
600837.SH,20191031,20190930,15010944255.3,1120049190.24,20191031,4,1,3
600831.SH,20191031,20190930,30116466.35,489659084.38,20191031,1,1,3
600827.SH,20191031,20190930,2601530990.13,1097174003.18,20191031,1,1,3
600825.SH,20191031,20190930,-936344938.64,2789783.51,20191031,1,1,3
600811.SH,20191031,20190930,3390427307.0,196329851.94,20191031,1,1,3
600808.SH,20191031,20190930,1636717072.0,2097700780.0,20191031,1,1,3
600611.SH,20191031,20190930,-634471626.4,411183817.82,20191031,1,1,3
002382.SZ,20191031,20190930,585582203.36,222244392.72,20191031.0,1.0,1.0,3.0
603233.SH,20191031,20190930,1085256111.62,194345095.78,20191031.0,1.0,1.0,3.0
603056.SH,20191031,20190930,-28954892.89,856949499.73,20191031.0,1.0,1.0,3.0
002531.SZ,20191031,20190930,609854479.58,517609225.22,20191031.0,1.0,1.0,3.0
002699.SZ,20191031,20190930,-194671785.4,19750054.54,20191031.0,1.0,1.0,3.0
000651.SZ,20191031,20190930,32729686129.95,3201826493.97,20191031.0,1.0,1.0,3.0
600425.SH,20191031,20190930,602355291.05,126113452.9,20191031.0,1.0,1.0,3.0
600031.SH,20191031,20190930,9444694000.0,1206315000.0,20191031.0,1.0,1.0,3.0
002308.SZ,20191031,20190930,38446066.64,23134858.74,20191031.0,1.0,1.0,3.0
002665.SZ,20191031,20190930,-200882638.22,343199928.41,20191031.0,1.0,1.0,3.0
002663.SZ,20191031,20190930,-25448352.88,14931135.5,20191031.0,1.0,1.0,3.0
002625.SZ,20191031,20190930,-25010160.48,117624450.53,20191031.0,1.0,1.0,3.0
000792.SZ,20191031,20190930,1842015519.11,415654901.74,,,,
002589.SZ,20191031,20190930,2251725154.97,871021100.69,20191031.0,1.0,1.0,3.0
002310.SZ,20191031,20190930,-1430060655.98,1019267517.39,20191031.0,1.0,1.0,3.0
603688.SH,20191031,20190930,38409796.5,54699605.17,20191031.0,1.0,1.0,3.0
600153.SH,20191031,20190930,-9202584905.84,494413781.19,20191031.0,1.0,1.0,3.0
601919.SH,20191031,20190930,15002048739.9,9263278891.25,20191031.0,1.0,1.0,3.0
002572.SZ,20191031,20190930,603179596.68,559095040.17,20191031.0,1.0,1.0,3.0
002558.SZ,20191031,20190930,1151134382.6,77361809.73,20191031.0,1.0,1.0,3.0
600098.SH,20191031,20190930,2552136687.27,952254341.24,20191031.0,1.0,1.0,3.0
002555.SZ,20191031,20190930,1897345227.68,91792349.35,20191031.0,1.0,1.0,3.0
600393.SH,20191031,20190930,2932312733.07,20504392.61,20191031.0,1.0,1.0,3.0
002345.SZ,20191031,20190930,221683012.41,92633231.3,20191031.0,1.0,1.0,3.0
600221.SH,20191031,20190930,4533067000.0,661071000.0,20191031.0,1.0,1.0,3.0
000338.SZ,20191031,20190930,4014711229.81,3821141210.56,,,,
601857.SH,20191031,20190930,239396000000.0,187119000000.0,20191031.0,1.0,1.0,3.0
600398.SH,20191031,20190930,201220260.39,411827361.3,20191031.0,1.0,1.0,3.0
603259.SH,20191031,20190930,1773185018.6,1831514200.42,20191031.0,1.0,1.0,3.0
600240.SH,20191031,20190930,137989852.94,225205.0,20191031.0,1.0,1.0,3.0
600158.SH,20191031,20190930,-124300756.48,5495290.44,20191031.0,1.0,1.0,3.0
600100.SH,20191031,20190930,-2619408812.11,533399200.29,20191031.0,1.0,1.0,3.0
600079.SH,20191031,20190930,1009632373.83,648894922.18,20191031.0,1.0,1.0,3.0
600068.SH,20191031,20190930,2089964501.99,5817969053.74,20191031.0,1.0,1.0,3.0
600039.SH,20191031,20190930,-292463073.54,3592571300.83,20191031.0,1.0,1.0,3.0
600177.SH,20191031,20190930,1698650147.42,429732688.73,20191031.0,1.0,1.0,3.0
600112.SH,20191031,20190930,14454537.5,4056374.81,20191031.0,1.0,1.0,3.0
600029.SH,20191031,20190930,24776000000.0,12314000000.0,20191031.0,1.0,1.0,3.0
600028.SH,20191031,20190930,81398000000.0,73910000000.0,20191031.0,1.0,1.0,3.0
600151.SH,20191031,20190930,-167483536.38,382786398.83,20191031.0,1.0,1.0,3.0
002773.SZ,20191031,20190930,537694549.68,667091445.97,20191031.0,1.0,1.0,3.0
600026.SH,20191031,20190930,3591699475.31,1019001754.84,20191031.0,1.0,1.0,3.0
002512.SZ,20191031,20190930,180226432.09,13149196.19,20191031.0,1.0,1.0,3.0
600018.SH,20191031,20190930,3981428642.74,1170989091.23,20191031.0,1.0,1.0,3.0
002517.SZ,20191031,20190930,13984791.79,50231205.58,20191031.0,1.0,1.0,3.0
002354.SZ,20191031,20190930,-101781829.31,51694317.61,20191031.0,1.0,1.0,3.0
600521.SH,20191031,20190930,1252277542.83,572518187.05,20191031.0,1.0,1.0,3.0
600500.SH,20191031,20190930,266568274.38,3172914633.65,20191031.0,1.0,1.0,3.0
600499.SH,20191031,20190930,113466439.6,188908270.37,20191031.0,1.0,1.0,3.0
600487.SH,20191031,20190930,-1087841265.83,2489183617.54,20191031.0,1.0,1.0,3.0
600485.SH,20191031,20190930,204101260.76,16141967.91,20191031.0,1.0,1.0,3.0
600460.SH,20191031,20190930,49700405.06,502363927.25,20191031.0,1.0,1.0,3.0
600458.SH,20191031,20190930,-43419677.71,282859150.95,20191031.0,1.0,1.0,3.0
600428.SH,20191031,20190930,700996100.72,933914514.55,20191031.0,1.0,1.0,3.0
600179.SH,20191031,20190930,312851003.78,574350349.4,20191031.0,1.0,1.0,3.0
600104.SH,20191031,20190930,25489469203.51,18562229795.98,20191031.0,1.0,1.0,3.0
600085.SH,20191031,20190930,1875459648.13,372613401.43,20191031.0,1.0,1.0,3.0
600754.SH,20191031,20190930,1599751311.7,712589260.78,20191031.0,1.0,1.0,3.0
600887.SH,20191031,20190930,6202913591.51,7194508729.04,20191031.0,1.0,1.0,3.0
002532.SZ,20191031,20190930,170059188.78,79328795.08,20191031.0,1.0,1.0,3.0
000423.SZ,20191031,20190930,-1082163036.47,256482444.56,20191031.0,1.0,1.0,3.0
000807.SZ,20191031,20190930,2561663861.73,1436040905.31,20191031.0,1.0,1.0,3.0
600166.SH,20191031,20190930,2706953488.33,1092280222.71,20191031.0,1.0,1.0,3.0
002371.SZ,20191031,20190930,-960436432.92,140527454.64,20191031.0,1.0,1.0,3.0
000100.SZ,20191031,20190930,7609274189.0,14853883306.0,20191031.0,1.0,1.0,3.0
000568.SZ,20191031,20190930,3345279323.77,2616187238.92,20191031.0,1.0,1.0,3.0
600291.SH,20191031,20190930,-48950392324.66,58417137.33,20191031.0,3.0,1.0,3.0
600150.SH,20191031,20190930,796740020.3,532350671.06,20191031.0,1.0,1.0,3.0
002938.SZ,20191031,20190930,2408035089.51,2414941969.14,20191031.0,1.0,1.0,3.0
002120.SZ,20191031,20190930,2596678198.07,2843426799.12,20191031.0,1.0,1.0,3.0
000725.SZ,20191031,20190930,16526989409.0,37854619360.0,20191031.0,1.0,1.0,3.0
003816.SZ,20191031,20190930,24557715363.69,10967724840.46,20191031.0,1.0,1.0,3.0
603883.SH,20191031,20190930,707269166.0,300102974.0,20191031.0,1.0,1.0,3.0
002368.SZ,20191031,20190930,-1365136045.0,171091115.25,20191031.0,1.0,1.0,3.0
600489.SH,20191031,20190930,1257353706.07,1059200712.98,20191031.0,1.0,1.0,3.0
603885.SH,20191031,20190930,2058893189.58,3503267187.78,20191031.0,1.0,1.0,3.0
002027.SZ,20191031,20190930,2083923107.65,292256864.73,20191031.0,1.0,1.0,3.0
600320.SH,20191031,20190930,91275890.0,2595436952.0,20191031.0,1.0,1.0,3.0
600900.SH,20191031,20190930,26224598003.86,1761437527.4,20191031.0,1.0,1.0,3.0
601019.SH,20191031,20190930,-62504622.03,395859151.07,20191031.0,1.0,1.0,3.0
600482.SH,20191031,20190930,-1095111060.8,1260625565.55,20191031.0,1.0,1.0,3.0
000301.SZ,20191031,20190930,2904536116.52,3809294834.68,20191031.0,1.0,1.0,3.0
000426.SZ,20191031,20190930,275114594.53,143889093.96,20191031.0,1.0,1.0,3.0
000876.SZ,20191031,20190930,2164333471.5,5456441701.38,20191031.0,1.0,1.0,3.0
600690.SH,20191031,20190930,9006912568.45,4579987246.71,20191031.0,1.0,1.0,3.0
600271.SH,20191031,20190930,-1423383111.68,245159032.99,20191031.0,1.0,1.0,3.0
002468.SZ,20191031,20190930,1059367926.88,1707011759.79,20191031.0,1.0,1.0,3.0
600167.SH,20191031,20190930,-392377469.35,207589101.66,20191031.0,1.0,1.0,3.0
600267.SH,20191031,20190930,613635459.47,994982753.19,20191031.0,1.0,1.0,3.0
601212.SH,20191031,20190930,2024832624.31,619435088.65,20191031.0,1.0,1.0,3.0
002422.SZ,20191031,20190930,2101450771.0,975400655.0,20191031.0,1.0,1.0,3.0
